,cost_multiplier,agent,action,duration,cost,level,time,phase,phase_name,location,site_depth,hub_height
0,1.0,WTIV,Mobilize,168.0,3500000.0,ACTION,0.0,MonopileInstallation,,,,
1,0.5,Feeder 0,Mobilize,72.0,112500.0,ACTION,0.0,MonopileInstallation,,,,
2,0.5,Feeder 1,Mobilize,72.0,112500.0,ACTION,0.0,MonopileInstallation,,,,
3,,Feeder 0,Fasten Monopile,12.0,37500.0,ACTION,12.0,MonopileInstallation,MonopileInstallation,,,
4,,Feeder 0,Fasten Transition Piece,4.0,12500.0,ACTION,16.0,MonopileInstallation,MonopileInstallation,,,
5,,Feeder 0,Delay,79.0,246875.0,ACTION,95.0,MonopileInstallation,MonopileInstallation,,,
6,,Feeder 0,Fasten Transition Piece,4.0,12500.0,ACTION,99.0,MonopileInstallation,MonopileInstallation,,,
7,,WTIV,Transit,103.92146184055821,2165030.455011629,ACTION,103.92146184055821,MonopileInstallation,,,,
8,,Feeder 0,Fasten Monopile,12.0,37500.0,ACTION,111.0,MonopileInstallation,MonopileInstallation,,,
9,,Feeder 0,Fasten Transition Piece,8.0,25000.0,ACTION,119.0,MonopileInstallation,MonopileInstallation,,,
10,,Feeder 0,Fasten Monopile,12.0,37500.0,ACTION,131.0,MonopileInstallation,MonopileInstallation,,,
11,,Feeder 0,Fasten Transition Piece,8.0,25000.0,ACTION,139.0,MonopileInstallation,MonopileInstallation,,,
12,,Feeder 1,Queue,139.0,434375.0,ACTION,139.0,MonopileInstallation,,,,
13,,Feeder 1,Fasten Monopile,12.0,37500.0,ACTION,151.0,MonopileInstallation,MonopileInstallation,,,
14,,Feeder 1,Fasten Transition Piece,8.0,25000.0,ACTION,159.0,MonopileInstallation,MonopileInstallation,,,
15,,Feeder 1,Fasten Monopile,12.0,37500.0,ACTION,171.0,MonopileInstallation,MonopileInstallation,,,
16,,Feeder 0,Transit,39.321634209940946,122880.10690606546,ACTION,178.32163420994095,MonopileInstallation,,,,
17,,Feeder 1,Fasten Transition Piece,8.0,25000.0,ACTION,179.0,MonopileInstallation,MonopileInstallation,,,
18,,Feeder 0,Jackup,1.6666666666666667,5208.333333333334,ACTION,179.9883008766076,MonopileInstallation,MonopileInstallation,,,
19,,WTIV,Delay: Not enough vessels for monopiles,76.0668390360494,1584725.813251029,ACTION,179.9883008766076,MonopileInstallation,,Site,,
20,,Feeder 1,Fasten Monopile,3.0,9375.0,ACTION,182.0,MonopileInstallation,MonopileInstallation,,,
21,,WTIV,Position Onsite,5.0,104166.66666666666,ACTION,184.9883008766076,MonopileInstallation,,,,
22,,WTIV,Jackup,1.6666666666666667,34722.22222222222,ACTION,186.65496754327427,MonopileInstallation,MonopileInstallation,,40.0,
23,,WTIV,RovSurvey,1.0,20833.333333333332,ACTION,187.65496754327427,MonopileInstallation,MonopileInstallation,,40.0,
24,,Feeder 1,Delay,12.0,37500.0,ACTION,194.0,MonopileInstallation,MonopileInstallation,,,
25,,WTIV,Release Monopile,10.0,208333.3333333333,ACTION,197.65496754327427,MonopileInstallation,,,,
26,,WTIV,Upend Monopile,0.8819573087220198,18374.110598375413,ACTION,198.53692485199628,MonopileInstallation,MonopileInstallation,,40.0,
27,,WTIV,Lower Monopile,0.005,104.16666666666666,ACTION,198.54192485199627,MonopileInstallation,MonopileInstallation,,40.0,
28,,WTIV,Crane Reequip,1.0,20833.333333333332,ACTION,199.54192485199627,MonopileInstallation,MonopileInstallation,,40.0,
29,,Feeder 1,Fasten Monopile,9.0,28125.0,ACTION,203.0,MonopileInstallation,MonopileInstallation,,,
