,cost_multiplier,agent,action,duration,cost,level,time,phase,phase_name,location,site_depth,hub_height
0,1.0,WTIV,Mobilize,168.0,3500000.0,ACTION,0.0,MonopileInstallation,,,,
1,0.5,Feeder 0,Mobilize,72.0,112500.0,ACTION,0.0,MonopileInstallation,,,,
2,0.5,Feeder 1,Mobilize,72.0,112500.0,ACTION,0.0,MonopileInstallation,,,,
3,,Feeder 0,Fasten Monopile,12.0,37500.0,ACTION,12.0,MonopileInstallation,MonopileInstallation,,,
4,,Feeder 0,Fasten Transition Piece,8.0,25000.0,ACTION,20.0,MonopileInstallation,MonopileInstallation,,,
5,,Feeder 0,Fasten Monopile,1.0,3125.0,ACTION,21.0,MonopileInstallation,MonopileInstallation,,,
6,,Feeder 0,Delay,6.0,18750.0,ACTION,27.0,MonopileInstallation,MonopileInstallation,,,
7,,Feeder 0,Fasten Monopile,11.0,34375.0,ACTION,38.0,MonopileInstallation,MonopileInstallation,,,
8,,Feeder 0,Fasten Transition Piece,8.0,25000.0,ACTION,46.0,MonopileInstallation,MonopileInstallation,,,
9,,Feeder 0,Fasten Monopile,12.0,37500.0,ACTION,58.0,MonopileInstallation,MonopileInstallation,,,
10,,Feeder 0,Fasten Transition Piece,8.0,25000.0,ACTION,66.0,MonopileInstallation,MonopileInstallation,,,
11,,Feeder 1,Queue,66.0,206250.0,ACTION,66.0,MonopileInstallation,,,,
12,,Feeder 1,Fasten Monopile,9.0,28125.0,ACTION,75.0,MonopileInstallation,MonopileInstallation,,,
13,,Feeder 0,Delay,19.0,59375.0,ACTION,85.0,MonopileInstallation,,,,
14,,Feeder 1,Delay,10.0,31250.0,ACTION,85.0,MonopileInstallation,MonopileInstallation,,,
15,,Feeder 1,Fasten Monopile,3.0,9375.0,ACTION,88.0,MonopileInstallation,MonopileInstallation,,,
16,,Feeder 1,Fasten Transition Piece,8.0,25000.0,ACTION,96.0,MonopileInstallation,MonopileInstallation,,,
17,,WTIV,Transit,98.0887936622972,2043516.5346311918,ACTION,98.0887936622972,MonopileInstallation,,,,
18,,Feeder 1,Fasten Monopile,12.0,37500.0,ACTION,108.0,MonopileInstallation,MonopileInstallation,,,
19,,Feeder 1,Fasten Transition Piece,8.0,25000.0,ACTION,116.0,MonopileInstallation,MonopileInstallation,,,
20,,Feeder 0,Transit,37.11467868303137,115983.37088447304,ACTION,122.11467868303137,MonopileInstallation,,,,
21,,Feeder 0,Jackup,1.6666666666666667,5208.333333333334,ACTION,123.78134534969804,MonopileInstallation,MonopileInstallation,,,
22,,WTIV,Delay: Not enough vessels for monopiles,25.692551687400837,535261.4934875173,ACTION,123.78134534969804,MonopileInstallation,,Site,,
23,,Feeder 1,Fasten Monopile,12.0,37500.0,ACTION,128.0,MonopileInstallation,MonopileInstallation,,,
24,,WTIV,Position Onsite,5.0,104166.66666666666,ACTION,128.78134534969803,MonopileInstallation,,,,
25,,WTIV,Jackup,1.6666666666666667,34722.22222222222,ACTION,130.4480120163647,MonopileInstallation,MonopileInstallation,,40.0,
26,,WTIV,RovSurvey,1.0,20833.333333333332,ACTION,131.4480120163647,MonopileInstallation,MonopileInstallation,,40.0,
27,,Feeder 1,Fasten Transition Piece,7.0,21875.0,ACTION,135.0,MonopileInstallation,MonopileInstallation,,,
28,,WTIV,Release Monopile,10.0,208333.3333333333,ACTION,141.4480120163647,MonopileInstallation,,,,
29,,WTIV,Upend Monopile,0.8819573087220198,18374.110598375413,ACTION,142.3299693250867,MonopileInstallation,MonopileInstallation,,40.0,
