name,location,lon,lat,distance_to_shore,capacity,turbine,depth,substructure,start_date,estimated_cod,associated_port
Project 1,NY,-71.07590392,41.11050519,50,132,11MW_generic,40,monopile,1/1/2023 0:00,2024,new_london
Project 2,MA,-70.3809493,41.02365044,50,800,13MW_generic,40,monopile,1/1/2023 0:00,2024,new_bedford
Project 3,RI/CT,-71.07607428,41.1159065,50,704,12MW_generic,40,monopile,1/1/2024 0:00,2025,new_london
Project 4,NJ,-73.99422436,39.31937248,50,1510,15MW_generic,40,monopile,1/1/2026 0:00,2027,njwp
Project 5,VA,-75.45761394,36.84342509,50,2587,15MW_generic,40,monopile,1/1/2026 0:00,2027,new_london
Project 6,NY,-74.75306642,38.27179677,50,248,15MW_generic,40,monopile,1/1/2026 0:00,2027,new_bedford
Project 7,MA,-73.22227313,40.24801683,50,816,15MW_generic,40,jacket,1/1/2027 0:00,2028,new_london
Project 8,RI/CT,-74.75306642,38.27179677,50,809,15MW_generic,40,jacket,1/1/2027 0:00,2028,njwp
Project 9,NJ,-70.82962083,40.99037717,50,924,11MW_generic,40,monopile,1/1/2028 0:00,2029,new_london
Project 10,VA,-69.359846,43.393802,50,144,12MW_generic,800,semisub,1/1/2028 0:00,2029,new_bedford
Project 11,NY,-75.02671099,36.23848619,50,1035,15MW_generic,40,monopile,1/1/2029 0:00,2030,new_london
Project 12,MA,-74.75306642,38.27179677,50,600,15MW_generic,40,monopile,1/1/2029 0:00,2030,njwp
Project 13,RI/CT,-70.50430003,40.64106695,50,804,15MW_generic,40,jacket,1/1/2029 0:00,2030,new_london
Project 14,NJ,-70.50430003,40.64106695,50,400,15MW_generic,40,jacket,1/1/2029 0:00,2030,new_bedford
Project 15,VA,-70.50430003,40.64106695,50,800,15MW_generic,40,jacket,1/1/2029 0:00,2030,new_london
Project 16,NY,-73.07013631,39.64017504,50,1404,15MW_generic,40,monopile,1/1/2030 0:00,2031,njwp
Project 17,MA,-73.07013631,39.64017504,50,1342,15MW_generic,800,semisub,1/1/2030 0:00,2031,new_london
Project 18,RI/CT,-73.35380267,39.47155514,50,1314,15MW_generic,800,semisub,1/1/2030 0:00,2031,new_bedford
Project 19,NJ,-70.37381455,41.0237355,50,800,15MW_generic,40,gbf,1/1/2030 0:00,2031,new_london
Project 20,VA,-70.37381455,41.0237355,50,800,15MW_generic,40,gbf,1/1/2030 0:00,2031,njwp
