name,location,lon,lat,distance_to_shore,capacity,turbine,depth,substructure,start_date,estimated_cod,associated_port
Project 1,NY,-71.07590392,41.11050519,50,132,11MW_generic,40,monopile,1/1/2023 0:00,2024,new_london
Project 2,MA,-70.3809493,41.02365044,50,800,13MW_generic,40,monopile,1/1/2023 0:00,2024,new_bedford
Project 3,RI/CT,-71.07607428,41.1159065,50,704,12MW_generic,40,monopile,1/1/2024 0:00,2025,new_london
Project 4,NJ,-73.99422436,39.31937248,50,1510,15MW_generic,40,monopile,1/1/2026 0:00,2027,njwp
Project 5,VA,-75.45761394,36.84342509,50,2587,15MW_generic,40,monopile,1/1/2026 0:00,2027,portsmouth
Project 6,MD,-74.75306642,38.27179677,50,248,15MW_generic,40,monopile,1/1/2026 0:00,2027,tradepoint
Project 7,NY,-73.22227313,40.24801683,50,816,15MW_generic,40,jacket,1/1/2027 0:00,2028,sbmt
Project 8,MD,-74.75306642,38.27179677,50,809,15MW_generic,40,jacket,1/1/2027 0:00,2028,tradepoint
Project 9,NY,-70.82962083,40.99037717,50,924,11MW_generic,40,monopile,1/1/2028 0:00,2029,new_london
Project 10,ME,-69.359846,43.393802,50,144,12MW_generic,800,semisub,1/1/2028 0:00,2029,searsport
Project 11,VA,-75.02671099,36.23848619,50,1035,15MW_generic,40,monopile,1/1/2029 0:00,2030,portsmouth
Project 12,MD,-74.75306642,38.27179677,50,600,15MW_generic,40,monopile,1/1/2029 0:00,2030,tradepoint
Project 13,MA,-70.50430003,40.64106695,50,804,15MW_generic,40,jacket,1/1/2029 0:00,2030,new_bedford
Project 14,MA,-70.50430003,40.64106695,50,400,15MW_generic,40,jacket,1/1/2029 0:00,2030,new_bedford
Project 15,MA,-70.50430003,40.64106695,50,800,15MW_generic,40,jacket,1/1/2029 0:00,2030,new_bedford
Project 16,NY,-73.07013631,39.64017504,50,1404,15MW_generic,40,monopile,1/1/2030 0:00,2031,sbmt
Project 17,NJ,-73.07013631,39.64017504,50,1342,15MW_generic,800,semisub,1/1/2030 0:00,2031,njwp
Project 18,NY,-73.35380267,39.47155514,50,1314,15MW_generic,800,semisub,1/1/2030 0:00,2031,sbmt
Project 19,CT,-70.37381455,41.0237355,50,800,15MW_generic,40,gbf,1/1/2030 0:00,2031,salem
Project 20,CT,-70.37381455,41.0237355,50,800,15MW_generic,40,gbf,1/1/2030 0:00,2031,salem
