,index,name,Initialized,Started,Finished,FoundationFinished,Date Initialized,Date Started,Date FoundationFinished,Date Finished,substructure,depth,location,associated_port,capacity,us_wtiv,estimated_cod
0,0,Hypothetical Gulf of Maine Draft WEA 4,157800,165417.4328630444,178257.69929104965,178257.69929104965,2041-01-01 00:00:00,2041-11-14 10:00:00,2043-05-03 10:00:00,2043-05-03 10:00:00,semisub,800,NH,searsport_2,1424,False,2042-01-01 00:00:00
1,1,Hypothetical Gulf of Maine Draft WEA 3,157800,162045.22606132933,174507.68933472806,174507.68933472806,2041-01-01 00:00:00,2041-06-26 22:00:00,2042-11-28 04:00:00,2042-11-28 04:00:00,semisub,800,ME,salem,1424,False,2042-01-01 00:00:00
2,2,Hypothetical Gulf of Maine Draft WEA 2,157800,160096.337930304,172421.10435830924,172421.10435830924,2041-01-01 00:00:00,2041-04-06 17:00:00,2042-09-02 06:00:00,2042-09-02 06:00:00,semisub,800,ME,searsport_1,1424,False,2042-01-01 00:00:00
3,3,Hypothetical NY Bight Floating 1,149016,156559.64773673512,171915.4736115538,171915.4736115538,2040-01-01 00:00:00,2040-11-10 08:00:00,2042-08-12 04:00:00,2042-08-12 04:00:00,semisub,800,NY,sbmt,1800,False,2041-01-01 00:00:00
4,4,Hypothetical Central Atlantic Draft WEA 6,149016,153001.16159365154,165417.4328630444,165417.4328630444,2040-01-01 00:00:00,2040-06-15 02:00:00,2041-11-14 10:00:00,2041-11-14 10:00:00,semisub,800,MD,tradepoint_2,1428,False,2041-01-01 00:00:00
5,5,Hypothetical NE Floating 3,149016,149016.0,162045.22606132933,162045.22606132933,2040-01-01 00:00:00,2040-01-01 00:00:00,2041-06-26 22:00:00,2041-06-26 22:00:00,semisub,800,RI,new_london,1500,False,2041-01-01 00:00:00
6,6,Hypothetical NE Floating 1,140256,144187.27126939286,160096.337930304,160096.337930304,2039-01-01 00:00:00,2039-06-13 20:00:00,2041-04-06 17:00:00,2041-04-06 17:00:00,semisub,800,CT,salem,1800,False,2040-01-01 00:00:00
7,7,Hypothetical Gulf of Maine Draft WEA 1,140256,144169.88130872988,156559.64773673512,156559.64773673512,2039-01-01 00:00:00,2039-06-13 02:00:00,2040-11-10 08:00:00,2040-11-10 08:00:00,semisub,800,ME,searsport_2,1424,False,2040-01-01 00:00:00
8,8,Hypothetical Central Atlantic Draft WEA 3,140256,140256.0,153001.16159365154,153001.16159365154,2039-01-01 00:00:00,2039-01-01 00:00:00,2040-06-15 02:00:00,2040-06-15 02:00:00,semisub,800,NC,portsmouth_2,1428,False,2040-01-01 00:00:00
9,9,Hypothetical Central Atlantic Draft WEA 2,140256,144271.58783591934,149449.65440823566,148877.34246011695,2039-01-01 00:00:00,2039-06-17 08:00:00,2039-12-26 06:00:00,2040-01-19 02:00:00,monopile,40,DE,tradepoint_1,1273,False,2040-01-01 00:00:00
10,10,Hypothetical Central Atlantic Draft WEA 4,140256,144187.27126939286,149167.8911750425,148794.02589359047,2039-01-01 00:00:00,2039-06-13 20:00:00,2039-12-22 19:00:00,2040-01-07 08:00:00,monopile,40,MD,tradepoint_2,1273,False,2040-01-01 00:00:00
