,index,name,Initialized,Started,Finished,FoundationFinished,TurbineStart,Date Initialized,Date Started,Date TurbineStart,Date FoundationFinished,Date Finished,substructure,depth,location,associated_port,capacity,us_wtiv,estimated_cod
0,0,Hypothetical Gulf of Maine Draft WEA 4,157800,234519.94846439338,251363.21489239862,251363.21489239862,234519.94846439338,2041-01-01 00:00:00,2049-10-02 16:00:00,2049-10-02 16:00:00,2051-09-04 12:00:00,2051-09-04 12:00:00,semisub,800,NH,searsport_2,1424,True,2042-01-01 00:00:00
1,1,Hypothetical Gulf of Maine Draft WEA 3,157800,227234.89031199968,244046.8535853984,244046.8535853984,227234.89031199968,2041-01-01 00:00:00,2048-12-03 03:00:00,2048-12-03 03:00:00,2050-11-03 15:00:00,2050-11-03 15:00:00,semisub,800,ME,salem,1424,True,2042-01-01 00:00:00
2,2,Hypothetical Gulf of Maine Draft WEA 2,157800,218175.18203638814,234519.94846439338,234519.94846439338,218175.18203638814,2041-01-01 00:00:00,2047-11-21 16:00:00,2047-11-21 16:00:00,2049-10-02 16:00:00,2049-10-02 16:00:00,semisub,800,ME,searsport_1,1424,True,2042-01-01 00:00:00
3,3,Hypothetical NY Bight Floating 1,149016,206548.564437181,227234.89031199968,227234.89031199968,206548.564437181,2040-01-01 00:00:00,2046-07-25 05:00:00,2046-07-25 05:00:00,2048-12-03 03:00:00,2048-12-03 03:00:00,semisub,800,NY,sbmt,1800,True,2041-01-01 00:00:00
4,4,Hypothetical Central Atlantic Draft WEA 6,149016,201616.41076699528,218175.18203638814,218175.18203638814,201616.41076699528,2040-01-01 00:00:00,2045-12-31 17:00:00,2045-12-31 17:00:00,2047-11-21 16:00:00,2047-11-21 16:00:00,semisub,800,MD,tradepoint_2,1428,True,2041-01-01 00:00:00
5,5,Hypothetical NE Floating 3,149016,188866.33837585166,206548.564437181,206548.564437181,188866.33837585166,2040-01-01 00:00:00,2044-07-18 11:00:00,2044-07-18 11:00:00,2046-07-25 05:00:00,2046-07-25 05:00:00,semisub,800,RI,new_london,1500,True,2041-01-01 00:00:00
6,6,Hypothetical NE Floating 1,140256,180450.34410608414,201616.41076699528,201616.41076699528,180450.34410608414,2039-01-01 00:00:00,2043-08-02 19:00:00,2043-08-02 19:00:00,2045-12-31 17:00:00,2045-12-31 17:00:00,semisub,800,CT,salem,1800,True,2040-01-01 00:00:00
7,7,Hypothetical Gulf of Maine Draft WEA 1,140256,172098.57194784642,188866.33837585166,188866.33837585166,172098.57194784642,2039-01-01 00:00:00,2042-08-19 19:00:00,2042-08-19 19:00:00,2044-07-18 11:00:00,2044-07-18 11:00:00,semisub,800,ME,searsport_2,1424,True,2040-01-01 00:00:00
8,8,Hypothetical Central Atlantic Draft WEA 3,140256,163573.6825124326,180450.34410608414,180450.34410608414,163573.6825124326,2039-01-01 00:00:00,2041-08-29 14:00:00,2041-08-29 14:00:00,2043-08-02 19:00:00,2043-08-02 19:00:00,semisub,800,NC,portsmouth_2,1428,True,2040-01-01 00:00:00
9,9,Hypothetical Central Atlantic Draft WEA 4,140256,163573.6825124326,172128.92018541743,172128.92018541743,165284.73004702956,2039-01-01 00:00:00,2041-08-29 14:00:00,2041-11-08 21:00:00,2042-08-21 01:00:00,2042-08-21 01:00:00,monopile,40,MD,tradepoint_2,1273,True,2040-01-01 00:00:00
