,index,name,Initialized,Started,Finished,FoundationFinished,TurbineStart,Date Initialized,Date Started,Date TurbineStart,Date FoundationFinished,Date Finished,substructure,depth,location,associated_port,capacity,us_wtiv,estimated_cod
0,0,Hypothetical Gulf of Maine Draft WEA 4,157800,170718.75123206156,187655.5176600668,187655.5176600668,170718.75123206156,2041-01-01 00:00:00,2042-06-23 07:00:00,2042-06-23 07:00:00,2044-05-29 00:00:00,2044-05-29 00:00:00,semisub,800,NH,searsport_2,1424,False,2042-01-01 00:00:00
1,1,Hypothetical Gulf of Maine Draft WEA 3,157800,165530.26112766846,181944.7244010672,181944.7244010672,165530.26112766846,2041-01-01 00:00:00,2041-11-19 03:00:00,2041-11-19 03:00:00,2043-10-04 01:00:00,2043-10-04 01:00:00,semisub,800,ME,salem,1424,False,2042-01-01 00:00:00
2,2,Hypothetical Gulf of Maine Draft WEA 2,157800,164583.4328630444,181161.69929104965,181161.69929104965,164583.4328630444,2041-01-01 00:00:00,2041-10-10 16:00:00,2041-10-10 16:00:00,2043-09-01 10:00:00,2043-09-01 10:00:00,semisub,800,ME,searsport_1,1424,False,2042-01-01 00:00:00
3,3,Hypothetical NY Bight Floating 1,149016,156915.0211978749,177934.8470726936,177934.8470726936,156915.0211978749,2040-01-01 00:00:00,2040-11-25 04:00:00,2040-11-25 04:00:00,2043-04-19 23:00:00,2043-04-19 23:00:00,semisub,800,NY,sbmt,1800,False,2041-01-01 00:00:00
4,4,Hypothetical Central Atlantic Draft WEA 6,149016,156528.0276134209,172930.29888281377,172930.29888281377,156528.0276134209,2040-01-01 00:00:00,2040-11-09 01:00:00,2040-11-09 01:00:00,2042-09-23 11:00:00,2042-09-23 11:00:00,semisub,800,MD,tradepoint_2,1428,False,2041-01-01 00:00:00
5,5,Hypothetical NE Floating 3,149016,155198.25123206156,172231.4772933909,172231.4772933909,155198.25123206156,2040-01-01 00:00:00,2040-09-14 15:00:00,2040-09-14 15:00:00,2042-08-25 08:00:00,2042-08-25 08:00:00,semisub,800,RI,new_london,1500,False,2041-01-01 00:00:00
6,6,Hypothetical NE Floating 1,140256,150163.18457115043,170718.75123206156,170718.75123206156,150163.18457115043,2039-01-01 00:00:00,2040-02-17 20:00:00,2040-02-17 20:00:00,2042-06-23 07:00:00,2042-06-23 07:00:00,semisub,800,CT,salem,1800,False,2040-01-01 00:00:00
7,7,Hypothetical Gulf of Maine Draft WEA 1,140256,149221.99469966322,165530.26112766846,165530.26112766846,149221.99469966322,2039-01-01 00:00:00,2040-01-09 14:00:00,2040-01-09 14:00:00,2041-11-19 03:00:00,2041-11-19 03:00:00,semisub,800,ME,searsport_2,1424,False,2040-01-01 00:00:00
8,8,Hypothetical Central Atlantic Draft WEA 3,140256,148056.27126939286,164583.4328630444,164583.4328630444,148056.27126939286,2039-01-01 00:00:00,2039-11-22 01:00:00,2039-11-22 01:00:00,2041-10-10 16:00:00,2041-10-10 16:00:00,semisub,800,NC,portsmouth_2,1428,False,2040-01-01 00:00:00
9,9,Hypothetical NY Bight Fixed 2,140256,140256.0,156915.0211978749,156915.0211978749,140256.0,2039-01-01 00:00:00,2039-01-01 00:00:00,2039-01-01 00:00:00,2040-11-25 04:00:00,2040-11-25 04:00:00,gbf,40,NJ,njwp_1,1500,False,2040-01-01 00:00:00
10,10,Hypothetical NE Fixed 1,131496,139751.93944641692,156528.0276134209,156528.0276134209,139751.93944641692,2038-01-01 00:00:00,2038-12-11 00:00:00,2038-12-11 00:00:00,2040-11-09 01:00:00,2040-11-09 01:00:00,gbf,40,MA,new_bedford,1500,False,2039-01-01 00:00:00
11,11,Hypothetical Central Atlantic Draft WEA 4,140256,140917.56666091114,155198.25123206156,155198.25123206156,140917.56666091114,2039-01-01 00:00:00,2039-01-28 14:00:00,2039-01-28 14:00:00,2040-09-14 15:00:00,2040-09-14 15:00:00,gbf,40,MD,tradepoint_2,1273,True,2040-01-01 00:00:00
12,12,Hypothetical Central Atlantic WEA 3,131496,131496.0,150163.18457115043,150163.18457115043,131496.0,2038-01-01 00:00:00,2038-01-01 00:00:00,2038-01-01 00:00:00,2040-02-17 20:00:00,2040-02-17 20:00:00,gbf,40,MD,tradepoint_1,1607,False,2039-01-01 00:00:00
13,13,Hypothetical Gulf of Maine Draft WEA 7,131496,132629.61339093334,149221.99469966322,149221.99469966322,132629.61339093334,2038-01-01 00:00:00,2038-02-17 06:00:00,2038-02-17 06:00:00,2040-01-09 14:00:00,2040-01-09 14:00:00,semisub,800,MA,searsport_1,1424,False,2039-01-01 00:00:00
14,14,Hypothetical Central Atlantic Draft WEA 2,140256,140256.0,149040.37301890278,149040.37301890278,142012.87460378057,2039-01-01 00:00:00,2039-01-01 00:00:00,2039-03-15 05:00:00,2040-01-02 01:00:00,2040-01-02 01:00:00,monopile,40,DE,tradepoint_1,1273,False,2040-01-01 00:00:00
15,15,Hypothetical Central Atlantic Draft WEA 5,131496,131496.0,148056.27126939286,148056.27126939286,131496.0,2038-01-01 00:00:00,2038-01-01 00:00:00,2038-01-01 00:00:00,2039-11-22 01:00:00,2039-11-22 01:00:00,semisub,800,MD,tradepoint_2,1428,False,2039-01-01 00:00:00
16,16,Hypothetical NY Bight Fixed 1,131496,140066.81332541545,147696.8983640434,147696.8983640434,141592.83033314103,2038-01-01 00:00:00,2038-12-24 03:00:00,2039-02-25 17:00:00,2039-11-07 01:00:00,2039-11-07 01:00:00,monopile,40,NY,sbmt,1500,False,2039-01-01 00:00:00
17,17,Hypothetical NE Floating 2,122736,122736.0,140917.56666091114,140917.56666091114,122736.0,2037-01-01 00:00:00,2037-01-01 00:00:00,2037-01-01 00:00:00,2039-01-28 14:00:00,2039-01-28 14:00:00,semisub,800,CT,salem,1500,False,2038-01-01 00:00:00
18,18,Hypothetical Central Atlantic Draft WEA 8,131496,135976.251662929,140087.09496011073,139785.9221368658,136738.18575771636,2038-01-01 00:00:00,2038-07-06 17:00:00,2038-08-07 11:00:00,2038-12-12 10:00:00,2038-12-25 00:00:00,monopile,40,NC,portsmouth_1,1273,False,2039-01-01 00:00:00
19,19,Hypothetical NE Fixed 2,113952,126374.69754354734,140066.81332541545,140018.45503440915,129113.12069992097,2036-01-01 00:00:00,2037-06-01 15:00:00,2037-09-23 18:00:00,2038-12-22 03:00:00,2038-12-24 03:00:00,jacket,40,RI,new_london,1500,False,2037-01-01 00:00:00
20,20,Hypothetical Gulf of Maine Draft WEA 6,122736,122736.0,139978.88130872988,139978.88130872988,122736.0,2037-01-01 00:00:00,2037-01-01 00:00:00,2037-01-01 00:00:00,2038-12-20 11:00:00,2038-12-20 11:00:00,semisub,800,MA,searsport_2,1424,False,2038-01-01 00:00:00
21,21,Hypothetical Central Atlantic WEA 6,131496,131496.0,139751.93944641692,139751.93944641692,131496.0,2038-01-01 00:00:00,2038-01-01 00:00:00,2038-01-01 00:00:00,2038-12-11 00:00:00,2038-12-11 00:00:00,gbf,40,MD,tradepoint_1,713,True,2039-01-01 00:00:00
22,22,Atlantic Shores Offshore Wind Bight,122736,128366.23687480703,135976.251662929,135976.251662929,129888.23983243143,2037-01-01 00:00:00,2037-08-23 15:00:00,2037-10-26 01:00:00,2038-07-06 17:00:00,2038-07-06 17:00:00,monopile,40,NY,njwp_1,1284,False,2038-01-01 00:00:00
23,23,Hypothetical Gulf of Maine Draft WEA 5,113952,115424.23208220347,132629.61339093334,132629.61339093334,115424.23208220347,2036-01-01 00:00:00,2036-03-02 09:00:00,2036-03-02 09:00:00,2038-02-17 06:00:00,2038-02-17 06:00:00,semisub,800,MA,searsport_1,1424,False,2037-01-01 00:00:00
24,24,Vineyard Northeast,96432,103477.65898171077,128366.23687480703,128348.20479891292,108455.37456033002,2034-01-01 00:00:00,2034-10-21 14:00:00,2035-05-17 00:00:00,2037-08-22 21:00:00,2037-08-23 15:00:00,jacket,40,MA,new_bedford,2600,False,2035-01-01 00:00:00
25,25,TotalEnergies,96432,118363.11656993689,126374.69754354734,126374.69754354734,119965.43276465898,2034-01-01 00:00:00,2036-07-02 20:00:00,2036-09-07 14:00:00,2037-06-01 15:00:00,2037-06-01 15:00:00,monopile,40,NC,portsmouth_2,889,False,2035-01-01 00:00:00
26,26,Hypothetical Gulf of Maine Draft WEA 13,105192,108892.19003072414,126364.15330412288,126364.15330412288,108892.19003072414,2035-01-01 00:00:00,2035-06-04 05:00:00,2035-06-04 05:00:00,2037-06-01 05:00:00,2037-06-01 05:00:00,semisub,800,ME,salem,1424,False,2036-01-01 00:00:00
27,27,Hypothetical Gulf of Maine Draft WEA 8,105192,106970.9542274657,123755.22065547093,123755.22065547093,106970.9542274657,2035-01-01 00:00:00,2035-03-16 03:00:00,2035-03-16 03:00:00,2037-02-12 12:00:00,2037-02-12 12:00:00,semisub,800,NH,searsport_2,1424,False,2036-01-01 00:00:00
28,28,Hypothetical Central Atlantic WEA 5,113952,113952.0,122216.93944641692,122216.93944641692,113952.0,2036-01-01 00:00:00,2036-01-01 00:00:00,2036-01-01 00:00:00,2036-12-10 09:00:00,2036-12-10 09:00:00,gbf,40,MD,tradepoint_1,713,True,2037-01-01 00:00:00
29,29,Empire Wind 2,105192,105192.0,119405.28500012426,119405.28500012426,105192.0,2035-01-01 00:00:00,2035-01-01 00:00:00,2035-01-01 00:00:00,2036-08-15 06:00:00,2036-08-15 06:00:00,gbf,40,NY,sbmt,1260,True,2036-01-01 00:00:00
30,30,Ocean Wind 2,105192,111434.36598840519,118363.11656993689,118363.11656993689,112820.11610471153,2035-01-01 00:00:00,2035-09-18 03:00:00,2035-11-14 21:00:00,2036-07-02 20:00:00,2036-07-02 20:00:00,monopile,40,NJ,njwp_2,1148,False,2036-01-01 00:00:00
31,31,Hypothetical Central Atlantic WEA  2,105192,105894.66159365154,116489.47408047656,116489.47408047656,105894.66159365154,2035-01-01 00:00:00,2035-01-30 07:00:00,2035-01-30 07:00:00,2036-04-15 18:00:00,2036-04-15 18:00:00,gbf,40,VA,portsmouth_1,927,False,2036-01-01 00:00:00
