,index,name,Initialized,Started,Finished,FoundationFinished,Date Initialized,Date Started,Date FoundationFinished,Date Finished,substructure,depth,location,associated_port,capacity,us_wtiv,estimated_cod
0,0,Hypothetical Gulf of Maine Draft WEA 4,157800,252579.5710938087,268891.8375218139,268891.8375218139,2041-01-01,2051-10-25 04:00:00,2053-09-03 20:00:00,2053-09-03 20:00:00,semisub,800,NH,searsport_2,1424,False,2042-01-01
1,1,Hypothetical Gulf of Maine Draft WEA 3,157800,239658.56777754799,256007.5310509467,256007.5310509467,2041-01-01,2050-05-04 19:00:00,2052-03-16 00:00:00,2052-03-16 00:00:00,semisub,800,ME,salem,1424,False,2042-01-01
2,2,Hypothetical Gulf of Maine Draft WEA 2,157800,239479.19621361812,255802.46264162337,255802.46264162337,2041-01-01,2050-04-27 08:00:00,2052-03-07 11:00:00,2052-03-07 11:00:00,semisub,800,ME,searsport_1,1424,False,2042-01-01
3,3,Hypothetical NY Bight Floating 1,149016,231528.74521899002,252579.5710938087,252579.5710938087,2040-01-01,2049-05-31 01:00:00,2051-10-25 04:00:00,2051-10-25 04:00:00,semisub,800,NY,sbmt,1800,False,2041-01-01
4,4,Hypothetical NE Floating 3,149016,221850.84171621865,239658.56777754799,239658.56777754799,2040-01-01,2048-04-22 19:00:00,2050-05-04 19:00:00,2050-05-04 19:00:00,semisub,800,RI,new_london_1,1500,False,2041-01-01
5,5,Hypothetical Central Atlantic Draft WEA 6,149016,222381.92494422526,239479.19621361812,239479.19621361812,2040-01-01,2048-05-14 22:00:00,2050-04-27 08:00:00,2050-04-27 08:00:00,semisub,800,MD,tradepoint_2,1428,False,2041-01-01
6,6,Hypothetical NE Floating 1,140256,210613.6785580789,231528.74521899002,231528.74521899002,2039-01-01,2047-01-10 14:00:00,2049-05-31 01:00:00,2049-05-31 01:00:00,semisub,800,CT,salem,1800,False,2040-01-01
7,7,Hypothetical Gulf of Maine Draft WEA 1,140256,205541.65851622002,222381.92494422526,222381.92494422526,2039-01-01,2046-06-13 06:00:00,2048-05-14 22:00:00,2048-05-14 22:00:00,semisub,800,ME,searsport_2,1424,False,2040-01-01
8,8,Hypothetical Central Atlantic Draft WEA 3,140256,204774.1801225671,221850.84171621865,221850.84171621865,2039-01-01,2046-05-12 07:00:00,2048-04-22 19:00:00,2048-04-22 19:00:00,semisub,800,NC,portsmouth_2,1428,False,2040-01-01
9,9,Hypothetical Central Atlantic WEA 6,131496,202661.73911166197,210613.6785580789,210613.6785580789,2038-01-01,2046-02-13 06:00:00,2047-01-10 14:00:00,2047-01-10 14:00:00,gbf,40,MD,tradepoint_1,713,True,2039-01-01
10,10,Hypothetical Central Atlantic Draft WEA 4,140256,190385.9739450696,205541.65851622002,205541.65851622002,2039-01-01,2044-09-19 18:00:00,2046-06-13 06:00:00,2046-06-13 06:00:00,gbf,40,MD,tradepoint_2,1273,True,2040-01-01
11,11,Hypothetical NY Bight Fixed 2,140256,187546.1589246922,204774.1801225671,204774.1801225671,2039-01-01,2044-05-24 11:00:00,2046-05-12 07:00:00,2046-05-12 07:00:00,gbf,40,NJ,njwp_1,1500,False,2040-01-01
