,index,name,Initialized,Started,Finished,FoundationFinished,Date Initialized,Date Started,Date FoundationFinished,Date Finished,substructure,depth,location,associated_port,capacity,us_wtiv,estimated_cod
0,0,Hypothetical Gulf of Maine Draft WEA 4,157800,170718.75123206156,187655.5176600668,187655.5176600668,2041-01-01,2042-06-23 07:00:00,2044-05-29 00:00:00,2044-05-29 00:00:00,semisub,800,NH,searsport_2,1424,False,2042-01-01
1,1,Hypothetical Gulf of Maine Draft WEA 3,157800,165530.26112766846,181944.7244010672,181944.7244010672,2041-01-01,2041-11-19 03:00:00,2043-10-04 01:00:00,2043-10-04 01:00:00,semisub,800,ME,salem,1424,False,2042-01-01
2,2,Hypothetical Gulf of Maine Draft WEA 2,157800,164583.4328630444,181161.69929104965,181161.69929104965,2041-01-01,2041-10-10 16:00:00,2043-09-01 10:00:00,2043-09-01 10:00:00,semisub,800,ME,searsport_1,1424,False,2042-01-01
3,3,Hypothetical NY Bight Floating 1,149016,156915.0211978749,177934.8470726936,177934.8470726936,2040-01-01,2040-11-25 04:00:00,2043-04-19 23:00:00,2043-04-19 23:00:00,semisub,800,NY,sbmt,1800,False,2041-01-01
4,4,Hypothetical Central Atlantic Draft WEA 6,149016,156528.0276134209,172930.29888281377,172930.29888281377,2040-01-01,2040-11-09 01:00:00,2042-09-23 11:00:00,2042-09-23 11:00:00,semisub,800,MD,tradepoint_2,1428,False,2041-01-01
5,5,Hypothetical NE Floating 3,149016,155198.25123206156,172231.4772933909,172231.4772933909,2040-01-01,2040-09-14 15:00:00,2042-08-25 08:00:00,2042-08-25 08:00:00,semisub,800,RI,new_london_1,1500,False,2041-01-01
6,6,Hypothetical NE Floating 1,140256,150163.18457115043,170718.75123206156,170718.75123206156,2039-01-01,2040-02-17 20:00:00,2042-06-23 07:00:00,2042-06-23 07:00:00,semisub,800,CT,salem,1800,False,2040-01-01
7,7,Hypothetical Central Atlantic Draft WEA 2,140256,160573.7379818925,170699.42242868585,164724.60126177623,2039-01-01,2041-04-26 14:00:00,2041-10-16 13:00:00,2042-06-22 12:00:00,monopile,40,DE,tradepoint_1,1273,False,2040-01-01
8,8,Hypothetical NY Bight Fixed 1,131496,159653.3674644204,169517.29348396917,165048.4114013395,2038-01-01,2041-03-19 06:00:00,2041-10-30 01:00:00,2042-05-04 06:00:00,monopile,40,NY,sbmt,1500,False,2039-01-01
9,9,Hypothetical Gulf of Maine Draft WEA 1,140256,149221.99469966322,165530.26112766846,165530.26112766846,2039-01-01,2040-01-09 14:00:00,2041-11-19 03:00:00,2041-11-19 03:00:00,semisub,800,ME,searsport_2,1424,False,2040-01-01
10,10,Hypothetical Central Atlantic Draft WEA 3,140256,148056.27126939286,164583.4328630444,164583.4328630444,2039-01-01,2039-11-22 01:00:00,2041-10-10 16:00:00,2041-10-10 16:00:00,semisub,800,NC,portsmouth_2,1428,False,2040-01-01
11,11,Hypothetical NE Fixed 2,113952,140955.10429399708,160573.7379818925,155562.44503477548,2036-01-01,2039-01-30 04:00:00,2040-09-29 19:00:00,2041-04-26 14:00:00,jacket,40,RI,new_london_1,1500,False,2037-01-01
12,12,Hypothetical Central Atlantic Draft WEA 8,131496,152181.9527828846,159653.3674644204,155675.7646584931,2038-01-01,2040-05-11 22:00:00,2040-10-04 12:00:00,2041-03-19 06:00:00,monopile,40,NC,portsmouth_1,1273,False,2039-01-01
13,13,Hypothetical NY Bight Fixed 2,140256,140256.0,156915.0211978749,156915.0211978749,2039-01-01,2039-01-01 00:00:00,2040-11-25 04:00:00,2040-11-25 04:00:00,gbf,40,NJ,njwp_1,1500,False,2040-01-01
14,14,Hypothetical NE Fixed 1,131496,139751.93944641692,156528.0276134209,156528.0276134209,2038-01-01,2038-12-11 00:00:00,2040-11-09 01:00:00,2040-11-09 01:00:00,gbf,40,MA,new_bedford,1500,False,2039-01-01
15,15,Hypothetical Central Atlantic Draft WEA 4,140256,140917.56666091114,155198.25123206156,155198.25123206156,2039-01-01,2039-01-28 14:00:00,2040-09-14 15:00:00,2040-09-14 15:00:00,gbf,40,MD,tradepoint_2,1273,True,2040-01-01
16,16,Atlantic Shores Offshore Wind Bight,122736,141818.59060282365,152181.9527828846,147179.81652327513,2037-01-01,2039-03-07 03:00:00,2039-10-16 12:00:00,2040-05-11 22:00:00,monopile,40,NY,njwp_1,1284,False,2038-01-01
17,17,Hypothetical Central Atlantic WEA 3,131496,131496.0,150163.18457115043,150163.18457115043,2038-01-01,2038-01-01 00:00:00,2040-02-17 20:00:00,2040-02-17 20:00:00,gbf,40,MD,tradepoint_1,1607,False,2039-01-01
18,18,Hypothetical Gulf of Maine Draft WEA 7,131496,132629.61339093334,149221.99469966322,149221.99469966322,2038-01-01,2038-02-17 06:00:00,2040-01-09 14:00:00,2040-01-09 14:00:00,semisub,800,MA,searsport_1,1424,False,2039-01-01
19,19,Hypothetical Central Atlantic Draft WEA 5,131496,131496.0,148056.27126939286,148056.27126939286,2038-01-01,2038-01-01 00:00:00,2039-11-22 01:00:00,2039-11-22 01:00:00,semisub,800,MD,tradepoint_2,1428,False,2039-01-01
20,20,Ocean Wind 2,105192,134820.0810211167,141818.59060282365,138115.38958092846,2035-01-01,2038-05-19 13:00:00,2038-10-03 20:00:00,2039-03-07 03:00:00,monopile,40,NJ,njwp_2,1148,False,2036-01-01
21,21,Vineyard Northeast,96432,108725.04867425947,140955.10429399708,133782.85141255317,2034-01-01,2035-05-28 06:00:00,2038-04-06 07:00:00,2039-01-30 04:00:00,jacket,40,MA,new_bedford,2600,False,2035-01-01
22,22,Hypothetical NE Floating 2,122736,122736.0,140917.56666091114,140917.56666091114,2037-01-01,2037-01-01 00:00:00,2039-01-28 14:00:00,2039-01-28 14:00:00,semisub,800,CT,salem,1500,False,2038-01-01
23,23,Hypothetical Gulf of Maine Draft WEA 6,122736,122736.0,139978.88130872988,139978.88130872988,2037-01-01,2037-01-01 00:00:00,2038-12-20 11:00:00,2038-12-20 11:00:00,semisub,800,MA,searsport_2,1424,False,2038-01-01
24,24,Hypothetical Central Atlantic WEA 6,131496,131496.0,139751.93944641692,139751.93944641692,2038-01-01,2038-01-01 00:00:00,2038-12-11 00:00:00,2038-12-11 00:00:00,gbf,40,MD,tradepoint_1,713,True,2039-01-01
25,25,Garden State Offshore Energy I,105192,127574.970930302,134820.0810211167,131029.02980793506,2035-01-01,2037-07-21 15:00:00,2037-12-12 14:00:00,2038-05-19 13:00:00,monopile,40,NJ,njwp_1,1080,False,2036-01-01
26,26,Hypothetical Gulf of Maine Draft WEA 5,113952,115424.23208220347,132629.61339093334,132629.61339093334,2036-01-01,2036-03-02 09:00:00,2038-02-17 06:00:00,2038-02-17 06:00:00,semisub,800,MA,searsport_1,1424,False,2037-01-01
27,27,TotalEnergies,96432,118531.6206345287,127574.970930302,122267.30280884642,2034-01-01,2036-07-09 20:00:00,2036-12-12 12:00:00,2037-07-21 15:00:00,monopile,40,NC,portsmouth_2,889,False,2035-01-01
28,28,Hypothetical Gulf of Maine Draft WEA 13,105192,108892.19003072414,126364.15330412288,126364.15330412288,2035-01-01,2035-06-04 05:00:00,2037-06-01 05:00:00,2037-06-01 05:00:00,semisub,800,ME,salem,1424,False,2036-01-01
29,29,Hypothetical Gulf of Maine Draft WEA 8,105192,106970.9542274657,123755.22065547093,123755.22065547093,2035-01-01,2035-03-16 03:00:00,2037-02-12 12:00:00,2037-02-12 12:00:00,semisub,800,NH,searsport_2,1424,False,2036-01-01
30,30,Hypothetical Central Atlantic WEA 5,113952,113952.0,122216.93944641692,122216.93944641692,2036-01-01,2036-01-01 00:00:00,2036-12-10 09:00:00,2036-12-10 09:00:00,gbf,40,MD,tradepoint_1,713,True,2037-01-01
31,31,Empire Wind 2,105192,105192.0,119405.28500012426,119405.28500012426,2035-01-01,2035-01-01 00:00:00,2036-08-15 06:00:00,2036-08-15 06:00:00,gbf,40,NY,sbmt,1260,True,2036-01-01
32,32,Hypothetical Central Atlantic WEA 4,96432,107925.50864352315,118531.6206345287,113340.33636461974,2034-01-01,2035-04-24 22:00:00,2035-12-06 13:00:00,2036-07-09 20:00:00,monopile,40,NC,portsmouth_1,1607,False,2035-01-01
33,33,Hypothetical Central Atlantic WEA  2,105192,105894.66159365154,116489.47408047656,116489.47408047656,2035-01-01,2035-01-30 07:00:00,2036-04-15 18:00:00,2036-04-15 18:00:00,gbf,40,VA,portsmouth_1,927,False,2036-01-01
34,34,Kitty Hawk South,87672,87672.0,115424.23208220347,115424.23208220347,2033-01-01,2033-01-01 00:00:00,2036-03-02 09:00:00,2036-03-02 09:00:00,gbf,40,NC,portsmouth_2,2465,True,2034-01-01
35,35,Hypothetical Gulf of Maine Draft WEA 12,96432,96432.0,112806.88130872988,112806.88130872988,2034-01-01,2034-01-01 00:00:00,2035-11-14 07:00:00,2035-11-14 07:00:00,semisub,800,MA,searsport_1,1424,False,2035-01-01
36,36,Ocean Wind 1,96432,96432.0,108892.19003072414,108892.19003072414,2034-01-01,2034-01-01 00:00:00,2035-06-04 05:00:00,2035-06-04 05:00:00,gbf,40,NJ,njwp_2,1100,False,2035-01-01
37,37,Leading Light Wind,70128,88181.99349081599,108725.04867425947,100974.43577953591,2031-01-01,2033-01-22 06:00:00,2034-07-09 07:00:00,2035-05-28 06:00:00,monopile,40,NJ,njwp_1,2400,False,2032-01-01
38,38,Bluepoint Wind,96432,97844.77880486108,107925.50864352315,102958.89743736469,2034-01-01,2034-02-28 21:00:00,2034-09-29 23:00:00,2035-04-24 22:00:00,monopile,40,NY,njwp_1,1158,False,2035-01-01
39,39,Hypothetical Central Atlantic WEA 1,96432,96432.0,106970.9542274657,106970.9542274657,2034-01-01,2034-01-01 00:00:00,2035-03-16 03:00:00,2035-03-16 03:00:00,gbf,40,MD,tradepoint_1,927,True,2035-01-01
40,40,Hypothetical Central Atlantic Draft WEA 7,87672,87672.0,105894.66159365154,105894.66159365154,2033-01-01,2033-01-01 00:00:00,2035-01-30 07:00:00,2035-01-30 07:00:00,semisub,800,VA,portsmouth_1,1566,False,2034-01-01
41,41,Skipjack 2,70128,91615.96599520548,97844.77880486108,94060.26501786703,2031-01-01,2033-06-14 08:00:00,2033-09-24 05:00:00,2034-02-28 21:00:00,monopile,40,MD,tradepoint_2,846,False,2032-01-01
42,42,Excelsior Wind,78888,78888.0,93258.82420958835,93258.82420958835,2032-01-01,2032-01-01 00:00:00,2033-08-21 19:00:00,2033-08-21 19:00:00,gbf,40,NY,sbmt,1314,True,2033-01-01
43,43,Beacon Wind 2,70128,79888.27131261978,91615.96599520548,86361.49701094546,2031-01-01,2032-02-11 17:00:00,2032-11-07 10:00:00,2033-06-14 08:00:00,monopile,40,NY,sbmt,1200,False,2032-01-01
44,44,Bay State Wind b,78888,78888.0,91340.60211085493,91340.60211085493,2032-01-01,2032-01-01 00:00:00,2033-06-02 21:00:00,2033-06-02 21:00:00,gbf,40,MA,new_london_2,1120,False,2033-01-01
45,45,Bay State Wind a (Revolution Wind 2),78888,78888.0,88586.60211085493,88586.60211085493,2032-01-01,2032-01-01 00:00:00,2033-02-08 03:00:00,2033-02-08 03:00:00,gbf,40,RI,new_london_1,880,False,2033-01-01
46,46,Atlantic Shores Offshore Wind South 2,70128,76038.02848335898,88181.99349081599,83683.838820085,2031-01-01,2031-09-04 07:00:00,2032-07-18 20:00:00,2033-01-22 06:00:00,monopile,40,NJ,njwp_2,1500,False,2032-01-01
47,47,Beacon Wind 1,70128,70128.0,83817.95318225899,83817.95318225899,2031-01-01,2031-01-01 00:00:00,2032-07-24 10:00:00,2032-07-24 10:00:00,gbf,40,NY,arthur_kill,1230,False,2032-01-01
48,48,Atlantic Shores Offshore Wind North,70128,70128.0,83317.3591519742,83317.3591519742,2031-01-01,2031-01-01 00:00:00,2032-07-03 14:00:00,2032-07-03 14:00:00,gbf,40,NJ,njwp_1,1182,True,2032-01-01
49,49,Duke Energy/Cinergy,70128,70128.0,80405.73044451342,80405.73044451342,2031-01-01,2031-01-01 00:00:00,2032-03-04 06:00:00,2032-03-04 06:00:00,gbf,40,NC,portsmouth_1,893,False,2032-01-01
50,50,Attentive Energy One,61368,65300.23524684941,80382.58842790758,74977.71850464639,2030-01-01,2030-06-13 21:00:00,2031-07-22 02:00:00,2032-03-03 07:00:00,monopile,40,NY,arthur_kill,1404,True,2031-01-01
51,51,Community Offshore Wind 1,61368,68588.58550806734,79888.27131261978,75725.14185136347,2030-01-01,2030-10-28 21:00:00,2031-08-22 06:00:00,2032-02-11 17:00:00,monopile,40,NY,sbmt,1314,False,2031-01-01
52,52,Attentive Energy Two,61368,61368.0,76628.67218088661,76628.67218088661,2030-01-01,2030-01-01 00:00:00,2031-09-28 21:00:00,2031-09-28 21:00:00,gbf,40,NJ,njwp_1,1342,False,2031-01-01
53,53,SouthCoast Residual,52608,66619.07260945645,76038.02848335898,74108.77677771423,2029-01-01,2030-08-07 20:00:00,2031-06-15 21:00:00,2031-09-04 07:00:00,jacket,40,MA,new_bedford,800,False,2030-01-01
54,54,"New England Wind 2 (Commonwealth Wind, Vineyard Wind South)",61368,61368.0,75574.43365932701,75574.43365932701,2030-01-01,2030-01-01 00:00:00,2031-08-15 23:00:00,2031-08-15 23:00:00,gbf,40,MA,salem,1232,False,2031-01-01
55,55,Skipjack 1,70128,70736.93365932701,72679.25445897237,72679.25445897237,2031-01-01,2031-01-26 09:00:00,2031-04-17 08:00:00,2031-04-17 08:00:00,gbf,40,MD,tradepoint_1,120,False,2032-01-01
56,56,"New England Wind 1 (Park City Wind, Vineyard Wind South)",61368,61368.0,70736.93365932701,70736.93365932701,2030-01-01,2030-01-01 00:00:00,2031-01-26 09:00:00,2031-01-26 09:00:00,gbf,40,CT,salem,800,False,2029-01-01
57,57,SouthCoast 1 Phase 1 (Mayflower Wind 1),52608,58791.606299558596,68588.58550806734,66463.85130146792,2029-01-01,2029-09-15 16:00:00,2030-08-01 08:00:00,2030-10-28 21:00:00,jacket,40,MA,new_bedford,804,False,2030-01-01
58,58,SouthCoast 1 Phase 2 (Mayflower Wind 2),52608,61819.06652777749,66619.07260945645,65613.80382031926,2029-01-01,2030-01-19 20:00:00,2030-06-26 22:00:00,2030-08-07 20:00:00,jacket,40,MA,new_bedford,400,False,2030-01-01
59,59,Sunrise Wind,43824,52557.72426318554,65300.23524684941,61044.29034826919,2028-01-01,2028-12-29 22:00:00,2029-12-18 13:00:00,2030-06-13 21:00:00,monopile,40,NY,new_london_1,924,True,2029-01-01
60,60,Kitty Hawk North,52608,52608.0,61819.06652777749,58244.71992256833,2029-01-01,2029-01-01 00:00:00,2029-08-23 21:00:00,2030-01-19 20:00:00,monopile,40,VA,portsmouth_2,1035,False,2030-01-01
61,61,MarWin Residual,52608,52608.0,58791.606299558596,57247.32066414872,2029-01-01,2029-01-01 00:00:00,2029-07-13 08:00:00,2029-09-15 16:00:00,monopile,40,MD,tradepoint_1,600,False,2030-01-01
62,62,CVOW-C,26304,26304.0,52557.72426318554,43707.384210148186,2026-01-01,2026-01-01 00:00:00,2027-12-27 04:00:00,2028-12-29 22:00:00,monopile,40,VA,portsmouth_1,2587,True,2027-01-01
63,63,Maine Research Array,43824,43824.0,46239.692152350064,46239.692152350064,2028-01-01,2028-01-01 00:00:00,2028-04-10 16:00:00,2028-04-10 16:00:00,semisub,800,ME,searsport_1,144,False,2029-01-01
64,64,Momentum Wind,35064,38348.20783021915,42937.04879535604,40652.72357238464,2027-01-01,2027-05-17 21:00:00,2027-08-21 21:00:00,2027-11-25 02:00:00,monopile,40,MD,tradepoint_1,809,False,2028-01-01
65,65,Empire Wind 1,35064,35064.0,42009.06506929927,40082.01358465559,2027-01-01,2027-01-01 00:00:00,2027-07-29 03:00:00,2027-10-17 10:00:00,monopile,40,NY,sbmt,816,False,2028-01-01
66,66,Atlantic Shores Offshore Wind South 1,26304,26304.0,38348.20783021915,33526.9121032612,2026-01-01,2026-01-01 00:00:00,2026-10-28 23:00:00,2027-05-17 21:00:00,monopile,40,NJ,njwp_1,1510,False,2027-01-01
67,67,MarWin,26304,26304.0,30674.22110535514,29909.809765385184,2026-01-01,2026-01-01 00:00:00,2026-05-31 06:00:00,2026-07-02 03:00:00,monopile,40,MD,tradepoint_1,248,False,2027-01-01
68,68,Revolution Wind 1,8760,8760.0,16068.028190093317,13929.01318149965,2024-01-01,2024-01-01 00:00:00,2024-08-03 10:00:00,2024-10-31 13:00:00,monopile,40,RI/CT,new_london_1,704,False,2025-01-01
69,69,Vineyard Wind 1,0,0.0,7832.043717550901,5357.969827758422,2023-01-01,2023-01-01 00:00:00,2023-08-12 06:00:00,2023-11-23 09:00:00,monopile,40,MA,new_bedford,800,False,2024-01-01
70,70,South Fork,0,0.0,3812.5108757569046,3391.0771573515394,2023-01-01,2023-01-01 00:00:00,2023-05-22 08:00:00,2023-06-08 21:00:00,monopile,40,NY,new_london_1,132,False,2024-01-01
