,index,name,Initialized,Started,Finished,FoundationFinished,TurbineStart,Date Initialized,Date Started,Date TurbineStart,Date FoundationFinished,Date Finished,substructure,depth,location,associated_port,capacity,us_wtiv,estimated_cod
0,0,Hypothetical Central Atlantic Draft WEA 4,140256,327223.16474660777,333170.53190665075,331452.06133626256,328068.94406453875,2039-01-01 00:00:00,2060-04-30 08:00:00,2060-06-04 13:00:00,2060-10-23 13:00:00,2061-01-03 03:00:00,monopile,40,MD,tradepoint_2,1273,True,2040-01-01 00:00:00
1,1,Hypothetical Central Atlantic Draft WEA 2,140256,321275.7975865648,327223.16474660777,325504.6941762196,322121.57690449577,2039-01-01 00:00:00,2059-08-26 12:00:00,2059-09-30 18:00:00,2060-02-18 17:00:00,2060-04-30 08:00:00,monopile,40,DE,tradepoint_1,1273,True,2040-01-01 00:00:00
2,2,Hypothetical NY Bight Fixed 2,140256,314925.205208512,321275.7975865648,319337.02028074383,315807.56822295836,2039-01-01 00:00:00,2058-12-04 22:00:00,2059-01-10 16:00:00,2059-06-06 18:00:00,2059-08-26 12:00:00,monopile,40,NJ,njwp_1,1500,True,2040-01-01 00:00:00
3,3,Hypothetical NY Bight Fixed 1,131496,310786.8401032259,314925.205208512,314671.3145409358,311563.7349907679,2038-01-01 00:00:00,2058-06-15 11:00:00,2058-07-17 20:00:00,2058-11-24 08:00:00,2058-12-04 22:00:00,monopile,40,NY,sbmt,1500,True,2039-01-01 00:00:00
4,4,Hypothetical Central Atlantic WEA 6,131496,307806.1736335993,310786.8401032259,309885.3575359677,308222.010414073,2038-01-01 00:00:00,2058-02-11 07:00:00,2058-02-28 15:00:00,2058-05-08 22:00:00,2058-06-15 11:00:00,monopile,40,MD,tradepoint_1,713,True,2039-01-01 00:00:00
5,5,Hypothetical Central Atlantic Draft WEA 8,131496,302280.88409282477,307806.1736335993,306834.76676517003,303191.6606272938,2038-01-01 00:00:00,2057-06-26 01:00:00,2057-08-03 00:00:00,2058-01-01 19:00:00,2058-02-11 07:00:00,monopile,40,NC,portsmouth_1,1273,True,2039-01-01 00:00:00
6,6,Hypothetical Central Atlantic WEA 3,131496,290681.451595551,302280.88409282477,302280.88409282477,293001.3380950057,2038-01-01 00:00:00,2056-02-28 18:00:00,2056-06-04 10:00:00,2057-06-26 01:00:00,2057-06-26 01:00:00,monopile,40,MD,tradepoint_1,1607,True,2039-01-01 00:00:00
7,7,Atlantic Shores Offshore Wind Bight,122736,284616.7594401041,290681.451595551,289080.3867630164,285509.4849046866,2037-01-01 00:00:00,2055-06-21 01:00:00,2055-07-28 06:00:00,2055-12-24 01:00:00,2056-02-28 18:00:00,monopile,40,NY,njwp_1,1284,True,2038-01-01 00:00:00
8,8,Hypothetical NE Fixed 2,113952,269710.9769915694,284616.7594401041,284590.4011490979,272692.13348127634,2036-01-01 00:00:00,2053-10-07 23:00:00,2054-02-09 05:00:00,2055-06-19 23:00:00,2055-06-21 01:00:00,jacket,40,RI,new_london,1500,True,2037-01-01 00:00:00
9,9,Hypothetical Central Atlantic WEA 5,113952,266666.8432352764,269710.9769915694,269033.3635709768,267140.1473024165,2036-01-01 00:00:00,2053-06-03 03:00:00,2053-06-22 21:00:00,2053-09-09 18:00:00,2053-10-07 23:00:00,monopile,40,MD,tradepoint_1,713,True,2037-01-01 00:00:00
10,10,Ocean Wind 2,105192,259463.2127760418,266666.8432352764,266666.8432352764,260903.9388678887,2035-01-01 00:00:00,2052-08-07 00:00:00,2052-10-06 00:00:00,2053-06-03 03:00:00,2053-06-03 03:00:00,monopile,40,NJ,njwp_2,1148,True,2036-01-01 00:00:00
11,11,Hypothetical Central Atlantic WEA  2,105192,253870.66389510216,259463.2127760418,259463.2127760418,254989.17367129007,2035-01-01 00:00:00,2051-12-17 23:00:00,2052-02-02 14:00:00,2052-08-07 00:00:00,2052-08-07 00:00:00,monopile,40,VA,portsmouth_1,927,True,2036-01-01 00:00:00
12,12,Garden State Offshore Energy I,105192,249400.54394285835,253870.66389510216,252745.56228719762,250069.54761172622,2035-01-01 00:00:00,2051-06-14 17:00:00,2051-07-12 14:00:00,2051-11-01 02:00:00,2051-12-17 23:00:00,monopile,40,NJ,njwp_1,1080,True,2036-01-01 00:00:00
13,13,Empire Wind 2,105192,241774.12087876306,249400.54394285835,249400.54394285835,243299.40549158212,2035-01-01 00:00:00,2050-07-31 23:00:00,2050-10-03 12:00:00,2051-06-14 17:00:00,2051-06-14 17:00:00,monopile,40,NY,sbmt,1260,True,2036-01-01 00:00:00
14,14,Vineyard Northeast,96432,216910.05253719704,241774.12087876306,241756.08880286897,221882.86620551025,2034-01-01 00:00:00,2047-09-29 23:00:00,2048-04-24 03:00:00,2050-07-31 05:00:00,2050-07-31 23:00:00,jacket,40,MA,new_bedford,2600,True,2035-01-01 00:00:00
15,15,TotalEnergies,96432,210460.77428033785,216910.05253719704,216910.05253719704,211750.6299317097,2034-01-01 00:00:00,2047-01-04 05:00:00,2047-02-26 23:00:00,2047-09-29 23:00:00,2047-09-29 23:00:00,monopile,40,NC,portsmouth_2,889,True,2035-01-01 00:00:00
16,16,Ocean Wind 1,96432,205729.47909968972,210460.77428033785,209266.28899659647,206436.84107907108,2034-01-01 00:00:00,2046-06-21 02:00:00,2046-07-20 13:00:00,2046-11-15 11:00:00,2047-01-04 05:00:00,monopile,40,NJ,njwp_2,1100,True,2035-01-01 00:00:00
17,17,Hypothetical Central Atlantic WEA 4,96432,197270.5014812394,205729.47909968972,205729.47909968972,198962.29700492945,2034-01-01 00:00:00,2045-07-03 15:00:00,2045-09-12 03:00:00,2046-06-21 02:00:00,2046-06-21 02:00:00,monopile,40,NC,portsmouth_1,1607,True,2035-01-01 00:00:00
18,18,Hypothetical Central Atlantic WEA 1,96432,190196.20428416954,197270.5014812394,197270.5014812394,191611.0637235835,2034-01-01 00:00:00,2044-09-11 21:00:00,2044-11-09 20:00:00,2045-07-03 15:00:00,2045-07-03 15:00:00,monopile,40,MD,tradepoint_1,927,True,2035-01-01 00:00:00
19,19,Bluepoint Wind,96432,183017.62665972393,190196.20428416954,190196.20428416954,184453.34218461305,2034-01-01 00:00:00,2043-11-17 18:00:00,2044-01-16 14:00:00,2044-09-11 21:00:00,2044-09-11 21:00:00,monopile,40,NY,njwp_1,1158,True,2035-01-01 00:00:00
20,20,Excelsior Wind,78888,178586.62453253026,183017.62665972393,182742.47778716453,179417.7951834571,2032-01-01 00:00:00,2043-05-17 03:00:00,2043-06-20 18:00:00,2043-11-06 07:00:00,2043-11-17 18:00:00,monopile,40,NY,sbmt,1314,True,2033-01-01 00:00:00
21,21,Skipjack 2,70128,172146.73687320162,178586.62453253026,178586.62453253026,173434.71440506735,2031-01-01 00:00:00,2042-08-21 19:00:00,2042-10-14 11:00:00,2043-05-17 03:00:00,2043-05-17 03:00:00,monopile,40,MD,tradepoint_2,846,True,2032-01-01 00:00:00
22,22,Hypothetical Gulf of Maine Draft WEA 3,157800,161611.13332182227,178419.096595221,178419.096595221,161611.13332182227,2041-01-01 00:00:00,2041-06-08 20:00:00,2041-06-08 20:00:00,2043-05-10 04:00:00,2043-05-10 04:00:00,semisub,800,ME,salem,1424,True,2042-01-01 00:00:00
23,23,Hypothetical Gulf of Maine Draft WEA 4,157800,157800.0,174158.26642800524,174158.26642800524,157800.0,2041-01-01 00:00:00,2041-01-01 00:00:00,2041-01-01 00:00:00,2042-11-13 15:00:00,2042-11-13 15:00:00,semisub,800,NH,searsport_2,1424,True,2042-01-01 00:00:00
24,24,Hypothetical Gulf of Maine Draft WEA 2,157800,157800.0,174158.26642800524,174158.26642800524,157800.0,2041-01-01 00:00:00,2041-01-01 00:00:00,2041-01-01 00:00:00,2042-11-13 15:00:00,2042-11-13 15:00:00,semisub,800,ME,searsport_1,1424,True,2042-01-01 00:00:00
25,25,Kitty Hawk South,87672,161134.73442743035,172146.73687320162,171733.99062660907,163254.5856672661,2033-01-01 00:00:00,2041-05-19 23:00:00,2041-08-16 07:00:00,2042-08-04 14:00:00,2042-08-21 19:00:00,monopile,40,NC,portsmouth_2,2465,True,2034-01-01 00:00:00
26,26,Hypothetical NY Bight Floating 1,149016,149016.0,169609.3258748187,169609.3258748187,149016.0,2040-01-01 00:00:00,2040-01-01 00:00:00,2040-01-01 00:00:00,2042-05-08 02:00:00,2042-05-08 02:00:00,semisub,800,NY,sbmt,1800,True,2041-01-01 00:00:00
27,27,Hypothetical NE Floating 3,149016,149016.0,166059.72606132933,166059.72606132933,149016.0,2040-01-01 00:00:00,2040-01-01 00:00:00,2040-01-01 00:00:00,2041-12-11 04:00:00,2041-12-11 04:00:00,semisub,800,RI,new_london,1500,True,2041-01-01 00:00:00
28,28,Hypothetical Central Atlantic Draft WEA 6,149016,149016.0,165487.77126939286,165487.77126939286,149016.0,2040-01-01 00:00:00,2040-01-01 00:00:00,2040-01-01 00:00:00,2041-11-17 08:00:00,2041-11-17 08:00:00,semisub,800,MD,tradepoint_2,1428,True,2041-01-01 00:00:00
29,29,Hypothetical NE Floating 1,140256,140917.56666091114,161611.13332182227,161611.13332182227,140917.56666091114,2039-01-01 00:00:00,2039-01-28 14:00:00,2039-01-28 14:00:00,2041-06-08 20:00:00,2041-06-08 20:00:00,semisub,800,CT,salem,1800,True,2040-01-01 00:00:00
30,30,Skipjack 1,70128,157725.93440000378,161134.73442743035,161134.73442743035,158407.6944054891,2031-01-01 00:00:00,2040-12-28 22:00:00,2041-01-26 08:00:00,2041-05-19 23:00:00,2041-05-19 23:00:00,monopile,40,MD,tradepoint_1,120,True,2032-01-01 00:00:00
31,31,Leading Light Wind,70128,146151.2355146917,157725.93440000378,157596.65024418302,148440.31846058997,2031-01-01 00:00:00,2039-09-03 16:00:00,2039-12-08 01:00:00,2040-12-23 13:00:00,2040-12-28 22:00:00,monopile,40,NJ,njwp_1,2400,True,2032-01-01 00:00:00
32,32,Hypothetical Central Atlantic Draft WEA 3,140256,140256.0,156672.16159365154,156672.16159365154,140256.0,2039-01-01 00:00:00,2039-01-01 00:00:00,2039-01-01 00:00:00,2040-11-15 01:00:00,2040-11-15 01:00:00,semisub,800,NC,portsmouth_2,1428,True,2040-01-01 00:00:00
33,33,Hypothetical Gulf of Maine Draft WEA 1,140256,140256.0,156484.76642800524,156484.76642800524,140256.0,2039-01-01 00:00:00,2039-01-01 00:00:00,2039-01-01 00:00:00,2040-11-07 05:00:00,2040-11-07 05:00:00,semisub,800,ME,searsport_2,1424,True,2040-01-01 00:00:00
34,34,Hypothetical NE Fixed 1,131496,131496.0,148431.088167004,148431.088167004,131496.0,2038-01-01 00:00:00,2038-01-01 00:00:00,2038-01-01 00:00:00,2039-12-07 16:00:00,2039-12-07 16:00:00,gbf,40,MA,new_bedford,1500,True,2039-01-01 00:00:00
