,index,name,Initialized,Started,Finished,FoundationFinished,TurbineStart,Date Initialized,Date Started,Date TurbineStart,Date FoundationFinished,Date Finished,substructure,depth,location,associated_port,capacity,us_wtiv,estimated_cod
0,0,Hypothetical Central Atlantic Draft WEA 2,140256,278509.71347901324,292786.01000345673,292738.49926076643,281364.97278390196,2039-01-01 00:00:00,2054-10-09 14:00:00,2055-02-05 13:00:00,2056-05-24 11:00:00,2056-05-26 11:00:00,jacket,40,DE,tradepoint_1,1273,False,2040-01-01 00:00:00
1,1,Hypothetical NY Bight Fixed 1,131496,265285.36230151524,278509.71347901324,278497.47920430865,267930.2325370148,2038-01-01 00:00:00,2053-04-06 14:00:00,2053-07-25 19:00:00,2054-10-09 02:00:00,2054-10-09 14:00:00,jacket,40,NY,sbmt,1500,False,2039-01-01 00:00:00
2,2,Hypothetical Central Atlantic WEA 3,131496,248494.04185165325,265285.36230151524,265237.851558825,251852.30594162564,2038-01-01 00:00:00,2051-05-07 23:00:00,2051-09-24 21:00:00,2053-04-04 14:00:00,2053-04-06 14:00:00,jacket,40,MD,tradepoint_1,1607,False,2039-01-01 00:00:00
3,3,Hypothetical NE Fixed 2,113952,232915.25940311849,248494.04185165325,248467.68356064695,236031.01589282544,2036-01-01 00:00:00,2049-07-27 20:00:00,2049-12-04 16:00:00,2051-05-06 20:00:00,2051-05-07 23:00:00,jacket,40,RI,new_london,1500,False,2037-01-01 00:00:00
4,4,Hypothetical Central Atlantic WEA  2,105192,224010.02973521646,232915.25940311849,232898.57191102346,225791.07566879687,2035-01-01 00:00:00,2048-07-21 19:00:00,2048-10-04 00:00:00,2049-07-27 03:00:00,2049-07-27 20:00:00,jacket,40,VA,portsmouth_1,927,False,2036-01-01 00:00:00
5,5,Vineyard Northeast,96432,199516.804278514,224010.02973521646,223991.99765932237,204415.4493698545,2034-01-01 00:00:00,2045-10-05 05:00:00,2046-04-27 08:00:00,2048-07-21 00:00:00,2048-07-21 19:00:00,jacket,40,MA,new_bedford,2600,False,2035-01-01 00:00:00
6,6,Bluepoint Wind,96432,188273.39986129335,199516.804278514,199482.234324613,190522.08074473747,2034-01-01 00:00:00,2044-06-23 18:00:00,2044-09-25 11:00:00,2045-10-03 19:00:00,2045-10-05 05:00:00,jacket,40,NY,njwp_1,1158,False,2035-01-01 00:00:00
7,7,Skipjack 2,70128,179670.09860323256,188273.39986129335,188247.4073815061,181390.75885484472,2031-01-01 00:00:00,2043-07-01 07:00:00,2043-09-10 23:00:00,2044-06-22 16:00:00,2044-06-23 18:00:00,jacket,40,MD,tradepoint_2,846,False,2032-01-01 00:00:00
8,8,Bay State Wind b,78888,169286.96784950205,179670.09860323256,179653.83733671962,171363.59400024815,2032-01-01 00:00:00,2042-04-24 15:00:00,2042-07-20 04:00:00,2043-06-30 14:00:00,2043-07-01 07:00:00,jacket,40,MA,new_london,1120,False,2033-01-01 00:00:00
9,9,Hypothetical Central Atlantic Draft WEA 6,149016,162525.9558405433,179360.22710993615,179360.22710993615,162525.9558405433,2040-01-01 00:00:00,2041-07-16 22:00:00,2041-07-16 22:00:00,2043-06-18 09:00:00,2043-06-18 09:00:00,semisub,800,MD,tradepoint_2,1428,False,2041-01-01 00:00:00
10,10,Hypothetical Gulf of Maine Draft WEA 3,157800,161611.13332182227,178419.096595221,178419.096595221,161611.13332182227,2041-01-01 00:00:00,2041-06-08 20:00:00,2041-06-08 20:00:00,2043-05-10 04:00:00,2043-05-10 04:00:00,semisub,800,ME,salem,1424,False,2042-01-01 00:00:00
11,11,Hypothetical Gulf of Maine Draft WEA 4,157800,157800.0,174158.26642800524,174158.26642800524,157800.0,2041-01-01 00:00:00,2041-01-01 00:00:00,2041-01-01 00:00:00,2042-11-13 15:00:00,2042-11-13 15:00:00,semisub,800,NH,searsport_2,1424,False,2042-01-01 00:00:00
12,12,Hypothetical Gulf of Maine Draft WEA 2,157800,157800.0,174158.26642800524,174158.26642800524,157800.0,2041-01-01 00:00:00,2041-01-01 00:00:00,2041-01-01 00:00:00,2042-11-13 15:00:00,2042-11-13 15:00:00,semisub,800,ME,searsport_1,1424,False,2042-01-01 00:00:00
13,13,Hypothetical NY Bight Fixed 2,140256,155159.13477797437,171783.15597584928,171783.15597584928,155159.13477797437,2039-01-01 00:00:00,2040-09-13 00:00:00,2040-09-13 00:00:00,2042-08-06 16:00:00,2042-08-06 16:00:00,gbf,40,NJ,njwp_1,1500,False,2040-01-01 00:00:00
14,14,Hypothetical NY Bight Floating 1,149016,149016.0,169609.3258748187,169609.3258748187,149016.0,2040-01-01 00:00:00,2040-01-01 00:00:00,2040-01-01 00:00:00,2042-05-08 02:00:00,2042-05-08 02:00:00,semisub,800,NY,sbmt,1800,False,2041-01-01 00:00:00
15,15,Hypothetical Central Atlantic WEA 4,96432,154935.63631793455,169286.96784950205,169270.3684654726,157805.90262424806,2034-01-01 00:00:00,2040-09-03 16:00:00,2041-01-01 06:00:00,2042-04-23 23:00:00,2042-04-24 15:00:00,jacket,40,NC,portsmouth_1,1607,False,2035-01-01 00:00:00
16,16,Hypothetical NE Floating 3,149016,149016.0,166059.72606132933,166059.72606132933,149016.0,2040-01-01 00:00:00,2040-01-01 00:00:00,2040-01-01 00:00:00,2041-12-11 04:00:00,2041-12-11 04:00:00,semisub,800,RI,new_london,1500,False,2041-01-01 00:00:00
17,17,Hypothetical Central Atlantic Draft WEA 4,140256,148056.27126939286,162525.9558405433,162525.9558405433,148056.27126939286,2039-01-01 00:00:00,2039-11-22 01:00:00,2039-11-22 01:00:00,2041-07-16 22:00:00,2041-07-16 22:00:00,gbf,40,MD,tradepoint_2,1273,True,2040-01-01 00:00:00
18,18,Hypothetical NE Floating 1,140256,140917.56666091114,161611.13332182227,161611.13332182227,140917.56666091114,2039-01-01 00:00:00,2039-01-28 14:00:00,2039-01-28 14:00:00,2041-06-08 20:00:00,2041-06-08 20:00:00,semisub,800,CT,salem,1800,False,2040-01-01 00:00:00
19,19,Hypothetical Central Atlantic Draft WEA 3,140256,140256.0,156672.16159365154,156672.16159365154,140256.0,2039-01-01 00:00:00,2039-01-01 00:00:00,2039-01-01 00:00:00,2040-11-15 01:00:00,2040-11-15 01:00:00,semisub,800,NC,portsmouth_2,1428,False,2040-01-01 00:00:00
20,20,Hypothetical Gulf of Maine Draft WEA 1,140256,140256.0,156484.76642800524,156484.76642800524,140256.0,2039-01-01 00:00:00,2039-01-01 00:00:00,2039-01-01 00:00:00,2040-11-07 05:00:00,2040-11-07 05:00:00,semisub,800,ME,searsport_2,1424,False,2040-01-01 00:00:00
21,21,Atlantic Shores Offshore Wind Bight,122736,140663.77001491733,155159.13477797437,155159.13477797437,140663.77001491733,2037-01-01 00:00:00,2039-01-18 00:00:00,2039-01-18 00:00:00,2040-09-13 00:00:00,2040-09-13 00:00:00,gbf,40,NY,njwp_1,1284,False,2038-01-01 00:00:00
22,22,Atlantic Shores Offshore Wind South 2,70128,140663.77001491733,154935.63631793455,154916.5106423543,143518.14327552076,2031-01-01 00:00:00,2039-01-18 00:00:00,2039-05-16 23:00:00,2040-09-02 21:00:00,2040-09-03 16:00:00,jacket,40,NJ,njwp_2,1500,False,2032-01-01 00:00:00
