,index,name,Initialized,Started,Finished,FoundationFinished,Date Initialized,Date Started,Date FoundationFinished,Date Finished,substructure,depth,location,associated_port,capacity,us_wtiv,estimated_cod
0,0,Hypothetical Gulf of Maine Draft WEA 4,157800,343896.92154147424,360085.6879694795,360085.6879694795,2041-01-01,2062-03-26 01:00:00,2064-01-29 14:00:00,2064-01-29 14:00:00,semisub,800,NH,searsport_2,1424,False,2042-01-01
1,1,Hypothetical Gulf of Maine Draft WEA 3,157800,332139.1244502173,348336.08772361604,348336.08772361604,2041-01-01,2060-11-21 04:00:00,2062-09-27 01:00:00,2062-09-27 01:00:00,semisub,800,ME,salem,1424,False,2042-01-01
2,2,Hypothetical Gulf of Maine Draft WEA 2,157800,327708.155113469,343896.92154147424,343896.92154147424,2041-01-01,2060-05-20 13:00:00,2062-03-26 01:00:00,2062-03-26 01:00:00,semisub,800,ME,searsport_1,1424,False,2042-01-01
3,3,Hypothetical NY Bight Floating 1,149016,311766.7985753986,332139.1244502173,332139.1244502173,2040-01-01,2058-07-26 07:00:00,2060-11-21 04:00:00,2060-11-21 04:00:00,semisub,800,NY,sbmt,1800,False,2041-01-01
4,4,Hypothetical Central Atlantic Draft WEA 6,149016,311313.88384407613,327708.155113469,327708.155113469,2040-01-01,2058-07-07 10:00:00,2060-05-20 13:00:00,2060-05-20 13:00:00,semisub,800,MD,tradepoint_2,1428,False,2041-01-01
5,5,Hypothetical NE Floating 3,149016,294733.5725140693,311766.7985753986,311766.7985753986,2040-01-01,2056-08-15 14:00:00,2058-07-26 07:00:00,2058-07-26 07:00:00,semisub,800,RI,new_london_1,1500,False,2041-01-01
6,6,Hypothetical NE Floating 1,140256,290912.817183165,311313.88384407613,311313.88384407613,2039-01-01,2056-03-09 09:00:00,2058-07-07 10:00:00,2058-07-07 10:00:00,semisub,800,CT,salem,1800,False,2040-01-01
7,7,Hypothetical Gulf of Maine Draft WEA 1,140256,278411.3060860641,294733.5725140693,294733.5725140693,2039-01-01,2054-10-05 12:00:00,2056-08-15 14:00:00,2056-08-15 14:00:00,semisub,800,ME,searsport_2,1424,False,2040-01-01
8,8,Hypothetical Central Atlantic Draft WEA 3,140256,274045.1555895134,290912.817183165,290912.817183165,2039-01-01,2054-04-06 14:00:00,2056-03-09 09:00:00,2056-03-09 09:00:00,semisub,800,NC,portsmouth_2,1428,False,2040-01-01
9,9,Hypothetical Central Atlantic Draft WEA 4,140256,264349.6215149136,278411.3060860641,278411.3060860641,2039-01-01,2053-02-26 14:00:00,2054-10-05 12:00:00,2054-10-05 12:00:00,gbf,40,MD,tradepoint_2,1273,True,2040-01-01
10,10,Hypothetical NY Bight Fixed 2,140256,257262.13439163848,274045.1555895134,274045.1555895134,2039-01-01,2052-05-07 07:00:00,2054-04-06 14:00:00,2054-04-06 14:00:00,gbf,40,NJ,njwp_1,1500,False,2040-01-01
11,11,Hypothetical NE Fixed 1,131496,248121.5333479096,264349.6215149136,264349.6215149136,2038-01-01,2051-04-22 10:00:00,2053-02-26 14:00:00,2053-02-26 14:00:00,gbf,40,MA,new_bedford,1500,False,2039-01-01
12,12,Hypothetical Gulf of Maine Draft WEA 7,131496,241034.2530829086,257262.13439163848,257262.13439163848,2038-01-01,2050-07-01 03:00:00,2052-05-07 07:00:00,2052-05-07 07:00:00,semisub,800,MA,searsport_1,1424,False,2039-01-01
13,13,Hypothetical Central Atlantic Draft WEA 8,131496,232946.3677078605,248121.5333479096,248121.5333479096,2038-01-01,2049-07-29 03:00:00,2051-04-22 10:00:00,2051-04-22 10:00:00,gbf,40,NC,portsmouth_1,1273,False,2039-01-01
14,14,Hypothetical Central Atlantic WEA 5,113952,232453.3136364917,241034.2530829086,241034.2530829086,2036-01-01,2049-07-08 14:00:00,2050-07-01 03:00:00,2050-07-01 03:00:00,gbf,40,MD,tradepoint_1,713,True,2037-01-01
15,15,Hypothetical Central Atlantic Draft WEA 5,131496,216219.09643846765,232946.3677078605,232946.3677078605,2038-01-01,2047-09-01 04:00:00,2049-07-29 03:00:00,2049-07-29 03:00:00,semisub,800,MD,tradepoint_2,1428,False,2039-01-01
16,16,Hypothetical Gulf of Maine Draft WEA 6,122736,215800.4323277618,232453.3136364917,232453.3136364917,2037-01-01,2047-08-14 17:00:00,2049-07-08 14:00:00,2049-07-08 14:00:00,semisub,800,MA,searsport_2,1424,False,2038-01-01
17,17,Hypothetical Central Atlantic Draft WEA 2,140256,206625.6159063886,225041.6156623683,220379.9974505709,2039-01-01,2046-07-28 10:00:00,2048-02-21 12:00:00,2048-09-02 18:00:00,jacket,40,DE,tradepoint_1,1273,False,2040-01-01
18,18,Atlantic Shores Offshore Wind Bight,122736,201450.7316754106,216219.09643846765,216219.09643846765,2037-01-01,2045-12-24 19:00:00,2047-09-01 04:00:00,2047-09-01 04:00:00,gbf,40,NY,njwp_1,1284,False,2038-01-01
19,19,Hypothetical NE Floating 2,122736,198208.36566685067,215800.4323277618,215800.4323277618,2037-01-01,2045-08-11 17:00:00,2047-08-14 17:00:00,2047-08-14 17:00:00,semisub,800,CT,salem,1500,False,2038-01-01
20,20,Hypothetical NY Bight Fixed 1,131496,188873.77982261206,206994.94298700857,203096.588993314,2038-01-01,2044-07-18 18:00:00,2046-03-03 09:00:00,2046-08-12 19:00:00,jacket,40,NY,sbmt,1500,False,2039-01-01
21,21,Hypothetical Central Atlantic WEA 3,131496,181625.03315451476,206625.6159063886,199009.08693909727,2038-01-01,2043-09-20 18:00:00,2045-09-14 02:00:00,2046-07-28 10:00:00,jacket,40,MD,tradepoint_1,1607,False,2039-01-01
22,22,Hypothetical Gulf of Maine Draft WEA 5,113952,184737.35036668074,201450.7316754106,201450.7316754106,2036-01-01,2044-01-28 10:00:00,2045-12-24 19:00:00,2045-12-24 19:00:00,semisub,800,MA,searsport_1,1424,False,2037-01-01
23,23,Hypothetical Gulf of Maine Draft WEA 13,105192,181427.90239345195,198208.36566685067,198208.36566685067,2035-01-01,2043-09-12 12:00:00,2045-08-11 17:00:00,2045-08-11 17:00:00,semisub,800,ME,salem,1424,False,2036-01-01
24,24,Hypothetical NE Fixed 2,113952,169264.02264795307,188873.77982261206,184037.36338873146,2036-01-01,2042-04-23 17:00:00,2043-12-30 06:00:00,2044-07-18 18:00:00,jacket,40,RI,new_london_1,1500,False,2037-01-01
25,25,Hypothetical Gulf of Maine Draft WEA 8,105192,167842.0839386755,184737.35036668074,184737.35036668074,2035-01-01,2042-02-23 11:00:00,2044-01-28 10:00:00,2044-01-28 10:00:00,semisub,800,NH,searsport_2,1424,False,2036-01-01
26,26,Vineyard Northeast,96432,150471.5654683685,181625.03315451476,173189.73628963102,2034-01-01,2040-03-01 16:00:00,2042-10-04 06:00:00,2043-09-20 18:00:00,jacket,40,MA,new_bedford,2600,False,2035-01-01
27,27,Ocean Wind 2,105192,168320.1526708526,181427.90239345195,181427.90239345195,2035-01-01,2042-03-15 09:00:00,2043-09-12 12:00:00,2043-09-12 12:00:00,gbf,40,NJ,njwp_2,1148,False,2036-01-01
