,index,name,Initialized,Started,Finished,FoundationFinished,Date Initialized,Date Started,Date FoundationFinished,Date Finished,substructure,depth,location,associated_port,capacity,us_wtiv,estimated_cod
0,0,Hypothetical Gulf of Maine Draft WEA 4,157800,203555.59885562988,220115.86528363512,220115.86528363512,2041-01-01 00:00:00,2046-03-22 12:00:00,2048-02-10 12:00:00,2048-02-10 12:00:00,semisub,800,NH,searsport_2,1424,False,2042-01-01 00:00:00
1,1,Hypothetical Gulf of Maine Draft WEA 3,157800,199287.38517453754,215973.84844793627,215973.84844793627,2041-01-01 00:00:00,2045-09-25 16:00:00,2047-08-21 22:00:00,2047-08-21 22:00:00,semisub,800,ME,salem,1424,False,2042-01-01 00:00:00
2,2,Hypothetical Gulf of Maine Draft WEA 2,157800,194657.61475130502,211301.38117931026,211301.38117931026,2041-01-01 00:00:00,2045-03-16 18:00:00,2047-02-08 06:00:00,2047-02-08 06:00:00,semisub,800,ME,searsport_1,1424,False,2042-01-01 00:00:00
3,3,Hypothetical NY Bight Floating 1,149016,186354.54311002968,207396.86898484838,207396.86898484838,2040-01-01 00:00:00,2044-04-04 19:00:00,2046-08-29 13:00:00,2046-08-29 13:00:00,semisub,800,NY,sbmt,1800,False,2041-01-01 00:00:00
4,4,Hypothetical Central Atlantic Draft WEA 6,149016,186112.82758623702,203555.59885562988,203555.59885562988,2040-01-01 00:00:00,2044-03-25 17:00:00,2046-03-22 12:00:00,2046-03-22 12:00:00,semisub,800,MD,tradepoint_2,1428,False,2041-01-01 00:00:00
5,5,Hypothetical NE Floating 3,149016,181811.1591132082,199287.38517453754,199287.38517453754,2040-01-01 00:00:00,2043-09-28 12:00:00,2045-09-25 16:00:00,2045-09-25 16:00:00,semisub,800,RI,new_london,1500,False,2041-01-01 00:00:00
6,6,Hypothetical NE Floating 1,140256,173547.5480903939,194657.61475130502,194657.61475130502,2039-01-01 00:00:00,2042-10-19 04:00:00,2045-03-16 18:00:00,2045-03-16 18:00:00,semisub,800,CT,salem,1800,False,2040-01-01 00:00:00
7,7,Hypothetical Central Atlantic Draft WEA 3,140256,169121.38151637814,186354.54311002968,186354.54311002968,2039-01-01 00:00:00,2042-04-17 18:00:00,2044-04-04 19:00:00,2044-04-04 19:00:00,semisub,800,NC,portsmouth_2,1428,False,2040-01-01 00:00:00
8,8,Hypothetical Gulf of Maine Draft WEA 1,140256,169147.06115823178,186112.82758623702,186112.82758623702,2039-01-01 00:00:00,2042-04-18 20:00:00,2044-03-25 17:00:00,2044-03-25 17:00:00,semisub,800,ME,searsport_2,1424,False,2040-01-01 00:00:00
9,9,Hypothetical Central Atlantic Draft WEA 4,140256,167270.47454205778,181811.1591132082,181811.1591132082,2039-01-01 00:00:00,2042-01-30 15:00:00,2043-09-28 12:00:00,2043-09-28 12:00:00,gbf,40,MD,tradepoint_2,1273,True,2040-01-01 00:00:00
10,10,Hypothetical Central Atlantic WEA 6,131496,165487.60864397697,173547.5480903939,173547.5480903939,2038-01-01 00:00:00,2041-11-17 08:00:00,2042-10-19 04:00:00,2042-10-19 04:00:00,gbf,40,MD,tradepoint_1,713,True,2039-01-01 00:00:00
