,index,name,Initialized,Started,Finished,FoundationFinished,TurbineStart,Date Initialized,Date Started,Date TurbineStart,Date FoundationFinished,Date Finished,substructure,depth,location,associated_port,capacity,us_wtiv,estimated_cod
0,0,Hypothetical Central Atlantic Draft WEA 2,140256,266061.2455875958,274789.48326058063,274789.48326058063,267806.89312219276,2039-01-01 00:00:00,2053-05-08 22:00:00,2053-07-20 15:00:00,2054-05-07 14:00:00,2054-05-07 14:00:00,monopile,40,DE,tradepoint_1,1273,False,2040-01-01 00:00:00
1,1,Hypothetical NY Bight Fixed 2,140256,257243.4794118702,266061.2455875958,266061.2455875958,259007.03264701532,2039-01-01 00:00:00,2052-05-06 12:00:00,2052-07-19 00:00:00,2053-05-08 22:00:00,2053-05-08 22:00:00,monopile,40,NJ,njwp_1,1500,False,2040-01-01 00:00:00
2,2,Hypothetical NY Bight Fixed 1,131496,249523.68640205768,257243.4794118702,257243.4794118702,251067.6450040202,2038-01-01 00:00:00,2051-06-19 20:00:00,2051-08-23 04:00:00,2052-05-06 12:00:00,2052-05-06 12:00:00,monopile,40,NY,sbmt,1500,False,2039-01-01 00:00:00
3,3,Hypothetical Central Atlantic Draft WEA 8,131496,241730.75207855768,249523.68640205768,249523.68640205768,243289.33894325767,2038-01-01 00:00:00,2050-07-30 03:00:00,2050-10-03 02:00:00,2051-06-19 20:00:00,2051-06-19 20:00:00,monopile,40,NC,portsmouth_1,1273,False,2039-01-01 00:00:00
4,4,Hypothetical Central Atlantic WEA 3,131496,231569.36443423247,241730.75207855768,241730.75207855768,233601.6419630975,2038-01-01 00:00:00,2049-06-01 18:00:00,2049-08-25 10:00:00,2050-07-30 03:00:00,2050-07-30 03:00:00,monopile,40,MD,tradepoint_1,1607,False,2039-01-01 00:00:00
5,5,Atlantic Shores Offshore Wind Bight,122736,223678.68142944452,231569.36443423247,231569.36443423247,225256.81803040212,2037-01-01 00:00:00,2048-07-07 23:00:00,2048-09-11 17:00:00,2049-06-01 18:00:00,2049-06-01 18:00:00,monopile,40,NY,njwp_1,1284,False,2038-01-01 00:00:00
6,6,Hypothetical NE Fixed 2,113952,209096.2323142431,223678.68142944452,223652.32313843825,212012.7221372834,2036-01-01 00:00:00,2046-11-08 09:00:00,2047-03-09 21:00:00,2048-07-06 21:00:00,2048-07-07 23:00:00,jacket,40,RI,new_london,1500,False,2037-01-01 00:00:00
7,7,Ocean Wind 2,105192,205326.1478862129,209096.2323142431,208958.3503733756,206052.58838364543,2035-01-01 00:00:00,2046-06-04 07:00:00,2046-07-04 13:00:00,2046-11-02 15:00:00,2046-11-08 09:00:00,monopile,40,NJ,njwp_2,1148,False,2036-01-01 00:00:00
8,8,Hypothetical Central Atlantic WEA  2,105192,198733.53273318167,205326.1478862129,205326.1478862129,200052.0557637879,2035-01-01 00:00:00,2045-09-02 14:00:00,2045-10-27 13:00:00,2046-06-04 07:00:00,2046-06-04 07:00:00,monopile,40,VA,portsmouth_1,927,False,2036-01-01 00:00:00
9,9,Garden State Offshore Energy I,105192,193783.27266342682,198733.53273318167,198733.53273318167,194773.3246773778,2035-01-01 00:00:00,2045-02-08 08:00:00,2045-03-21 14:00:00,2045-09-02 14:00:00,2045-09-02 14:00:00,monopile,40,NJ,njwp_1,1080,False,2036-01-01 00:00:00
10,10,Hypothetical Gulf of Maine Draft WEA 4,157800,178235.55412938137,195039.3205573866,195039.3205573866,178235.55412938137,2041-01-01 00:00:00,2043-05-02 12:00:00,2043-05-02 12:00:00,2045-04-01 16:00:00,2045-04-01 16:00:00,semisub,800,NH,searsport_2,1424,False,2042-01-01 00:00:00
11,11,Vineyard Northeast,96432,169650.17908857355,193783.27266342682,193776.4497157912,174476.7978035442,2034-01-01 00:00:00,2042-05-09 19:00:00,2042-11-26 21:00:00,2045-02-08 01:00:00,2045-02-08 08:00:00,jacket,40,MA,new_bedford,2600,False,2035-01-01 00:00:00
12,12,Hypothetical Gulf of Maine Draft WEA 3,157800,173712.1955370632,190374.15881046193,190374.15881046193,173712.1955370632,2041-01-01 00:00:00,2042-10-26 01:00:00,2042-10-26 01:00:00,2044-09-19 07:00:00,2044-09-19 07:00:00,semisub,800,ME,salem,1424,False,2042-01-01 00:00:00
13,13,Hypothetical Gulf of Maine Draft WEA 2,157800,168875.837930304,185746.10435830924,185746.10435830924,168875.837930304,2041-01-01 00:00:00,2042-04-07 12:00:00,2042-04-07 12:00:00,2044-03-10 11:00:00,2044-03-10 11:00:00,semisub,800,ME,searsport_1,1424,False,2042-01-01 00:00:00
14,14,Hypothetical Central Atlantic Draft WEA 6,149016,164000.14773673512,180758.91900612798,180758.91900612798,164000.14773673512,2040-01-01 00:00:00,2041-09-16 09:00:00,2041-09-16 09:00:00,2043-08-15 15:00:00,2043-08-15 15:00:00,semisub,800,MD,tradepoint_2,1428,False,2041-01-01 00:00:00
15,15,Hypothetical NY Bight Floating 1,149016,157298.72825456268,178235.55412938137,178235.55412938137,157298.72825456268,2040-01-01 00:00:00,2040-12-11 03:00:00,2040-12-11 03:00:00,2043-05-02 12:00:00,2043-05-02 12:00:00,semisub,800,NY,sbmt,1800,False,2041-01-01 00:00:00
16,16,Hypothetical NE Floating 3,149016,156677.96947573387,173712.1955370632,173712.1955370632,156677.96947573387,2040-01-01 00:00:00,2040-11-15 06:00:00,2040-11-15 06:00:00,2042-10-26 01:00:00,2042-10-26 01:00:00,semisub,800,RI,new_london,1500,False,2041-01-01 00:00:00
17,17,TotalEnergies,96432,162337.15263718576,169650.17908857355,169650.17908857355,163799.75792746333,2034-01-01 00:00:00,2041-07-09 02:00:00,2041-09-08 00:00:00,2042-05-09 19:00:00,2042-05-09 19:00:00,monopile,40,NC,portsmouth_2,889,False,2035-01-01 00:00:00
18,18,Hypothetical NE Floating 1,140256,148056.27126939286,168875.837930304,168875.837930304,148056.27126939286,2039-01-01 00:00:00,2039-11-22 01:00:00,2039-11-22 01:00:00,2042-04-07 12:00:00,2042-04-07 12:00:00,semisub,800,CT,salem,1800,False,2040-01-01 00:00:00
19,19,Hypothetical Gulf of Maine Draft WEA 1,140256,147811.38130872988,164000.14773673512,164000.14773673512,147811.38130872988,2039-01-01 00:00:00,2039-11-11 20:00:00,2039-11-11 20:00:00,2041-09-16 09:00:00,2041-09-16 09:00:00,semisub,800,ME,searsport_2,1424,False,2040-01-01 00:00:00
20,20,Skipjack 2,70128,156306.32010689238,162337.15263718576,162337.15263718576,157512.48661295106,2031-01-01 00:00:00,2040-10-30 19:00:00,2040-12-20 01:00:00,2041-07-09 02:00:00,2041-07-09 02:00:00,monopile,40,MD,tradepoint_2,846,False,2032-01-01 00:00:00
21,21,Hypothetical Central Atlantic Draft WEA 3,140256,140917.56666091114,157298.72825456268,157298.72825456268,140917.56666091114,2039-01-01 00:00:00,2039-01-28 14:00:00,2039-01-28 14:00:00,2040-12-11 03:00:00,2040-12-11 03:00:00,semisub,800,NC,portsmouth_2,1428,False,2040-01-01 00:00:00
22,22,Hypothetical NE Fixed 1,131496,139978.88130872988,156677.96947573387,156677.96947573387,139978.88130872988,2038-01-01 00:00:00,2038-12-20 11:00:00,2038-12-20 11:00:00,2040-11-15 06:00:00,2040-11-15 06:00:00,gbf,40,MA,new_bedford,1500,False,2039-01-01 00:00:00
23,23,Ocean Wind 1,96432,153017.06295810276,156306.32010689238,156145.1165416043,153642.67367480308,2034-01-01 00:00:00,2040-06-15 18:00:00,2040-07-11 19:00:00,2040-10-24 02:00:00,2040-10-30 19:00:00,monopile,40,NJ,njwp_2,1100,False,2035-01-01 00:00:00
24,24,Hypothetical Central Atlantic Draft WEA 4,140256,148056.27126939286,156209.73168126642,156209.73168126642,149686.96335176757,2039-01-01 00:00:00,2039-11-22 01:00:00,2040-01-28 23:00:00,2040-10-26 18:00:00,2040-10-26 18:00:00,monopile,40,MD,tradepoint_2,1273,True,2040-01-01 00:00:00
25,25,Hypothetical Central Atlantic WEA 4,96432,144598.7576001088,153017.06295810276,153017.06295810276,146282.4186717076,2034-01-01 00:00:00,2039-06-30 23:00:00,2039-09-09 03:00:00,2040-06-15 18:00:00,2040-06-15 18:00:00,monopile,40,NC,portsmouth_1,1607,False,2035-01-01 00:00:00
26,26,Hypothetical Central Atlantic Draft WEA 5,131496,131496.0,148056.27126939286,148056.27126939286,131496.0,2038-01-01 00:00:00,2038-01-01 00:00:00,2038-01-01 00:00:00,2039-11-22 01:00:00,2039-11-22 01:00:00,semisub,800,MD,tradepoint_2,1428,False,2039-01-01 00:00:00
27,27,Hypothetical Gulf of Maine Draft WEA 7,131496,131496.0,147811.38130872988,147811.38130872988,131496.0,2038-01-01 00:00:00,2038-01-01 00:00:00,2038-01-01 00:00:00,2039-11-11 20:00:00,2039-11-11 20:00:00,semisub,800,MA,searsport_1,1424,False,2039-01-01 00:00:00
28,28,Skipjack 1,70128,144084.0272686413,144598.7576001088,144598.7576001088,144186.9733349348,2031-01-01 00:00:00,2039-06-09 13:00:00,2039-06-13 19:00:00,2039-06-30 23:00:00,2039-06-30 23:00:00,monopile,40,MD,tradepoint_1,120,False,2032-01-01 00:00:00
29,29,Bluepoint Wind,96432,136663.54325696273,144084.0272686413,144084.0272686413,138147.64005929846,2034-01-01 00:00:00,2038-08-04 08:00:00,2038-10-05 04:00:00,2039-06-09 13:00:00,2039-06-09 13:00:00,monopile,40,NY,njwp_1,1158,False,2035-01-01 00:00:00
30,30,Hypothetical NE Floating 2,122736,122736.0,140917.56666091114,140917.56666091114,122736.0,2037-01-01 00:00:00,2037-01-01 00:00:00,2037-01-01 00:00:00,2039-01-28 14:00:00,2039-01-28 14:00:00,semisub,800,CT,salem,1500,False,2038-01-01 00:00:00
31,31,Hypothetical Gulf of Maine Draft WEA 6,122736,122736.0,139978.88130872988,139978.88130872988,122736.0,2037-01-01 00:00:00,2037-01-01 00:00:00,2037-01-01 00:00:00,2038-12-20 11:00:00,2038-12-20 11:00:00,semisub,800,MA,searsport_2,1424,False,2038-01-01 00:00:00
32,32,Hypothetical Central Atlantic WEA 6,131496,131496.0,136787.85211903445,136787.85211903445,132554.3704238069,2038-01-01 00:00:00,2038-01-01 00:00:00,2038-02-14 03:00:00,2038-08-09 12:00:00,2038-08-09 12:00:00,monopile,40,MD,tradepoint_1,713,True,2039-01-01 00:00:00
33,33,Leading Light Wind,70128,125809.19808110374,136663.54325696273,136663.54325696273,127980.06711627553,2031-01-01 00:00:00,2037-05-09 02:00:00,2037-08-07 13:00:00,2038-08-04 08:00:00,2038-08-04 08:00:00,monopile,40,NJ,njwp_1,2400,False,2032-01-01 00:00:00
