,index,name,Initialized,Started,Finished,Date Initialized,Date Started,Date Finished,substructure,depth,location,associated_port,capacity,us_wtiv,estimated_cod
0,0,Hypothetical Central Atlantic Draft WEA 4,140256,249822.23118987225,261944.25897616366,2039-01-01 00:00:00,2051-07-02 07:00:00,2052-11-18 09:00:00,monopile,40,MD,tradepoint_2,1273,False,2040-01-01 00:00:00
1,1,Hypothetical NY Bight Fixed 1,131496,246135.04147606943,257785.9326713928,2038-01-01 00:00:00,2051-01-29 16:00:00,2052-05-29 02:00:00,monopile,40,NY,sbmt,1500,False,2039-01-01 00:00:00
2,2,Hypothetical Gulf of Maine Draft WEA 4,157800,241335.59941108033,257553.36583908557,2041-01-01 00:00:00,2050-07-13 16:00:00,2052-05-19 10:00:00,semisub,800,NH,searsport_2,1424,False,2042-01-01 00:00:00
3,3,Hypothetical Gulf of Maine Draft WEA 3,157800,239958.39907268062,256314.86234607935,2041-01-01 00:00:00,2050-05-17 07:00:00,2052-03-28 19:00:00,semisub,800,ME,salem,1424,False,2042-01-01 00:00:00
4,4,Hypothetical Central Atlantic Draft WEA 2,140256,235424.07081246353,249822.23118987225,2039-01-01 00:00:00,2049-11-09 09:00:00,2051-07-02 07:00:00,monopile,40,DE,tradepoint_1,1273,False,2040-01-01 00:00:00
5,5,Hypothetical NY Bight Fixed 2,140256,232210.1020238555,246135.04147606943,2039-01-01 00:00:00,2049-06-28 11:00:00,2051-01-29 16:00:00,monopile,40,NJ,njwp_1,1500,False,2040-01-01 00:00:00
6,6,Hypothetical Gulf of Maine Draft WEA 2,157800,224513.3329830751,241335.59941108033,2041-01-01 00:00:00,2048-08-11 18:00:00,2050-07-13 16:00:00,semisub,800,ME,searsport_1,1424,False,2042-01-01 00:00:00
7,7,Hypothetical NY Bight Floating 1,149016,218843.57319786193,239958.39907268062,2040-01-01 00:00:00,2047-12-19 12:00:00,2050-05-17 07:00:00,semisub,800,NY,sbmt,1800,False,2041-01-01 00:00:00
8,8,Hypothetical Central Atlantic WEA 6,131496,230925.14939132959,235424.07081246353,2038-01-01 00:00:00,2049-05-05 22:00:00,2049-11-09 09:00:00,monopile,40,MD,tradepoint_1,713,False,2039-01-01 00:00:00
9,9,Hypothetical NE Fixed 2,113952,212292.70172750685,232210.1020238555,2036-01-01 00:00:00,2047-03-21 13:00:00,2049-06-28 11:00:00,jacket,40,RI,new_london_1,1500,False,2037-01-01 00:00:00
10,10,Hypothetical Central Atlantic Draft WEA 8,131496,219295.64390858944,230925.14939132959,2038-01-01 00:00:00,2048-01-07 08:00:00,2049-05-05 22:00:00,monopile,40,NC,portsmouth_1,1273,False,2039-01-01 00:00:00
11,11,Hypothetical Central Atlantic Draft WEA 6,149016,207722.56171368223,224513.3329830751,2040-01-01 00:00:00,2046-09-12 03:00:00,2048-08-11 18:00:00,semisub,800,MD,tradepoint_2,1428,False,2041-01-01 00:00:00
12,12,Hypothetical Central Atlantic WEA 3,131496,203237.6757663722,219295.64390858944,2038-01-01 00:00:00,2046-03-09 06:00:00,2048-01-07 08:00:00,monopile,40,MD,tradepoint_1,1607,False,2039-01-01 00:00:00
13,13,Hypothetical NE Fixed 1,131496,201797.48503085793,218843.57319786193,2038-01-01 00:00:00,2046-01-08 06:00:00,2047-12-19 12:00:00,gbf,40,MA,new_bedford,1500,False,2039-01-01 00:00:00
14,14,Atlantic Shores Offshore Wind Bight,122736,199886.33477315024,212292.70172750685,2037-01-01 00:00:00,2045-10-20 15:00:00,2047-03-21 13:00:00,monopile,40,NY,njwp_1,1284,False,2038-01-01 00:00:00
15,15,Hypothetical NE Floating 3,149016,190250.3356523529,207722.56171368223,2040-01-01 00:00:00,2044-09-14 03:00:00,2046-09-12 03:00:00,semisub,800,RI,new_london_1,1500,False,2041-01-01 00:00:00
16,16,Ocean Wind 2,105192,192238.66030548824,203237.6757663722,2035-01-01 00:00:00,2044-12-05 23:00:00,2046-03-09 06:00:00,monopile,40,NJ,njwp_2,1148,False,2036-01-01 00:00:00
17,17,Hypothetical NE Floating 1,140256,180574.9183699468,201797.48503085793,2039-01-01 00:00:00,2043-08-07 23:00:00,2046-01-08 06:00:00,semisub,800,CT,salem,1800,False,2040-01-01 00:00:00
18,18,Hypothetical Central Atlantic WEA 5,113952,194383.5348935924,199886.33477315024,2036-01-01 00:00:00,2045-03-05 08:00:00,2045-10-20 15:00:00,monopile,40,MD,tradepoint_1,713,False,2037-01-01 00:00:00
19,19,Vineyard Northeast,96432,162103.35354161882,194383.5348935924,2034-01-01 00:00:00,2041-06-29 08:00:00,2045-03-05 08:00:00,jacket,40,MA,new_bedford,2600,False,2035-01-01 00:00:00
20,20,Hypothetical Central Atlantic WEA  2,105192,186440.3506297794,192238.66030548824,2035-01-01 00:00:00,2044-04-08 09:00:00,2044-12-05 23:00:00,monopile,40,VA,portsmouth_1,927,False,2036-01-01 00:00:00
21,21,Hypothetical Central Atlantic Draft WEA 3,140256,173405.67405870135,190250.3356523529,2039-01-01 00:00:00,2042-10-13 06:00:00,2044-09-14 03:00:00,semisub,800,NC,portsmouth_2,1428,False,2040-01-01 00:00:00
22,22,Garden State Offshore Energy I,105192,178611.9667443237,186440.3506297794,2035-01-01 00:00:00,2043-05-18 04:00:00,2044-04-08 09:00:00,monopile,40,NJ,njwp_1,1080,False,2036-01-01 00:00:00
23,23,Hypothetical Gulf of Maine Draft WEA 1,140256,164042.15194194156,180574.9183699468,2039-01-01 00:00:00,2041-09-18 03:00:00,2043-08-07 23:00:00,semisub,800,ME,searsport_2,1424,False,2040-01-01 00:00:00
24,24,Empire Wind 2,105192,169180.24581119345,178611.9667443237,2035-01-01 00:00:00,2042-04-20 05:00:00,2043-05-18 04:00:00,monopile,40,NY,sbmt,1260,False,2036-01-01 00:00:00
25,25,Hypothetical Gulf of Maine Draft WEA 7,131496,157151.29274997147,173405.67405870135,2038-01-01 00:00:00,2040-12-05 00:00:00,2042-10-13 06:00:00,semisub,800,MA,searsport_1,1424,False,2039-01-01 00:00:00
26,26,TotalEnergies,96432,159912.37064659534,169180.24581119345,2034-01-01 00:00:00,2041-03-30 01:00:00,2042-04-20 05:00:00,monopile,40,NC,portsmouth_2,889,False,2035-01-01 00:00:00
27,27,Hypothetical Central Atlantic Draft WEA 5,131496,147647.8806725487,164042.15194194156,2038-01-01 00:00:00,2039-11-05 00:00:00,2041-09-18 03:00:00,semisub,800,MD,tradepoint_2,1428,False,2039-01-01 00:00:00
28,28,Hypothetical Central Atlantic WEA 4,96432,152577.08508005468,162103.35354161882,2034-01-01 00:00:00,2040-05-28 10:00:00,2041-06-29 08:00:00,monopile,40,NC,portsmouth_1,1607,False,2035-01-01 00:00:00
29,29,Ocean Wind 1,96432,152925.69681677327,159912.37064659534,2034-01-01 00:00:00,2040-06-11 22:00:00,2041-03-30 01:00:00,monopile,40,NJ,njwp_2,1100,False,2035-01-01 00:00:00
30,30,Hypothetical Gulf of Maine Draft WEA 6,122736,140924.4114412416,157151.29274997147,2037-01-01 00:00:00,2039-01-28 21:00:00,2040-12-05 00:00:00,semisub,800,MA,searsport_2,1424,False,2038-01-01 00:00:00
31,31,Kitty Hawk South,87672,131667.69290254585,152925.69681677327,2033-01-01 00:00:00,2038-01-08 04:00:00,2040-06-11 22:00:00,monopile,40,NC,portsmouth_2,2465,False,2034-01-01 00:00:00
32,32,Hypothetical Central Atlantic WEA 1,96432,144303.63239557418,152577.08508005468,2034-01-01 00:00:00,2039-06-18 16:00:00,2040-05-28 10:00:00,monopile,40,MD,tradepoint_1,927,False,2035-01-01 00:00:00
33,33,Hypothetical NE Floating 2,122736,130316.81401163756,147647.8806725487,2037-01-01 00:00:00,2037-11-12 21:00:00,2039-11-05 00:00:00,semisub,800,CT,salem,1500,False,2038-01-01 00:00:00
34,34,Bluepoint Wind,96432,135738.02476845458,144303.63239557418,2034-01-01 00:00:00,2038-06-26 19:00:00,2039-06-18 16:00:00,monopile,40,NY,njwp_1,1158,False,2035-01-01 00:00:00
35,35,Hypothetical Gulf of Maine Draft WEA 5,113952,124083.0301325117,140924.4114412416,2036-01-01 00:00:00,2037-02-26 04:00:00,2039-01-28 21:00:00,semisub,800,MA,searsport_1,1424,False,2037-01-01 00:00:00
36,36,Excelsior Wind,78888,126963.36014383825,135738.02476845458,2032-01-01 00:00:00,2037-06-26 04:00:00,2038-06-26 19:00:00,monopile,40,NY,sbmt,1314,False,2033-01-01 00:00:00
