,index,name,Initialized,Started,Finished,FoundationFinished,Date Initialized,Date Started,Date FoundationFinished,Date Finished,substructure,depth,location,associated_port,capacity,us_wtiv,estimated_cod
0,0,Hypothetical Gulf of Maine Draft WEA 4,157800,245687.86658401458,262022.63301201983,262022.63301201983,2041-01-01,2051-01-11 00:00:00,2052-11-21 15:00:00,2052-11-21 15:00:00,semisub,800,NH,searsport_2,1424,False,2042-01-01
1,1,Hypothetical Gulf of Maine Draft WEA 3,157800,235912.13189974637,252256.5951731451,252256.5951731451,2041-01-01,2049-11-29 17:00:00,2051-10-11 17:00:00,2051-10-11 17:00:00,semisub,800,ME,salem,1424,False,2042-01-01
2,2,Hypothetical Gulf of Maine Draft WEA 2,157800,228660.10015600934,245687.86658401458,245687.86658401458,2041-01-01,2049-01-31 13:00:00,2051-01-11 00:00:00,2051-01-11 00:00:00,semisub,800,ME,searsport_1,1424,False,2042-01-01
3,3,Hypothetical NY Bight Floating 1,149016,215206.80602492768,235912.13189974637,235912.13189974637,2040-01-01,2047-07-20 23:00:00,2049-11-29 17:00:00,2049-11-29 17:00:00,semisub,800,NY,sbmt,1800,False,2041-01-01
4,4,Hypothetical Central Atlantic Draft WEA 6,149016,211812.82888661648,228660.10015600934,228660.10015600934,2040-01-01,2047-03-01 13:00:00,2049-01-31 13:00:00,2049-01-31 13:00:00,semisub,800,MD,tradepoint_2,1428,False,2041-01-01
5,5,Hypothetical Central Atlantic Draft WEA 2,140256,204992.68076621715,215228.73077299198,209617.54404610087,2039-01-01,2046-05-21 09:00:00,2046-11-30 02:00:00,2047-07-21 21:00:00,monopile,40,DE,tradepoint_1,1273,False,2040-01-01
6,6,Hypothetical NE Floating 3,149016,197585.57996359834,215206.80602492768,215206.80602492768,2040-01-01,2045-07-16 18:00:00,2047-07-20 23:00:00,2047-07-20 23:00:00,semisub,800,RI,new_london_1,1500,False,2041-01-01
7,7,Hypothetical NE Floating 1,140256,190660.76222570534,211812.82888661648,211812.82888661648,2039-01-01,2044-10-01 05:00:00,2047-03-01 13:00:00,2047-03-01 13:00:00,semisub,800,CT,salem,1800,False,2040-01-01
8,8,Hypothetical NY Bight Fixed 2,140256,194771.84979298504,206268.75843987858,200624.55350082097,2039-01-01,2045-03-21 12:00:00,2045-11-20 09:00:00,2046-07-13 13:00:00,monopile,40,NJ,njwp_1,1500,False,2040-01-01
9,9,Hypothetical NY Bight Fixed 1,131496,194678.29142963645,204992.68076621715,200182.01845233014,2038-01-01,2045-03-17 15:00:00,2045-11-01 23:00:00,2046-05-21 09:00:00,monopile,40,NY,sbmt,1500,False,2039-01-01
10,10,Hypothetical Gulf of Maine Draft WEA 1,140256,180742.3135355931,197585.57996359834,197585.57996359834,2039-01-01,2043-08-14 23:00:00,2045-07-16 18:00:00,2045-07-16 18:00:00,semisub,800,ME,searsport_2,1424,False,2040-01-01
11,11,Hypothetical Central Atlantic WEA 3,131496,178676.34824092087,194771.84979298504,187932.0378634684,2038-01-01,2043-05-20 21:00:00,2044-06-09 13:00:00,2045-03-21 12:00:00,monopile,40,MD,tradepoint_1,1607,False,2039-01-01
12,12,Hypothetical Central Atlantic Draft WEA 8,131496,184281.31680681184,194678.29142963645,190263.12868242039,2038-01-01,2044-01-09 10:00:00,2044-09-14 16:00:00,2045-03-17 15:00:00,monopile,40,NC,portsmouth_1,1273,False,2039-01-01
13,13,Hypothetical NE Fixed 1,131496,173405.67405870135,190660.76222570534,190660.76222570534,2038-01-01,2042-10-13 06:00:00,2044-10-01 05:00:00,2044-10-01 05:00:00,gbf,40,MA,new_bedford,1500,False,2039-01-01
14,14,Hypothetical Central Atlantic Draft WEA 4,140256,166885.70066295264,185542.9843018758,179700.3964597638,2039-01-01,2042-01-14 14:00:00,2043-07-02 13:00:00,2044-03-01 23:00:00,monopile,40,MD,tradepoint_2,1273,True,2040-01-01
15,15,Hypothetical NE Fixed 2,113952,164406.9960025217,184281.31680681184,179256.67007663343,2036-01-01,2041-10-03 07:00:00,2043-06-14 01:00:00,2044-01-09 10:00:00,jacket,40,RI,new_london_1,1500,False,2037-01-01
16,16,Hypothetical Central Atlantic Draft WEA 3,140256,164042.15194194156,180742.3135355931,180742.3135355931,2039-01-01,2041-09-18 03:00:00,2043-08-14 23:00:00,2043-08-14 23:00:00,semisub,800,NC,portsmouth_2,1428,False,2040-01-01
17,17,Atlantic Shores Offshore Wind Bight,122736,166389.75160988624,178676.34824092087,173190.97753033775,2037-01-01,2041-12-24 22:00:00,2042-10-04 07:00:00,2043-05-20 21:00:00,monopile,40,NY,njwp_1,1284,False,2038-01-01
18,18,Hypothetical Gulf of Maine Draft WEA 7,131496,157151.29274997147,173405.67405870135,173405.67405870135,2038-01-01,2040-12-05 00:00:00,2042-10-13 06:00:00,2042-10-13 06:00:00,semisub,800,MA,searsport_1,1424,False,2039-01-01
19,19,Hypothetical Central Atlantic WEA 6,131496,158209.39807990225,166885.70066295264,164046.87097379973,2038-01-01,2041-01-18 02:00:00,2041-09-18 07:00:00,2042-01-14 14:00:00,monopile,40,MD,tradepoint_1,713,True,2039-01-01
20,20,Ocean Wind 2,105192,156935.9186769131,166389.75160988624,163213.78485894628,2035-01-01,2040-11-26 00:00:00,2041-08-14 14:00:00,2041-12-24 22:00:00,monopile,40,NJ,njwp_2,1148,False,2036-01-01
21,21,Vineyard Northeast,96432,134034.03411889236,164406.9960025217,157501.16589986652,2034-01-01,2038-04-16 19:00:00,2040-12-19 14:00:00,2041-10-03 07:00:00,jacket,40,MA,new_bedford,2600,False,2035-01-01
22,22,Hypothetical Central Atlantic Draft WEA 5,131496,147647.8806725487,164042.15194194156,164042.15194194156,2038-01-01,2039-11-05 00:00:00,2041-09-18 03:00:00,2041-09-18 03:00:00,semisub,800,MD,tradepoint_2,1428,False,2039-01-01
23,23,Hypothetical Central Atlantic WEA 5,113952,151741.0954968519,158209.39807990225,155311.56839074934,2036-01-01,2040-04-23 14:00:00,2040-09-19 08:00:00,2041-01-18 02:00:00,monopile,40,MD,tradepoint_1,713,True,2037-01-01
24,24,Hypothetical Gulf of Maine Draft WEA 6,122736,140924.4114412416,157151.29274997147,157151.29274997147,2037-01-01,2039-01-28 21:00:00,2040-12-05 00:00:00,2040-12-05 00:00:00,semisub,800,MA,searsport_2,1424,False,2038-01-01
25,25,Hypothetical Central Atlantic WEA  2,105192,150059.26411578912,156935.9186769131,154459.50826303128,2035-01-01,2040-02-13 12:00:00,2040-08-14 20:00:00,2040-11-26 00:00:00,monopile,40,VA,portsmouth_1,927,False,2036-01-01
26,26,Empire Wind 2,105192,140708.06327371552,151741.0954968519,146926.09249439163,2035-01-01,2039-01-19 21:00:00,2039-10-05 23:00:00,2040-04-23 14:00:00,monopile,40,NY,sbmt,1260,True,2036-01-01
27,27,Garden State Offshore Energy I,105192,142721.61076994313,150059.26411578912,146227.66964757617,2035-01-01,2039-04-13 18:00:00,2039-09-06 20:00:00,2040-02-13 12:00:00,monopile,40,NJ,njwp_1,1080,False,2036-01-01
28,28,Hypothetical NE Floating 2,122736,130316.81401163756,147647.8806725487,147647.8806725487,2037-01-01,2037-11-12 21:00:00,2039-11-05 00:00:00,2039-11-05 00:00:00,semisub,800,CT,salem,1500,False,2038-01-01
29,29,TotalEnergies,96432,133923.18731461815,142721.61076994313,137651.53305560385,2034-01-01,2038-04-12 04:00:00,2038-09-14 12:00:00,2039-04-13 18:00:00,monopile,40,NC,portsmouth_2,889,False,2035-01-01
30,30,Hypothetical Gulf of Maine Draft WEA 5,113952,124083.0301325117,140924.4114412416,140924.4114412416,2036-01-01,2037-02-26 04:00:00,2039-01-28 21:00:00,2039-01-28 21:00:00,semisub,800,MA,searsport_1,1424,False,2037-01-01
31,31,Hypothetical Central Atlantic WEA 1,96432,128345.53104196528,140708.06327371552,136659.2031950633,2034-01-01,2037-08-22 18:00:00,2038-08-04 04:00:00,2039-01-19 21:00:00,monopile,40,MD,tradepoint_1,927,True,2035-01-01
32,32,Hypothetical Central Atlantic WEA 4,96432,120484.98216813407,134034.03411889236,128672.03107812004,2034-01-01,2036-09-29 05:00:00,2037-09-05 09:00:00,2038-04-16 19:00:00,monopile,40,NC,portsmouth_1,1607,False,2035-01-01
33,33,Ocean Wind 1,96432,126779.95772413799,133923.18731461815,129845.18532289386,2034-01-01,2037-06-18 12:00:00,2037-10-24 06:00:00,2038-04-12 04:00:00,monopile,40,NJ,njwp_2,1100,False,2035-01-01
34,34,Hypothetical Gulf of Maine Draft WEA 13,105192,113596.35073823883,130316.81401163756,130316.81401163756,2035-01-01,2035-12-17 05:00:00,2037-11-12 21:00:00,2037-11-12 21:00:00,semisub,800,ME,salem,1424,False,2036-01-01
35,35,Kitty Hawk South,87672,100869.07405892687,128345.53104196528,119051.37983602975,2033-01-01,2034-07-04 22:00:00,2036-07-31 12:00:00,2037-08-22 18:00:00,monopile,40,NC,portsmouth_2,2465,True,2034-01-01
36,36,Bluepoint Wind,96432,117583.03284924645,126779.95772413799,121571.66205094672,2034-01-01,2036-05-31 08:00:00,2036-11-13 12:00:00,2037-06-18 12:00:00,monopile,40,NY,njwp_1,1158,False,2035-01-01
37,37,Hypothetical Gulf of Maine Draft WEA 8,105192,106858.26370450648,124083.0301325117,124083.0301325117,2035-01-01,2035-03-11 11:00:00,2037-02-26 04:00:00,2037-02-26 04:00:00,semisub,800,NH,searsport_2,1424,False,2036-01-01
38,38,Duke Energy/Cinergy,70128,109983.62603638027,120484.98216813407,117309.42069335758,2031-01-01,2035-07-19 16:00:00,2036-05-19 22:00:00,2036-09-29 05:00:00,monopile,40,NC,portsmouth_1,893,False,2032-01-01
39,39,Beacon Wind 2,70128,103527.826798917,117583.03284924645,111734.68165862738,2031-01-01,2034-10-23 16:00:00,2035-09-30 15:00:00,2036-05-31 08:00:00,monopile,40,NY,sbmt,1200,False,2032-01-01
40,40,Hypothetical Gulf of Maine Draft WEA 12,96432,97162.96942950896,113596.35073823883,113596.35073823883,2034-01-01,2034-01-31 11:00:00,2035-12-17 05:00:00,2035-12-17 05:00:00,semisub,800,MA,searsport_1,1424,False,2035-01-01
41,41,Leading Light Wind,70128,91753.80804121673,109983.62603638027,102348.25032993659,2031-01-01,2033-06-20 02:00:00,2034-09-04 13:00:00,2035-07-19 16:00:00,monopile,40,NJ,njwp_1,2400,False,2032-01-01
42,42,Hypothetical Central Atlantic Draft WEA 7,87672,88586.60211085493,106858.26370450648,106858.26370450648,2033-01-01,2033-02-08 03:00:00,2035-03-11 11:00:00,2035-03-11 11:00:00,semisub,800,VA,portsmouth_1,1566,False,2034-01-01
43,43,Skipjack 2,70128,95338.66038566169,103527.826798917,101195.01537152602,2031-01-01,2033-11-16 11:00:00,2034-07-18 12:00:00,2034-10-23 16:00:00,monopile,40,MD,tradepoint_2,846,False,2032-01-01
44,44,Excelsior Wind,78888,91749.03643861937,100869.07405892687,95849.31232423832,2032-01-01,2033-06-19 22:00:00,2033-12-07 18:00:00,2034-07-04 22:00:00,monopile,40,NY,sbmt,1314,True,2033-01-01
45,45,Bay State Wind b,78888,84424.36731865403,97162.96942950896,97162.96942950896,2032-01-01,2032-08-18 17:00:00,2034-01-31 11:00:00,2034-01-31 11:00:00,gbf,40,MA,new_london_2,1120,False,2033-01-01
46,46,Skipjack 1,70128,94122.07208221583,95338.66038566169,94672.26712880917,2031-01-01,2033-09-26 19:00:00,2033-10-19 17:00:00,2033-11-16 11:00:00,monopile,40,MD,tradepoint_1,120,False,2032-01-01
47,47,Beacon Wind 1,70128,83305.28621444436,94122.07208221583,90651.28416744735,2031-01-01,2032-07-03 02:00:00,2033-05-05 04:00:00,2033-09-26 19:00:00,monopile,40,NY,arthur_kill,1230,False,2032-01-01
48,48,Atlantic Shores Offshore Wind South 2,70128,82167.07574953424,91753.80804121673,86577.2132195962,2031-01-01,2032-05-16 16:00:00,2032-11-16 10:00:00,2033-06-20 02:00:00,monopile,40,NJ,njwp_2,1500,False,2032-01-01
49,49,Atlantic Shores Offshore Wind North,70128,80382.58842790758,91749.03643861937,87285.16287856587,2031-01-01,2032-03-03 07:00:00,2032-12-15 22:00:00,2033-06-19 22:00:00,monopile,40,NJ,njwp_1,1182,True,2032-01-01
50,50,Bay State Wind a (Revolution Wind 2),78888,78888.0,88586.60211085493,88586.60211085493,2032-01-01,2032-01-01 00:00:00,2033-02-08 03:00:00,2033-02-08 03:00:00,gbf,40,RI,new_london_1,880,False,2033-01-01
51,51,"New England Wind 2 (Commonwealth Wind, Vineyard Wind South)",61368,70736.93365932701,84424.36731865403,84424.36731865403,2030-01-01,2031-01-26 09:00:00,2032-08-18 17:00:00,2032-08-18 17:00:00,gbf,40,MA,salem,1232,False,2031-01-01
52,52,SouthCoast Residual,52608,73815.75304800007,83305.28621444436,81261.90534117828,2029-01-01,2031-06-03 16:00:00,2032-04-08 22:00:00,2032-07-03 02:00:00,jacket,40,MA,new_bedford,800,False,2030-01-01
53,53,Community Offshore Wind 1,61368,73667.08927084572,82167.07574953424,77565.6456141418,2030-01-01,2031-05-28 12:00:00,2031-11-06 22:00:00,2032-05-16 16:00:00,monopile,40,NY,sbmt,1314,False,2031-01-01
54,54,Attentive Energy One,61368,65300.23524684941,80382.58842790758,74977.71850464639,2030-01-01,2030-06-13 21:00:00,2031-07-22 02:00:00,2032-03-03 07:00:00,monopile,40,NY,arthur_kill,1404,True,2031-01-01
55,55,SouthCoast 1 Phase 2 (Mayflower Wind 2),52608,68588.58550806734,73815.75304800007,72830.3125933486,2029-01-01,2030-10-28 21:00:00,2031-04-23 15:00:00,2031-06-03 16:00:00,jacket,40,MA,new_bedford,400,False,2030-01-01
56,56,Attentive Energy Two,61368,61819.06652777749,73667.08927084572,68554.32558130226,2030-01-01,2030-01-19 20:00:00,2030-10-27 11:00:00,2031-05-28 12:00:00,monopile,40,NJ,njwp_1,1342,False,2031-01-01
