,index,name,Initialized,Started,Finished,FoundationFinished,Date Initialized,Date Started,Date FoundationFinished,Date Finished,substructure,depth,location,associated_port,capacity,us_wtiv,estimated_cod
0,0,Hypothetical Gulf of Maine Draft WEA 6,157800,172690.53285601048,189472.41416474036,189472.41416474036,2041-01-01 00:00:00,2042-09-13 11:00:00,2044-08-12 17:00:00,2044-08-12 17:00:00,semisub,800,MA,searsport_2,1424.12,False,2042-01-01 00:00:00
1,1,Hypothetical Central Atlantic WEA 4,122736,164903.52972364225,179263.50999265615,172805.60660061165,2037-01-01 00:00:00,2041-10-24 00:00:00,2042-09-18 06:00:00,2043-06-14 08:00:00,monopile,40,NC,portsmouth_1,1607.05,False,2038-01-01 00:00:00
2,2,Hypothetical NE Fixed 2,157800,161319.22210624677,178237.15259125724,178237.15259125724,2041-01-01 00:00:00,2041-05-27 16:00:00,2043-05-02 14:00:00,2043-05-02 14:00:00,gbf,40,RI,new_london_1,1500.0,False,2042-01-01 00:00:00
3,3,Hypothetical Gulf of Maine Draft WEA 5,149016,160833.34517812586,177607.72648685574,177607.72648685574,2040-01-01 00:00:00,2041-05-07 10:00:00,2043-04-06 08:00:00,2043-04-06 08:00:00,semisub,800,MA,searsport_1,1424.12,False,2041-01-01 00:00:00
4,4,Hypothetical NY Bight Fixed 1,157800,160427.53699394927,176207.6949921684,169985.49281086322,2041-01-01 00:00:00,2041-04-20 12:00:00,2042-05-23 18:00:00,2043-02-07 00:00:00,monopile,40,NY,sbmt,1500.0,False,2042-01-01 00:00:00
5,5,Hypothetical Gulf of Maine Draft WEA 13,149016,156484.76642800524,172690.53285601048,172690.53285601048,2040-01-01 00:00:00,2040-11-07 05:00:00,2042-09-13 11:00:00,2042-09-13 11:00:00,semisub,800,ME,searsport_2,1424.12,False,2041-01-01 00:00:00
6,6,Hypothetical Central Atlantic WEA 6,157800,158646.8850183786,164903.85692377787,162897.73713741303,2041-01-01 00:00:00,2041-02-05 07:00:00,2041-08-01 10:00:00,2041-10-24 00:00:00,monopile,40,MD,tradepoint_1,712.8,False,2042-01-01 00:00:00
7,7,Hypothetical Central Atlantic WEA 5,149016,158243.55781824296,164903.52972364225,162897.4099372774,2040-01-01 00:00:00,2041-01-19 12:00:00,2041-08-01 10:00:00,2041-10-24 00:00:00,monopile,40,MD,tradepoint_2,712.8,False,2041-01-01 00:00:00
8,8,Hypothetical Central Atlantic Draft WEA 7,140256,143104.06051259523,161319.22210624677,161319.22210624677,2039-01-01 00:00:00,2039-04-29 17:00:00,2041-05-27 16:00:00,2041-05-27 16:00:00,semisub,800,VA,portsmouth_1,1565.58,False,2040-01-01 00:00:00
9,9,Hypothetical Gulf of Maine Draft WEA 12,131496,144260.0534598235,160833.34517812586,160833.34517812586,2038-01-01 00:00:00,2039-06-16 21:00:00,2041-05-07 10:00:00,2041-05-07 10:00:00,semisub,800,MA,new_bedford,1424.12,False,2039-01-01 00:00:00
10,10,Atlantic Shores Offshore Wind Bight,140256,152044.78420067191,160427.53699394927,155924.90803323916,2039-01-01 00:00:00,2040-05-06 05:00:00,2040-10-14 21:00:00,2041-04-20 12:00:00,monopile,40,NY,njwp_2,1284.0,False,2040-01-01 00:00:00
