,index,name,Initialized,Started,Finished,FoundationFinished,Date Initialized,Date Started,Date FoundationFinished,Date Finished,substructure,depth,location,associated_port,capacity,us_wtiv,estimated_cod
0,0,Hypothetical Central Atlantic Draft WEA 4,140256,258676.6224304628,273173.49220264086,267652.815847332,2039-01-01 00:00:00,2052-07-05 05:00:00,2053-07-14 05:00:00,2054-03-01 06:00:00,monopile,40,MD,tradepoint_2,1273,False,2040-01-01 00:00:00
1,1,Hypothetical Central Atlantic Draft WEA 2,140256,250107.6001433763,264455.08979721874,258702.5060330271,2039-01-01 00:00:00,2051-07-14 04:00:00,2052-07-06 07:00:00,2053-03-03 00:00:00,monopile,40,DE,tradepoint_1,1273,False,2040-01-01 00:00:00
2,2,Hypothetical Gulf of Maine Draft WEA 4,157800,244805.04484501583,260993.81127302107,260993.81127302107,2041-01-01 00:00:00,2050-12-05 06:00:00,2052-10-09 18:00:00,2052-10-09 18:00:00,semisub,800,NH,searsport_2,1424,False,2042-01-01 00:00:00
3,3,Hypothetical NY Bight Fixed 2,140256,244961.9383633057,258676.6224304628,253612.64643809153,2039-01-01 00:00:00,2050-12-11 18:00:00,2051-12-07 05:00:00,2052-07-05 05:00:00,monopile,40,NJ,njwp_1,1500,False,2040-01-01 00:00:00
4,4,Hypothetical Gulf of Maine Draft WEA 3,157800,236471.95363874512,252792.41691214385,252792.41691214385,2041-01-01 00:00:00,2049-12-23 00:00:00,2051-11-03 01:00:00,2051-11-03 01:00:00,semisub,800,ME,salem,1424,False,2042-01-01 00:00:00
5,5,Hypothetical NY Bight Fixed 1,131496,239921.85743632985,250107.6001433763,245384.99204296863,2038-01-01 00:00:00,2050-05-15 18:00:00,2050-12-29 09:00:00,2051-07-14 04:00:00,monopile,40,NY,sbmt,1500,False,2039-01-01 00:00:00
6,6,Hypothetical Central Atlantic WEA 6,131496,238547.3167826766,244961.9383633057,241939.83711837704,2038-01-01 00:00:00,2050-03-19 12:00:00,2050-08-07 20:00:00,2050-12-11 18:00:00,monopile,40,MD,tradepoint_1,713,False,2039-01-01 00:00:00
7,7,Hypothetical Gulf of Maine Draft WEA 2,157800,227914.2784170106,244805.04484501583,244805.04484501583,2041-01-01 00:00:00,2048-12-31 11:00:00,2050-12-05 06:00:00,2050-12-05 06:00:00,semisub,800,ME,searsport_1,1424,False,2042-01-01 00:00:00
8,8,Hypothetical Central Atlantic Draft WEA 8,131496,230902.25024277536,239921.85743632985,234658.56240697426,2038-01-01 00:00:00,2049-05-04 23:00:00,2049-10-08 11:00:00,2050-05-15 18:00:00,monopile,40,NC,portsmouth_1,1273,False,2039-01-01 00:00:00
9,9,Hypothetical NE Fixed 2,113952,217852.9852970927,238547.3167826766,232672.0761212879,2036-01-01 00:00:00,2047-11-08 05:00:00,2049-07-17 17:00:00,2050-03-19 12:00:00,jacket,40,RI,new_london_1,1500,False,2037-01-01 00:00:00
10,10,Hypothetical NY Bight Floating 1,149016,215499.62776392643,236471.95363874512,236471.95363874512,2040-01-01 00:00:00,2047-08-02 04:00:00,2049-12-23 00:00:00,2049-12-23 00:00:00,semisub,800,NY,sbmt,1800,False,2041-01-01 00:00:00
11,11,Hypothetical Central Atlantic WEA 3,131496,213047.27350377353,230902.25024277536,223244.8349808738,2038-01-01 00:00:00,2047-04-22 00:00:00,2048-06-19 21:00:00,2049-05-04 23:00:00,monopile,40,MD,tradepoint_1,1607,False,2039-01-01 00:00:00
12,12,Hypothetical Central Atlantic Draft WEA 6,149016,210955.50714761773,227914.2784170106,227914.2784170106,2040-01-01 00:00:00,2047-01-24 20:00:00,2048-12-31 11:00:00,2048-12-31 11:00:00,semisub,800,MD,tradepoint_2,1428,False,2041-01-01 00:00:00
13,13,Vineyard Northeast,96432,186129.1025345457,217852.9852970927,210033.05809732294,2034-01-01 00:00:00,2044-03-26 10:00:00,2046-12-17 10:00:00,2047-11-08 05:00:00,jacket,40,MA,new_bedford,2600,False,2035-01-01 00:00:00
14,14,Hypothetical NE Floating 3,149016,197903.4017025971,215499.62776392643,215499.62776392643,2040-01-01 00:00:00,2045-07-30 00:00:00,2047-08-02 04:00:00,2047-08-02 04:00:00,semisub,800,RI,new_london_1,1500,False,2041-01-01 00:00:00
15,15,Atlantic Shores Offshore Wind Bight,122736,200145.61097096672,213047.27350377353,207766.6311901425,2037-01-01 00:00:00,2045-10-31 10:00:00,2046-09-13 23:00:00,2047-04-22 00:00:00,monopile,40,NY,njwp_1,1284,False,2038-01-01 00:00:00
