,index,name,Initialized,Started,Finished,FoundationFinished,Date Initialized,Date Started,Date FoundationFinished,Date Finished,substructure,depth,location,associated_port,capacity,us_wtiv,estimated_cod
0,0,Hypothetical Central Atlantic Draft WEA 10,157800,195435.36786461386,212526.0914539284,212526.0914539284,2041-01-01 00:00:00,2045-04-18 04:00:00,2047-03-31 07:00:00,2047-03-31 07:00:00,semisub,800,MD,tradepoint_1,1428,False,2042-01-01 00:00:00
1,1,Hypothetical Gulf of Maine Draft WEA 9,157800,182783.403512592,199276.48966595498,199276.48966595498,2041-01-01 00:00:00,2043-11-08 00:00:00,2045-09-25 05:00:00,2045-09-25 05:00:00,semisub,800,NH,salem,1424,False,2042-01-01 00:00:00
2,2,Hypothetical Central Atlantic Draft WEA 11,157800,181777.80730225044,198626.73348302994,198626.73348302994,2041-01-01 00:00:00,2043-09-27 02:00:00,2045-08-29 03:00:00,2045-08-29 03:00:00,semisub,800,VA,portsmouth_1,1428,False,2042-01-01 00:00:00
3,3,Hypothetical Central Atlantic Draft WEA 6,140256,178419.096595221,195435.36786461386,195435.36786461386,2039-01-01 00:00:00,2043-05-10 04:00:00,2045-04-18 04:00:00,2045-04-18 04:00:00,semisub,800,MD,tradepoint_1,1428,False,2040-01-01 00:00:00
4,4,Hypothetical Gulf of Maine Draft WEA 10,157800,171478.79547347024,188447.6767822001,188447.6767822001,2041-01-01 00:00:00,2042-07-24 23:00:00,2044-07-01 00:00:00,2044-07-01 00:00:00,semisub,800,MA,searsport_1,1424,False,2042-01-01 00:00:00
5,5,Hypothetical NY Bight Floating 3,157800,166914.9261807795,187932.2520555982,187932.2520555982,2041-01-01 00:00:00,2042-01-15 19:00:00,2044-06-09 13:00:00,2044-06-09 13:00:00,semisub,800,NY,sbmt,1800,False,2042-01-01 00:00:00
6,6,Hypothetical NE Floating 4,149016,165322.88130872988,186484.6073700592,186484.6073700592,2040-01-01 00:00:00,2041-11-10 11:00:00,2044-04-10 05:00:00,2044-04-10 05:00:00,semisub,800,RI,new_london_1,1800,False,2041-01-01 00:00:00
7,7,Hypothetical Central Atlantic Draft WEA 14,149016,164622.67992327744,182783.403512592,182783.403512592,2040-01-01 00:00:00,2041-10-12 07:00:00,2043-11-08 00:00:00,2043-11-08 00:00:00,semisub,800,DE,tradepoint_2,1566,False,2041-01-01 00:00:00
8,8,Hypothetical Central Atlantic Draft WEA 15,149016,163699.88112147094,181777.80730225044,181777.80730225044,2040-01-01 00:00:00,2041-09-03 20:00:00,2043-09-27 02:00:00,2043-09-27 02:00:00,semisub,800,VA,portsmouth_1,1566,False,2041-01-01 00:00:00
9,9,Hypothetical NY Bight Fixed 2,122736,163699.88112147094,179000.60480474483,172217.70549369883,2037-01-01 00:00:00,2041-09-03 20:00:00,2042-08-24 18:00:00,2043-06-03 09:00:00,monopile,40,NJ,njwp_1,1500,False,2038-01-01 00:00:00
