,index,name,Initialized,Started,Finished,Date Initialized,Date Started,Date Finished,substructure,depth,location,associated_port,capacity,us_wtiv,estimated_cod
0,0,Hypothetical Central Atlantic Draft WEA 10,157800,188611.5667428631,205749.79033217765,2041-01-01 00:00:00,2044-07-07 20:00:00,2046-06-21 22:00:00,semisub,800,MD,tradepoint_1,1428,False,2042-01-01 00:00:00
1,1,Hypothetical Gulf of Maine Draft WEA 9,157800,182782.8290942191,199276.9152475821,2041-01-01 00:00:00,2043-11-07 23:00:00,2045-09-25 05:00:00,semisub,800,NH,salem,1424,False,2042-01-01 00:00:00
2,2,Hypothetical Central Atlantic Draft WEA 11,157800,181643.9447332484,198480.3709140279,2041-01-01 00:00:00,2043-09-21 12:00:00,2045-08-23 01:00:00,semisub,800,VA,portsmouth_1,1428,False,2042-01-01 00:00:00
3,3,Hypothetical Gulf of Maine Draft WEA 10,157800,178419.096595221,195293.47790395087,2041-01-01 00:00:00,2043-05-10 04:00:00,2045-04-12 06:00:00,semisub,800,MA,searsport_1,1424,False,2042-01-01 00:00:00
4,4,Hypothetical Central Atlantic Draft WEA 6,140256,171478.79547347024,188611.5667428631,2039-01-01 00:00:00,2042-07-24 23:00:00,2044-07-07 20:00:00,semisub,800,MD,tradepoint_1,1428,False,2040-01-01 00:00:00
5,5,Hypothetical NY Bight Floating 3,157800,166914.9261807795,187932.2520555982,2041-01-01 00:00:00,2042-01-15 19:00:00,2044-06-09 13:00:00,semisub,800,NY,sbmt,1800,False,2042-01-01 00:00:00
6,6,Hypothetical NE Floating 4,149016,165322.88130872988,186484.6073700592,2040-01-01 00:00:00,2041-11-10 11:00:00,2044-04-10 05:00:00,semisub,800,RI,new_london_1,1800,False,2041-01-01 00:00:00
7,7,Hypothetical Central Atlantic Draft WEA 14,149016,164623.10550490455,182782.8290942191,2040-01-01 00:00:00,2041-10-12 08:00:00,2043-11-07 23:00:00,semisub,800,DE,tradepoint_2,1566,False,2041-01-01 00:00:00
8,8,Hypothetical Central Atlantic Draft WEA 15,149016,163553.51855246892,181643.9447332484,2040-01-01 00:00:00,2041-08-28 18:00:00,2043-09-21 12:00:00,semisub,800,VA,portsmouth_1,1566,False,2041-01-01 00:00:00
9,9,Hypothetical Gulf of Maine Draft WEA 3,140256,161611.13332182227,178419.096595221,2039-01-01 00:00:00,2041-06-08 20:00:00,2043-05-10 04:00:00,semisub,800,ME,salem,1424,False,2040-01-01 00:00:00
