,index,name,Initialized,Started,Finished,FoundationFinished,Date Initialized,Date Started,Date FoundationFinished,Date Finished,substructure,depth,location,associated_port,capacity,us_wtiv,estimated_cod
0,0,Hypothetical Gulf of Maine Draft WEA 3,157800,188585.4328368127,205535.3961102114,205535.3961102114,2041-01-01 00:00:00,2044-07-06 18:00:00,2046-06-13 00:00:00,2046-06-13 00:00:00,semisub,800,ME,salem,1424,False,2042-01-01 00:00:00
1,1,Hypothetical NY Bight Floating 1,149016,173700.60191996148,194769.42779478017,194769.42779478017,2040-01-01 00:00:00,2042-10-25 13:00:00,2045-03-21 10:00:00,2045-03-21 10:00:00,semisub,800,NY,sbmt,1800,False,2041-01-01 00:00:00
2,2,Hypothetical Gulf of Maine Draft WEA 4,157800,177257.6316815691,193958.39810957434,193958.39810957434,2041-01-01 00:00:00,2043-03-22 18:00:00,2045-02-15 15:00:00,2045-02-15 15:00:00,semisub,800,NH,searsport_2,1424,False,2042-01-01 00:00:00
3,3,Hypothetical Gulf of Maine Draft WEA 2,157800,174211.66500115988,190704.93142916512,190704.93142916512,2041-01-01 00:00:00,2042-11-15 20:00:00,2044-10-03 01:00:00,2044-10-03 01:00:00,semisub,800,ME,searsport_1,1424,False,2042-01-01 00:00:00
4,4,Hypothetical NE Floating 1,140256,167515.36617590155,188585.4328368127,188585.4328368127,2039-01-01 00:00:00,2042-02-09 20:00:00,2044-07-06 18:00:00,2044-07-06 18:00:00,semisub,800,CT,salem,1800,False,2040-01-01 00:00:00
5,5,Hypothetical NE Floating 3,149016,168975.19172692756,186884.4177882569,186884.4177882569,2040-01-01 00:00:00,2042-04-11 16:00:00,2044-04-26 21:00:00,2044-04-26 21:00:00,semisub,800,RI,new_london_1,1500,False,2041-01-01 00:00:00
6,6,Hypothetical Central Atlantic Draft WEA 6,149016,169498.95373305026,186739.22500244313,186739.22500244313,2040-01-01 00:00:00,2042-05-03 11:00:00,2044-04-20 20:00:00,2044-04-20 20:00:00,semisub,800,MD,tradepoint_2,1428,False,2041-01-01 00:00:00
7,7,Hypothetical Gulf of Maine Draft WEA 1,140256,160402.86525356385,177257.6316815691,177257.6316815691,2039-01-01 00:00:00,2041-04-19 11:00:00,2043-03-22 18:00:00,2043-03-22 18:00:00,semisub,800,ME,searsport_2,1424,False,2040-01-01 00:00:00
8,8,Hypothetical Central Atlantic Draft WEA 2,140256,161123.33991187264,175217.02448302307,175217.02448302307,2039-01-01 00:00:00,2041-05-19 12:00:00,2042-12-27 18:00:00,2042-12-27 18:00:00,gbf,40,DE,tradepoint_1,1273,False,2040-01-01 00:00:00
9,9,Hypothetical Central Atlantic Draft WEA 3,140256,157611.50340750834,174211.66500115988,174211.66500115988,2039-01-01 00:00:00,2040-12-24 04:00:00,2042-11-15 20:00:00,2042-11-15 20:00:00,semisub,800,NC,portsmouth_2,1428,False,2040-01-01 00:00:00
10,10,Hypothetical NY Bight Fixed 2,140256,157094.58072208657,173700.60191996148,173700.60191996148,2039-01-01 00:00:00,2040-12-02 15:00:00,2042-10-25 13:00:00,2042-10-25 13:00:00,gbf,40,NJ,njwp_1,1500,False,2040-01-01 00:00:00
11,11,Hypothetical Central Atlantic Draft WEA 4,140256,155189.26916189984,169498.95373305026,169498.95373305026,2039-01-01 00:00:00,2040-09-14 06:00:00,2042-05-03 11:00:00,2042-05-03 11:00:00,gbf,40,MD,tradepoint_2,1273,False,2040-01-01 00:00:00
12,12,Hypothetical NY Bight Fixed 1,131496,152399.91098991854,168975.19172692756,168975.19172692756,2038-01-01 00:00:00,2040-05-21 00:00:00,2042-04-11 16:00:00,2042-04-11 16:00:00,gbf,40,NY,sbmt,1500,False,2039-01-01 00:00:00
13,13,Hypothetical NE Fixed 1,131496,151323.27800889756,167515.36617590155,167515.36617590155,2038-01-01 00:00:00,2040-04-06 04:00:00,2042-02-09 20:00:00,2042-02-09 20:00:00,gbf,40,MA,new_bedford,1500,False,2039-01-01 00:00:00
14,14,Hypothetical Central Atlantic WEA 6,131496,152987.40046545572,161123.33991187264,161123.33991187264,2038-01-01 00:00:00,2040-06-14 12:00:00,2041-05-19 12:00:00,2041-05-19 12:00:00,gbf,40,MD,tradepoint_1,713,False,2039-01-01 00:00:00
15,15,Hypothetical Gulf of Maine Draft WEA 7,131496,143681.98394483398,160402.86525356385,160402.86525356385,2038-01-01 00:00:00,2039-05-23 18:00:00,2041-04-19 11:00:00,2041-04-19 11:00:00,semisub,800,MA,searsport_1,1424,False,2039-01-01 00:00:00
16,16,Hypothetical Central Atlantic Draft WEA 8,131496,143424.33776745925,157611.50340750834,157611.50340750834,2038-01-01 00:00:00,2039-05-13 01:00:00,2040-12-24 04:00:00,2040-12-24 04:00:00,gbf,40,NC,portsmouth_1,1273,False,2039-01-01 00:00:00
17,17,Atlantic Shores Offshore Wind Bight,122736,143022.21595902953,157094.58072208657,157094.58072208657,2037-01-01 00:00:00,2039-04-26 07:00:00,2040-12-02 15:00:00,2040-12-02 15:00:00,gbf,40,NY,njwp_1,1284,False,2038-01-01 00:00:00
18,18,Hypothetical NE Floating 2,122736,138070.7025009887,155189.26916189984,155189.26916189984,2037-01-01 00:00:00,2038-10-01 23:00:00,2040-09-14 06:00:00,2040-09-14 06:00:00,semisub,800,CT,salem,1500,False,2038-01-01 00:00:00
19,19,Hypothetical Central Atlantic WEA 3,131496,134836.2158943053,152987.40046545572,152987.40046545572,2038-01-01 00:00:00,2038-05-20 05:00:00,2040-06-14 12:00:00,2040-06-14 12:00:00,gbf,40,MD,tradepoint_1,1607,False,2039-01-01 00:00:00
20,20,Hypothetical Central Atlantic Draft WEA 5,131496,135607.13972052568,152399.91098991854,152399.91098991854,2038-01-01 00:00:00,2038-06-21 08:00:00,2040-05-21 00:00:00,2040-05-21 00:00:00,semisub,800,MD,tradepoint_2,1428,False,2039-01-01 00:00:00
21,21,Hypothetical Gulf of Maine Draft WEA 6,122736,134719.39670016768,151323.27800889756,151323.27800889756,2037-01-01 00:00:00,2038-05-15 08:00:00,2040-04-06 04:00:00,2040-04-06 04:00:00,semisub,800,MA,searsport_2,1424,False,2038-01-01 00:00:00
22,22,Hypothetical NE Fixed 2,113952,126505.05345982351,143681.98394483398,143681.98394483398,2036-01-01 00:00:00,2037-06-07 02:00:00,2039-05-23 18:00:00,2039-05-23 18:00:00,gbf,40,RI,new_london_1,1500,False,2037-01-01 00:00:00
23,23,Hypothetical Gulf of Maine Draft WEA 5,113952,126355.95645872937,143424.33776745925,143424.33776745925,2036-01-01 00:00:00,2037-05-31 20:00:00,2039-05-13 01:00:00,2039-05-13 01:00:00,semisub,800,MA,searsport_1,1424,False,2037-01-01 00:00:00
24,24,Garden State Offshore Energy I,105192,130271.44375883552,143022.21595902953,143022.21595902953,2035-01-01 00:00:00,2037-11-11 00:00:00,2039-04-26 07:00:00,2039-04-26 07:00:00,gbf,40,NJ,njwp_1,1080,False,2036-01-01 00:00:00
25,25,Hypothetical Gulf of Maine Draft WEA 13,105192,120843.23922758996,138070.7025009887,138070.7025009887,2035-01-01 00:00:00,2036-10-14 04:00:00,2038-10-01 23:00:00,2038-10-01 23:00:00,semisub,800,ME,salem,1424,False,2036-01-01 00:00:00
26,26,Hypothetical Central Atlantic WEA  2,105192,124688.32723370065,135607.13972052568,135607.13972052568,2035-01-01 00:00:00,2037-03-23 09:00:00,2038-06-21 08:00:00,2038-06-21 08:00:00,gbf,40,VA,portsmouth_1,927,False,2036-01-01 00:00:00
27,27,Ocean Wind 2,105192,120693.46617170596,134836.2158943053,134836.2158943053,2035-01-01 00:00:00,2036-10-07 22:00:00,2038-05-20 05:00:00,2038-05-20 05:00:00,gbf,40,NJ,njwp_2,1148,False,2036-01-01 00:00:00
28,28,Hypothetical Central Atlantic WEA 5,113952,126249.45725375076,134719.39670016768,134719.39670016768,2036-01-01 00:00:00,2037-05-27 10:00:00,2038-05-15 08:00:00,2038-05-15 08:00:00,gbf,40,MD,tradepoint_1,713,False,2037-01-01 00:00:00
29,29,Bluepoint Wind,96432,116711.82716900052,130271.44375883552,130271.44375883552,2034-01-01 00:00:00,2036-04-25 00:00:00,2037-11-11 00:00:00,2037-11-11 00:00:00,gbf,40,NY,njwp_1,1158,False,2035-01-01 00:00:00
30,30,Vineyard Northeast,96432,96432.0,126505.05345982351,126505.05345982351,2034-01-01 00:00:00,2034-01-01 00:00:00,2037-06-07 02:00:00,2037-06-07 02:00:00,gbf,40,MA,new_bedford,2600,False,2035-01-01 00:00:00
31,31,Hypothetical Gulf of Maine Draft WEA 8,105192,108892.19003072414,126355.95645872937,126355.95645872937,2035-01-01 00:00:00,2035-06-04 05:00:00,2037-05-31 20:00:00,2037-05-31 20:00:00,semisub,800,NH,searsport_2,1424,False,2036-01-01 00:00:00
32,32,TotalEnergies,96432,115424.23208220347,126249.45725375076,126249.45725375076,2034-01-01 00:00:00,2036-03-02 09:00:00,2037-05-27 10:00:00,2037-05-27 10:00:00,gbf,40,NC,portsmouth_2,889,False,2035-01-01 00:00:00
33,33,Hypothetical Central Atlantic WEA 4,96432,105894.66159365154,124688.32723370065,124688.32723370065,2034-01-01 00:00:00,2035-01-30 07:00:00,2037-03-23 09:00:00,2037-03-23 09:00:00,gbf,40,NC,portsmouth_1,1607,False,2035-01-01 00:00:00
34,34,Empire Wind 2,105192,106970.9542274657,120843.23922758996,120843.23922758996,2035-01-01 00:00:00,2035-03-16 03:00:00,2036-10-14 04:00:00,2036-10-14 04:00:00,gbf,40,NY,sbmt,1260,False,2036-01-01 00:00:00
35,35,Hypothetical Gulf of Maine Draft WEA 12,96432,104214.08486297609,120693.46617170596,120693.46617170596,2034-01-01 00:00:00,2034-11-21 07:00:00,2036-10-07 22:00:00,2036-10-07 22:00:00,semisub,800,MA,searsport_1,1424,False,2035-01-01 00:00:00
