,index,name,Initialized,Started,Finished,FoundationFinished,Date Initialized,Date Started,Date FoundationFinished,Date Finished,substructure,depth,location,associated_port,capacity,us_wtiv,estimated_cod
0,0,Hypothetical Central Atlantic Draft WEA 4,140256,223855.58031269253,238999.72081022625,232735.83963715192,2039-01-01 00:00:00,2048-07-15 08:00:00,2049-07-20 08:00:00,2050-04-07 08:00:00,monopile,40,MD,tradepoint_2,1273,False,2040-01-01 00:00:00
1,1,Hypothetical Central Atlantic Draft WEA 2,140256,214636.58898535516,229069.68996233455,223245.2495314763,2039-01-01 00:00:00,2047-06-27 05:00:00,2048-06-19 22:00:00,2049-02-17 14:00:00,monopile,40,DE,tradepoint_1,1273,False,2040-01-01 00:00:00
2,2,Hypothetical NY Bight Fixed 2,140256,209423.11923896137,223855.58031269253,217622.04434963848,2039-01-01 00:00:00,2046-11-22 00:00:00,2047-10-29 15:00:00,2048-07-15 08:00:00,monopile,40,NJ,njwp_1,1500,False,2040-01-01 00:00:00
3,3,Hypothetical NY Bight Fixed 1,131496,204403.76272014691,214636.58898535516,209354.98088494752,2038-01-01 00:00:00,2046-04-26 20:00:00,2046-11-19 03:00:00,2047-06-27 05:00:00,monopile,40,NY,sbmt,1500,False,2039-01-01 00:00:00
4,4,Hypothetical Central Atlantic WEA 6,131496,203772.2749194436,209423.11923896137,206988.0179940327,2038-01-01 00:00:00,2046-03-31 13:00:00,2046-08-12 13:00:00,2046-11-22 00:00:00,monopile,40,MD,tradepoint_1,713,False,2039-01-01 00:00:00
5,5,Hypothetical Central Atlantic Draft WEA 8,131496,195173.0610664177,204403.76272014691,199277.46769079135,2038-01-01 00:00:00,2045-04-07 06:00:00,2045-09-25 06:00:00,2046-04-26 20:00:00,monopile,40,NC,portsmouth_1,1273,False,2039-01-01 00:00:00
6,6,Hypothetical Central Atlantic WEA 3,131496,186979.72437147365,203772.2749194436,196811.26483977662,2038-01-01 00:00:00,2044-04-30 20:00:00,2045-06-14 12:00:00,2046-03-31 13:00:00,monopile,40,MD,tradepoint_1,1607,False,2039-01-01 00:00:00
7,7,Atlantic Shores Offshore Wind Bight,122736,182895.1887767483,195173.0610664177,190049.08987042698,2037-01-01 00:00:00,2043-11-12 16:00:00,2044-09-05 18:00:00,2045-04-07 06:00:00,monopile,40,NY,njwp_1,1284,False,2038-01-01 00:00:00
8,8,Empire Wind 2,105192,175027.56219300095,186979.72437147365,181798.09127231818,2035-01-01 00:00:00,2042-12-19 20:00:00,2043-09-27 23:00:00,2044-04-30 20:00:00,monopile,40,NY,sbmt,1260,False,2036-01-01 00:00:00
9,9,Hypothetical Central Atlantic WEA 5,113952,176211.58573755535,182895.1887767483,180442.10607325577,2036-01-01 00:00:00,2043-02-07 04:00:00,2043-08-02 11:00:00,2043-11-12 16:00:00,monopile,40,MD,tradepoint_1,713,False,2037-01-01 00:00:00
10,10,Hypothetical Gulf of Maine Draft WEA 4,157800,161928.09340425025,178704.3598322555,178704.3598322555,2041-01-01 00:00:00,2041-06-22 01:00:00,2043-05-22 01:00:00,2043-05-22 01:00:00,semisub,800,NH,searsport_2,1424,False,2042-01-01 00:00:00
