,index,name,Initialized,Started,Finished,FoundationFinished,Date Initialized,Date Started,Date FoundationFinished,Date Finished,substructure,depth,location,associated_port,capacity,us_wtiv,estimated_cod
0,0,Hypothetical Gulf of Maine Draft WEA 3,157800,200566.16714134914,216979.63041474787,216979.63041474787,2041-01-01 00:00:00,2045-11-17 23:00:00,2047-10-02 20:00:00,2047-10-02 20:00:00,semisub,800,ME,salem,1424,False,2042-01-01 00:00:00
1,1,Hypothetical NY Bight Floating 1,149016,186110.2229846588,207250.04885947748,207250.04885947748,2040-01-01 00:00:00,2044-03-25 15:00:00,2046-08-23 11:00:00,2046-08-23 11:00:00,semisub,800,NY,sbmt,1800,False,2041-01-01 00:00:00
2,2,Hypothetical Gulf of Maine Draft WEA 4,157800,190354.4353170958,207134.20174510105,207134.20174510105,2041-01-01 00:00:00,2044-09-18 11:00:00,2046-08-18 15:00:00,2046-08-18 15:00:00,semisub,800,NH,searsport_2,1424,False,2042-01-01 00:00:00
3,3,Hypothetical Gulf of Maine Draft WEA 2,157800,190065.02617531212,206972.29260331736,206972.29260331736,2041-01-01 00:00:00,2044-09-06 10:00:00,2046-08-11 21:00:00,2046-08-11 21:00:00,semisub,800,ME,searsport_1,1424,False,2042-01-01 00:00:00
4,4,Hypothetical Central Atlantic Draft WEA 6,149016,185739.48368647977,203225.25495587263,203225.25495587263,2040-01-01 00:00:00,2044-03-10 04:00:00,2046-03-08 18:00:00,2046-03-08 18:00:00,semisub,800,MD,tradepoint_2,1428,False,2041-01-01 00:00:00
5,5,Hypothetical NE Floating 3,149016,183434.97686979885,201145.70293112818,201145.70293112818,2040-01-01 00:00:00,2043-12-05 03:00:00,2045-12-12 02:00:00,2045-12-12 02:00:00,semisub,800,RI,new_london_1,1500,False,2041-01-01 00:00:00
6,6,Hypothetical NE Floating 1,140256,179435.100480438,200566.16714134914,200566.16714134914,2039-01-01 00:00:00,2043-06-21 12:00:00,2045-11-17 23:00:00,2045-11-17 23:00:00,semisub,800,CT,salem,1800,False,2040-01-01 00:00:00
7,7,Hypothetical Gulf of Maine Draft WEA 1,140256,173674.66888909056,190354.4353170958,190354.4353170958,2039-01-01 00:00:00,2042-10-24 11:00:00,2044-09-18 11:00:00,2044-09-18 11:00:00,semisub,800,ME,searsport_2,1424,False,2040-01-01 00:00:00
8,8,Hypothetical Central Atlantic Draft WEA 3,140256,173224.36458166057,190065.02617531212,190065.02617531212,2039-01-01 00:00:00,2042-10-05 17:00:00,2044-09-06 10:00:00,2044-09-06 10:00:00,semisub,800,NC,portsmouth_2,1428,False,2040-01-01 00:00:00
9,9,Hypothetical NY Bight Fixed 2,140256,168827.20178678387,186110.2229846588,186110.2229846588,2039-01-01 00:00:00,2042-04-05 12:00:00,2044-03-25 15:00:00,2044-03-25 15:00:00,gbf,40,NJ,njwp_1,1500,False,2040-01-01 00:00:00
10,10,Hypothetical Central Atlantic Draft WEA 4,140256,171001.79911532934,185739.48368647977,185739.48368647977,2039-01-01 00:00:00,2042-07-05 02:00:00,2044-03-10 04:00:00,2044-03-10 04:00:00,gbf,40,MD,tradepoint_2,1273,False,2040-01-01 00:00:00
11,11,Hypothetical Central Atlantic Draft WEA 2,140256,169065.29229864842,183434.97686979885,183434.97686979885,2039-01-01 00:00:00,2042-04-15 10:00:00,2043-12-05 03:00:00,2043-12-05 03:00:00,gbf,40,DE,tradepoint_1,1273,False,2040-01-01 00:00:00
12,12,Hypothetical NY Bight Fixed 1,131496,162516.819743429,179435.100480438,179435.100480438,2038-01-01 00:00:00,2041-07-16 13:00:00,2043-06-21 12:00:00,2043-06-21 12:00:00,gbf,40,NY,sbmt,1500,False,2039-01-01 00:00:00
13,13,Hypothetical NE Fixed 1,131496,157094.58072208657,173674.66888909056,173674.66888909056,2038-01-01 00:00:00,2040-12-02 15:00:00,2042-10-24 11:00:00,2042-10-24 11:00:00,gbf,40,MA,new_bedford,1500,False,2039-01-01 00:00:00
14,14,Hypothetical Gulf of Maine Draft WEA 7,131496,156979.4832729307,173224.36458166057,173224.36458166057,2038-01-01 00:00:00,2040-11-27 20:00:00,2042-10-05 17:00:00,2042-10-05 17:00:00,semisub,800,MA,searsport_1,1424,False,2039-01-01 00:00:00
