,best_path_forward_south_ne,high_deployment_south_ne,low_deployment_south_ne,best_path_forward_north_ne,high_deployment_north_ne,low_deployment_north_ne
2023,932,932,932,,,
2024,704,704,704,,,
2025,,,,,,
2026,,,,,,
2027,,,,,,
2028,924,924,924,144,144,
2029,400,400,400,,,
2030,1604,1604,804,800,800,144
2031,,,800,1232,1232,
2032,880,,2032,,,
2033,1120,2000,,,,
2034,,,,,2848,
2035,,1500,,1424,1424,
2036,,4100,2000,2848,1424,
2037,,1500,,1424,2848,
2038,4100,,2600,2924,2924,
2039,1500,,1424.12,1424,3224,
2040,,,,1424,2848,1424.12
2041,1500,,,1800,1424,2848.24
2042,,,1500,2848,,1424.12
,,,,,,
,,,,,,
total:,13664,13664,14120.12,18292,21140,5840.48
