,index,name,Initialized,Started,Finished,Date Initialized,Date Started,Date Finished,substructure,depth,location,associated_port,capacity,us_wtiv,estimated_cod
0,0,Hypothetical Gulf of Maine Draft WEA 4,157800,265807.9452171622,282340.71164516744,2041-01-01 00:00:00,2053-04-28 08:00:00,2055-03-18 05:00:00,semisub,800,NH,searsport_2,1424,False,2042-01-01 00:00:00
1,1,Hypothetical Gulf of Maine Draft WEA 3,157800,262987.5372114327,279262.00048483146,2041-01-01 00:00:00,2052-12-31 20:00:00,2054-11-09 23:00:00,semisub,800,ME,salem,1424,False,2042-01-01 00:00:00
2,2,Hypothetical Gulf of Maine Draft WEA 2,157800,249287.67878915698,265807.9452171622,2041-01-01 00:00:00,2051-06-10 00:00:00,2053-04-28 08:00:00,semisub,800,ME,searsport_1,1424,False,2042-01-01 00:00:00
3,3,Hypothetical NY Bight Floating 1,149016,242425.71133661404,262987.5372114327,2040-01-01 00:00:00,2050-08-28 02:00:00,2052-12-31 20:00:00,semisub,800,NY,sbmt,1800,False,2041-01-01 00:00:00
4,4,Hypothetical Central Atlantic Draft WEA 6,149016,231825.40751976412,249287.67878915698,2040-01-01 00:00:00,2049-06-12 10:00:00,2051-06-10 00:00:00,semisub,800,MD,tradepoint_2,1428,False,2041-01-01 00:00:00
5,5,Hypothetical NE Floating 3,149016,224765.4852752847,242425.71133661404,2040-01-01 00:00:00,2048-08-22 06:00:00,2050-08-28 02:00:00,semisub,800,RI,new_london_1,1500,False,2041-01-01 00:00:00
6,6,Hypothetical NE Floating 1,140256,210963.840858853,231825.40751976412,2039-01-01 00:00:00,2047-01-25 04:00:00,2049-06-12 10:00:00,semisub,800,CT,salem,1800,False,2040-01-01 00:00:00
7,7,Hypothetical Gulf of Maine Draft WEA 1,140256,208129.71884727947,224765.4852752847,2039-01-01 00:00:00,2046-09-29 02:00:00,2048-08-22 06:00:00,semisub,800,ME,searsport_2,1424,False,2040-01-01 00:00:00
8,8,Hypothetical Central Atlantic Draft WEA 4,140256,214363.18135072073,224545.63003035868,2039-01-01 00:00:00,2047-06-15 20:00:00,2048-08-13 02:00:00,monopile,40,MD,tradepoint_2,1273,False,2040-01-01 00:00:00
9,9,Hypothetical Central Atlantic Draft WEA 2,140256,205771.1597416947,217245.26374797948,2039-01-01 00:00:00,2046-06-22 20:00:00,2047-10-13 22:00:00,monopile,40,DE,tradepoint_1,1273,False,2040-01-01 00:00:00
