,index,name,Initialized,Started,Finished,Date Initialized,Date Started,Date Finished,substructure,depth,location,associated_port,capacity,us_wtiv,estimated_cod
0,0,Hypothetical Gulf of Maine Draft WEA 4,157800,234519.94846439338,251363.21489239862,2041-01-01 00:00:00,2049-10-02 16:00:00,2051-09-04 12:00:00,semisub,800,NH,searsport_2,1424,False,2042-01-01 00:00:00
1,1,Hypothetical Gulf of Maine Draft WEA 3,157800,231938.8769100132,249116.84018341193,2041-01-01 00:00:00,2049-06-17 03:00:00,2051-06-02 21:00:00,semisub,800,ME,salem,1424,False,2042-01-01 00:00:00
2,2,Hypothetical Gulf of Maine Draft WEA 2,157800,218175.18203638814,234519.94846439338,2041-01-01 00:00:00,2047-11-21 16:00:00,2049-10-02 16:00:00,semisub,800,ME,searsport_1,1424,False,2042-01-01 00:00:00
3,3,Hypothetical NY Bight Floating 1,149016,211085.0510351945,231938.8769100132,2040-01-01 00:00:00,2047-01-30 06:00:00,2049-06-17 03:00:00,semisub,800,NY,sbmt,1800,False,2041-01-01 00:00:00
4,4,Hypothetical Central Atlantic Draft WEA 6,149016,201616.41076699528,218175.18203638814,2040-01-01 00:00:00,2045-12-31 17:00:00,2047-11-21 16:00:00,semisub,800,MD,tradepoint_2,1428,False,2041-01-01 00:00:00
5,5,Hypothetical NE Floating 3,149016,193582.82497386518,211085.0510351945,2040-01-01 00:00:00,2045-01-30 23:00:00,2047-01-30 06:00:00,semisub,800,RI,new_london_1,1500,False,2041-01-01 00:00:00
6,6,Hypothetical NE Floating 1,140256,180450.34410608414,201616.41076699528,2039-01-01 00:00:00,2043-08-02 19:00:00,2045-12-31 17:00:00,semisub,800,CT,salem,1800,False,2040-01-01 00:00:00
7,7,Hypothetical Gulf of Maine Draft WEA 1,140256,176817.55854585994,193582.82497386518,2039-01-01 00:00:00,2043-03-04 10:00:00,2045-01-30 23:00:00,semisub,800,ME,searsport_2,1424,False,2040-01-01 00:00:00
8,8,Hypothetical Central Atlantic Draft WEA 3,140256,163573.6825124326,180450.34410608414,2039-01-01 00:00:00,2041-08-29 14:00:00,2043-08-02 19:00:00,semisub,800,NC,portsmouth_2,1428,False,2040-01-01 00:00:00
9,9,Hypothetical Central Atlantic Draft WEA 4,140256,163573.6825124326,177202.46102094403,2039-01-01 00:00:00,2041-08-29 14:00:00,2043-03-20 11:00:00,monopile,40,MD,tradepoint_2,1273,False,2040-01-01 00:00:00
10,10,Hypothetical Gulf of Maine Draft WEA 7,131496,159901.17723713006,176817.55854585994,2038-01-01 00:00:00,2041-03-29 14:00:00,2043-03-04 10:00:00,semisub,800,MA,searsport_1,1424,False,2039-01-01 00:00:00
11,11,Hypothetical Central Atlantic Draft WEA 2,140256,154314.81908192558,166617.46337711424,2039-01-01 00:00:00,2040-08-08 19:00:00,2042-01-03 10:00:00,monopile,40,DE,tradepoint_1,1273,False,2040-01-01 00:00:00
12,12,Hypothetical Central Atlantic Draft WEA 5,131496,147119.41124303974,163573.6825124326,2038-01-01 00:00:00,2039-10-14 00:00:00,2041-08-29 14:00:00,semisub,800,MD,tradepoint_2,1428,False,2039-01-01 00:00:00
13,13,Hypothetical Gulf of Maine Draft WEA 6,122736,143299.29592840018,159901.17723713006,2037-01-01 00:00:00,2039-05-07 20:00:00,2041-03-29 14:00:00,semisub,800,MA,searsport_2,1424,False,2038-01-01 00:00:00
14,14,Hypothetical NY Bight Fixed 2,140256,144284.8007091953,156814.0789432027,2039-01-01 00:00:00,2039-06-17 21:00:00,2040-11-20 23:00:00,monopile,40,NJ,njwp_1,1500,False,2040-01-01 00:00:00
15,15,Hypothetical Central Atlantic WEA 6,131496,146878.32149713414,154314.81908192558,2038-01-01 00:00:00,2039-10-03 23:00:00,2040-08-08 19:00:00,monopile,40,MD,tradepoint_1,713,False,2039-01-01 00:00:00
16,16,Hypothetical NY Bight Fixed 1,131496,143785.3296763357,153880.29842507865,2038-01-01 00:00:00,2039-05-28 02:00:00,2040-07-21 17:00:00,monopile,40,NY,sbmt,1500,False,2039-01-01 00:00:00
17,17,Hypothetical NE Fixed 1,131496,143069.12455804241,153384.93610561133,2038-01-01 00:00:00,2039-04-28 06:00:00,2040-07-01 01:00:00,monopile,40,MA,new_bedford,1500,False,2039-01-01 00:00:00
18,18,Hypothetical NE Floating 2,122736,129727.8445821286,147119.41124303974,2037-01-01 00:00:00,2037-10-19 08:00:00,2039-10-14 00:00:00,semisub,800,CT,salem,1500,False,2038-01-01 00:00:00
19,19,Hypothetical Central Atlantic WEA 3,131496,134180.0931415783,146878.32149713414,2038-01-01 00:00:00,2038-04-22 21:00:00,2039-10-03 23:00:00,monopile,40,MD,tradepoint_1,1607,False,2039-01-01 00:00:00
20,20,Hypothetical NE Fixed 2,113952,133010.79825887835,144284.8007091953,2036-01-01 00:00:00,2038-03-05 03:00:00,2039-06-17 21:00:00,monopile,40,RI,new_london_1,1500,False,2037-01-01 00:00:00
21,21,Hypothetical Central Atlantic Draft WEA 8,131496,135510.8863380396,143785.3296763357,2038-01-01 00:00:00,2038-06-17 07:00:00,2039-05-28 02:00:00,monopile,40,NC,portsmouth_1,1273,False,2039-01-01 00:00:00
22,22,Hypothetical Gulf of Maine Draft WEA 5,113952,126209.41461967031,143299.29592840018,2036-01-01 00:00:00,2037-05-25 18:00:00,2039-05-07 20:00:00,semisub,800,MA,searsport_1,1424,False,2037-01-01 00:00:00
23,23,Atlantic Shores Offshore Wind Bight,122736,134168.98240728097,143069.12455804241,2037-01-01 00:00:00,2038-04-22 09:00:00,2039-04-28 06:00:00,monopile,40,NY,njwp_1,1284,False,2038-01-01 00:00:00
