,index,name,Initialized,Started,Finished,Date Initialized,Date Started,Date Finished,substructure,depth,location,associated_port,capacity,us_wtiv,estimated_cod
0,0,Hypothetical Central Atlantic Draft WEA 4,140256,231333.99468046764,240138.71865572548,2039-01-01 00:00:00,2049-05-22 22:00:00,2050-05-24 19:00:00,monopile,40,MD,tradepoint_2,1273,False,2040-01-01 00:00:00
1,1,Hypothetical Central Atlantic Draft WEA 2,140256,222484.67559221823,231626.70771857482,2039-01-01 00:00:00,2048-05-19 05:00:00,2049-06-04 03:00:00,monopile,40,DE,tradepoint_1,1273,False,2040-01-01 00:00:00
2,2,Hypothetical NY Bight Fixed 2,140256,219553.00001883777,231333.99468046764,2039-01-01 00:00:00,2048-01-18 02:00:00,2049-05-22 22:00:00,monopile,40,NJ,njwp_1,1500,False,2040-01-01 00:00:00
3,3,Hypothetical Gulf of Maine Draft WEA 4,157800,210408.17630615566,223272.9427341609,2041-01-01 00:00:00,2047-01-02 01:00:00,2048-06-21 01:00:00,semisub,800,NH,searsport_2,1424,False,2042-01-01 00:00:00
4,4,Hypothetical NY Bight Fixed 1,131496,214012.75581624173,222484.67559221823,2038-01-01 00:00:00,2047-06-01 05:00:00,2048-05-19 05:00:00,monopile,40,NY,sbmt,1500,False,2039-01-01 00:00:00
5,5,Hypothetical Central Atlantic WEA 6,131496,215383.45783408507,219553.00001883777,2038-01-01 00:00:00,2047-07-28 08:00:00,2048-01-18 02:00:00,monopile,40,MD,tradepoint_1,713,False,2039-01-01 00:00:00
6,6,Hypothetical Gulf of Maine Draft WEA 3,157800,204467.74446146126,216980.70773485999,2041-01-01 00:00:00,2046-04-29 12:00:00,2047-10-02 21:00:00,semisub,800,ME,salem,1424,False,2042-01-01 00:00:00
7,7,Hypothetical Central Atlantic WEA 3,131496,205217.07835096313,215383.45783408507,2038-01-01 00:00:00,2046-05-30 18:00:00,2047-07-28 08:00:00,monopile,40,MD,tradepoint_1,1607,False,2039-01-01 00:00:00
8,8,Hypothetical Central Atlantic Draft WEA 8,131496,206705.1791650418,214012.75581624173,2038-01-01 00:00:00,2046-07-31 18:00:00,2047-06-01 05:00:00,monopile,40,NC,portsmouth_1,1273,False,2039-01-01 00:00:00
9,9,Hypothetical Gulf of Maine Draft WEA 2,157800,197769.9098781504,210408.17630615566,2041-01-01 00:00:00,2045-07-24 10:00:00,2047-01-02 01:00:00,semisub,800,ME,searsport_1,1424,False,2042-01-01 00:00:00
10,10,Hypothetical NE Fixed 2,113952,191620.000948076,206705.1791650418,2036-01-01 00:00:00,2044-11-10 05:00:00,2046-07-31 18:00:00,jacket,40,RI,new_london_1,1500,False,2037-01-01 00:00:00
11,11,Atlantic Shores Offshore Wind Bight,122736,197577.1622535707,205217.07835096313,2037-01-01 00:00:00,2045-07-16 10:00:00,2046-05-30 18:00:00,monopile,40,NY,njwp_1,1284,False,2038-01-01 00:00:00
12,12,Hypothetical NY Bight Floating 1,149016,188149.91858664257,204467.74446146126,2040-01-01 00:00:00,2044-06-18 14:00:00,2046-04-29 12:00:00,semisub,800,NY,sbmt,1800,False,2041-01-01 00:00:00
13,13,Hypothetical Central Atlantic Draft WEA 6,149016,185128.63860875755,197769.9098781504,2040-01-01 00:00:00,2044-02-13 17:00:00,2045-07-24 10:00:00,semisub,800,MD,tradepoint_2,1428,False,2041-01-01 00:00:00
14,14,Hypothetical Central Atlantic WEA 5,113952,190775.179387573,197577.1622535707,2036-01-01 00:00:00,2044-10-06 00:00:00,2045-07-16 10:00:00,monopile,40,MD,tradepoint_1,713,False,2037-01-01 00:00:00
15,15,Vineyard Northeast,96432,166801.6567716187,191620.000948076,2034-01-01 00:00:00,2042-01-11 02:00:00,2044-11-10 05:00:00,jacket,40,MA,new_bedford,2600,False,2035-01-01 00:00:00
16,16,Ocean Wind 2,105192,182623.2651452875,190775.179387573,2035-01-01 00:00:00,2043-11-01 08:00:00,2044-10-06 00:00:00,monopile,40,NJ,njwp_2,1148,False,2036-01-01 00:00:00
17,17,Hypothetical NE Floating 3,149016,174723.19252531324,188149.91858664257,2040-01-01 00:00:00,2042-12-07 04:00:00,2044-06-18 14:00:00,semisub,800,RI,new_london_1,1500,False,2041-01-01 00:00:00
18,18,Hypothetical NE Floating 1,140256,169048.07194784642,185128.63860875755,2039-01-01 00:00:00,2042-04-14 17:00:00,2044-02-13 17:00:00,semisub,800,CT,salem,1800,False,2040-01-01 00:00:00
