,index,name,Initialized,Started,Finished,Date Initialized,Date Started,Date Finished,substructure,depth,location,associated_port,capacity,us_wtiv,estimated_cod
0,0,Hypothetical Gulf of Maine Draft WEA 4,157800,210408.20570324382,223272.97213124906,2041-01-01 00:00:00,2047-01-02 01:00:00,2048-06-21 01:00:00,semisub,800,NH,searsport_2,1424,False,2042-01-01 00:00:00
1,1,Hypothetical Gulf of Maine Draft WEA 3,157800,204467.74446146126,216980.70773485999,2041-01-01 00:00:00,2046-04-29 12:00:00,2047-10-02 21:00:00,semisub,800,ME,salem,1424,False,2042-01-01 00:00:00
2,2,Hypothetical Gulf of Maine Draft WEA 2,157800,197769.93927523858,210408.20570324382,2041-01-01 00:00:00,2045-07-24 10:00:00,2047-01-02 01:00:00,semisub,800,ME,searsport_1,1424,False,2042-01-01 00:00:00
3,3,Hypothetical NY Bight Floating 1,149016,188149.91858664257,204467.74446146126,2040-01-01 00:00:00,2044-06-18 14:00:00,2046-04-29 12:00:00,semisub,800,NY,sbmt,1800,False,2041-01-01 00:00:00
4,4,Hypothetical Central Atlantic Draft WEA 6,149016,185128.6680058457,197769.93927523858,2040-01-01 00:00:00,2044-02-13 17:00:00,2045-07-24 10:00:00,semisub,800,MD,tradepoint_2,1428,False,2041-01-01 00:00:00
5,5,Hypothetical NE Floating 3,149016,174723.19252531324,188149.91858664257,2040-01-01 00:00:00,2042-12-07 04:00:00,2044-06-18 14:00:00,semisub,800,RI,new_london_1,1500,False,2041-01-01 00:00:00
6,6,Hypothetical NE Floating 1,140256,169048.10134493458,185128.6680058457,2039-01-01 00:00:00,2042-04-14 17:00:00,2044-02-13 17:00:00,semisub,800,CT,salem,1800,False,2040-01-01 00:00:00
7,7,Hypothetical Gulf of Maine Draft WEA 1,140256,162158.426097308,174723.19252531324,2039-01-01 00:00:00,2041-07-01 15:00:00,2042-12-07 04:00:00,semisub,800,ME,searsport_2,1424,False,2040-01-01 00:00:00
8,8,Hypothetical Central Atlantic Draft WEA 3,140256,156378.43975128303,169048.10134493458,2039-01-01 00:00:00,2040-11-02 19:00:00,2042-04-14 17:00:00,semisub,800,NC,portsmouth_2,1428,False,2040-01-01 00:00:00
9,9,Hypothetical NE Fixed 1,131496,149584.837930304,162158.426097308,2038-01-01 00:00:00,2040-01-24 17:00:00,2041-07-01 15:00:00,gbf,40,MA,new_bedford,1500,False,2039-01-01 00:00:00
10,10,Hypothetical Central Atlantic Draft WEA 4,140256,149584.837930304,159677.54931444454,2039-01-01 00:00:00,2040-01-24 17:00:00,2041-03-20 06:00:00,monopile,40,MD,tradepoint_2,1273,False,2040-01-01 00:00:00
11,11,Hypothetical Central Atlantic Draft WEA 2,140256,148558.87065563494,159191.98301764057,2039-01-01 00:00:00,2039-12-12 23:00:00,2041-02-28 00:00:00,monopile,40,DE,tradepoint_1,1273,False,2040-01-01 00:00:00
12,12,Hypothetical Gulf of Maine Draft WEA 7,131496,144009.55844255316,156378.43975128303,2038-01-01 00:00:00,2039-06-06 10:00:00,2040-11-02 19:00:00,semisub,800,MA,searsport_1,1424,False,2039-01-01 00:00:00
13,13,Hypothetical NY Bight Fixed 2,140256,140256.0,152413.19134295514,2039-01-01 00:00:00,2039-01-01 00:00:00,2040-05-21 14:00:00,monopile,40,NJ,njwp_1,1500,False,2040-01-01 00:00:00
14,14,Hypothetical Central Atlantic Draft WEA 5,131496,136728.06666091114,149584.837930304,2038-01-01 00:00:00,2038-08-07 01:00:00,2040-01-24 17:00:00,semisub,800,MD,tradepoint_2,1428,False,2039-01-01 00:00:00
15,15,Hypothetical Central Atlantic WEA 6,131496,144467.0713320232,148558.87065563494,2038-01-01 00:00:00,2039-06-25 12:00:00,2039-12-12 23:00:00,monopile,40,MD,tradepoint_1,713,False,2039-01-01 00:00:00
16,16,Hypothetical NY Bight Fixed 1,131496,137112.5604855744,147084.47446988622,2038-01-01 00:00:00,2038-08-23 01:00:00,2039-10-12 13:00:00,monopile,40,NY,sbmt,1500,False,2039-01-01 00:00:00
17,17,Hypothetical Central Atlantic WEA 3,131496,131496.0,144467.0713320232,2038-01-01 00:00:00,2038-01-01 00:00:00,2039-06-25 12:00:00,monopile,40,MD,tradepoint_1,1607,False,2039-01-01 00:00:00
18,18,Hypothetical Gulf of Maine Draft WEA 6,122736,131255.17713382328,144009.55844255316,2037-01-01 00:00:00,2037-12-22 00:00:00,2039-06-06 10:00:00,semisub,800,MA,searsport_2,1424,False,2038-01-01 00:00:00
19,19,Hypothetical Central Atlantic Draft WEA 8,131496,131496.0,140762.7944802712,2038-01-01 00:00:00,2038-01-01 00:00:00,2039-01-22 03:00:00,monopile,40,NC,portsmouth_1,1273,False,2039-01-01 00:00:00
20,20,Atlantic Shores Offshore Wind Bight,122736,128446.96111266706,137680.41073986664,2037-01-01 00:00:00,2037-08-26 23:00:00,2038-09-15 17:00:00,monopile,40,NY,njwp_1,1284,False,2038-01-01 00:00:00
