,index,name,Initialized,Started,Finished,FoundationFinished,TurbineStart,Date Initialized,Date Started,Date TurbineStart,Date FoundationFinished,Date Finished,substructure,depth,location,associated_port,capacity,us_wtiv,estimated_cod
0,0,Hypothetical Central Atlantic Draft WEA 4,140256,321004.2971617048,326951.6643217478,325233.1937513596,321850.0764796358,2039-01-01 00:00:00,2059-08-15 05:00:00,2059-09-19 11:00:00,2060-02-07 10:00:00,2060-04-19 00:00:00,monopile,40,MD,tradepoint_2,1273,True,2040-01-01 00:00:00
1,1,Hypothetical Central Atlantic Draft WEA 2,140256,316775.40057205,321004.2971617048,321004.2971617048,317621.179889981,2039-01-01 00:00:00,2059-02-20 00:00:00,2059-03-27 06:00:00,2059-08-15 05:00:00,2059-08-15 05:00:00,monopile,40,DE,tradepoint_1,1273,False,2040-01-01 00:00:00
2,2,Hypothetical NY Bight Fixed 2,140256,312363.5854998182,316775.40057205,316775.40057205,313245.94851426454,2039-01-01 00:00:00,2058-08-20 04:00:00,2058-09-25 22:00:00,2059-02-20 00:00:00,2059-02-20 00:00:00,monopile,40,NJ,njwp_1,1500,False,2040-01-01 00:00:00
3,3,Hypothetical NY Bight Fixed 1,131496,308225.2203945321,312363.5854998182,312109.694832242,309002.1152820741,2038-01-01 00:00:00,2058-02-28 18:00:00,2058-04-02 03:00:00,2058-08-09 14:00:00,2058-08-20 04:00:00,monopile,40,NY,sbmt,1500,False,2039-01-01 00:00:00
4,4,Hypothetical Central Atlantic WEA 6,131496,304863.7975426836,308225.2203945321,307791.76335616136,305449.39070537913,2038-01-01 00:00:00,2057-10-11 16:00:00,2057-11-05 02:00:00,2058-02-10 16:00:00,2058-02-28 18:00:00,monopile,40,MD,tradepoint_1,713,True,2039-01-01 00:00:00
5,5,Hypothetical Central Atlantic Draft WEA 8,131496,297776.7614668736,304863.7975426836,304863.7975426836,299194.1686820356,2038-01-01 00:00:00,2056-12-20 09:00:00,2057-02-17 11:00:00,2057-10-11 16:00:00,2057-10-11 16:00:00,monopile,40,NC,portsmouth_1,1273,False,2039-01-01 00:00:00
6,6,Hypothetical Central Atlantic WEA 3,131496,287306.573359963,297776.7614668736,297776.7614668736,289400.6109813451,2038-01-01 00:00:00,2055-10-11 03:00:00,2056-01-06 09:00:00,2056-12-20 09:00:00,2056-12-20 09:00:00,monopile,40,MD,tradepoint_1,1607,False,2039-01-01 00:00:00
7,7,Atlantic Shores Offshore Wind Bight,122736,281745.8369926054,287306.573359963,287306.573359963,282857.98426607694,2037-01-01 00:00:00,2055-02-21 10:00:00,2055-04-08 18:00:00,2055-10-11 03:00:00,2055-10-11 03:00:00,monopile,40,NY,njwp_1,1284,False,2038-01-01 00:00:00
8,8,Hypothetical NE Fixed 2,113952,267375.771926835,281745.8369926054,281735.86358519766,270249.7849399891,2036-01-01 00:00:00,2053-07-02 16:00:00,2053-10-30 10:00:00,2055-02-21 00:00:00,2055-02-21 10:00:00,jacket,40,RI,new_london,1500,False,2037-01-01 00:00:00
9,9,Hypothetical Central Atlantic WEA 5,113952,261045.32275343066,267375.771926835,267375.771926835,262311.41258811153,2036-01-01 00:00:00,2052-10-11 22:00:00,2052-12-03 16:00:00,2053-07-02 16:00:00,2053-07-02 16:00:00,monopile,40,MD,tradepoint_1,713,True,2037-01-01 00:00:00
10,10,Ocean Wind 2,105192,257653.09771822073,261045.32275343066,260919.4674764604,258306.37166986868,2035-01-01 00:00:00,2052-05-23 14:00:00,2052-06-19 19:00:00,2052-10-06 16:00:00,2052-10-11 22:00:00,monopile,40,NJ,njwp_2,1148,False,2036-01-01 00:00:00
