,index,name,Initialized,Started,Finished,FoundationFinished,Date Initialized,Date Started,Date FoundationFinished,Date Finished,substructure,depth,location,associated_port,capacity,us_wtiv,estimated_cod
0,0,Hypothetical Gulf of Maine Draft WEA 4,157800,245524.64686893625,261897.9132969415,261897.9132969415,2041-01-01,2051-01-04 05:00:00,2052-11-16 10:00:00,2052-11-16 10:00:00,semisub,800,NH,searsport_2,1424,False,2042-01-01
1,1,Hypothetical Gulf of Maine Draft WEA 3,157800,235912.3516148247,252256.81488822342,252256.81488822342,2041-01-01,2049-11-29 17:00:00,2051-10-11 17:00:00,2051-10-11 17:00:00,semisub,800,ME,salem,1424,False,2042-01-01
2,2,Hypothetical Gulf of Maine Draft WEA 2,157800,228494.880440931,245524.64686893625,245524.64686893625,2041-01-01,2049-01-24 15:00:00,2051-01-04 05:00:00,2051-01-04 05:00:00,semisub,800,ME,searsport_1,1424,False,2042-01-01
3,3,Hypothetical NY Bight Floating 1,149016,215060.525740006,235912.3516148247,235912.3516148247,2040-01-01,2047-07-14 21:00:00,2049-11-29 17:00:00,2049-11-29 17:00:00,semisub,800,NY,sbmt,1800,False,2041-01-01
4,4,Hypothetical Central Atlantic Draft WEA 6,149016,211541.60917153815,228494.880440931,228494.880440931,2040-01-01,2047-02-18 06:00:00,2049-01-24 15:00:00,2049-01-24 15:00:00,semisub,800,MD,tradepoint_2,1428,False,2041-01-01
5,5,Hypothetical NE Floating 3,149016,197437.79967867667,215060.525740006,215060.525740006,2040-01-01,2045-07-10 14:00:00,2047-07-14 21:00:00,2047-07-14 21:00:00,semisub,800,RI,new_london_1,1500,False,2041-01-01
6,6,Hypothetical NE Floating 1,140256,190535.542510627,211541.60917153815,211541.60917153815,2039-01-01,2044-09-26 00:00:00,2047-02-18 06:00:00,2047-02-18 06:00:00,semisub,800,CT,salem,1800,False,2040-01-01
7,7,Hypothetical Gulf of Maine Draft WEA 1,140256,180613.03325067143,197437.79967867667,197437.79967867667,2039-01-01,2043-08-09 14:00:00,2045-07-10 14:00:00,2045-07-10 14:00:00,semisub,800,ME,searsport_2,1424,False,2040-01-01
8,8,Hypothetical Central Atlantic WEA 6,131496,185686.93815175595,193432.2407348063,190349.4110456534,2038-01-01,2044-03-07 23:00:00,2044-09-18 06:00:00,2045-01-24 17:00:00,monopile,40,MD,tradepoint_1,713,True,2039-01-01
9,9,Hypothetical Central Atlantic Draft WEA 3,140256,173674.38091697547,190535.542510627,190535.542510627,2039-01-01,2042-10-24 11:00:00,2044-09-26 00:00:00,2044-09-26 00:00:00,semisub,800,NC,portsmouth_2,1428,False,2040-01-01
10,10,Hypothetical Central Atlantic WEA 5,113952,178846.6355687056,185686.93815175595,182441.10846260304,2036-01-01,2043-05-27 23:00:00,2043-10-24 18:00:00,2044-03-07 23:00:00,monopile,40,MD,tradepoint_1,713,True,2037-01-01
11,11,Hypothetical Central Atlantic Draft WEA 5,131496,163856.76198127857,180613.03325067143,180613.03325067143,2038-01-01,2041-09-10 09:00:00,2043-08-09 14:00:00,2043-08-09 14:00:00,semisub,800,MD,tradepoint_2,1428,False,2039-01-01
