,index,name,Initialized,Started,Finished,FoundationFinished,TurbineStart,Date Initialized,Date Started,Date TurbineStart,Date FoundationFinished,Date Finished,substructure,depth,location,associated_port,capacity,us_wtiv,estimated_cod
0,0,Hypothetical Gulf of Maine Draft WEA 4,157800,249396.939786077,265932.70621408225,265932.70621408225,249396.939786077,2041-01-01 00:00:00,2051-06-14 13:00:00,2051-06-14 13:00:00,2053-05-03 13:00:00,2053-05-03 13:00:00,semisub,800,NH,searsport_2,1424,True,2042-01-01 00:00:00
1,1,Hypothetical Gulf of Maine Draft WEA 3,157800,242405.79326529973,258602.75653869845,258602.75653869845,242405.79326529973,2041-01-01 00:00:00,2050-08-27 06:00:00,2050-08-27 06:00:00,2052-07-02 03:00:00,2052-07-02 03:00:00,semisub,800,ME,salem,1424,True,2042-01-01 00:00:00
2,2,Hypothetical Gulf of Maine Draft WEA 2,157800,232200.17335807177,249396.939786077,249396.939786077,232200.17335807177,2041-01-01 00:00:00,2049-06-28 01:00:00,2049-06-28 01:00:00,2051-06-14 13:00:00,2051-06-14 13:00:00,semisub,800,ME,searsport_1,1424,True,2042-01-01 00:00:00
3,3,Hypothetical NY Bight Floating 1,149016,221527.96739048103,242405.79326529973,242405.79326529973,221527.96739048103,2040-01-01 00:00:00,2048-04-09 08:00:00,2048-04-09 08:00:00,2050-08-27 06:00:00,2050-08-27 06:00:00,semisub,800,NY,sbmt,1800,True,2041-01-01 00:00:00
4,4,Hypothetical Central Atlantic Draft WEA 6,149016,215361.4020886789,232200.17335807177,232200.17335807177,215361.4020886789,2040-01-01 00:00:00,2047-07-27 10:00:00,2047-07-27 10:00:00,2049-06-28 01:00:00,2049-06-28 01:00:00,semisub,800,MD,tradepoint_2,1428,True,2041-01-01 00:00:00
5,5,Hypothetical NE Floating 3,149016,203836.7413291517,221527.96739048103,221527.96739048103,203836.7413291517,2040-01-01 00:00:00,2046-04-03 05:00:00,2046-04-03 05:00:00,2048-04-09 08:00:00,2048-04-09 08:00:00,semisub,800,RI,new_london,1500,True,2041-01-01 00:00:00
6,6,Hypothetical NE Floating 1,140256,194296.83542776777,215361.4020886789,215361.4020886789,194296.83542776777,2039-01-01 00:00:00,2045-03-01 17:00:00,2045-03-01 17:00:00,2047-07-27 10:00:00,2047-07-27 10:00:00,semisub,800,CT,salem,1800,True,2040-01-01 00:00:00
7,7,Hypothetical Gulf of Maine Draft WEA 1,140256,186847.47490114646,203836.7413291517,203836.7413291517,186847.47490114646,2039-01-01 00:00:00,2044-04-25 08:00:00,2044-04-25 08:00:00,2046-04-03 05:00:00,2046-04-03 05:00:00,semisub,800,ME,searsport_2,1424,True,2040-01-01 00:00:00
8,8,Hypothetical Central Atlantic Draft WEA 3,140256,177452.17383411623,194296.83542776777,194296.83542776777,177452.17383411623,2039-01-01 00:00:00,2043-03-30 21:00:00,2043-03-30 21:00:00,2045-03-01 17:00:00,2045-03-01 17:00:00,semisub,800,NC,portsmouth_2,1428,True,2040-01-01 00:00:00
9,9,Hypothetical Central Atlantic Draft WEA 4,140256,184064.66159215398,192111.92091661342,192111.92091661342,185674.11345704587,2039-01-01 00:00:00,2043-12-31 09:00:00,2044-03-07 11:00:00,2044-11-30 16:00:00,2044-11-30 16:00:00,monopile,40,MD,tradepoint_2,1273,True,2040-01-01 00:00:00
