,index,name,Initialized,Started,Finished,FoundationFinished,TurbineStart,Date Initialized,Date Started,Date TurbineStart,Date FoundationFinished,Date Finished,substructure,depth,location,associated_port,capacity,us_wtiv,estimated_cod
0,0,Hypothetical Gulf of Maine Draft WEA 4,157800,244484.04475808132,260689.81118608656,260689.81118608656,244484.04475808132,2041-01-01 00:00:00,2050-11-21 21:00:00,2050-11-21 21:00:00,2052-09-27 02:00:00,2052-09-27 02:00:00,semisub,800,NH,searsport_2,1424,True,2042-01-01 00:00:00
1,1,Hypothetical Gulf of Maine Draft WEA 3,157800,242064.0864070256,258261.04968042433,258261.04968042433,242064.0864070256,2041-01-01 00:00:00,2050-08-13 01:00:00,2050-08-13 01:00:00,2052-06-17 22:00:00,2052-06-17 22:00:00,semisub,800,ME,salem,1424,True,2042-01-01 00:00:00
2,2,Hypothetical Gulf of Maine Draft WEA 2,157800,227430.77833007608,244484.04475808132,244484.04475808132,227430.77833007608,2041-01-01 00:00:00,2048-12-11 07:00:00,2048-12-11 07:00:00,2050-11-21 21:00:00,2050-11-21 21:00:00,semisub,800,ME,searsport_1,1424,True,2042-01-01 00:00:00
3,3,Hypothetical NY Bight Floating 1,149016,221168.7605322069,242064.0864070256,242064.0864070256,221168.7605322069,2040-01-01 00:00:00,2048-03-25 09:00:00,2048-03-25 09:00:00,2050-08-13 01:00:00,2050-08-13 01:00:00,semisub,800,NY,sbmt,1800,True,2041-01-01 00:00:00
4,4,Hypothetical Central Atlantic Draft WEA 6,149016,210684.00706068322,227430.77833007608,227430.77833007608,210684.00706068322,2040-01-01 00:00:00,2047-01-13 13:00:00,2047-01-13 13:00:00,2048-12-11 07:00:00,2048-12-11 07:00:00,semisub,800,MD,tradepoint_2,1428,True,2041-01-01 00:00:00
5,5,Hypothetical NE Floating 3,149016,203518.03447087758,221168.7605322069,221168.7605322069,203518.03447087758,2040-01-01 00:00:00,2046-03-20 23:00:00,2046-03-20 23:00:00,2048-03-25 09:00:00,2048-03-25 09:00:00,semisub,800,RI,new_london,1500,True,2041-01-01 00:00:00
6,6,Hypothetical NE Floating 1,140256,189473.94039977208,210684.00706068322,210684.00706068322,189473.94039977208,2039-01-01 00:00:00,2044-08-12 18:00:00,2044-08-12 18:00:00,2047-01-13 13:00:00,2047-01-13 13:00:00,semisub,800,CT,salem,1800,True,2040-01-01 00:00:00
7,7,Hypothetical Gulf of Maine Draft WEA 1,140256,186517.76804287234,203518.03447087758,203518.03447087758,186517.76804287234,2039-01-01 00:00:00,2044-04-11 14:00:00,2044-04-11 14:00:00,2046-03-20 23:00:00,2046-03-20 23:00:00,semisub,800,ME,searsport_2,1424,True,2040-01-01 00:00:00
8,8,Hypothetical Central Atlantic Draft WEA 3,140256,172497.77880612054,189473.94039977208,189473.94039977208,172497.77880612054,2039-01-01 00:00:00,2042-09-05 10:00:00,2042-09-05 10:00:00,2044-08-12 18:00:00,2044-08-12 18:00:00,semisub,800,NC,portsmouth_2,1428,True,2040-01-01 00:00:00
9,9,Hypothetical Central Atlantic Draft WEA 5,131496,169317.49677347948,186517.76804287234,186517.76804287234,169317.49677347948,2038-01-01 00:00:00,2042-04-25 22:00:00,2042-04-25 22:00:00,2044-04-11 14:00:00,2044-04-11 14:00:00,semisub,800,MD,tradepoint_2,1428,True,2039-01-01 00:00:00
10,10,Hypothetical NE Fixed 1,131496,155876.69063911654,172497.77880612054,172497.77880612054,155876.69063911654,2038-01-01 00:00:00,2040-10-12 21:00:00,2040-10-12 21:00:00,2042-09-05 10:00:00,2042-09-05 10:00:00,gbf,40,MA,new_bedford,1500,True,2039-01-01 00:00:00
11,11,Hypothetical Gulf of Maine Draft WEA 7,131496,152833.1154647496,169317.49677347948,169317.49677347948,152833.1154647496,2038-01-01 00:00:00,2040-06-08 02:00:00,2040-06-08 02:00:00,2042-04-25 22:00:00,2042-04-25 22:00:00,semisub,800,MA,searsport_1,1424,True,2039-01-01 00:00:00
12,12,Hypothetical Central Atlantic Draft WEA 4,140256,147962.68118700816,156148.69612110435,156148.69612110435,149599.8841738274,2039-01-01 00:00:00,2039-11-18 03:00:00,2040-01-25 08:00:00,2040-10-24 05:00:00,2040-10-24 05:00:00,monopile,40,MD,tradepoint_2,1273,True,2040-01-01 00:00:00
13,13,Hypothetical Gulf of Maine Draft WEA 6,122736,139655.80933038666,155876.69063911654,155876.69063911654,139655.80933038666,2037-01-01 00:00:00,2038-12-07 00:00:00,2038-12-07 00:00:00,2040-10-12 21:00:00,2040-10-12 21:00:00,semisub,800,MA,searsport_2,1424,True,2038-01-01 00:00:00
14,14,Hypothetical Central Atlantic Draft WEA 2,140256,147158.5439820925,155611.66796063402,155611.66796063402,148849.1687778008,2039-01-01 00:00:00,2039-10-15 15:00:00,2039-12-25 02:00:00,2040-10-01 20:00:00,2040-10-01 20:00:00,monopile,40,DE,tradepoint_1,1273,True,2040-01-01 00:00:00
15,15,Hypothetical NE Floating 2,122736,135333.54880383846,152833.1154647496,152833.1154647496,135333.54880383846,2037-01-01 00:00:00,2038-06-09 22:00:00,2038-06-09 22:00:00,2040-06-08 02:00:00,2040-06-08 02:00:00,semisub,800,CT,salem,1500,True,2038-01-01 00:00:00
16,16,Hypothetical NY Bight Fixed 2,140256,141545.9898817538,151948.36617320564,151948.36617320564,143626.46514004417,2039-01-01 00:00:00,2039-02-23 18:00:00,2039-05-21 11:00:00,2040-05-02 05:00:00,2040-05-02 05:00:00,monopile,40,NJ,njwp_1,1500,True,2040-01-01 00:00:00
17,17,Hypothetical NY Bight Fixed 1,131496,141270.8312572523,147962.68118700816,147962.68118700816,142609.20124320348,2038-01-01 00:00:00,2039-02-12 07:00:00,2039-04-09 02:00:00,2039-11-18 03:00:00,2039-11-18 03:00:00,monopile,40,NY,sbmt,1500,True,2039-01-01 00:00:00
18,18,Hypothetical Central Atlantic WEA 6,131496,143955.85477357722,147158.5439820925,146335.152370389,144431.71429293958,2038-01-01 00:00:00,2039-06-04 04:00:00,2039-06-24 00:00:00,2039-09-11 08:00:00,2039-10-15 15:00:00,monopile,40,MD,tradepoint_1,713,True,2039-01-01 00:00:00
19,19,Hypothetical Central Atlantic WEA 3,131496,131496.0,143955.85477357722,143955.85477357722,133987.97095471545,2038-01-01 00:00:00,2038-01-01 00:00:00,2038-04-14 20:00:00,2039-06-04 04:00:00,2039-06-04 04:00:00,monopile,40,MD,tradepoint_1,1607,True,2039-01-01 00:00:00
20,20,Hypothetical NE Fixed 2,113952,127596.92481598338,141545.9898817538,141509.68230684518,130386.73782913746,2036-01-01 00:00:00,2037-07-22 13:00:00,2037-11-15 19:00:00,2039-02-22 06:00:00,2039-02-23 18:00:00,jacket,40,RI,new_london,1500,True,2037-01-01 00:00:00
21,21,Hypothetical Central Atlantic Draft WEA 8,131496,135937.18415615946,141270.8312572523,139747.85463009626,136699.31825094682,2038-01-01 00:00:00,2038-07-05 02:00:00,2038-08-05 20:00:00,2038-12-10 20:00:00,2039-02-12 07:00:00,monopile,40,NC,portsmouth_1,1273,True,2039-01-01 00:00:00
22,22,Hypothetical Gulf of Maine Draft WEA 5,113952,122656.92802165677,139655.80933038666,139655.80933038666,122656.92802165677,2036-01-01 00:00:00,2036-12-28 17:00:00,2036-12-28 17:00:00,2038-12-07 00:00:00,2038-12-07 00:00:00,semisub,800,MA,searsport_1,1424,True,2037-01-01 00:00:00
23,23,Atlantic Shores Offshore Wind Bight,122736,128282.94662914882,135937.18415615946,135937.18415615946,129813.79413455095,2037-01-01 00:00:00,2037-08-20 03:00:00,2037-10-22 22:00:00,2038-07-05 02:00:00,2038-07-05 02:00:00,monopile,40,NY,njwp_1,1284,True,2038-01-01 00:00:00
24,24,Hypothetical Gulf of Maine Draft WEA 13,105192,117942.08553043974,135333.54880383846,135333.54880383846,117942.08553043974,2035-01-01 00:00:00,2036-06-15 07:00:00,2036-06-15 07:00:00,2038-06-09 22:00:00,2038-06-09 22:00:00,semisub,800,ME,salem,1424,True,2036-01-01 00:00:00
