,index,name,Initialized,Started,Finished,FoundationFinished,Date Initialized,Date Started,Date FoundationFinished,Date Finished,substructure,depth,location,associated_port,capacity,us_wtiv,estimated_cod
0,0,Hypothetical Gulf of Maine Draft WEA 4,157800,249250.38033501524,265807.6467630205,265807.6467630205,2041-01-01,2051-06-08 11:00:00,2053-04-28 08:00:00,2053-04-28 08:00:00,semisub,800,NH,searsport_2,1424,False,2042-01-01
1,1,Hypothetical Gulf of Maine Draft WEA 3,157800,236471.53924093535,252792.00251433408,252792.00251433408,2041-01-01,2049-12-23 00:00:00,2051-11-03 01:00:00,2051-11-03 01:00:00,semisub,800,ME,salem,1424,False,2042-01-01
2,2,Hypothetical Gulf of Maine Draft WEA 2,157800,231997.61390701,249250.38033501524,249250.38033501524,2041-01-01,2049-06-19 14:00:00,2051-06-08 11:00:00,2051-06-08 11:00:00,semisub,800,ME,searsport_1,1424,False,2042-01-01
3,3,Hypothetical NY Bight Floating 1,149016,215507.21336611666,236471.53924093535,236471.53924093535,2040-01-01,2047-08-02 12:00:00,2049-12-23 00:00:00,2049-12-23 00:00:00,semisub,800,NY,sbmt,1800,False,2041-01-01
4,4,Hypothetical Central Atlantic Draft WEA 6,149016,215206.34263761714,231997.61390701,231997.61390701,2040-01-01,2047-07-20 23:00:00,2049-06-19 14:00:00,2049-06-19 14:00:00,semisub,800,MD,tradepoint_2,1428,False,2041-01-01
5,5,Hypothetical NE Floating 1,140256,194506.14670520552,215507.21336611666,215507.21336611666,2039-01-01,2045-03-10 11:00:00,2047-08-02 12:00:00,2047-08-02 12:00:00,semisub,800,CT,salem,1800,False,2040-01-01
6,6,Hypothetical NE Floating 3,149016,197586.1165762878,215206.34263761714,215206.34263761714,2040-01-01,2045-07-16 19:00:00,2047-07-20 23:00:00,2047-07-20 23:00:00,semisub,800,RI,new_london_1,1500,False,2041-01-01
7,7,Hypothetical Gulf of Maine Draft WEA 1,140256,180840.85014828257,197586.1165762878,197586.1165762878,2039-01-01,2043-08-19 01:00:00,2045-07-16 19:00:00,2045-07-16 19:00:00,semisub,800,ME,searsport_2,1424,False,2040-01-01
8,8,Hypothetical Central Atlantic Draft WEA 2,140256,180752.41842500833,194535.08687131165,188721.06051600276,2039-01-01,2043-08-15 09:00:00,2044-07-12 10:00:00,2045-03-11 16:00:00,monopile,40,DE,tradepoint_1,1273,False,2040-01-01
9,9,Hypothetical Central Atlantic Draft WEA 3,140256,177624.98511155398,194506.14670520552,194506.14670520552,2039-01-01,2043-04-07 01:00:00,2045-03-10 11:00:00,2045-03-10 11:00:00,semisub,800,NC,portsmouth_2,1428,False,2040-01-01
10,10,Hypothetical NY Bight Fixed 2,140256,178140.3832734613,188707.90083042733,183169.75021079765,2039-01-01,2043-04-28 13:00:00,2043-11-24 02:00:00,2044-07-11 20:00:00,monopile,40,NJ,njwp_1,1500,False,2040-01-01
11,11,Hypothetical NE Fixed 1,131496,163856.76198127857,180840.85014828257,180840.85014828257,2038-01-01,2041-09-10 09:00:00,2043-08-19 01:00:00,2043-08-19 01:00:00,gbf,40,MA,new_bedford,1500,False,2039-01-01
12,12,Hypothetical Central Atlantic WEA 3,131496,164715.0825845303,180752.41842500833,173331.97353374062,2038-01-01,2041-10-16 04:00:00,2042-10-10 04:00:00,2043-08-15 09:00:00,monopile,40,MD,tradepoint_1,1607,False,2039-01-01
13,13,Hypothetical Central Atlantic Draft WEA 8,131496,167687.80073485913,178140.3832734613,172960.170232689,2038-01-01,2042-02-17 00:00:00,2042-09-24 17:00:00,2043-04-28 13:00:00,monopile,40,NC,portsmouth_1,1273,False,2039-01-01
14,14,Hypothetical Central Atlantic Draft WEA 5,131496,160710.21384216112,177624.98511155398,177624.98511155398,2038-01-01,2041-05-02 07:00:00,2043-04-07 01:00:00,2043-04-07 01:00:00,semisub,800,MD,tradepoint_2,1428,False,2039-01-01
15,15,Hypothetical NE Fixed 2,113952,148847.1425231578,167687.80073485913,162822.48326393618,2036-01-01,2039-12-25 00:00:00,2041-07-29 07:00:00,2042-02-17 00:00:00,jacket,40,RI,new_london_1,1500,False,2037-01-01
16,16,Atlantic Shores Offshore Wind Bight,122736,154294.4928605984,164715.0825845303,161374.27640327121,2037-01-01,2040-08-07 23:00:00,2041-05-29 23:00:00,2041-10-16 04:00:00,monopile,40,NY,njwp_1,1284,False,2038-01-01
17,17,Hypothetical Gulf of Maine Draft WEA 7,131496,147647.8806725487,163856.76198127857,163856.76198127857,2038-01-01,2039-11-05 00:00:00,2041-09-10 09:00:00,2041-09-10 09:00:00,semisub,800,MA,searsport_1,1424,False,2039-01-01
18,18,Hypothetical Gulf of Maine Draft WEA 6,122736,144010.33253343124,160710.21384216112,160710.21384216112,2037-01-01,2039-06-06 11:00:00,2041-05-02 07:00:00,2041-05-02 07:00:00,semisub,800,MA,searsport_2,1424,False,2038-01-01
19,19,Hypothetical Central Atlantic Draft WEA 4,140256,141027.148196561,158694.4318354842,153204.8439933722,2039-01-01,2039-02-02 04:00:00,2040-06-23 13:00:00,2041-02-07 07:00:00,monopile,40,MD,tradepoint_2,1273,True,2040-01-01
20,20,Vineyard Northeast,96432,122226.17416195234,154294.4928605984,146266.48216112336,2034-01-01,2036-12-10 19:00:00,2039-09-08 11:00:00,2040-08-07 23:00:00,jacket,40,MA,new_bedford,2600,False,2035-01-01
21,21,Hypothetical Central Atlantic WEA  2,105192,141213.87517193443,148847.1425231578,145726.05024729483,2035-01-01,2039-02-09 22:00:00,2039-08-16 23:00:00,2039-12-25 00:00:00,monopile,40,VA,portsmouth_1,927,False,2036-01-01
22,22,Hypothetical NE Floating 2,122736,130316.81401163756,147647.8806725487,147647.8806725487,2037-01-01,2037-11-12 21:00:00,2039-11-05 00:00:00,2039-11-05 00:00:00,semisub,800,CT,salem,1500,False,2038-01-01
23,23,Hypothetical NY Bight Fixed 1,131496,135173.5487153837,145096.62486845985,139707.1222891154,2038-01-01,2038-06-03 06:00:00,2038-12-09 04:00:00,2039-07-21 17:00:00,monopile,40,NY,sbmt,1500,True,2039-01-01
24,24,Hypothetical Gulf of Maine Draft WEA 5,113952,127295.95122470135,144010.33253343124,144010.33253343124,2036-01-01,2037-07-10 00:00:00,2039-06-06 11:00:00,2039-06-06 11:00:00,semisub,800,MA,searsport_1,1424,False,2037-01-01
25,25,Ocean Wind 2,105192,133230.7762934439,141213.87517193443,137719.08485325566,2035-01-01,2038-03-14 07:00:00,2038-09-17 08:00:00,2039-02-09 22:00:00,monopile,40,NJ,njwp_2,1148,False,2036-01-01
26,26,Hypothetical Central Atlantic WEA 6,131496,134419.84561351064,141027.148196561,138077.31850740808,2038-01-01,2038-05-02 20:00:00,2038-10-02 06:00:00,2039-02-02 04:00:00,monopile,40,MD,tradepoint_1,713,True,2039-01-01
27,27,Garden State Offshore Energy I,105192,125719.2534279174,135173.5487153837,130850.43243200773,2035-01-01,2037-05-05 08:00:00,2037-12-05 03:00:00,2038-06-03 06:00:00,monopile,40,NJ,njwp_1,1080,True,2036-01-01
28,28,Hypothetical Central Atlantic WEA 4,96432,117596.44054665875,134419.84561351064,128164.1521002439,2034-01-01,2036-05-31 21:00:00,2037-08-15 05:00:00,2038-05-02 20:00:00,monopile,40,NC,portsmouth_1,1607,True,2035-01-01
29,29,TotalEnergies,96432,121853.68817237165,133230.7762934439,128307.03391335739,2034-01-01,2036-11-25 06:00:00,2037-08-21 04:00:00,2038-03-14 07:00:00,monopile,40,NC,portsmouth_2,889,False,2035-01-01
30,30,Hypothetical Gulf of Maine Draft WEA 13,105192,113596.35073823883,130316.81401163756,130316.81401163756,2035-01-01,2035-12-17 05:00:00,2037-11-12 21:00:00,2037-11-12 21:00:00,semisub,800,ME,salem,1424,False,2036-01-01
31,31,Hypothetical Gulf of Maine Draft WEA 8,105192,109985.18479669612,127295.95122470135,127295.95122470135,2035-01-01,2035-07-19 18:00:00,2037-07-10 00:00:00,2037-07-10 00:00:00,semisub,800,NH,searsport_2,1424,False,2036-01-01
32,32,Hypothetical Central Atlantic WEA 5,113952,118596.95084486705,125719.2534279174,122442.4237387645,2036-01-01,2036-07-12 13:00:00,2036-12-19 19:00:00,2037-05-05 08:00:00,monopile,40,MD,tradepoint_1,713,True,2037-01-01
33,33,Bluepoint Wind,96432,110984.33655837493,122226.17416195234,118330.23400198923,2034-01-01,2035-08-30 09:00:00,2036-07-01 11:00:00,2036-12-10 19:00:00,monopile,40,NY,njwp_1,1158,False,2035-01-01
34,34,Ocean Wind 1,96432,112038.81186581391,121853.68817237165,118704.08296722377,2034-01-01,2035-10-13 07:00:00,2036-07-17 01:00:00,2036-11-25 06:00:00,monopile,40,NJ,njwp_2,1100,False,2035-01-01
35,35,Kitty Hawk South,87672,91336.4938618287,118596.95084486705,109176.79963893152,2033-01-01,2033-06-02 17:00:00,2035-06-16 01:00:00,2036-07-12 13:00:00,monopile,40,NC,portsmouth_2,2465,True,2034-01-01
36,36,Empire Wind 2,105192,108675.53223175026,117596.44054665875,112898.43754419849,2035-01-01,2035-05-26 04:00:00,2035-11-18 03:00:00,2036-05-31 21:00:00,monopile,40,NY,sbmt,1260,True,2036-01-01
37,37,Hypothetical Gulf of Maine Draft WEA 12,96432,97162.96942950896,113596.35073823883,113596.35073823883,2034-01-01,2034-01-31 11:00:00,2035-12-17 05:00:00,2035-12-17 05:00:00,semisub,800,MA,searsport_1,1424,False,2035-01-01
38,38,Skipjack 1,70128,110950.82518771043,112038.81186581391,111575.61443956327,2031-01-01,2035-08-28 23:00:00,2035-09-24 00:00:00,2035-10-13 07:00:00,monopile,40,MD,tradepoint_1,120,False,2032-01-01
39,39,Skipjack 2,70128,102712.02390269372,110984.33655837493,108596.10173646595,2031-01-01,2034-09-19 17:00:00,2035-05-22 21:00:00,2035-08-30 09:00:00,monopile,40,MD,tradepoint_2,846,False,2032-01-01
40,40,Leading Light Wind,70128,92421.59899533281,110950.82518771043,103150.15652849535,2031-01-01,2033-07-17 22:00:00,2034-10-07 23:00:00,2035-08-28 23:00:00,monopile,40,NJ,njwp_1,2400,False,2032-01-01
41,41,Hypothetical Central Atlantic Draft WEA 7,87672,91962.52320304458,109985.18479669612,109985.18479669612,2033-01-01,2033-06-28 19:00:00,2035-07-19 18:00:00,2035-07-19 18:00:00,semisub,800,VA,portsmouth_1,1566,False,2034-01-01
42,42,Hypothetical Central Atlantic WEA 1,96432,96432.0,108675.53223175026,104369.67215309804,2034-01-01,2034-01-01 00:00:00,2034-11-27 18:00:00,2035-05-26 04:00:00,monopile,40,MD,tradepoint_1,927,True,2035-01-01
43,43,Community Offshore Wind 1,61368,91962.52320304458,102712.02390269372,99356.63871856134,2030-01-01,2033-06-28 19:00:00,2034-05-02 21:00:00,2034-09-19 17:00:00,monopile,40,NY,sbmt,1314,False,2031-01-01
44,44,Bay State Wind b,78888,84424.36731865403,97162.96942950896,97162.96942950896,2032-01-01,2032-08-18 17:00:00,2034-01-31 11:00:00,2034-01-31 11:00:00,gbf,40,MA,new_london_2,1120,False,2033-01-01
45,45,Beacon Wind 1,70128,83001.36400875136,92421.59899533281,87508.804339533,2031-01-01,2032-06-20 10:00:00,2032-12-25 05:00:00,2033-07-17 22:00:00,monopile,40,NY,arthur_kill,1230,False,2032-01-01
46,46,Duke Energy/Cinergy,70128,83305.28621444436,91962.52320304458,86829.74443808966,2031-01-01,2032-07-03 02:00:00,2032-11-26 22:00:00,2033-06-28 19:00:00,monopile,40,NC,portsmouth_1,893,False,2032-01-01
47,47,Atlantic Shores Offshore Wind North,70128,78936.35318105822,91748.80119177002,87284.9276317165,2031-01-01,2032-01-03 01:00:00,2032-12-15 21:00:00,2033-06-19 21:00:00,monopile,40,NJ,njwp_1,1182,True,2032-01-01
48,48,Excelsior Wind,78888,82567.39046431542,91336.4938618287,86443.73212714013,2032-01-01,2032-06-02 08:00:00,2032-11-10 20:00:00,2033-06-02 17:00:00,monopile,40,NY,sbmt,1314,True,2033-01-01
49,49,Bay State Wind a (Revolution Wind 2),78888,78888.0,88586.60211085493,88586.60211085493,2032-01-01,2032-01-01 00:00:00,2033-02-08 03:00:00,2033-02-08 03:00:00,gbf,40,RI,new_london_1,880,False,2033-01-01
50,50,"New England Wind 2 (Commonwealth Wind, Vineyard Wind South)",61368,70736.93365932701,84424.36731865403,84424.36731865403,2030-01-01,2031-01-26 09:00:00,2032-08-18 17:00:00,2032-08-18 17:00:00,gbf,40,MA,salem,1232,False,2031-01-01
51,51,SouthCoast Residual,52608,73815.75304800007,83305.28621444436,81261.90534117828,2029-01-01,2031-06-03 16:00:00,2032-04-08 22:00:00,2032-07-03 02:00:00,jacket,40,MA,new_bedford,800,False,2030-01-01
52,52,Atlantic Shores Offshore Wind South 2,70128,73667.08927084572,83001.36400875136,78109.00555201835,2031-01-01,2031-05-28 12:00:00,2031-11-29 14:00:00,2032-06-20 10:00:00,monopile,40,NJ,njwp_2,1500,False,2032-01-01
53,53,Beacon Wind 2,70128,70128.0,82567.39046431542,77141.95925415769,2031-01-01,2031-01-01 00:00:00,2031-10-20 06:00:00,2032-06-02 08:00:00,monopile,40,NY,sbmt,1200,True,2032-01-01
