,index,name,Initialized,Started,Finished,FoundationFinished,TurbineStart,Date Initialized,Date Started,Date TurbineStart,Date FoundationFinished,Date Finished,substructure,depth,location,associated_port,capacity,us_wtiv,estimated_cod
0,0,Hypothetical Gulf of Maine Draft WEA 4,157800,243831.26447315965,260020.0309011649,260020.0309011649,243831.26447315965,2041-01-01 00:00:00,2050-10-25 16:00:00,2050-10-25 16:00:00,2052-08-30 05:00:00,2052-08-30 05:00:00,semisub,800,NH,searsport_2,1424,False,2042-01-01 00:00:00
1,1,Hypothetical Gulf of Maine Draft WEA 3,157800,242209.86669194727,258406.829965346,258406.829965346,242209.86669194727,2041-01-01 00:00:00,2050-08-19 02:00:00,2050-08-19 02:00:00,2052-06-23 23:00:00,2052-06-23 23:00:00,semisub,800,ME,salem,1424,False,2042-01-01 00:00:00
2,2,Hypothetical Gulf of Maine Draft WEA 2,157800,227068.9980451544,243831.26447315965,243831.26447315965,227068.9980451544,2041-01-01 00:00:00,2048-11-26 05:00:00,2048-11-26 05:00:00,2050-10-25 16:00:00,2050-10-25 16:00:00,semisub,800,ME,searsport_1,1424,False,2042-01-01 00:00:00
3,3,Hypothetical NY Bight Floating 1,149016,221293.54081712858,242209.86669194727,242209.86669194727,221293.54081712858,2040-01-01 00:00:00,2048-03-30 14:00:00,2048-03-30 14:00:00,2050-08-19 02:00:00,2050-08-19 02:00:00,semisub,800,NY,sbmt,1800,False,2041-01-01 00:00:00
4,4,Hypothetical Central Atlantic Draft WEA 2,140256,218634.8599099698,230889.03231804172,230889.03231804172,221085.69439158417,2039-01-01 00:00:00,2047-12-10 19:00:00,2048-03-21 22:00:00,2049-05-04 10:00:00,2049-05-04 10:00:00,monopile,40,DE,tradepoint_1,1273,False,2040-01-01 00:00:00
5,5,Hypothetical Central Atlantic Draft WEA 6,149016,210232.22677576155,227068.9980451544,227068.9980451544,210232.22677576155,2040-01-01 00:00:00,2046-12-25 17:00:00,2046-12-25 17:00:00,2048-11-26 05:00:00,2048-11-26 05:00:00,semisub,800,MD,tradepoint_2,1428,False,2041-01-01 00:00:00
6,6,Hypothetical NE Floating 3,149016,203663.81475579925,221293.54081712858,221293.54081712858,203663.81475579925,2040-01-01 00:00:00,2046-03-27 00:00:00,2046-03-27 00:00:00,2048-03-30 14:00:00,2048-03-30 14:00:00,semisub,800,RI,new_london,1500,False,2041-01-01 00:00:00
7,7,Hypothetical NY Bight Fixed 2,140256,210315.70375440788,218634.8599099698,218634.8599099698,211979.53498552027,2039-01-01 00:00:00,2046-12-29 04:00:00,2047-03-08 12:00:00,2047-12-10 19:00:00,2047-12-10 19:00:00,monopile,40,NJ,njwp_1,1500,False,2040-01-01 00:00:00
8,8,Hypothetical Central Atlantic WEA 3,131496,199287.51254749869,210315.70375440788,210315.70375440788,201493.15078888054,2038-01-01 00:00:00,2045-09-25 16:00:00,2045-12-26 14:00:00,2046-12-29 04:00:00,2046-12-29 04:00:00,monopile,40,MD,tradepoint_1,1607,False,2039-01-01 00:00:00
9,9,Hypothetical NE Floating 1,140256,189424.6601148504,210232.22677576155,210232.22677576155,189424.6601148504,2039-01-01 00:00:00,2044-08-10 17:00:00,2044-08-10 17:00:00,2046-12-25 17:00:00,2046-12-25 17:00:00,semisub,800,CT,salem,1800,False,2040-01-01 00:00:00
