,index,name,Initialized,Started,Finished,FoundationFinished,Date Initialized,Date Started,Date FoundationFinished,Date Finished,substructure,depth,location,associated_port,capacity,us_wtiv,estimated_cod
0,0,Hypothetical Gulf of Maine Draft WEA 3,157800,157800,174199.46327339872,174199.46327339872,2041-01-01 00:00:00,2041-01-01 00:00:00,2042-11-15 08:00:00,2042-11-15 08:00:00,semisub,800,ME,salem,1424,False,2042-01-01 00:00:00
1,1,Hypothetical Gulf of Maine Draft WEA 4,157800,157800,174158.26642800524,174158.26642800524,2041-01-01 00:00:00,2041-01-01 00:00:00,2042-11-13 15:00:00,2042-11-13 15:00:00,semisub,800,NH,searsport_2,1424,False,2042-01-01 00:00:00
2,2,Hypothetical Gulf of Maine Draft WEA 2,157800,157800,174158.26642800524,174158.26642800524,2041-01-01 00:00:00,2041-01-01 00:00:00,2042-11-13 15:00:00,2042-11-13 15:00:00,semisub,800,ME,searsport_1,1424,False,2042-01-01 00:00:00
3,3,Hypothetical NY Bight Floating 1,149016,149016,169609.3258748187,169609.3258748187,2040-01-01 00:00:00,2040-01-01 00:00:00,2042-05-08 02:00:00,2042-05-08 02:00:00,semisub,800,NY,sbmt,1800,False,2041-01-01 00:00:00
4,4,Hypothetical NE Floating 3,149016,149016,166059.72606132933,166059.72606132933,2040-01-01 00:00:00,2040-01-01 00:00:00,2041-12-11 04:00:00,2041-12-11 04:00:00,semisub,800,RI,new_london_1,1500,False,2041-01-01 00:00:00
5,5,Hypothetical Central Atlantic Draft WEA 6,149016,149016,165487.77126939286,165487.77126939286,2040-01-01 00:00:00,2040-01-01 00:00:00,2041-11-17 08:00:00,2041-11-17 08:00:00,semisub,800,MD,tradepoint_2,1428,False,2041-01-01 00:00:00
6,6,Hypothetical NE Floating 1,140256,140256,160995.56666091114,160995.56666091114,2039-01-01 00:00:00,2039-01-01 00:00:00,2041-05-14 04:00:00,2041-05-14 04:00:00,semisub,800,CT,salem,1800,False,2040-01-01 00:00:00
7,7,Hypothetical Central Atlantic Draft WEA 3,140256,140256,156672.16159365154,156672.16159365154,2039-01-01 00:00:00,2039-01-01 00:00:00,2040-11-15 01:00:00,2040-11-15 01:00:00,semisub,800,NC,portsmouth_2,1428,False,2040-01-01 00:00:00
8,8,Hypothetical Gulf of Maine Draft WEA 1,140256,140256,156484.76642800524,156484.76642800524,2039-01-01 00:00:00,2039-01-01 00:00:00,2040-11-07 05:00:00,2040-11-07 05:00:00,semisub,800,ME,searsport_2,1424,False,2040-01-01 00:00:00
9,9,Hypothetical NY Bight Fixed 2,140256,140256,155918.27560249783,151948.37629145183,2039-01-01 00:00:00,2039-01-01 00:00:00,2040-05-02 05:00:00,2040-10-14 15:00:00,monopile,40,NJ,njwp_1,1500,False,2040-01-01 00:00:00
