,index,name,Initialized,Started,Finished,Date Initialized,Date Started,Date Finished,substructure,depth,location,associated_port,capacity,us_wtiv,estimated_cod
0,0,Hypothetical Gulf of Maine Draft WEA 6,157800,174521.9280216568,190995.80933038666,2041-01-01 00:00:00,2042-11-28 18:00:00,2044-10-15 04:00:00,semisub,800,MA,searsport_2,1424.12,False,2042-01-01 00:00:00
1,1,Hypothetical NE Fixed 2,157800,165262.76642800524,182068.69691301574,2041-01-01 00:00:00,2041-11-07 23:00:00,2043-10-09 05:00:00,gbf,40,RI,new_london_1,1500.0,False,2042-01-01 00:00:00
2,2,Hypothetical NY Bight Fixed 1,157800,164796.13714684208,181167.99958389366,2041-01-01 00:00:00,2041-10-19 13:00:00,2043-09-01 16:00:00,monopile,40,NY,sbmt,1500.0,False,2042-01-01 00:00:00
3,3,Hypothetical Gulf of Maine Draft WEA 5,149016,160833.34517812586,177607.72648685574,2040-01-01 00:00:00,2041-05-07 10:00:00,2043-04-06 08:00:00,semisub,800,MA,searsport_1,1424.12,False,2041-01-01 00:00:00
4,4,Hypothetical Central Atlantic Draft WEA 7,140256,156484.76642800524,174521.9280216568,2039-01-01 00:00:00,2040-11-07 05:00:00,2042-11-28 18:00:00,semisub,800,VA,portsmouth_1,1565.58,False,2040-01-01 00:00:00
5,5,Atlantic Shores Offshore Wind Bight,140256,158728.83376838555,169521.6564534417,2039-01-01 00:00:00,2041-02-08 17:00:00,2042-05-04 10:00:00,monopile,40,NY,njwp_2,1284.0,False,2040-01-01 00:00:00
6,6,Hypothetical Gulf of Maine Draft WEA 13,149016,149016.0,165262.76642800524,2040-01-01 00:00:00,2040-01-01 00:00:00,2041-11-07 23:00:00,semisub,800,ME,searsport_2,1424.12,False,2041-01-01 00:00:00
7,7,Hypothetical Central Atlantic WEA 6,157800,158484.57292608998,164796.29169977072,2041-01-01 00:00:00,2041-01-29 13:00:00,2041-10-19 13:00:00,monopile,40,MD,tradepoint_1,712.8,False,2042-01-01 00:00:00
8,8,Hypothetical Central Atlantic WEA 5,149016,157747.41837316132,164796.13714684208,2040-01-01 00:00:00,2040-12-29 20:00:00,2041-10-19 13:00:00,monopile,40,MD,tradepoint_2,712.8,False,2041-01-01 00:00:00
9,9,Hypothetical Gulf of Maine Draft WEA 12,131496,144260.0534598235,160833.34517812586,2038-01-01 00:00:00,2039-06-16 21:00:00,2041-05-07 10:00:00,semisub,800,MA,new_bedford,1424.12,False,2039-01-01 00:00:00
10,10,Ocean Wind 2,131496,151200.81830750167,158728.83376838555,2038-01-01 00:00:00,2040-04-01 01:00:00,2041-02-08 17:00:00,monopile,40,NJ,njwp_2,1148.0,False,2039-01-01 00:00:00
11,11,Garden State Offshore Energy I,140256,152045.5060354399,158484.57292608998,2039-01-01 00:00:00,2040-05-06 06:00:00,2041-01-29 13:00:00,monopile,40,NJ,njwp_1,1080.0,False,2040-01-01 00:00:00
12,12,Hypothetical Central Atlantic WEA  2,149016,152209.36373651534,157747.41837316132,2040-01-01 00:00:00,2040-05-13 02:00:00,2040-12-29 20:00:00,monopile,40,VA,portsmouth_2,926.65,False,2041-01-01 00:00:00
13,13,Hypothetical Gulf of Maine Draft WEA 8,140256,140256.0,156484.76642800524,2039-01-01 00:00:00,2039-01-01 00:00:00,2040-11-07 05:00:00,semisub,800,NH,searsport_1,1424.12,False,2040-01-01 00:00:00
14,14,TotalEnergies,122736,141247.9226870236,152209.36373651534,2037-01-01 00:00:00,2039-02-11 08:00:00,2040-05-13 02:00:00,monopile,40,NC,portsmouth_2,889.0,False,2038-01-01 00:00:00
15,15,Empire Wind 2,131496,141373.84371560832,152045.5060354399,2038-01-01 00:00:00,2039-02-16 14:00:00,2040-05-06 06:00:00,monopile,40,NY,sbmt,1260.0,False,2039-01-01 00:00:00
16,16,Hypothetical Central Atlantic WEA 4,122736,137618.0871943605,151200.81830750167,2037-01-01 00:00:00,2038-09-13 03:00:00,2040-04-01 01:00:00,monopile,40,NC,portsmouth_1,1607.05,False,2038-01-01 00:00:00
17,17,Vineyard Northeast,113952,113952.0,144260.0534598235,2036-01-01 00:00:00,2036-01-01 00:00:00,2039-06-16 21:00:00,gbf,40,MA,new_bedford,2600.0,False,2037-01-01 00:00:00
18,18,Ocean Wind 1,113952,131391.72750800755,141373.84371560832,2036-01-01 00:00:00,2037-12-27 16:00:00,2039-02-16 14:00:00,monopile,40,NJ,njwp_2,1100.0,False,2037-01-01 00:00:00
19,19,Hypothetical Central Atlantic WEA 1,122736,131768.44152418672,141247.9226870236,2037-01-01 00:00:00,2038-01-12 09:00:00,2039-02-11 08:00:00,monopile,40,MD,tradepoint_1,926.65,False,2038-01-01 00:00:00
20,20,Kitty Hawk South,105192,118750.05183826544,137618.0871943605,2035-01-01 00:00:00,2036-07-18 23:00:00,2038-09-13 03:00:00,monopile,40,NC,portsmouth_1,2465.0,False,2036-01-01 00:00:00
21,21,Bay State Wind b,105192,117717.23939368351,131768.44152418672,2035-01-01 00:00:00,2036-06-05 22:00:00,2038-01-12 09:00:00,jacket,40,MA,new_london_2,1120.0,False,2036-01-01 00:00:00
22,22,Bluepoint Wind,113952,120290.71254405452,131391.72750800755,2036-01-01 00:00:00,2036-09-21 03:00:00,2037-12-27 16:00:00,monopile,40,NY,njwp_1,1158.0,False,2037-01-01 00:00:00
23,23,Bay State Wind a (Revolution Wind 2),105192,109210.99700000814,120290.71254405452,2035-01-01 00:00:00,2035-06-17 11:00:00,2036-09-21 03:00:00,jacket,40,RI,new_london_1,880.0,False,2036-01-01 00:00:00
24,24,Atlantic Shores Offshore Wind North,96432,108703.585501342,118750.05183826544,2034-01-01 00:00:00,2035-05-27 08:00:00,2036-07-18 23:00:00,monopile,40,NJ,njwp_1,1182.0,False,2035-01-01 00:00:00
25,25,Excelsior Wind,96432,107358.01647319293,117717.23939368351,2034-01-01 00:00:00,2035-04-01 07:00:00,2036-06-05 22:00:00,monopile,40,NY,sbmt,1314.0,False,2035-01-01 00:00:00
26,26,Atlantic Shores Offshore Wind South 2,96432,99556.79463749996,109210.99700000814,2034-01-01 00:00:00,2034-05-11 05:00:00,2035-06-17 11:00:00,monopile,40,NJ,njwp_2,1500.0,False,2035-01-01 00:00:00
27,27,Leading Light Wind,87672,88296.44336476902,108703.585501342,2033-01-01 00:00:00,2033-01-27 01:00:00,2035-05-27 08:00:00,monopile,40,NJ,njwp_1,2400.0,False,2034-01-01 00:00:00
28,28,Beacon Wind 2,87672,93904.06137455825,107358.01647319293,2033-01-01 00:00:00,2033-09-17 17:00:00,2035-04-01 07:00:00,monopile,40,NY,sbmt,1200.0,False,2034-01-01 00:00:00
29,29,"New England Wind 1 (Park City Wind, Vineyard Wind South)",78888,91175.34199820414,100325.65708417344,2032-01-01 00:00:00,2033-05-27 00:00:00,2034-06-12 06:00:00,gbf,40,CT,new_bedford,800.0,False,2033-01-01 00:00:00
30,30,Duke Energy/Cinergy,87672,87672.0,99556.79463749996,2033-01-01 00:00:00,2033-01-01 00:00:00,2034-05-11 05:00:00,monopile,40,NC,portsmouth_1,893.0,False,2034-01-01 00:00:00
31,31,Beacon Wind 1,78888,82625.64181350237,93904.06137455825,2032-01-01 00:00:00,2032-06-04 18:00:00,2033-09-17 17:00:00,monopile,40,NY,sbmt,1230.0,False,2033-01-01 00:00:00
32,32,"New England Wind 2 (Commonwealth Wind, Vineyard Wind South)",70128,77255.52691223484,91175.34199820414,2031-01-01 00:00:00,2031-10-25 00:00:00,2033-05-27 00:00:00,gbf,40,MA,new_bedford,1232.0,False,2032-01-01 00:00:00
33,33,Skipjack 2,78888,82505.32004932725,88296.44336476902,2032-01-01 00:00:00,2032-05-30 18:00:00,2033-01-27 01:00:00,monopile,40,MD,tradepoint_2,846.0,False,2033-01-01 00:00:00
34,34,Community Offshore Wind 1,70128,73705.60007072965,82625.64181350237,2031-01-01 00:00:00,2031-05-30 02:00:00,2032-06-04 18:00:00,monopile,40,NY,sbmt,1314.0,False,2032-01-01 00:00:00
35,35,Skipjack 1,78888,78888.0,82532.78265193722,2032-01-01 00:00:00,2032-01-01 00:00:00,2032-05-31 21:00:00,monopile,40,MD,tradepoint_1,120.0,False,2033-01-01 00:00:00
36,36,Attentive Energy Two,70128,70128.0,82505.32004932725,2031-01-01 00:00:00,2031-01-01 00:00:00,2032-05-30 18:00:00,monopile,40,NJ,njwp_1,1342.0,False,2032-01-01 00:00:00
37,37,SouthCoast Residual,61368,67617.433774505,77255.52691223484,2030-01-01 00:00:00,2030-09-18 10:00:00,2031-10-25 00:00:00,jacket,40,MA,new_bedford,800.0,False,2031-01-01 00:00:00
38,38,Attentive Energy One,61368,64172.309884415365,73705.60007072965,2030-01-01 00:00:00,2030-04-27 21:00:00,2031-05-30 02:00:00,monopile,40,NY,sbmt,1404.0,False,2031-01-01 00:00:00
39,39,SouthCoast 1 Phase 2 (Mayflower Wind 2),52608,63135.43751249117,67617.433774505,2029-01-01 00:00:00,2030-03-15 16:00:00,2030-09-18 10:00:00,jacket,40,MA,new_bedford,400.0,False,2030-01-01 00:00:00
40,40,MarWin Residual,61368,61368.0,67532.39004543748,2030-01-01 00:00:00,2030-01-01 00:00:00,2030-09-14 21:00:00,monopile,40,MD,tradepoint_1,600.0,False,2031-01-01 00:00:00
41,41,Kitty Hawk North,52608,52608.0,64172.309884415365,2029-01-01 00:00:00,2029-01-01 00:00:00,2030-04-27 21:00:00,monopile,40,VA,portsmouth_2,1035.0,False,2030-01-01 00:00:00
42,42,Maine Research Array,61368,61368.0,63373.192152350064,2030-01-01 00:00:00,2030-01-01 00:00:00,2030-03-25 14:00:00,semisub,800,RI,searsport_1,144.0,False,2031-01-01 00:00:00
43,43,SouthCoast 1 Phase 1 (Mayflower Wind 1),52608,52608.0,63135.43751249117,2029-01-01 00:00:00,2029-01-01 00:00:00,2030-03-15 16:00:00,jacket,40,MA,new_bedford,804.0,False,2030-01-01 00:00:00
44,44,Sunrise Wind,43824,47067.042369761104,55327.43568131766,2028-01-01 00:00:00,2028-05-15 04:00:00,2029-04-24 08:00:00,monopile,40,NY,new_london_1,924.0,False,2029-01-01 00:00:00
45,45,Momentum Wind,43824,43824.0,51091.42433304535,2028-01-01 00:00:00,2028-01-01 00:00:00,2028-10-29 20:00:00,monopile,40,MD,tradepoint_1,809.0,False,2029-01-01 00:00:00
46,46,Atlantic Shores Offshore Wind South 1,35064,35064.0,47216.04677637339,2027-01-01 00:00:00,2027-01-01 00:00:00,2028-05-21 09:00:00,monopile,40,NJ,njwp_1,1510.0,False,2028-01-01 00:00:00
47,47,CVOW-C,26304,26304.0,47067.042369761104,2026-01-01 00:00:00,2026-01-01 00:00:00,2028-05-15 04:00:00,monopile,40,VA,portsmouth_1,2587.0,False,2027-01-01 00:00:00
48,48,Empire Wind 1,35064,35064.0,42016.803350477785,2027-01-01 00:00:00,2027-01-01 00:00:00,2027-10-17 17:00:00,monopile,40,NY,sbmt,816.0,False,2028-01-01 00:00:00
49,49,MarWin,26304,26304.0,30626.484060825103,2026-01-01 00:00:00,2026-01-01 00:00:00,2026-06-30 03:00:00,monopile,40,MD,tradepoint_1,248.0,False,2027-01-01 00:00:00
50,50,Revolution Wind 1,8760,8760.0,15997.064565998087,2024-01-01 00:00:00,2024-01-01 00:00:00,2024-10-28 14:00:00,monopile,40,RI/CT,new_london_1,704.0,False,2025-01-01 00:00:00
51,51,Vineyard Wind 1,0,0.0,8078.474759646382,2023-01-01 00:00:00,2023-01-01 00:00:00,2023-12-03 15:00:00,monopile,40,MA,new_bedford,800.0,False,2024-01-01 00:00:00
52,52,South Fork,0,0.0,3785.9569112472955,2023-01-01 00:00:00,2023-01-01 00:00:00,2023-06-07 18:00:00,monopile,40,NY,new_london_1,132.0,False,2024-01-01 00:00:00
