,best_path_forward_south_ne,high_deployment_south_ne,low_deployment_south_ne,best_path_forward_north_ne,high_deployment_north_ne,low_deployment_north_ne,core_scenario_south_ne,core_scenario_north_ne
2023,0.0,0.0,0.0,0.0,0.0,0.0,882.0,
2024,0.0,0.0,0.0,0.0,0.0,0.0,754.0,
2025,0.0,0.0,0.0,0.0,0.0,0.0,,
2026,0.0,0.0,0.0,0.0,0.0,0.0,,
2027,0.0,0.0,0.0,0.0,0.0,0.0,462.0,
2028,0.0,0.0,0.0,0.0,0.0,0.0,1264.0,144.0
2029,0.0,0.0,0.0,0.0,0.0,0.0,802.0,400.0
2030,0.0,0.0,0.0,0.0,0.0,0.0,400.0,400.0
2031,0.0,0.0,0.0,0.0,0.0,0.0,960.0,616.0
2032,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1090.0
2033,0.0,0.0,0.0,0.0,0.0,0.0,1600.0,948.0
2034,0.0,0.0,0.0,0.0,0.0,0.0,520.0,1661.0
2035,0.0,0.0,0.0,0.0,0.0,0.0,,1899.0
2036,0.0,0.0,0.0,0.0,0.0,0.0,1020.0,1924.0
2037,0.0,0.0,0.0,0.0,0.0,0.0,500.0,1000.0
2038,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,2024.0
2039,0.0,0.0,0.0,0.0,0.0,0.0,500.0,2024.0
2040,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,2024.0
2041,0.0,0.0,0.0,0.0,0.0,0.0,,2372.0
2042,0.0,0.0,0.0,0.0,0.0,0.0,,1187.0
