,index,name,Initialized,Started,Finished,FoundationFinished,Date Initialized,Date Started,Date FoundationFinished,Date Finished,substructure,depth,location,associated_port,capacity,us_wtiv,estimated_cod
0,0,Hypothetical Gulf of Maine Draft WEA 4,157800,243479.8378998072,259668.60432781244,259668.60432781244,2041-01-01 00:00:00,2050-10-11 00:00:00,2052-08-15 13:00:00,2052-08-15 13:00:00,semisub,800,NH,searsport_2,1424,False,2042-01-01 00:00:00
1,1,Hypothetical Gulf of Maine Draft WEA 3,157800,242405.79326529973,258602.75653869845,258602.75653869845,2041-01-01 00:00:00,2050-08-27 06:00:00,2052-07-02 03:00:00,2052-07-02 03:00:00,semisub,800,ME,salem,1424,False,2042-01-01 00:00:00
2,2,Hypothetical Gulf of Maine Draft WEA 2,157800,226604.07147180196,243479.8378998072,243479.8378998072,2041-01-01 00:00:00,2048-11-06 21:00:00,2050-10-11 00:00:00,2050-10-11 00:00:00,semisub,800,ME,searsport_1,1424,False,2042-01-01 00:00:00
3,3,Hypothetical NY Bight Floating 1,149016,221527.96739048103,242405.79326529973,242405.79326529973,2040-01-01 00:00:00,2048-04-09 08:00:00,2050-08-27 06:00:00,2050-08-27 06:00:00,semisub,800,NY,sbmt,1800,False,2041-01-01 00:00:00
4,4,Hypothetical Central Atlantic Draft WEA 6,149016,209958.3002024091,226604.07147180196,226604.07147180196,2040-01-01 00:00:00,2046-12-14 07:00:00,2048-11-06 21:00:00,2048-11-06 21:00:00,semisub,800,MD,tradepoint_2,1428,False,2041-01-01 00:00:00
5,5,Hypothetical NE Floating 3,149016,203836.7413291517,221527.96739048103,221527.96739048103,2040-01-01 00:00:00,2046-04-03 05:00:00,2048-04-09 08:00:00,2048-04-09 08:00:00,semisub,800,RI,new_london,1500,False,2041-01-01 00:00:00
6,6,Hypothetical NE Floating 1,140256,189033.73354149796,209958.3002024091,209958.3002024091,2039-01-01 00:00:00,2044-07-25 10:00:00,2046-12-14 07:00:00,2046-12-14 07:00:00,semisub,800,CT,salem,1800,False,2040-01-01 00:00:00
7,7,Hypothetical Gulf of Maine Draft WEA 1,140256,186847.47490114646,203836.7413291517,203836.7413291517,2039-01-01 00:00:00,2044-04-25 08:00:00,2046-04-03 05:00:00,2046-04-03 05:00:00,semisub,800,ME,searsport_2,1424,False,2040-01-01 00:00:00
8,8,Hypothetical Central Atlantic Draft WEA 4,140256,188383.25972102652,196957.051916234,196957.051916234,2039-01-01 00:00:00,2044-06-28 08:00:00,2045-06-20 14:00:00,2045-06-20 14:00:00,monopile,40,MD,tradepoint_2,1273,False,2040-01-01 00:00:00
9,9,Hypothetical Central Atlantic Draft WEA 2,140256,181312.15073472727,189961.3884077121,189961.3884077121,2039-01-01 00:00:00,2043-09-07 17:00:00,2044-09-02 02:00:00,2044-09-02 02:00:00,monopile,40,DE,tradepoint_1,1273,False,2040-01-01 00:00:00
10,10,Hypothetical Central Atlantic Draft WEA 3,140256,172098.57194784642,189033.73354149796,189033.73354149796,2039-01-01 00:00:00,2042-08-19 19:00:00,2044-07-25 10:00:00,2044-07-25 10:00:00,semisub,800,NC,portsmouth_2,1428,False,2040-01-01 00:00:00
11,11,Hypothetical NY Bight Fixed 2,140256,179381.54904324203,188383.25972102652,188383.25972102652,2039-01-01 00:00:00,2043-06-19 06:00:00,2044-06-28 08:00:00,2044-06-28 08:00:00,monopile,40,NJ,njwp_1,1500,False,2040-01-01 00:00:00
12,12,Hypothetical NE Fixed 1,131496,169523.38673414246,186847.47490114646,186847.47490114646,2038-01-01 00:00:00,2042-05-04 12:00:00,2044-04-25 08:00:00,2044-04-25 08:00:00,gbf,40,MA,new_bedford,1500,False,2039-01-01 00:00:00
