,index,name,Initialized,Started,Finished,FoundationFinished,Date Initialized,Date Started,Date FoundationFinished,Date Finished,substructure,depth,location,associated_port,capacity,us_wtiv,estimated_cod
0,0,Hypothetical Gulf of Maine Draft WEA 4,157800,213118.32451893523,229892.09094694047,229892.09094694047,2041-01-01 00:00:00,2047-04-24 23:00:00,2049-03-23 21:00:00,2049-03-23 21:00:00,semisub,800,NH,searsport_1,1424,False,2042-01-01 00:00:00
1,1,Hypothetical Gulf of Maine Draft WEA 2,157800,196243.05809093,213118.32451893523,213118.32451893523,2041-01-01 00:00:00,2045-05-21 20:00:00,2047-04-24 23:00:00,2047-04-24 23:00:00,semisub,800,ME,searsport_1,1424,False,2042-01-01 00:00:00
2,2,Hypothetical Gulf of Maine Draft WEA 1,140256,179342.29166292475,196243.05809093,196243.05809093,2039-01-01 00:00:00,2043-06-17 15:00:00,2045-05-21 20:00:00,2045-05-21 20:00:00,semisub,800,ME,searsport_1,1424,False,2040-01-01 00:00:00
3,3,Hypothetical Central Atlantic Draft WEA 4,140256,165487.77126939286,180270.8592249904,173931.2754607988,2039-01-01 00:00:00,2041-11-17 08:00:00,2042-11-04 04:00:00,2043-07-26 07:00:00,monopile,40,MD,tradepoint_2,1273,False,2040-01-01 00:00:00
4,4,Hypothetical Gulf of Maine Draft WEA 7,131496,162671.41035419487,179342.29166292475,179342.29166292475,2038-01-01 00:00:00,2041-07-23 00:00:00,2043-06-17 15:00:00,2043-06-17 15:00:00,semisub,800,MA,searsport_1,1424,False,2039-01-01 00:00:00
5,5,Hypothetical Gulf of Maine Draft WEA 3,157800,161611.13332182227,178419.096595221,178419.096595221,2041-01-01 00:00:00,2041-06-08 20:00:00,2043-05-10 04:00:00,2043-05-10 04:00:00,semisub,800,ME,salem,1424,False,2042-01-01 00:00:00
6,6,Hypothetical NY Bight Floating 1,149016,156672.16159365154,177570.98746847024,177570.98746847024,2040-01-01 00:00:00,2040-11-15 01:00:00,2043-04-04 19:00:00,2043-04-04 19:00:00,semisub,800,NY,sbmt,1800,False,2041-01-01 00:00:00
7,7,Hypothetical NE Floating 3,149016,156337.81712053216,173401.5431818615,173401.5431818615,2040-01-01 00:00:00,2040-11-01 02:00:00,2042-10-13 02:00:00,2042-10-13 02:00:00,semisub,800,RI,new_london_1,1500,False,2041-01-01 00:00:00
8,8,Hypothetical Central Atlantic Draft WEA 2,140256,156058.72215575722,170758.75225627297,164423.18256763075,2039-01-01 00:00:00,2040-10-20 11:00:00,2041-10-04 00:00:00,2042-06-24 23:00:00,monopile,40,DE,tradepoint_1,1273,False,2040-01-01 00:00:00
9,9,Hypothetical Central Atlantic Draft WEA 6,149016,149016.0,165487.77126939286,165487.77126939286,2040-01-01 00:00:00,2040-01-01 00:00:00,2041-11-17 08:00:00,2041-11-17 08:00:00,semisub,800,MD,tradepoint_2,1428,False,2041-01-01 00:00:00
10,10,Hypothetical Gulf of Maine Draft WEA 6,122736,146329.529045465,162671.41035419487,162671.41035419487,2037-01-01 00:00:00,2039-09-11 02:00:00,2041-07-23 00:00:00,2041-07-23 00:00:00,semisub,800,MA,searsport_1,1424,False,2038-01-01 00:00:00
11,11,Hypothetical NY Bight Fixed 2,140256,150768.54983340827,162114.27079245207,157202.15146674748,2039-01-01 00:00:00,2040-03-14 01:00:00,2040-12-07 03:00:00,2041-06-29 19:00:00,monopile,40,NJ,njwp_1,1500,False,2040-01-01 00:00:00
12,12,Hypothetical NE Floating 1,140256,140917.56666091114,161611.13332182227,161611.13332182227,2039-01-01 00:00:00,2039-01-28 14:00:00,2041-06-08 20:00:00,2041-06-08 20:00:00,semisub,800,CT,salem,1800,False,2040-01-01 00:00:00
13,13,Hypothetical Central Atlantic Draft WEA 3,140256,140256.0,156672.16159365154,156672.16159365154,2039-01-01 00:00:00,2039-01-01 00:00:00,2040-11-15 01:00:00,2040-11-15 01:00:00,semisub,800,NC,portsmouth_2,1428,False,2040-01-01 00:00:00
14,14,Hypothetical NE Fixed 1,131496,139623.72895352816,156337.81712053216,156337.81712053216,2038-01-01 00:00:00,2038-12-05 16:00:00,2040-11-01 02:00:00,2040-11-01 02:00:00,gbf,40,MA,new_bedford,1500,False,2039-01-01 00:00:00
15,15,Hypothetical Central Atlantic WEA 6,131496,151035.10057512808,156058.72215575722,154137.62091082853,2038-01-01 00:00:00,2040-03-25 04:00:00,2040-08-01 10:00:00,2040-10-20 11:00:00,monopile,40,MD,tradepoint_1,713,False,2039-01-01 00:00:00
16,16,Hypothetical NY Bight Fixed 1,131496,143231.25736492968,153425.43728626054,148095.8291858529,2038-01-01 00:00:00,2039-05-05 00:00:00,2039-11-23 16:00:00,2040-07-02 18:00:00,monopile,40,NY,sbmt,1500,False,2039-01-01 00:00:00
17,17,Hypothetical Central Atlantic Draft WEA 8,131496,139623.72895352816,151543.95116259472,146306.6561332391,2038-01-01 00:00:00,2038-12-05 16:00:00,2039-09-10 03:00:00,2040-04-15 08:00:00,monopile,40,NC,portsmouth_1,1273,False,2039-01-01 00:00:00
18,18,Hypothetical Central Atlantic WEA 3,131496,133481.39115000598,151035.10057512808,143955.55605544258,2038-01-01 00:00:00,2038-03-24 18:00:00,2039-06-04 04:00:00,2040-03-25 04:00:00,monopile,40,MD,tradepoint_1,1607,False,2039-01-01 00:00:00
19,19,Hypothetical NE Fixed 2,113952,131206.2615330088,150768.54983340827,145199.01902387064,2036-01-01 00:00:00,2037-12-19 23:00:00,2039-07-26 00:00:00,2040-03-14 01:00:00,jacket,40,RI,new_london_1,1500,False,2037-01-01 00:00:00
