,index,name,Initialized,Started,Finished,FoundationFinished,Date Initialized,Date Started,Date FoundationFinished,Date Finished,substructure,depth,location,associated_port,capacity,us_wtiv,estimated_cod
0,0,Hypothetical Gulf of Maine Draft WEA 6,157800,172698.72970140397,189472.61101013384,189472.61101013384,2041-01-01 00:00:00,2042-09-13 19:00:00,2044-08-12 17:00:00,2044-08-12 17:00:00,semisub,800,MA,searsport_2,1424.12,False,2042-01-01 00:00:00
1,1,Hypothetical NE Fixed 2,157800,160833.34517812586,177798.27566313633,177798.27566313633,2041-01-01 00:00:00,2041-05-07 10:00:00,2043-04-14 07:00:00,2043-04-14 07:00:00,gbf,40,RI,new_london,1500.0,False,2042-01-01 00:00:00
2,2,Hypothetical Gulf of Maine Draft WEA 5,149016,158391.66159365154,174886.54290238142,174886.54290238142,2040-01-01 00:00:00,2041-01-25 16:00:00,2042-12-13 23:00:00,2042-12-13 23:00:00,semisub,800,MA,searsport_1,1424.12,False,2041-01-01 00:00:00
3,3,Hypothetical Gulf of Maine Draft WEA 13,149016,156484.76642800524,172698.72970140397,172698.72970140397,2040-01-01 00:00:00,2040-11-07 05:00:00,2042-09-13 19:00:00,2042-09-13 19:00:00,semisub,800,ME,salem,1424.12,False,2041-01-01 00:00:00
4,4,Hypothetical NY Bight Fixed 1,157800,157800.0,169985.95581691398,169985.95581691398,2041-01-01 00:00:00,2041-01-01 00:00:00,2042-05-23 18:00:00,2042-05-23 18:00:00,monopile,40,NY,sbmt,1500.0,False,2042-01-01 00:00:00
5,5,Hypothetical Central Atlantic WEA 6,157800,157800.0,162897.85211903445,162897.85211903445,2041-01-01 00:00:00,2041-01-01 00:00:00,2041-08-01 10:00:00,2041-08-01 10:00:00,monopile,40,MD,tradepoint_1,712.8,False,2042-01-01 00:00:00
6,6,Hypothetical Gulf of Maine Draft WEA 12,131496,144260.0534598235,160833.34517812586,160833.34517812586,2038-01-01 00:00:00,2039-06-16 21:00:00,2041-05-07 10:00:00,2041-05-07 10:00:00,semisub,800,MA,new_bedford,1424.12,False,2039-01-01 00:00:00
7,7,Hypothetical Central Atlantic Draft WEA 7,140256,140256.0,158391.66159365154,158391.66159365154,2039-01-01 00:00:00,2039-01-01 00:00:00,2041-01-25 16:00:00,2041-01-25 16:00:00,semisub,800,VA,portsmouth_1,1565.58,False,2040-01-01 00:00:00
8,8,Hypothetical Gulf of Maine Draft WEA 8,140256,140256.0,156484.76642800524,156484.76642800524,2039-01-01 00:00:00,2039-01-01 00:00:00,2040-11-07 05:00:00,2040-11-07 05:00:00,semisub,800,NH,searsport_1,1424.12,False,2040-01-01 00:00:00
9,9,Hypothetical Central Atlantic WEA  2,149016,149016.0,154458.76755736832,154458.76755736832,2040-01-01 00:00:00,2040-01-01 00:00:00,2040-08-14 19:00:00,2040-08-14 19:00:00,monopile,40,VA,portsmouth_2,926.65,False,2041-01-01 00:00:00
10,10,Hypothetical Central Atlantic WEA 5,149016,149016.0,154138.52033570045,154138.52033570045,2040-01-01 00:00:00,2040-01-01 00:00:00,2040-08-01 11:00:00,2040-08-01 11:00:00,monopile,40,MD,tradepoint_2,712.8,False,2041-01-01 00:00:00
11,11,Atlantic Shores Offshore Wind Bight,140256,140256.0,147446.07125105342,147446.07125105342,2039-01-01 00:00:00,2039-01-01 00:00:00,2039-10-27 15:00:00,2039-10-27 15:00:00,monopile,40,NY,njwp_2,1284.0,False,2040-01-01 00:00:00
12,12,Garden State Offshore Energy I,140256,140256.0,146267.67120834105,146267.67120834105,2039-01-01 00:00:00,2039-01-01 00:00:00,2039-09-08 12:00:00,2039-09-08 12:00:00,monopile,40,NJ,njwp_1,1080.0,False,2040-01-01 00:00:00
13,13,Vineyard Northeast,113952,113952.0,144260.0534598235,144260.0534598235,2036-01-01 00:00:00,2036-01-01 00:00:00,2039-06-16 21:00:00,2039-06-16 21:00:00,gbf,40,MA,new_bedford,2600.0,False,2037-01-01 00:00:00
14,14,Empire Wind 2,131496,131496.0,138104.2456954974,138104.2456954974,2038-01-01 00:00:00,2038-01-01 00:00:00,2038-10-03 09:00:00,2038-10-03 09:00:00,monopile,40,NY,sbmt,1260.0,False,2039-01-01 00:00:00
15,15,Ocean Wind 2,131496,131496.0,137819.87452216592,137819.87452216592,2038-01-01 00:00:00,2038-01-01 00:00:00,2038-09-21 12:00:00,2038-09-21 12:00:00,monopile,40,NJ,njwp_2,1148.0,False,2039-01-01 00:00:00
16,16,Hypothetical Central Atlantic WEA 4,122736,124789.90102811022,130578.64981109477,130578.64981109477,2037-01-01 00:00:00,2037-03-27 14:00:00,2037-11-23 19:00:00,2037-11-23 19:00:00,monopile,40,NC,portsmouth_1,1607.05,False,2038-01-01 00:00:00
17,17,TotalEnergies,122736,126198.4476573659,130004.72591422507,130004.72591422507,2037-01-01 00:00:00,2037-05-25 07:00:00,2037-10-30 21:00:00,2037-10-30 21:00:00,monopile,40,NC,portsmouth_2,889.0,False,2038-01-01 00:00:00
18,18,Hypothetical Central Atlantic WEA 1,122736,122736.0,128992.87056171546,128992.87056171546,2037-01-01 00:00:00,2037-01-01 00:00:00,2037-09-18 17:00:00,2037-09-18 17:00:00,monopile,40,MD,tradepoint_1,926.65,False,2038-01-01 00:00:00
19,19,Ocean Wind 1,113952,119197.01021544158,126198.4476573659,126198.4476573659,2036-01-01 00:00:00,2036-08-06 14:00:00,2037-05-25 07:00:00,2037-05-25 07:00:00,monopile,40,NJ,njwp_2,1100.0,False,2037-01-01 00:00:00
20,20,Bay State Wind b,105192,113558.82326208844,124789.90102811022,124743.63976159727,2035-01-01 00:00:00,2035-12-15 15:00:00,2037-03-25 16:00:00,2037-03-27 14:00:00,jacket,40,MA,new_london,1120.0,False,2036-01-01 00:00:00
21,21,Bluepoint Wind,113952,113952.0,120907.37031723527,120907.37031723527,2036-01-01 00:00:00,2036-01-01 00:00:00,2036-10-16 20:00:00,2036-10-16 20:00:00,monopile,40,NY,njwp_1,1158.0,False,2037-01-01 00:00:00
22,22,Kitty Hawk South,105192,105192.0,119197.01021544158,119197.01021544158,2035-01-01 00:00:00,2035-01-01 00:00:00,2036-08-06 14:00:00,2036-08-06 14:00:00,monopile,40,NC,portsmouth_1,2465.0,False,2036-01-01 00:00:00
23,23,Bay State Wind a (Revolution Wind 2),105192,105192.0,113558.82326208844,113542.56199557548,2035-01-01 00:00:00,2035-01-01 00:00:00,2035-12-14 23:00:00,2035-12-15 15:00:00,jacket,40,RI,new_london,880.0,False,2036-01-01 00:00:00
24,24,Atlantic Shores Offshore Wind North,96432,101414.45422030437,109355.3391921889,109355.3391921889,2034-01-01 00:00:00,2034-07-27 15:00:00,2035-06-23 12:00:00,2035-06-23 12:00:00,monopile,40,NJ,njwp_1,1182.0,False,2035-01-01 00:00:00
25,25,Atlantic Shores Offshore Wind South 2,96432,96432.0,103933.2686697832,103933.2686697832,2034-01-01 00:00:00,2034-01-01 00:00:00,2034-11-09 14:00:00,2034-11-09 14:00:00,monopile,40,NJ,njwp_2,1500.0,False,2035-01-01 00:00:00
26,26,Excelsior Wind,96432,96432.0,103209.05314673032,103209.05314673032,2034-01-01 00:00:00,2034-01-01 00:00:00,2034-10-10 10:00:00,2034-10-10 10:00:00,monopile,40,NY,sbmt,1314.0,False,2035-01-01 00:00:00
27,27,Leading Light Wind,87672,87672.0,101414.45422030437,101414.45422030437,2033-01-01 00:00:00,2033-01-01 00:00:00,2034-07-27 15:00:00,2034-07-27 15:00:00,monopile,40,NJ,njwp_1,2400.0,False,2034-01-01 00:00:00
28,28,Beacon Wind 2,87672,87672.0,94778.88926499369,94778.88926499369,2033-01-01 00:00:00,2033-01-01 00:00:00,2033-10-24 03:00:00,2033-10-24 03:00:00,monopile,40,NY,sbmt,1200.0,False,2034-01-01 00:00:00
29,29,Duke Energy/Cinergy,87672,87672.0,94069.01969728869,94069.01969728869,2033-01-01 00:00:00,2033-01-01 00:00:00,2033-09-24 14:00:00,2033-09-24 14:00:00,monopile,40,NC,portsmouth_1,893.0,False,2034-01-01 00:00:00
30,30,"New England Wind 1 (Park City Wind, Vineyard Wind South)",78888,83933.43365932701,92836.36731865403,92836.36731865403,2032-01-01 00:00:00,2032-07-29 06:00:00,2033-08-04 05:00:00,2033-08-04 05:00:00,gbf,40,CT,salem,800.0,False,2033-01-01 00:00:00
31,31,Beacon Wind 1,78888,78888.0,86485.999438408,86485.999438408,2032-01-01 00:00:00,2032-01-01 00:00:00,2032-11-12 14:00:00,2032-11-12 14:00:00,monopile,40,NY,sbmt,1230.0,False,2033-01-01 00:00:00
32,32,Skipjack 2,78888,78888.0,84454.94157473871,84454.94157473871,2032-01-01 00:00:00,2032-01-01 00:00:00,2032-08-19 23:00:00,2032-08-19 23:00:00,monopile,40,MD,tradepoint_2,846.0,False,2033-01-01 00:00:00
33,33,"New England Wind 2 (Commonwealth Wind, Vineyard Wind South)",70128,70128.0,83933.43365932701,83933.43365932701,2031-01-01 00:00:00,2031-01-01 00:00:00,2032-07-29 06:00:00,2032-07-29 06:00:00,gbf,40,MA,salem,1232.0,False,2032-01-01 00:00:00
34,34,Skipjack 1,78888,78888.0,82269.78658638855,82269.78658638855,2032-01-01 00:00:00,2032-01-01 00:00:00,2032-05-20 22:00:00,2032-05-20 22:00:00,monopile,40,MD,tradepoint_1,120.0,False,2033-01-01 00:00:00
35,35,Attentive Energy Two,70128,70128.0,77273.68185135009,77273.68185135009,2031-01-01 00:00:00,2031-01-01 00:00:00,2031-10-25 18:00:00,2031-10-25 18:00:00,monopile,40,NJ,njwp_1,1342.0,False,2032-01-01 00:00:00
36,36,Community Offshore Wind 1,70128,70128.0,76670.11086551879,76670.11086551879,2031-01-01 00:00:00,2031-01-01 00:00:00,2031-09-30 15:00:00,2031-09-30 15:00:00,monopile,40,NY,sbmt,1314.0,False,2032-01-01 00:00:00
37,37,SouthCoast Residual,61368,63912.09898625456,71127.6837923194,71111.25127943278,2030-01-01 00:00:00,2030-04-17 01:00:00,2031-02-11 00:00:00,2031-02-11 16:00:00,jacket,40,MA,new_bedford,800.0,False,2031-01-01 00:00:00
38,38,Attentive Energy One,61368,61368.0,68504.51180199729,68504.51180199729,2030-01-01 00:00:00,2030-01-01 00:00:00,2030-10-25 09:00:00,2030-10-25 09:00:00,monopile,40,NY,sbmt,1404.0,False,2031-01-01 00:00:00
39,39,MarWin Residual,61368,61368.0,66129.49315453628,66129.49315453628,2030-01-01 00:00:00,2030-01-01 00:00:00,2030-07-18 10:00:00,2030-07-18 10:00:00,monopile,40,MD,tradepoint_1,600.0,False,2031-01-01 00:00:00
40,40,SouthCoast 1 Phase 2 (Mayflower Wind 2),52608,59698.825430667064,63912.09898625456,63895.66647336794,2029-01-01 00:00:00,2029-10-23 11:00:00,2030-04-16 08:00:00,2030-04-17 01:00:00,jacket,40,MA,new_bedford,400.0,False,2030-01-01 00:00:00
41,41,Maine Research Array,61368,61368.0,63373.192152350064,63373.192152350064,2030-01-01 00:00:00,2030-01-01 00:00:00,2030-03-25 14:00:00,2030-03-25 14:00:00,semisub,800,RI,searsport_1,144.0,False,2031-01-01 00:00:00
42,42,SouthCoast 1 Phase 1 (Mayflower Wind 1),52608,52608.0,59698.825430667064,59688.72708528128,2029-01-01 00:00:00,2029-01-01 00:00:00,2029-10-23 01:00:00,2029-10-23 11:00:00,jacket,40,MA,new_bedford,804.0,False,2030-01-01 00:00:00
43,43,Kitty Hawk North,52608,52608.0,59365.996302014835,59365.996302014835,2029-01-01 00:00:00,2029-01-01 00:00:00,2029-10-09 14:00:00,2029-10-09 14:00:00,monopile,40,VA,portsmouth_2,1035.0,False,2030-01-01 00:00:00
44,44,Sunrise Wind,43824,43824.0,50110.97508705413,50110.97508705413,2028-01-01 00:00:00,2028-01-01 00:00:00,2028-09-18 23:00:00,2028-09-18 23:00:00,monopile,40,NY,new_london,924.0,False,2029-01-01 00:00:00
45,45,Momentum Wind,43824,43824.0,49079.23607224486,49079.23607224486,2028-01-01 00:00:00,2028-01-01 00:00:00,2028-08-07 00:00:00,2028-08-07 00:00:00,monopile,40,MD,tradepoint_1,809.0,False,2029-01-01 00:00:00
46,46,Atlantic Shores Offshore Wind South 1,35064,35064.0,42044.87729606471,42044.87729606471,2027-01-01 00:00:00,2027-01-01 00:00:00,2027-10-18 21:00:00,2027-10-18 21:00:00,monopile,40,NJ,njwp_1,1510.0,False,2028-01-01 00:00:00
47,47,Empire Wind 1,35064,35064.0,40082.01358465559,40082.01358465559,2027-01-01 00:00:00,2027-01-01 00:00:00,2027-07-29 03:00:00,2027-07-29 03:00:00,monopile,40,NY,sbmt,816.0,False,2028-01-01 00:00:00
48,48,CVOW-C,26304,26304.0,39582.501137223655,39582.501137223655,2026-01-01 00:00:00,2026-01-01 00:00:00,2027-07-08 07:00:00,2027-07-08 07:00:00,monopile,40,VA,portsmouth_1,2587.0,False,2027-01-01 00:00:00
49,49,MarWin,26304,26304.0,30044.704025048966,30044.704025048966,2026-01-01 00:00:00,2026-01-01 00:00:00,2026-06-05 21:00:00,2026-06-05 21:00:00,monopile,40,MD,tradepoint_1,248.0,False,2027-01-01 00:00:00
50,50,Revolution Wind 1,8760,8760.0,14131.346656212267,14131.346656212267,2024-01-01 00:00:00,2024-01-01 00:00:00,2024-08-11 20:00:00,2024-08-11 20:00:00,monopile,40,RI/CT,new_london,704.0,False,2025-01-01 00:00:00
51,51,Vineyard Wind 1,0,0.0,5357.969827758422,5357.969827758422,2023-01-01 00:00:00,2023-01-01 00:00:00,2023-08-12 06:00:00,2023-08-12 06:00:00,monopile,40,MA,new_bedford,800.0,False,2024-01-01 00:00:00
52,52,South Fork,0,0.0,3430.827640604905,3430.827640604905,2023-01-01 00:00:00,2023-01-01 00:00:00,2023-05-23 23:00:00,2023-05-23 23:00:00,monopile,40,NY,new_london,132.0,False,2024-01-01 00:00:00
