,index,name,Initialized,Started,Finished,Date Initialized,Date Started,Date Finished,substructure,depth,location,associated_port,capacity,us_wtiv,estimated_cod
0,0,Hypothetical Central Atlantic Draft WEA 4,140256,214363.4648482642,224545.91352790216,2039-01-01 00:00:00,2047-06-15 20:00:00,2048-08-13 02:00:00,monopile,40,MD,tradepoint_2,1273,False,2040-01-01 00:00:00
1,1,Hypothetical Central Atlantic Draft WEA 2,140256,205770.81635474658,217245.92036103137,2039-01-01 00:00:00,2046-06-22 19:00:00,2047-10-13 22:00:00,monopile,40,DE,tradepoint_1,1273,False,2040-01-01 00:00:00
2,2,Hypothetical NY Bight Fixed 2,140256,199885.85225207577,214363.4648482642,2039-01-01 00:00:00,2045-10-20 14:00:00,2047-06-15 20:00:00,monopile,40,NJ,njwp_1,1500,False,2040-01-01 00:00:00
3,3,Hypothetical NY Bight Fixed 1,131496,195320.48123164524,205770.81635474658,2038-01-01 00:00:00,2045-04-13 09:00:00,2046-06-22 19:00:00,monopile,40,NY,sbmt,1500,False,2039-01-01 00:00:00
4,4,Hypothetical Central Atlantic WEA 6,131496,194089.05237251794,199885.85225207577,2038-01-01 00:00:00,2045-02-21 02:00:00,2045-10-20 14:00:00,monopile,40,MD,tradepoint_1,713,False,2039-01-01 00:00:00
5,5,Hypothetical Central Atlantic Draft WEA 8,131496,186448.37432668114,195320.48123164524,2038-01-01 00:00:00,2044-04-08 17:00:00,2045-04-13 09:00:00,monopile,40,NC,portsmouth_1,1273,False,2039-01-01 00:00:00
6,6,Hypothetical Central Atlantic WEA 3,131496,178408.6169036222,194089.05237251794,2038-01-01 00:00:00,2043-05-09 17:00:00,2045-02-21 02:00:00,monopile,40,MD,tradepoint_1,1607,False,2039-01-01 00:00:00
7,7,Atlantic Shores Offshore Wind Bight,122736,173596.61378606892,186448.37432668114,2037-01-01 00:00:00,2042-10-21 05:00:00,2044-04-08 17:00:00,monopile,40,NY,njwp_1,1284,False,2038-01-01 00:00:00
8,8,Hypothetical NY Bight Floating 1,149016,161611.13332182227,182239.95919664096,2040-01-01 00:00:00,2041-06-08 20:00:00,2043-10-16 08:00:00,semisub,800,NY,sbmt,1800,False,2041-01-01 00:00:00
9,9,Hypothetical Gulf of Maine Draft WEA 4,157800,165487.77126939286,181937.0376973981,2041-01-01 00:00:00,2041-11-17 08:00:00,2043-10-03 18:00:00,semisub,800,NH,searsport_2,1424,False,2042-01-01 00:00:00
10,10,Hypothetical Gulf of Maine Draft WEA 3,157800,164189.04290238142,180729.50617578014,2041-01-01 00:00:00,2041-09-24 06:00:00,2043-08-14 10:00:00,semisub,800,ME,salem,1424,False,2042-01-01 00:00:00
11,11,TotalEnergies,96432,165932.31910167416,178408.6169036222,2034-01-01 00:00:00,2041-12-05 21:00:00,2043-05-09 17:00:00,monopile,40,NC,portsmouth_2,889,False,2035-01-01 00:00:00
12,12,Hypothetical Gulf of Maine Draft WEA 2,157800,157800.0,174158.26642800524,2041-01-01 00:00:00,2041-01-01 00:00:00,2042-11-13 15:00:00,semisub,800,ME,searsport_1,1424,False,2042-01-01 00:00:00
13,13,Hypothetical Central Atlantic WEA 5,113952,168137.1162012775,173596.61378606892,2036-01-01 00:00:00,2042-03-07 18:00:00,2042-10-21 05:00:00,monopile,40,MD,tradepoint_1,713,False,2037-01-01 00:00:00
14,14,Ocean Wind 2,105192,160647.86836154413,168137.1162012775,2035-01-01 00:00:00,2041-04-29 16:00:00,2042-03-07 18:00:00,monopile,40,NJ,njwp_2,1148,False,2036-01-01 00:00:00
15,15,Hypothetical NE Floating 3,149016,149016.0,166059.72606132933,2040-01-01 00:00:00,2040-01-01 00:00:00,2041-12-11 04:00:00,semisub,800,RI,new_london_1,1500,False,2041-01-01 00:00:00
16,16,Hypothetical Central Atlantic WEA  2,105192,159606.26446502822,165932.31910167416,2035-01-01 00:00:00,2041-03-17 07:00:00,2041-12-05 21:00:00,monopile,40,VA,portsmouth_1,927,False,2036-01-01 00:00:00
