,index,name,Initialized,Started,Finished,Date Initialized,Date Started,Date Finished,substructure,depth,location,associated_port,capacity,us_wtiv,estimated_cod
0,0,Hypothetical NY Bight Fixed 1,157800,217169.9262894904,233865.13662609237,2041-01-01 00:00:00,2047-10-10 18:00:00,2049-09-05 10:00:00,monopile,40,NY,sbmt,1500.0,False,2042-01-01 00:00:00
1,1,Hypothetical Central Atlantic WEA 6,157800,213595.44981718558,217874.610968645,2041-01-01 00:00:00,2047-05-14 20:00:00,2047-11-09 03:00:00,monopile,40,MD,tradepoint_1,712.8,False,2042-01-01 00:00:00
2,2,Hypothetical Central Atlantic WEA 5,149016,210342.9863269203,217169.9262894904,2040-01-01 00:00:00,2046-12-30 07:00:00,2047-10-10 18:00:00,monopile,40,MD,tradepoint_2,712.8,False,2041-01-01 00:00:00
3,3,Atlantic Shores Offshore Wind Bight,140256,202730.7159824153,213595.44981718558,2039-01-01 00:00:00,2046-02-16 03:00:00,2047-05-14 20:00:00,monopile,40,NY,njwp_2,1284.0,False,2040-01-01 00:00:00
4,4,Hypothetical Central Atlantic WEA  2,149016,203530.374068053,210342.9863269203,2040-01-01 00:00:00,2046-03-21 11:00:00,2046-12-30 07:00:00,monopile,40,VA,portsmouth_2,926.65,False,2041-01-01 00:00:00
5,5,Hypothetical Gulf of Maine Draft WEA 6,157800,191345.80933038666,208046.69063911654,2041-01-01 00:00:00,2044-10-29 18:00:00,2046-09-25 15:00:00,semisub,800,MA,searsport_2,1424.12,False,2042-01-01 00:00:00
6,6,Garden State Offshore Energy I,140256,196012.1201199406,203530.374068053,2039-01-01 00:00:00,2045-05-12 05:00:00,2046-03-21 11:00:00,monopile,40,NJ,njwp_1,1080.0,False,2040-01-01 00:00:00
7,7,Ocean Wind 2,131496,191860.44420540208,202730.7159824153,2038-01-01 00:00:00,2044-11-20 05:00:00,2046-02-16 03:00:00,monopile,40,NJ,njwp_2,1148.0,False,2039-01-01 00:00:00
8,8,Empire Wind 2,131496,187274.3178315924,196012.1201199406,2038-01-01 00:00:00,2044-05-13 03:00:00,2045-05-12 05:00:00,monopile,40,NY,sbmt,1260.0,False,2039-01-01 00:00:00
9,9,Hypothetical NE Fixed 2,157800,178852.2872469846,195882.2177319951,2041-01-01 00:00:00,2043-05-28 05:00:00,2045-05-06 19:00:00,gbf,40,RI,new_london_1,1500.0,False,2042-01-01 00:00:00
10,10,Hypothetical Central Atlantic WEA 4,122736,179295.61812161654,191860.44420540208,2037-01-01 00:00:00,2043-06-15 16:00:00,2044-11-20 05:00:00,monopile,40,NC,portsmouth_1,1607.05,False,2038-01-01 00:00:00
11,11,Hypothetical Gulf of Maine Draft WEA 5,149016,174812.4280216568,191345.80933038666,2040-01-01 00:00:00,2042-12-10 21:00:00,2044-10-29 18:00:00,semisub,800,MA,searsport_1,1424.12,False,2041-01-01 00:00:00
12,12,TotalEnergies,122736,177380.55678210067,187274.3178315924,2037-01-01 00:00:00,2043-03-27 21:00:00,2044-05-13 03:00:00,monopile,40,NC,portsmouth_2,889.0,False,2038-01-01 00:00:00
13,13,Kitty Hawk South,105192,159203.80805650118,179295.61812161654,2035-01-01 00:00:00,2041-02-28 12:00:00,2043-06-15 16:00:00,monopile,40,NC,portsmouth_1,2465.0,False,2036-01-01 00:00:00
14,14,Hypothetical Gulf of Maine Draft WEA 13,149016,162186.02081897936,178852.2872469846,2040-01-01 00:00:00,2041-07-02 19:00:00,2043-05-28 05:00:00,semisub,800,ME,searsport_2,1424.12,False,2041-01-01 00:00:00
15,15,Hypothetical Central Atlantic WEA 1,122736,166696.63324148513,177380.55678210067,2037-01-01 00:00:00,2042-01-06 17:00:00,2043-03-27 21:00:00,monopile,40,MD,tradepoint_1,926.65,False,2038-01-01 00:00:00
16,16,Hypothetical Gulf of Maine Draft WEA 8,140256,158391.66159365154,174812.4280216568,2039-01-01 00:00:00,2041-01-25 16:00:00,2042-12-10 21:00:00,semisub,800,NH,searsport_1,1424.12,False,2040-01-01 00:00:00
17,17,Ocean Wind 1,113952,157096.959411663,166696.63324148513,2036-01-01 00:00:00,2040-12-02 17:00:00,2042-01-06 17:00:00,monopile,40,NJ,njwp_2,1100.0,False,2037-01-01 00:00:00
18,18,Hypothetical Gulf of Maine Draft WEA 12,131496,145828.229100677,162186.02081897936,2038-01-01 00:00:00,2039-08-21 05:00:00,2041-07-02 19:00:00,semisub,800,MA,new_bedford,1424.12,False,2039-01-01 00:00:00
19,19,Bay State Wind b,105192,144660.71428085738,159203.80805650118,2035-01-01 00:00:00,2039-07-03 13:00:00,2041-02-28 12:00:00,jacket,40,MA,new_london_2,1120.0,False,2036-01-01 00:00:00
20,20,Hypothetical Central Atlantic Draft WEA 7,140256,140256.0,158391.66159365154,2039-01-01 00:00:00,2039-01-01 00:00:00,2041-01-25 16:00:00,semisub,800,VA,portsmouth_1,1565.58,False,2040-01-01 00:00:00
21,21,Bluepoint Wind,113952,146173.00659215398,157096.959411663,2036-01-01 00:00:00,2039-09-04 14:00:00,2040-12-02 17:00:00,monopile,40,NY,njwp_1,1158.0,False,2037-01-01 00:00:00
22,22,Bay State Wind a (Revolution Wind 2),105192,135993.62438144092,146173.00659215398,2035-01-01 00:00:00,2038-07-07 10:00:00,2039-09-04 14:00:00,jacket,40,RI,new_london_1,880.0,False,2036-01-01 00:00:00
23,23,Vineyard Northeast,113952,115621.17564085349,145828.229100677,2036-01-01 00:00:00,2036-03-10 14:00:00,2039-08-21 05:00:00,gbf,40,MA,new_bedford,2600.0,False,2037-01-01 00:00:00
24,24,Atlantic Shores Offshore Wind North,96432,135315.57862623298,144660.71428085738,2034-01-01 00:00:00,2038-06-09 04:00:00,2039-07-03 13:00:00,monopile,40,NJ,njwp_1,1182.0,False,2035-01-01 00:00:00
25,25,Excelsior Wind,96432,127217.44594136278,135993.62438144092,2034-01-01 00:00:00,2037-07-06 18:00:00,2038-07-07 10:00:00,monopile,40,NY,sbmt,1314.0,False,2035-01-01 00:00:00
26,26,Leading Light Wind,87672,114482.39919618543,135315.57862623298,2033-01-01 00:00:00,2036-01-23 03:00:00,2038-06-09 04:00:00,monopile,40,NJ,njwp_1,2400.0,False,2034-01-01 00:00:00
27,27,Atlantic Shores Offshore Wind South 2,96432,115621.17564085349,127217.44594136278,2034-01-01 00:00:00,2036-03-10 14:00:00,2037-07-06 18:00:00,monopile,40,NJ,njwp_2,1500.0,False,2035-01-01 00:00:00
28,28,SouthCoast Residual,61368,104051.09354455165,115621.17564085349,2030-01-01 00:00:00,2034-11-14 12:00:00,2036-03-10 14:00:00,jacket,40,MA,new_bedford,800.0,False,2031-01-01 00:00:00
29,29,Beacon Wind 2,87672,101347.21023163346,114482.39919618543,2033-01-01 00:00:00,2034-07-24 20:00:00,2036-01-23 03:00:00,monopile,40,NY,sbmt,1200.0,False,2034-01-01 00:00:00
