,index,name,Initialized,Started,Finished,FoundationFinished,Date Initialized,Date Started,Date FoundationFinished,Date Finished,substructure,depth,location,associated_port,capacity,us_wtiv,estimated_cod
0,0,Hypothetical Gulf of Maine Draft WEA 4,157800,249397.30491869434,265932.07134669955,265932.07134669955,2041-01-01 00:00:00,2051-06-14 14:00:00,2053-05-03 13:00:00,2053-05-03 13:00:00,semisub,800,NH,searsport_2,1424,False,2042-01-01 00:00:00
1,1,Hypothetical Gulf of Maine Draft WEA 3,157800,242405.79326529973,258602.75653869845,258602.75653869845,2041-01-01 00:00:00,2050-08-27 06:00:00,2052-07-02 03:00:00,2052-07-02 03:00:00,semisub,800,ME,salem,1424,False,2042-01-01 00:00:00
2,2,Hypothetical Gulf of Maine Draft WEA 2,157800,232200.5384906891,249397.30491869434,249397.30491869434,2041-01-01 00:00:00,2049-06-28 01:00:00,2051-06-14 14:00:00,2051-06-14 14:00:00,semisub,800,ME,searsport_1,1424,False,2042-01-01 00:00:00
3,3,Hypothetical NY Bight Floating 1,149016,221527.96739048103,242405.79326529973,242405.79326529973,2040-01-01 00:00:00,2048-04-09 08:00:00,2050-08-27 06:00:00,2050-08-27 06:00:00,semisub,800,NY,sbmt,1800,False,2041-01-01 00:00:00
4,4,Hypothetical Central Atlantic Draft WEA 6,149016,215360.76722129624,232200.5384906891,232200.5384906891,2040-01-01 00:00:00,2047-07-27 09:00:00,2049-06-28 01:00:00,2049-06-28 01:00:00,semisub,800,MD,tradepoint_2,1428,False,2041-01-01 00:00:00
5,5,Hypothetical NE Floating 3,149016,203836.7413291517,221527.96739048103,221527.96739048103,2040-01-01 00:00:00,2046-04-03 05:00:00,2048-04-09 08:00:00,2048-04-09 08:00:00,semisub,800,RI,new_london,1500,False,2041-01-01 00:00:00
6,6,Hypothetical NE Floating 1,140256,194297.2005603851,215360.76722129624,215360.76722129624,2039-01-01 00:00:00,2045-03-01 18:00:00,2047-07-27 09:00:00,2047-07-27 09:00:00,semisub,800,CT,salem,1800,False,2040-01-01 00:00:00
7,7,Hypothetical Gulf of Maine Draft WEA 1,140256,186847.47490114646,203836.7413291517,203836.7413291517,2039-01-01 00:00:00,2044-04-25 08:00:00,2046-04-03 05:00:00,2046-04-03 05:00:00,semisub,800,ME,searsport_2,1424,False,2040-01-01 00:00:00
8,8,Hypothetical Central Atlantic Draft WEA 3,140256,177452.53896673355,194297.2005603851,194297.2005603851,2039-01-01 00:00:00,2043-03-30 21:00:00,2045-03-01 18:00:00,2045-03-01 18:00:00,semisub,800,NC,portsmouth_2,1428,False,2040-01-01 00:00:00
9,9,Hypothetical NE Fixed 1,131496,169523.38673414246,186847.47490114646,186847.47490114646,2038-01-01 00:00:00,2042-05-04 12:00:00,2044-04-25 08:00:00,2044-04-25 08:00:00,gbf,40,MA,new_bedford,1500,False,2039-01-01 00:00:00
10,10,Hypothetical Gulf of Maine Draft WEA 7,131496,160710.65765800368,177452.53896673355,177452.53896673355,2038-01-01 00:00:00,2041-05-02 07:00:00,2043-03-30 21:00:00,2043-03-30 21:00:00,semisub,800,MA,searsport_1,1424,False,2039-01-01 00:00:00
11,11,Hypothetical Central Atlantic Draft WEA 2,140256,163233.4215699399,171994.88198181338,171994.88198181338,2039-01-01 00:00:00,2041-08-15 10:00:00,2042-08-15 11:00:00,2042-08-15 11:00:00,monopile,40,DE,tradepoint_1,1273,False,2040-01-01 00:00:00
12,12,Hypothetical Central Atlantic Draft WEA 5,131496,152833.1154647496,169523.38673414246,169523.38673414246,2038-01-01 00:00:00,2040-06-08 02:00:00,2042-05-04 12:00:00,2042-05-04 12:00:00,semisub,800,MD,tradepoint_2,1428,False,2039-01-01 00:00:00
13,13,Hypothetical NY Bight Fixed 2,140256,155725.83192269923,164550.65059192973,164550.65059192973,2039-01-01 00:00:00,2040-10-06 14:00:00,2041-10-09 07:00:00,2041-10-09 07:00:00,monopile,40,NJ,njwp_1,1500,False,2040-01-01 00:00:00
14,14,Hypothetical NY Bight Fixed 1,131496,155350.81329730587,163233.4215699399,163233.4215699399,2038-01-01 00:00:00,2040-09-20 23:00:00,2041-08-15 10:00:00,2041-08-15 10:00:00,monopile,40,NY,sbmt,1500,False,2039-01-01 00:00:00
15,15,Hypothetical Gulf of Maine Draft WEA 6,122736,144009.7763492738,160710.65765800368,160710.65765800368,2037-01-01 00:00:00,2039-06-06 10:00:00,2041-05-02 07:00:00,2041-05-02 07:00:00,semisub,800,MA,searsport_2,1424,False,2038-01-01 00:00:00
16,16,Hypothetical Central Atlantic Draft WEA 8,131496,150824.1952673016,155725.83192269923,155725.83192269923,2038-01-01 00:00:00,2040-03-16 09:00:00,2040-10-06 14:00:00,2040-10-06 14:00:00,monopile,40,NC,portsmouth_1,1273,False,2039-01-01 00:00:00
17,17,Hypothetical Central Atlantic WEA 3,131496,145207.871130758,155350.81329730587,155350.81329730587,2038-01-01 00:00:00,2039-07-26 08:00:00,2040-09-20 23:00:00,2040-09-20 23:00:00,monopile,40,MD,tradepoint_1,1607,False,2039-01-01 00:00:00
18,18,Hypothetical NE Floating 2,122736,135333.54880383846,152833.1154647496,152833.1154647496,2037-01-01 00:00:00,2038-06-09 22:00:00,2040-06-08 02:00:00,2040-06-08 02:00:00,semisub,800,CT,salem,1500,False,2038-01-01 00:00:00
19,19,Hypothetical Central Atlantic Draft WEA 4,140256,140256.0,152080.37301890278,152080.37301890278,2039-01-01 00:00:00,2039-01-01 00:00:00,2040-05-07 17:00:00,2040-05-07 17:00:00,monopile,40,MD,tradepoint_2,1273,True,2040-01-01 00:00:00
20,20,Hypothetical NE Fixed 2,113952,136028.0794854335,150824.1952673016,150797.8369762953,2036-01-01 00:00:00,2038-07-08 21:00:00,2040-03-15 06:00:00,2040-03-16 09:00:00,jacket,40,RI,new_london,1500,False,2037-01-01 00:00:00
21,21,Atlantic Shores Offshore Wind Bight,122736,137817.96305638933,145207.871130758,145207.871130758,2037-01-01 00:00:00,2038-09-21 10:00:00,2039-07-26 08:00:00,2039-07-26 08:00:00,monopile,40,NY,njwp_1,1284,False,2038-01-01 00:00:00
22,22,Hypothetical Gulf of Maine Draft WEA 5,113952,127149.39504054391,144009.7763492738,144009.7763492738,2036-01-01 00:00:00,2037-07-03 22:00:00,2039-06-06 10:00:00,2039-06-06 10:00:00,semisub,800,MA,searsport_1,1424,False,2037-01-01 00:00:00
23,23,Vineyard Northeast,96432,112903.93721159703,137817.96305638933,137799.9309804952,2034-01-01 00:00:00,2035-11-18 08:00:00,2038-09-20 16:00:00,2038-09-21 10:00:00,jacket,40,MA,new_bedford,2600,False,2035-01-01 00:00:00
24,24,Hypothetical Central Atlantic WEA 6,131496,131496.0,136850.85211903445,136850.85211903445,2038-01-01 00:00:00,2038-01-01 00:00:00,2038-08-12 03:00:00,2038-08-12 03:00:00,monopile,40,MD,tradepoint_1,713,True,2039-01-01 00:00:00
25,25,Ocean Wind 2,105192,128809.62461630763,136028.0794854335,136028.0794854335,2035-01-01 00:00:00,2037-09-11 02:00:00,2038-07-08 21:00:00,2038-07-08 21:00:00,monopile,40,NJ,njwp_2,1148,False,2036-01-01 00:00:00
26,26,Hypothetical Gulf of Maine Draft WEA 13,105192,117942.08553043974,135333.54880383846,135333.54880383846,2035-01-01 00:00:00,2036-06-15 07:00:00,2038-06-09 22:00:00,2038-06-09 22:00:00,semisub,800,ME,salem,1424,False,2036-01-01 00:00:00
27,27,Hypothetical Central Atlantic WEA  2,105192,125854.22343950704,128809.62461630763,128694.73342787352,2035-01-01 00:00:00,2037-05-10 23:00:00,2037-09-06 07:00:00,2037-09-11 02:00:00,monopile,40,VA,portsmouth_1,927,False,2036-01-01 00:00:00
28,28,Hypothetical Gulf of Maine Draft WEA 8,105192,109831.12861253868,127149.39504054391,127149.39504054391,2035-01-01 00:00:00,2035-07-13 08:00:00,2037-07-03 22:00:00,2037-07-03 22:00:00,semisub,800,NH,searsport_2,1424,False,2036-01-01 00:00:00
29,29,Garden State Offshore Energy I,105192,118888.92404562084,125854.22343950704,125854.22343950704,2035-01-01 00:00:00,2036-07-24 17:00:00,2037-05-10 23:00:00,2037-05-10 23:00:00,monopile,40,NJ,njwp_1,1080,False,2036-01-01 00:00:00
30,30,Hypothetical Central Atlantic WEA 5,113952,114743.44683212422,119264.96716782465,119264.96716782465,2036-01-01 00:00:00,2036-02-03 00:00:00,2036-08-09 09:00:00,2036-08-09 09:00:00,monopile,40,MD,tradepoint_1,713,True,2037-01-01 00:00:00
31,31,Hypothetical Central Atlantic WEA 4,96432,109873.97140357507,118888.92404562084,118888.92404562084,2034-01-01 00:00:00,2035-07-15 02:00:00,2036-07-24 17:00:00,2036-07-24 17:00:00,monopile,40,NC,portsmouth_1,1607,False,2035-01-01 00:00:00
32,32,Hypothetical Gulf of Maine Draft WEA 12,96432,101269.20422170986,117942.08553043974,117942.08553043974,2034-01-01 00:00:00,2034-07-21 14:00:00,2036-06-15 07:00:00,2036-06-15 07:00:00,semisub,800,MA,searsport_1,1424,False,2035-01-01 00:00:00
33,33,Empire Wind 2,105192,108817.35334203049,114743.44683212422,113517.80578019776,2035-01-01 00:00:00,2035-06-01 02:00:00,2035-12-13 22:00:00,2036-02-03 00:00:00,monopile,40,NY,sbmt,1260,True,2036-01-01 00:00:00
34,34,TotalEnergies,96432,105417.84642704645,112903.93721159703,112903.93721159703,2034-01-01 00:00:00,2035-01-10 10:00:00,2035-11-18 08:00:00,2035-11-18 08:00:00,monopile,40,NC,portsmouth_2,889,False,2035-01-01 00:00:00
35,35,Ocean Wind 1,96432,103001.04528912998,109873.97140357507,109873.97140357507,2034-01-01 00:00:00,2034-10-01 18:00:00,2035-07-15 02:00:00,2035-07-15 02:00:00,monopile,40,NJ,njwp_2,1100,False,2035-01-01 00:00:00
36,36,Hypothetical Central Atlantic Draft WEA 7,87672,91835.46701888714,109831.12861253868,109831.12861253868,2033-01-01 00:00:00,2033-06-23 12:00:00,2035-07-13 08:00:00,2035-07-13 08:00:00,semisub,800,VA,portsmouth_1,1566,False,2034-01-01 00:00:00
37,37,Hypothetical Central Atlantic WEA 1,96432,101617.92360809438,108817.35334203049,108817.35334203049,2034-01-01 00:00:00,2034-08-05 02:00:00,2035-06-01 02:00:00,2035-06-01 02:00:00,monopile,40,MD,tradepoint_1,927,True,2035-01-01 00:00:00
38,38,Bluepoint Wind,96432,100182.46250928358,105417.84642704645,104916.85718324648,2034-01-01 00:00:00,2034-06-06 07:00:00,2034-12-20 13:00:00,2035-01-10 10:00:00,monopile,40,NY,njwp_1,1158,False,2035-01-01 00:00:00
