,index,name,Initialized,Started,Finished,FoundationFinished,Date Initialized,Date Started,Date FoundationFinished,Date Finished,substructure,depth,location,associated_port,capacity,us_wtiv,estimated_cod
0,0,Hypothetical Gulf of Maine Draft WEA 4,157800,245687.86658401458,262022.63301201983,262022.63301201983,2041-01-01 00:00:00,2051-01-11 00:00:00,2052-11-21 15:00:00,2052-11-21 15:00:00,semisub,800,NH,searsport_2,1424,False,2042-01-01 00:00:00
1,1,Hypothetical Gulf of Maine Draft WEA 3,157800,235912.13189974637,252256.5951731451,252256.5951731451,2041-01-01 00:00:00,2049-11-29 17:00:00,2051-10-11 17:00:00,2051-10-11 17:00:00,semisub,800,ME,salem,1424,False,2042-01-01 00:00:00
2,2,Hypothetical Gulf of Maine Draft WEA 2,157800,228660.10015600934,245687.86658401458,245687.86658401458,2041-01-01 00:00:00,2049-01-31 13:00:00,2051-01-11 00:00:00,2051-01-11 00:00:00,semisub,800,ME,searsport_1,1424,False,2042-01-01 00:00:00
3,3,Hypothetical NY Bight Floating 1,149016,215206.80602492768,235912.13189974637,235912.13189974637,2040-01-01 00:00:00,2047-07-20 23:00:00,2049-11-29 17:00:00,2049-11-29 17:00:00,semisub,800,NY,sbmt,1800,False,2041-01-01 00:00:00
4,4,Hypothetical Central Atlantic Draft WEA 2,140256,214636.46415177896,229069.56512875835,223245.1246979001,2039-01-01 00:00:00,2047-06-27 05:00:00,2048-06-19 22:00:00,2049-02-17 14:00:00,monopile,40,DE,tradepoint_1,1273,False,2040-01-01 00:00:00
5,5,Hypothetical Central Atlantic Draft WEA 6,149016,211812.82888661648,228660.10015600934,228660.10015600934,2040-01-01 00:00:00,2047-03-01 13:00:00,2049-01-31 13:00:00,2049-01-31 13:00:00,semisub,800,MD,tradepoint_2,1428,False,2041-01-01 00:00:00
6,6,Hypothetical NY Bight Fixed 2,140256,204451.17909051897,215672.43350412743,210389.0008597481,2039-01-01 00:00:00,2046-04-28 20:00:00,2047-01-01 06:00:00,2047-08-09 09:00:00,monopile,40,NJ,njwp_1,1500,False,2040-01-01 00:00:00
7,7,Hypothetical NE Floating 3,149016,197585.57996359834,215206.80602492768,215206.80602492768,2040-01-01 00:00:00,2045-07-16 18:00:00,2047-07-20 23:00:00,2047-07-20 23:00:00,semisub,800,RI,new_london_1,1500,False,2041-01-01 00:00:00
8,8,Hypothetical NY Bight Fixed 1,131496,202548.63788657068,214636.46415177896,209354.85605137132,2038-01-01 00:00:00,2046-02-08 13:00:00,2046-11-19 03:00:00,2047-06-27 05:00:00,monopile,40,NY,sbmt,1500,False,2039-01-01 00:00:00
9,9,Hypothetical NE Floating 1,140256,190660.76222570534,211812.82888661648,211812.82888661648,2039-01-01 00:00:00,2044-10-01 05:00:00,2047-03-01 13:00:00,2047-03-01 13:00:00,semisub,800,CT,salem,1800,False,2040-01-01 00:00:00
