,index,name,Initialized,Started,Finished,Date Initialized,Date Started,Date Finished,substructure,depth,location,associated_port,capacity,us_wtiv,estimated_cod
0,0,Hypothetical Gulf of Maine Draft WEA 4,157800,178235.55412938137,195039.3205573866,2041-01-01 00:00:00,2043-05-02 12:00:00,2045-04-01 16:00:00,semisub,800,NH,searsport_2,1424,False,2042-01-01 00:00:00
1,1,Hypothetical Gulf of Maine Draft WEA 3,157800,173712.1955370632,190374.15881046193,2041-01-01 00:00:00,2042-10-26 01:00:00,2044-09-19 07:00:00,semisub,800,ME,salem,1424,False,2042-01-01 00:00:00
2,2,Hypothetical Gulf of Maine Draft WEA 2,157800,168875.837930304,185746.10435830924,2041-01-01 00:00:00,2042-04-07 12:00:00,2044-03-10 11:00:00,semisub,800,ME,searsport_1,1424,False,2042-01-01 00:00:00
3,3,Hypothetical Central Atlantic Draft WEA 6,149016,164000.14773673512,180758.91900612798,2040-01-01 00:00:00,2041-09-16 09:00:00,2043-08-15 15:00:00,semisub,800,MD,tradepoint_2,1428,False,2041-01-01 00:00:00
4,4,Hypothetical NY Bight Floating 1,149016,157298.72825456268,178235.55412938137,2040-01-01 00:00:00,2040-12-11 03:00:00,2043-05-02 12:00:00,semisub,800,NY,sbmt,1800,False,2041-01-01 00:00:00
5,5,Hypothetical NE Floating 3,149016,156677.96947573387,173712.1955370632,2040-01-01 00:00:00,2040-11-15 06:00:00,2042-10-26 01:00:00,semisub,800,RI,new_london_1,1500,False,2041-01-01 00:00:00
6,6,Hypothetical NE Floating 1,140256,148056.27126939286,168875.837930304,2039-01-01 00:00:00,2039-11-22 01:00:00,2042-04-07 12:00:00,semisub,800,CT,salem,1800,False,2040-01-01 00:00:00
7,7,Hypothetical Central Atlantic Draft WEA 2,140256,154314.72594034733,166617.370235536,2039-01-01 00:00:00,2040-08-08 19:00:00,2042-01-03 10:00:00,monopile,40,DE,tradepoint_1,1273,False,2040-01-01 00:00:00
8,8,Hypothetical Gulf of Maine Draft WEA 1,140256,147811.38130872988,164000.14773673512,2039-01-01 00:00:00,2039-11-11 20:00:00,2041-09-16 09:00:00,semisub,800,ME,searsport_2,1424,False,2040-01-01 00:00:00
9,9,Hypothetical Central Atlantic Draft WEA 4,140256,148056.27126939286,160939.42090458554,2039-01-01 00:00:00,2039-11-22 01:00:00,2041-05-11 20:00:00,monopile,40,MD,tradepoint_2,1273,False,2040-01-01 00:00:00
10,10,Hypothetical Central Atlantic Draft WEA 3,140256,140917.56666091114,157298.72825456268,2039-01-01 00:00:00,2039-01-28 14:00:00,2040-12-11 03:00:00,semisub,800,NC,portsmouth_2,1428,False,2040-01-01 00:00:00
11,11,Hypothetical NE Fixed 1,131496,139978.88130872988,156677.96947573387,2038-01-01 00:00:00,2038-12-20 11:00:00,2040-11-15 06:00:00,gbf,40,MA,new_bedford,1500,False,2039-01-01 00:00:00
12,12,Hypothetical Central Atlantic WEA 6,131496,146879.22835555588,154314.72594034733,2038-01-01 00:00:00,2039-10-04 00:00:00,2040-08-08 19:00:00,monopile,40,MD,tradepoint_1,713,False,2039-01-01 00:00:00
13,13,Hypothetical NY Bight Fixed 2,140256,140256.0,153966.9274665889,2039-01-01 00:00:00,2039-01-01 00:00:00,2040-07-25 07:00:00,monopile,40,NJ,njwp_1,1500,False,2040-01-01 00:00:00
14,14,Hypothetical Central Atlantic Draft WEA 5,131496,131496.0,148056.27126939286,2038-01-01 00:00:00,2038-01-01 00:00:00,2039-11-22 01:00:00,semisub,800,MD,tradepoint_2,1428,False,2039-01-01 00:00:00
15,15,Hypothetical Gulf of Maine Draft WEA 7,131496,131496.0,147811.38130872988,2038-01-01 00:00:00,2038-01-01 00:00:00,2039-11-11 20:00:00,semisub,800,MA,searsport_1,1424,False,2039-01-01 00:00:00
16,16,Hypothetical Central Atlantic WEA 3,131496,131496.0,146879.22835555588,2038-01-01 00:00:00,2038-01-01 00:00:00,2039-10-04 00:00:00,monopile,40,MD,tradepoint_1,1607,False,2039-01-01 00:00:00
17,17,Hypothetical NY Bight Fixed 1,131496,131496.0,144121.6420210254,2038-01-01 00:00:00,2038-01-01 00:00:00,2039-06-11 02:00:00,monopile,40,NY,sbmt,1500,False,2039-01-01 00:00:00
18,18,Hypothetical Central Atlantic Draft WEA 8,131496,131496.0,142730.10690496417,2038-01-01 00:00:00,2038-01-01 00:00:00,2039-04-14 03:00:00,monopile,40,NC,portsmouth_1,1273,False,2039-01-01 00:00:00
19,19,Hypothetical NE Floating 2,122736,122736.0,140917.56666091114,2037-01-01 00:00:00,2037-01-01 00:00:00,2039-01-28 14:00:00,semisub,800,CT,salem,1500,False,2038-01-01 00:00:00
20,20,Hypothetical Gulf of Maine Draft WEA 6,122736,122736.0,139978.88130872988,2037-01-01 00:00:00,2037-01-01 00:00:00,2038-12-20 11:00:00,semisub,800,MA,searsport_2,1424,False,2038-01-01 00:00:00
21,21,Hypothetical NE Fixed 2,113952,118346.46406524089,137519.01443036567,2036-01-01 00:00:00,2036-07-02 03:00:00,2038-09-09 00:00:00,jacket,40,RI,new_london_1,1500,False,2037-01-01 00:00:00
22,22,Atlantic Shores Offshore Wind Bight,122736,124467.6655781796,134720.0516874057,2037-01-01 00:00:00,2037-03-14 04:00:00,2038-05-15 09:00:00,monopile,40,NY,njwp_1,1284,False,2038-01-01 00:00:00
23,23,Hypothetical Gulf of Maine Draft WEA 5,113952,113952.0,130906.88130872988,2036-01-01 00:00:00,2036-01-01 00:00:00,2037-12-07 11:00:00,semisub,800,MA,searsport_1,1424,False,2037-01-01 00:00:00
24,24,Hypothetical Central Atlantic WEA  2,105192,121355.28988625656,129591.45976734525,2035-01-01 00:00:00,2036-11-04 12:00:00,2037-10-13 16:00:00,monopile,40,VA,portsmouth_1,927,False,2036-01-01 00:00:00
25,25,Vineyard Northeast,96432,96432.0,129422.07077462302,2034-01-01 00:00:00,2034-01-01 00:00:00,2037-10-06 15:00:00,jacket,40,MA,new_bedford,2600,False,2035-01-01 00:00:00
26,26,Garden State Offshore Energy I,105192,116646.59868752953,124467.6655781796,2035-01-01 00:00:00,2036-04-22 07:00:00,2037-03-14 04:00:00,monopile,40,NJ,njwp_1,1080,False,2036-01-01 00:00:00
27,27,Hypothetical Central Atlantic WEA 5,113952,117389.70772794582,122223.67275208759,2036-01-01 00:00:00,2036-05-23 06:00:00,2036-12-10 16:00:00,monopile,40,MD,tradepoint_1,713,False,2037-01-01 00:00:00
28,28,Hypothetical Gulf of Maine Draft WEA 13,105192,105192.0,121822.96327339872,2035-01-01 00:00:00,2035-01-01 00:00:00,2036-11-23 23:00:00,semisub,800,ME,salem,1424,False,2036-01-01 00:00:00
29,29,Hypothetical Gulf of Maine Draft WEA 8,105192,105192.0,121814.76642800523,2035-01-01 00:00:00,2035-01-01 00:00:00,2036-11-23 15:00:00,semisub,800,NH,searsport_2,1424,False,2036-01-01 00:00:00
30,30,Hypothetical Central Atlantic WEA 4,96432,108799.9061802497,121355.28988625656,2034-01-01 00:00:00,2035-05-31 08:00:00,2036-11-04 12:00:00,monopile,40,NC,portsmouth_1,1607,False,2035-01-01 00:00:00
31,31,TotalEnergies,96432,109019.50991575046,118346.46406524089,2034-01-01 00:00:00,2035-06-09 12:00:00,2036-07-02 03:00:00,monopile,40,NC,portsmouth_2,889,False,2035-01-01 00:00:00
32,32,Empire Wind 2,105192,106705.52920646654,117389.70772794582,2035-01-01 00:00:00,2035-03-05 02:00:00,2036-05-23 06:00:00,monopile,40,NY,sbmt,1260,False,2036-01-01 00:00:00
33,33,Ocean Wind 2,105192,106904.46798220297,116646.59868752953,2035-01-01 00:00:00,2035-03-13 09:00:00,2036-04-22 07:00:00,monopile,40,NJ,njwp_2,1148,False,2036-01-01 00:00:00
34,34,Hypothetical Gulf of Maine Draft WEA 12,96432,96432.0,112806.88130872988,2034-01-01 00:00:00,2034-01-01 00:00:00,2035-11-14 07:00:00,semisub,800,MA,searsport_1,1424,False,2035-01-01 00:00:00
35,35,Bluepoint Wind,96432,100355.9843826008,109019.50991575046,2034-01-01 00:00:00,2034-06-13 12:00:00,2035-06-09 12:00:00,monopile,40,NY,njwp_1,1158,False,2035-01-01 00:00:00
36,36,Kitty Hawk South,87672,87672.0,108799.9061802497,2033-01-01 00:00:00,2033-01-01 00:00:00,2035-05-31 08:00:00,monopile,40,NC,portsmouth_2,2465,False,2034-01-01 00:00:00
