,index,name,Initialized,Started,Finished,FoundationFinished,Date Initialized,Date Started,Date FoundationFinished,Date Finished,substructure,depth,location,associated_port,capacity,us_wtiv,estimated_cod
0,0,Hypothetical Gulf of Maine Draft WEA 4,157800,168408.98746847024,181015.25389647548,181015.25389647548,2041-01-01 00:00:00,2042-03-19 01:00:00,2043-08-26 08:00:00,2043-08-26 08:00:00,semisub,800,NH,searsport_2,1424,False,2042-01-01 00:00:00
1,1,Hypothetical Gulf of Maine Draft WEA 3,157800,162045.22606132933,174507.68933472806,174507.68933472806,2041-01-01 00:00:00,2041-06-26 22:00:00,2042-11-28 04:00:00,2042-11-28 04:00:00,semisub,800,ME,salem,1424,False,2042-01-01 00:00:00
2,2,Hypothetical Gulf of Maine Draft WEA 2,157800,160096.337930304,172421.10435830924,172421.10435830924,2041-01-01 00:00:00,2041-04-06 17:00:00,2042-09-02 06:00:00,2042-09-02 06:00:00,semisub,800,ME,searsport_1,1424,False,2042-01-01 00:00:00
3,3,Hypothetical Central Atlantic Draft WEA 6,149016,156559.64773673512,169187.41900612798,169187.41900612798,2040-01-01 00:00:00,2040-11-10 08:00:00,2042-04-20 12:00:00,2042-04-20 12:00:00,semisub,800,MD,tradepoint_2,1428,False,2041-01-01 00:00:00
4,4,Hypothetical NY Bight Floating 1,149016,153001.16159365154,168408.98746847024,168408.98746847024,2040-01-01 00:00:00,2040-06-15 02:00:00,2042-03-19 01:00:00,2042-03-19 01:00:00,semisub,800,NY,sbmt,1800,False,2041-01-01 00:00:00
5,5,Hypothetical NE Floating 3,149016,149016.0,162045.22606132933,162045.22606132933,2040-01-01 00:00:00,2040-01-01 00:00:00,2041-06-26 22:00:00,2041-06-26 22:00:00,semisub,800,RI,new_london_1,1500,False,2041-01-01 00:00:00
6,6,Hypothetical Central Atlantic Draft WEA 2,140256,149868.80999592718,160321.96118037932,155526.73150501493,2039-01-01 00:00:00,2040-02-05 13:00:00,2040-09-28 07:00:00,2041-04-16 02:00:00,monopile,40,DE,tradepoint_1,1273,False,2040-01-01 00:00:00
7,7,Hypothetical NE Floating 1,140256,144187.27126939286,160096.337930304,160096.337930304,2039-01-01 00:00:00,2039-06-13 20:00:00,2041-04-06 17:00:00,2041-04-06 17:00:00,semisub,800,CT,salem,1800,False,2040-01-01 00:00:00
8,8,Hypothetical Gulf of Maine Draft WEA 1,140256,144169.88130872988,156559.64773673512,156559.64773673512,2039-01-01 00:00:00,2039-06-13 02:00:00,2040-11-10 08:00:00,2040-11-10 08:00:00,semisub,800,ME,searsport_2,1424,False,2040-01-01 00:00:00
9,9,Hypothetical Central Atlantic Draft WEA 4,140256,144187.27126939286,153543.9348267388,148794.02589359047,2039-01-01 00:00:00,2039-06-13 20:00:00,2039-12-22 19:00:00,2040-07-07 16:00:00,monopile,40,MD,tradepoint_2,1273,False,2040-01-01 00:00:00
10,10,Hypothetical Central Atlantic Draft WEA 3,140256,140256.0,153001.16159365154,153001.16159365154,2039-01-01 00:00:00,2039-01-01 00:00:00,2040-06-15 02:00:00,2040-06-15 02:00:00,semisub,800,NC,portsmouth_2,1428,False,2040-01-01 00:00:00
11,11,Hypothetical NY Bight Fixed 2,140256,140256.0,152680.23852034053,147246.47552415484,2039-01-01 00:00:00,2039-01-01 00:00:00,2039-10-19 07:00:00,2040-06-01 17:00:00,monopile,40,NJ,njwp_1,1500,False,2040-01-01 00:00:00
12,12,Hypothetical Central Atlantic WEA 6,131496,145067.56867997604,149868.80999592718,147098.06270679616,2038-01-01 00:00:00,2039-07-20 12:00:00,2039-10-13 03:00:00,2040-02-05 13:00:00,monopile,40,MD,tradepoint_1,713,False,2039-01-01 00:00:00
13,13,Hypothetical NY Bight Fixed 1,131496,138465.98971490085,149036.8390437338,144868.82760999273,2038-01-01 00:00:00,2038-10-18 10:00:00,2039-07-12 05:00:00,2040-01-01 21:00:00,monopile,40,NY,sbmt,1500,False,2039-01-01 00:00:00
14,14,Hypothetical NE Fixed 1,131496,136267.38130872988,148794.96947573387,148794.96947573387,2038-01-01 00:00:00,2038-07-18 20:00:00,2039-12-22 19:00:00,2039-12-22 19:00:00,gbf,40,MA,new_bedford,1500,False,2039-01-01 00:00:00
15,15,Hypothetical Central Atlantic WEA 3,131496,131496.0,145067.56867997604,139208.09380909923,2038-01-01 00:00:00,2038-01-01 00:00:00,2038-11-18 09:00:00,2039-07-20 12:00:00,monopile,40,MD,tradepoint_1,1607,False,2039-01-01 00:00:00
16,16,Hypothetical Central Atlantic Draft WEA 5,131496,131496.0,144187.27126939286,144187.27126939286,2038-01-01 00:00:00,2038-01-01 00:00:00,2039-06-13 20:00:00,2039-06-13 20:00:00,semisub,800,MD,tradepoint_2,1428,False,2039-01-01 00:00:00
17,17,Hypothetical Gulf of Maine Draft WEA 7,131496,131496.0,144169.88130872988,144169.88130872988,2038-01-01 00:00:00,2038-01-01 00:00:00,2039-06-13 02:00:00,2039-06-13 02:00:00,semisub,800,MA,searsport_1,1424,False,2039-01-01 00:00:00
18,18,Hypothetical Central Atlantic Draft WEA 8,131496,131496.0,140879.1358789036,137133.92084954793,2038-01-01 00:00:00,2038-01-01 00:00:00,2038-08-23 22:00:00,2039-01-27 00:00:00,monopile,40,NC,portsmouth_1,1273,False,2039-01-01 00:00:00
19,19,Hypothetical NE Fixed 2,113952,124822.50350283581,138785.16398606639,135510.23828764888,2036-01-01 00:00:00,2037-03-28 23:00:00,2038-06-17 07:00:00,2038-10-31 18:00:00,jacket,40,RI,new_london_1,1500,False,2037-01-01 00:00:00
20,20,Atlantic Shores Offshore Wind Bight,122736,128934.47210659429,138465.98971490085,135662.34193059383,2037-01-01 00:00:00,2037-09-16 07:00:00,2038-06-23 15:00:00,2038-10-18 10:00:00,monopile,40,NY,njwp_1,1284,False,2038-01-01 00:00:00
21,21,Hypothetical NE Floating 2,122736,122736.0,136728.06666091114,136728.06666091114,2037-01-01 00:00:00,2037-01-01 00:00:00,2038-08-07 01:00:00,2038-08-07 01:00:00,semisub,800,CT,salem,1500,False,2038-01-01 00:00:00
22,22,Hypothetical Gulf of Maine Draft WEA 6,122736,122736.0,136267.38130872988,136267.38130872988,2037-01-01 00:00:00,2037-01-01 00:00:00,2038-07-18 20:00:00,2038-07-18 20:00:00,semisub,800,MA,searsport_2,1424,False,2038-01-01 00:00:00
23,23,Ocean Wind 2,105192,122073.26665402215,130693.48784552602,127860.00761112053,2035-01-01 00:00:00,2036-12-04 10:00:00,2037-08-02 13:00:00,2037-11-28 14:00:00,monopile,40,NJ,njwp_2,1148,False,2036-01-01 00:00:00
24,24,Vineyard Northeast,96432,105111.94379136611,130485.86524941465,123689.40890567351,2034-01-01 00:00:00,2034-12-28 16:00:00,2037-02-09 18:00:00,2037-11-19 22:00:00,jacket,40,MA,new_bedford,2600,False,2035-01-01 00:00:00
25,25,Hypothetical Central Atlantic WEA 5,113952,123475.68310732038,128934.47210659429,127513.81023182478,2036-01-01 00:00:00,2037-01-31 20:00:00,2037-07-19 02:00:00,2037-09-16 07:00:00,monopile,40,MD,tradepoint_1,713,False,2037-01-01 00:00:00
26,26,Hypothetical Gulf of Maine Draft WEA 5,113952,113952.0,127171.38130872988,127171.38130872988,2036-01-01 00:00:00,2036-01-01 00:00:00,2037-07-04 20:00:00,2037-07-04 20:00:00,semisub,800,MA,searsport_1,1424,False,2037-01-01 00:00:00
27,27,TotalEnergies,96432,114372.28627239693,124822.50350283581,119648.6274770914,2034-01-01 00:00:00,2036-01-18 13:00:00,2036-08-25 09:00:00,2037-03-28 23:00:00,monopile,40,NC,portsmouth_2,889,False,2035-01-01 00:00:00
28,28,Hypothetical Central Atlantic WEA  2,105192,118054.46736164158,123475.68310732038,120167.73473492413,2035-01-01 00:00:00,2036-06-19 23:00:00,2036-09-16 00:00:00,2037-01-31 20:00:00,monopile,40,VA,portsmouth_1,927,False,2036-01-01 00:00:00
29,29,Garden State Offshore Energy I,105192,115751.38382466273,122073.26665402215,119147.12396132143,2035-01-01 00:00:00,2036-03-16 00:00:00,2036-08-04 12:00:00,2036-12-04 10:00:00,monopile,40,NJ,njwp_1,1080,False,2036-01-01 00:00:00
30,30,Hypothetical Gulf of Maine Draft WEA 13,105192,105192.0,118077.46327339874,118077.46327339874,2035-01-01 00:00:00,2035-01-01 00:00:00,2036-06-20 22:00:00,2036-06-20 22:00:00,semisub,800,ME,salem,1424,False,2036-01-01 00:00:00
31,31,Hypothetical Gulf of Maine Draft WEA 8,105192,105192.0,118069.26642800523,118069.26642800523,2035-01-01 00:00:00,2035-01-01 00:00:00,2036-06-20 14:00:00,2036-06-20 14:00:00,semisub,800,NH,searsport_2,1424,False,2036-01-01 00:00:00
32,32,Hypothetical Central Atlantic WEA 4,96432,108469.72881278506,118054.46736164158,112390.91899895253,2034-01-01 00:00:00,2035-05-17 14:00:00,2035-10-27 23:00:00,2036-06-19 23:00:00,monopile,40,NC,portsmouth_1,1607,False,2035-01-01 00:00:00
33,33,Empire Wind 2,105192,105524.4616348389,115751.38382466273,110884.64072550717,2035-01-01 00:00:00,2035-01-14 21:00:00,2035-08-26 05:00:00,2036-03-16 00:00:00,monopile,40,NY,sbmt,1260,False,2036-01-01 00:00:00
34,34,Bluepoint Wind,96432,103516.9048143656,114372.28627239693,110019.09345084643,2034-01-01 00:00:00,2034-10-23 05:00:00,2035-07-21 04:00:00,2036-01-18 13:00:00,monopile,40,NY,njwp_1,1158,False,2035-01-01 00:00:00
35,35,Hypothetical Gulf of Maine Draft WEA 12,96432,96432.0,109098.38130872988,109098.38130872988,2034-01-01 00:00:00,2034-01-01 00:00:00,2035-06-12 19:00:00,2035-06-12 19:00:00,semisub,800,MA,searsport_1,1424,False,2035-01-01 00:00:00
36,36,Kitty Hawk South,87672,92285.11116000946,108469.72881278506,101398.317876874,2033-01-01 00:00:00,2033-07-12 06:00:00,2034-07-26 23:00:00,2035-05-17 14:00:00,monopile,40,NC,portsmouth_2,2465,False,2034-01-01 00:00:00
37,37,Hypothetical Central Atlantic Draft WEA 7,87672,92285.11116000946,106126.772753661,106126.772753661,2033-01-01 00:00:00,2033-07-12 06:00:00,2035-02-08 23:00:00,2035-02-08 23:00:00,semisub,800,VA,portsmouth_1,1566,False,2034-01-01 00:00:00
38,38,Ocean Wind 1,96432,99733.18864800871,105524.4616348389,102207.00850377133,2034-01-01 00:00:00,2034-05-18 14:00:00,2034-08-29 16:00:00,2035-01-14 21:00:00,monopile,40,NJ,njwp_2,1100,False,2035-01-01 00:00:00
39,39,Hypothetical Central Atlantic WEA 1,96432,96432.0,105111.94379136611,101991.1377786276,2034-01-01 00:00:00,2034-01-01 00:00:00,2034-08-20 16:00:00,2034-12-28 16:00:00,monopile,40,MD,tradepoint_1,927,False,2035-01-01 00:00:00
40,40,Leading Light Wind,70128,83767.4879425931,103516.9048143656,94599.61037956344,2031-01-01 00:00:00,2032-07-22 08:00:00,2033-10-16 16:00:00,2034-10-23 05:00:00,monopile,40,NJ,njwp_1,2400,False,2032-01-01 00:00:00
41,41,Excelsior Wind,78888,91959.15571923902,99733.18864800871,94812.29261050189,2032-01-01 00:00:00,2033-06-28 16:00:00,2033-10-25 13:00:00,2034-05-18 14:00:00,monopile,40,NY,sbmt,1314,False,2033-01-01 00:00:00
42,42,Skipjack 2,70128,88156.4291176561,96233.46116447017,92943.14795350612,2031-01-01 00:00:00,2033-01-21 05:00:00,2033-08-08 16:00:00,2033-12-23 18:00:00,monopile,40,MD,tradepoint_2,846,False,2032-01-01 00:00:00
43,43,Duke Energy/Cinergy,70128,82852.54396553611,92285.11116000946,87130.01069060147,2031-01-01 00:00:00,2032-06-14 05:00:00,2032-12-09 11:00:00,2033-07-12 06:00:00,monopile,40,NC,portsmouth_1,893,False,2032-01-01 00:00:00
44,44,Beacon Wind 2,70128,78606.71919093539,91959.15571923902,86188.64732550942,2031-01-01 00:00:00,2031-12-20 07:00:00,2032-10-31 05:00:00,2033-06-28 16:00:00,monopile,40,NY,sbmt,1200,False,2032-01-01 00:00:00
45,45,Skipjack 1,70128,86559.87607813058,88156.4291176561,87439.92248158176,2031-01-01 00:00:00,2032-11-15 16:00:00,2032-12-22 08:00:00,2033-01-21 05:00:00,monopile,40,MD,tradepoint_1,120,False,2032-01-01 00:00:00
46,46,Bay State Wind b,78888,78888.0,87965.10211085493,87965.10211085493,2032-01-01 00:00:00,2032-01-01 00:00:00,2033-01-13 06:00:00,2033-01-13 06:00:00,gbf,40,MA,new_london_2,1120,False,2033-01-01 00:00:00
47,47,Beacon Wind 1,70128,74094.90552479248,86559.87607813058,82328.99801463273,2031-01-01 00:00:00,2031-06-15 07:00:00,2032-05-23 09:00:00,2032-11-15 16:00:00,monopile,40,NY,arthur_kill,1230,False,2032-01-01 00:00:00
48,48,Bay State Wind a (Revolution Wind 2),78888,78888.0,85886.10211085493,85886.10211085493,2032-01-01 00:00:00,2032-01-01 00:00:00,2032-10-18 15:00:00,2032-10-18 15:00:00,gbf,40,RI,new_london_1,880,False,2033-01-01 00:00:00
49,49,"New England Wind 2 (Commonwealth Wind, Vineyard Wind South)",61368,70736.93365932701,84424.36731865403,84424.36731865403,2030-01-01 00:00:00,2031-01-26 09:00:00,2032-08-18 17:00:00,2032-08-18 17:00:00,gbf,40,MA,salem,1232,False,2031-01-01 00:00:00
50,50,Atlantic Shores Offshore Wind South 2,70128,73644.37609370286,83767.4879425931,78162.36112503686,2031-01-01 00:00:00,2031-05-27 13:00:00,2031-12-01 19:00:00,2032-07-22 08:00:00,monopile,40,NJ,njwp_2,1500,False,2032-01-01 00:00:00
51,51,Atlantic Shores Offshore Wind North,70128,74284.130736188,82852.54396553611,77907.79485509015,2031-01-01 00:00:00,2031-06-23 05:00:00,2031-11-21 04:00:00,2032-06-14 05:00:00,monopile,40,NJ,njwp_1,1182,False,2032-01-01 00:00:00
52,52,SouthCoast Residual,52608,68153.76938653886,78606.71919093539,75602.48459622463,2029-01-01 00:00:00,2030-10-10 18:00:00,2031-08-17 03:00:00,2031-12-20 07:00:00,jacket,40,MA,new_bedford,800,False,2030-01-01 00:00:00
53,53,Attentive Energy Two,61368,61368.0,74284.130736188,68811.3500680161,2030-01-01 00:00:00,2030-01-01 00:00:00,2030-11-07 04:00:00,2031-06-23 05:00:00,monopile,40,NJ,njwp_1,1342,False,2031-01-01 00:00:00
54,54,Attentive Energy One,61368,61368.0,74094.90552479248,68505.97686467369,2030-01-01 00:00:00,2030-01-01 00:00:00,2030-10-25 10:00:00,2031-06-15 07:00:00,monopile,40,NY,arthur_kill,1404,False,2031-01-01 00:00:00
55,55,Community Offshore Wind 1,61368,63057.085211692545,73644.37609370286,68151.8642938773,2030-01-01 00:00:00,2030-03-12 10:00:00,2030-10-10 16:00:00,2031-05-27 13:00:00,monopile,40,NY,sbmt,1314,False,2031-01-01 00:00:00
56,56,"New England Wind 1 (Park City Wind, Vineyard Wind South)",61368,61368.0,70736.93365932701,70736.93365932701,2030-01-01 00:00:00,2030-01-01 00:00:00,2031-01-26 09:00:00,2031-01-26 09:00:00,gbf,40,CT,salem,800,False,2029-01-01 00:00:00
