,index,name,Initialized,Started,Finished,FoundationFinished,Date Initialized,Date Started,Date FoundationFinished,Date Finished,substructure,depth,location,associated_port,capacity,us_wtiv,estimated_cod
0,0,Hypothetical Gulf of Maine Draft WEA 4,157800,174158.26642800524,190704.03285601048,190704.03285601048,2041-01-01 00:00:00,2042-11-13 15:00:00,2044-10-03 01:00:00,2044-10-03 01:00:00,semisub,800,NH,searsport_2,1424,False,2042-01-01 00:00:00
1,1,Hypothetical Gulf of Maine Draft WEA 3,157800,168311.947969641,185261.41124303974,185261.41124303974,2041-01-01 00:00:00,2042-03-15 00:00:00,2044-02-19 06:00:00,2044-02-19 06:00:00,semisub,800,ME,salem,1424,False,2042-01-01 00:00:00
2,2,Hypothetical Central Atlantic Draft WEA 6,149016,166059.72606132933,182674.4973307222,182674.4973307222,2040-01-01 00:00:00,2041-12-11 04:00:00,2043-11-03 11:00:00,2043-11-03 11:00:00,semisub,800,MD,tradepoint_2,1428,False,2041-01-01 00:00:00
3,3,Hypothetical NY Bight Floating 1,149016,156672.16159365154,177570.98746847024,177570.98746847024,2040-01-01 00:00:00,2040-11-15 01:00:00,2043-04-04 19:00:00,2043-04-04 19:00:00,semisub,800,NY,sbmt,1800,False,2041-01-01 00:00:00
4,4,Hypothetical Gulf of Maine Draft WEA 2,157800,157800.0,174158.26642800524,174158.26642800524,2041-01-01 00:00:00,2041-01-01 00:00:00,2042-11-13 15:00:00,2042-11-13 15:00:00,semisub,800,ME,searsport_1,1424,False,2042-01-01 00:00:00
5,5,Hypothetical Central Atlantic Draft WEA 2,140256,156059.02087389186,170758.0509744076,164422.4812857654,2039-01-01 00:00:00,2040-10-20 12:00:00,2041-10-03 23:00:00,2042-06-24 23:00:00,monopile,40,DE,tradepoint_1,1273,False,2040-01-01 00:00:00
6,6,Hypothetical NE Floating 1,140256,147811.38130872988,168311.947969641,168311.947969641,2039-01-01 00:00:00,2039-11-11 20:00:00,2042-03-15 00:00:00,2042-03-15 00:00:00,semisub,800,CT,salem,1800,False,2040-01-01 00:00:00
7,7,Hypothetical NE Floating 3,149016,149016.0,166059.72606132933,166059.72606132933,2040-01-01 00:00:00,2040-01-01 00:00:00,2041-12-11 04:00:00,2041-12-11 04:00:00,semisub,800,RI,new_london_1,1500,False,2041-01-01 00:00:00
8,8,Hypothetical Central Atlantic Draft WEA 4,140256,148056.27126939286,161669.70877879133,156209.73168126642,2039-01-01 00:00:00,2039-11-22 01:00:00,2040-10-26 18:00:00,2041-06-11 06:00:00,monopile,40,MD,tradepoint_2,1273,False,2040-01-01 00:00:00
9,9,Hypothetical Gulf of Maine Draft WEA 1,140256,140917.56666091114,157131.33308891638,157131.33308891638,2039-01-01 00:00:00,2039-01-28 14:00:00,2040-12-04 04:00:00,2040-12-04 04:00:00,semisub,800,ME,searsport_2,1424,False,2040-01-01 00:00:00
10,10,Hypothetical Central Atlantic Draft WEA 3,140256,140256.0,156672.16159365154,156672.16159365154,2039-01-01 00:00:00,2039-01-01 00:00:00,2040-11-15 01:00:00,2040-11-15 01:00:00,semisub,800,NC,portsmouth_2,1428,False,2040-01-01 00:00:00
11,11,Hypothetical Central Atlantic WEA 6,131496,151036.39929326272,156059.02087389186,154137.91962896317,2038-01-01 00:00:00,2040-03-25 05:00:00,2040-08-01 10:00:00,2040-10-20 12:00:00,monopile,40,MD,tradepoint_1,713,False,2039-01-01 00:00:00
12,12,Hypothetical NY Bight Fixed 2,140256,140256.0,155918.27560249783,151948.37629145183,2039-01-01 00:00:00,2039-01-01 00:00:00,2040-05-02 05:00:00,2040-10-14 15:00:00,monopile,40,NJ,njwp_1,1500,False,2040-01-01 00:00:00
13,13,Hypothetical Central Atlantic WEA 3,131496,131496.0,151036.39929326272,143955.85477357722,2038-01-01 00:00:00,2038-01-01 00:00:00,2039-06-04 04:00:00,2040-03-25 05:00:00,monopile,40,MD,tradepoint_1,1607,False,2039-01-01 00:00:00
14,14,Hypothetical Central Atlantic Draft WEA 5,131496,131496.0,148056.27126939286,148056.27126939286,2038-01-01 00:00:00,2038-01-01 00:00:00,2039-11-22 01:00:00,2039-11-22 01:00:00,semisub,800,MD,tradepoint_2,1428,False,2039-01-01 00:00:00
15,15,Hypothetical Gulf of Maine Draft WEA 7,131496,131496.0,147811.38130872988,147811.38130872988,2038-01-01 00:00:00,2038-01-01 00:00:00,2039-11-11 20:00:00,2039-11-11 20:00:00,semisub,800,MA,searsport_1,1424,False,2039-01-01 00:00:00
16,16,Hypothetical NY Bight Fixed 1,131496,133786.09225738797,144120.7342784133,138834.12617800562,2038-01-01 00:00:00,2038-04-06 11:00:00,2038-11-02 19:00:00,2039-06-11 01:00:00,monopile,40,NY,sbmt,1500,False,2039-01-01 00:00:00
17,17,Hypothetical NE Fixed 1,131496,131496.0,144104.42657081952,138842.8982499457,2038-01-01 00:00:00,2038-01-01 00:00:00,2038-11-03 03:00:00,2039-06-10 09:00:00,monopile,40,MA,new_bedford,1500,False,2039-01-01 00:00:00
18,18,Hypothetical Central Atlantic Draft WEA 8,131496,133739.81847556357,142862.4256691181,138163.13063976247,2038-01-01 00:00:00,2038-04-04 12:00:00,2038-10-05 20:00:00,2039-04-19 15:00:00,monopile,40,NC,portsmouth_1,1273,False,2039-01-01 00:00:00
19,19,Hypothetical NE Floating 2,122736,122736.0,140917.56666091114,140917.56666091114,2037-01-01 00:00:00,2037-01-01 00:00:00,2039-01-28 14:00:00,2039-01-28 14:00:00,semisub,800,CT,salem,1500,False,2038-01-01 00:00:00
