,index,name,Initialized,Started,Finished,FoundationFinished,Date Initialized,Date Started,Date FoundationFinished,Date Finished,substructure,depth,location,associated_port,capacity,us_wtiv,estimated_cod
0,0,Hypothetical Gulf of Maine Draft WEA 4,157800,245146.94001066213,261339.70643866737,261339.70643866737,2041-01-01,2050-12-19 11:00:00,2052-10-24 04:00:00,2052-10-24 04:00:00,semisub,800,NH,searsport_2,1424,False,2042-01-01
1,1,Hypothetical Gulf of Maine Draft WEA 3,157800,236293.05847309882,252603.02174649754,252603.02174649754,2041-01-01,2049-12-15 14:00:00,2051-10-26 04:00:00,2051-10-26 04:00:00,semisub,800,ME,salem,1424,False,2042-01-01
2,2,Hypothetical Gulf of Maine Draft WEA 2,157800,228170.1735826569,245146.94001066213,245146.94001066213,2041-01-01,2049-01-11 03:00:00,2050-12-19 11:00:00,2050-12-19 11:00:00,semisub,800,ME,searsport_1,1424,False,2042-01-01
3,3,Hypothetical NY Bight Floating 1,149016,215352.73259828013,236293.05847309882,236293.05847309882,2040-01-01,2047-07-27 01:00:00,2049-12-15 14:00:00,2049-12-15 14:00:00,semisub,800,NY,sbmt,1800,False,2041-01-01
4,4,Hypothetical Central Atlantic Draft WEA 6,149016,211092.40231326403,228170.1735826569,228170.1735826569,2040-01-01,2047-01-30 13:00:00,2049-01-11 03:00:00,2049-01-11 03:00:00,semisub,800,MD,tradepoint_2,1428,False,2041-01-01
5,5,Hypothetical NE Floating 3,149016,197732.0065369508,215352.73259828013,215352.73259828013,2040-01-01,2045-07-22 21:00:00,2047-07-27 01:00:00,2047-07-27 01:00:00,semisub,800,RI,new_london_1,1500,False,2041-01-01
6,6,Hypothetical NE Floating 1,140256,190250.3356523529,211092.40231326403,211092.40231326403,2039-01-01,2044-09-14 03:00:00,2047-01-30 13:00:00,2047-01-30 13:00:00,semisub,800,CT,salem,1800,False,2040-01-01
7,7,Hypothetical Gulf of Maine Draft WEA 1,140256,180986.24010894555,197732.0065369508,197732.0065369508,2039-01-01,2043-08-25 03:00:00,2045-07-22 21:00:00,2045-07-22 21:00:00,semisub,800,ME,searsport_2,1424,False,2040-01-01
8,8,Hypothetical Central Atlantic Draft WEA 3,140256,173405.67405870135,190250.3356523529,190250.3356523529,2039-01-01,2042-10-13 06:00:00,2044-09-14 03:00:00,2044-09-14 03:00:00,semisub,800,NC,portsmouth_2,1428,False,2040-01-01
9,9,Hypothetical Central Atlantic WEA 6,131496,180140.43558086472,189615.73816391508,187017.90847476217,2038-01-01,2043-07-20 21:00:00,2044-05-02 10:00:00,2044-08-18 16:00:00,monopile,40,MD,tradepoint_1,713,True,2039-01-01
