,index,name,Initialized,Started,Finished,FoundationFinished,Date Initialized,Date Started,Date FoundationFinished,Date Finished,substructure,depth,location,associated_port,capacity,us_wtiv,estimated_cod
0,0,Hypothetical Gulf of Maine Draft WEA 3,157800,157800.0,174199.46327339872,174199.46327339872,2041-01-01,2041-01-01 00:00:00,2042-11-15 08:00:00,2042-11-15 08:00:00,semisub,800,ME,salem,1424,False,2042-01-01
1,1,Hypothetical Gulf of Maine Draft WEA 4,157800,157800.0,174158.26642800524,174158.26642800524,2041-01-01,2041-01-01 00:00:00,2042-11-13 15:00:00,2042-11-13 15:00:00,semisub,800,NH,searsport_2,1424,False,2042-01-01
2,2,Hypothetical Gulf of Maine Draft WEA 2,157800,157800.0,174158.26642800524,174158.26642800524,2041-01-01,2041-01-01 00:00:00,2042-11-13 15:00:00,2042-11-13 15:00:00,semisub,800,ME,searsport_1,1424,False,2042-01-01
3,3,Hypothetical NY Bight Floating 1,149016,149016.0,169609.3258748187,169609.3258748187,2040-01-01,2040-01-01 00:00:00,2042-05-08 02:00:00,2042-05-08 02:00:00,semisub,800,NY,sbmt,1800,False,2041-01-01
4,4,Hypothetical NE Floating 3,149016,149016.0,166059.72606132933,166059.72606132933,2040-01-01,2040-01-01 00:00:00,2041-12-11 04:00:00,2041-12-11 04:00:00,semisub,800,RI,new_london_1,1500,False,2041-01-01
5,5,Hypothetical Central Atlantic Draft WEA 6,149016,149016.0,165487.77126939286,165487.77126939286,2040-01-01,2040-01-01 00:00:00,2041-11-17 08:00:00,2041-11-17 08:00:00,semisub,800,MD,tradepoint_2,1428,False,2041-01-01
6,6,Hypothetical NE Floating 1,140256,140256.0,160995.56666091114,160995.56666091114,2039-01-01,2039-01-01 00:00:00,2041-05-14 04:00:00,2041-05-14 04:00:00,semisub,800,CT,salem,1800,False,2040-01-01
7,7,Hypothetical Central Atlantic Draft WEA 4,140256,140256.0,158695.28363892317,153205.69579681117,2039-01-01,2039-01-01 00:00:00,2040-06-23 14:00:00,2041-02-07 08:00:00,monopile,40,MD,tradepoint_2,1273,True,2040-01-01
8,8,Hypothetical Central Atlantic Draft WEA 3,140256,140256.0,156672.16159365154,156672.16159365154,2039-01-01,2039-01-01 00:00:00,2040-11-15 01:00:00,2040-11-15 01:00:00,semisub,800,NC,portsmouth_2,1428,False,2040-01-01
9,9,Hypothetical Gulf of Maine Draft WEA 1,140256,140256.0,156484.76642800524,156484.76642800524,2039-01-01,2039-01-01 00:00:00,2040-11-07 05:00:00,2040-11-07 05:00:00,semisub,800,ME,searsport_2,1424,False,2040-01-01
10,10,Hypothetical NY Bight Fixed 2,140256,140256.0,153968.43307994195,148459.58812622572,2039-01-01,2039-01-01 00:00:00,2039-12-08 20:00:00,2040-07-25 09:00:00,monopile,40,NJ,njwp_1,1500,False,2040-01-01
11,11,Hypothetical Central Atlantic Draft WEA 2,140256,140256.0,153593.9044467934,147749.86327988378,2039-01-01,2039-01-01 00:00:00,2039-11-09 06:00:00,2040-07-09 18:00:00,monopile,40,DE,tradepoint_1,1273,False,2040-01-01
12,12,Hypothetical NE Fixed 1,131496,131496.0,148431.088167004,148431.088167004,2038-01-01,2038-01-01 00:00:00,2039-12-07 16:00:00,2039-12-07 16:00:00,gbf,40,MA,new_bedford,1500,False,2039-01-01
