,cost_multiplier,agent,action,duration,cost,level,time,phase,phase_name,num_vessels,num_ahts_vessels
0,1.0,Mooring System Installation Vessel,Mobilize,168.0,700000.0,ACTION,0.0,MooringSystemInstallation,,,
1,,Mooring System Installation Vessel,Load Mooring System,5.0,20833.333333333336,ACTION,5.0,MooringSystemInstallation,MooringSystemInstallation,,
2,,Mooring System Installation Vessel,Load Mooring System,5.0,20833.333333333336,ACTION,10.0,MooringSystemInstallation,MooringSystemInstallation,,
3,,Mooring System Installation Vessel,Load Mooring System,5.0,20833.333333333336,ACTION,15.0,MooringSystemInstallation,MooringSystemInstallation,,
4,,Mooring System Installation Vessel,Load Mooring System,5.0,20833.333333333336,ACTION,20.0,MooringSystemInstallation,MooringSystemInstallation,,
5,,Mooring System Installation Vessel,Load Mooring System,5.0,20833.333333333336,ACTION,25.0,MooringSystemInstallation,MooringSystemInstallation,,
6,,Mooring System Installation Vessel,Load Mooring System,5.0,20833.333333333336,ACTION,30.0,MooringSystemInstallation,MooringSystemInstallation,,
7,,Mooring System Installation Vessel,Load Mooring System,5.0,20833.333333333336,ACTION,35.0,MooringSystemInstallation,MooringSystemInstallation,,
8,,Mooring System Installation Vessel,Load Mooring System,5.0,20833.333333333336,ACTION,40.0,MooringSystemInstallation,MooringSystemInstallation,,
9,,Mooring System Installation Vessel,Load Mooring System,5.0,20833.333333333336,ACTION,45.0,MooringSystemInstallation,MooringSystemInstallation,,
10,,Mooring System Installation Vessel,Load Mooring System,5.0,20833.333333333336,ACTION,50.0,MooringSystemInstallation,MooringSystemInstallation,,
11,,Mooring System Installation Vessel,Load Mooring System,5.0,20833.333333333336,ACTION,55.0,MooringSystemInstallation,MooringSystemInstallation,,
12,,Mooring System Installation Vessel,Load Mooring System,5.0,20833.333333333336,ACTION,60.0,MooringSystemInstallation,MooringSystemInstallation,,
13,,Mooring System Installation Vessel,Load Mooring System,5.0,20833.333333333336,ACTION,65.0,MooringSystemInstallation,MooringSystemInstallation,,
14,,Mooring System Installation Vessel,Load Mooring System,5.0,20833.333333333336,ACTION,70.0,MooringSystemInstallation,MooringSystemInstallation,,
15,,Mooring System Installation Vessel,Load Mooring System,5.0,20833.333333333336,ACTION,75.0,MooringSystemInstallation,MooringSystemInstallation,,
16,,Mooring System Installation Vessel,Load Mooring System,5.0,20833.333333333336,ACTION,80.0,MooringSystemInstallation,MooringSystemInstallation,,
17,,Mooring System Installation Vessel,Load Mooring System,5.0,20833.333333333336,ACTION,85.0,MooringSystemInstallation,MooringSystemInstallation,,
18,,Mooring System Installation Vessel,Load Mooring System,5.0,20833.333333333336,ACTION,90.0,MooringSystemInstallation,MooringSystemInstallation,,
19,,Mooring System Installation Vessel,Load Mooring System,3.0,12500.0,ACTION,93.0,MooringSystemInstallation,MooringSystemInstallation,,
20,,Mooring System Installation Vessel,Delay,8.0,33333.333333333336,ACTION,101.0,MooringSystemInstallation,MooringSystemInstallation,,
21,,Mooring System Installation Vessel,Load Mooring System,2.0,8333.333333333334,ACTION,103.0,MooringSystemInstallation,MooringSystemInstallation,,
22,,Mooring System Installation Vessel,Load Mooring System,5.0,20833.333333333336,ACTION,108.0,MooringSystemInstallation,MooringSystemInstallation,,
23,,Mooring System Installation Vessel,Load Mooring System,5.0,20833.333333333336,ACTION,113.0,MooringSystemInstallation,MooringSystemInstallation,,
24,,Mooring System Installation Vessel,Load Mooring System,5.0,20833.333333333336,ACTION,118.0,MooringSystemInstallation,MooringSystemInstallation,,
25,,Mooring System Installation Vessel,Load Mooring System,5.0,20833.333333333336,ACTION,123.0,MooringSystemInstallation,MooringSystemInstallation,,
26,,Mooring System Installation Vessel,Load Mooring System,5.0,20833.333333333336,ACTION,128.0,MooringSystemInstallation,MooringSystemInstallation,,
27,,Mooring System Installation Vessel,Load Mooring System,5.0,20833.333333333336,ACTION,133.0,MooringSystemInstallation,MooringSystemInstallation,,
28,,Mooring System Installation Vessel,Load Mooring System,5.0,20833.333333333336,ACTION,138.0,MooringSystemInstallation,MooringSystemInstallation,,
