name,location,lon,lat,distance_to_shore,capacity,turbine,depth,substructure,start_date,estimated_cod,foundation_port,turbine_port,us_wtiv
South Fork,NY,-71.07590392,41.11050519,50,132,11MW_generic,40,monopile,1/1/2022 0:00,2024,euro_fab,new_london,FALSE
Vineyard Wind 1,MA,-70.3809493,41.02365044,50,806,13MW_generic,40,monopile,1/1/2023 0:00,2025,halifax,new_bedford,FALSE
Revolution Wind 1 CT,CT,-71.07607428,41.1159065,50,304,12MW_generic,40,monopile,1/1/2024 0:00,2026,argentia,new_london,FALSE
Revolution Wind 1 RI,RI,-71.07607428,41.1159065,50,400,12MW_generic,40,monopile,1/1/2024 0:00,2026,argentia,new_london,FALSE
CVOW-C,VA,-75.45761394,36.84342509,50,2587,15MW_generic,40,monopile,1/1/2024 0:00,2026,portsmouth_1,portsmouth_1,TRUE
Sunrise Wind,NY,-70.82962083,40.99037717,50,924,11MW_generic,40,monopile,1/1/2025 0:00,2027,argentia,new_london,TRUE
New England Wind 2 (Commonwealth Wind),MA,-70.37381455,41.0237355,50,1232,15MW_generic,40,monopile,1/1/2028 0:00,2030,salem,salem,FALSE
New England Wind 1 (Park City Wind),MA,-70.37381455,41.0237355,50,791,15MW_generic,40,monopile,1/1/2027 0:00,2029,salem,salem,FALSE
SouthCoast Wind 1 (Mayflower Wind) MA,MA,-70.50430003,40.64106695,50,1087,15MW_generic,40,monopile,1/1/2036 0:00,2038,halifax,new_bedford,FALSE
SouthCoast Wind 1 (Mayflower Wind) RI,RI,-70.50430003,40.64106695,50,200,15MW_generic,40,monopile,1/1/2036 0:00,2038,halifax,new_bedford,FALSE
Empire Wind 1,NY,-73.22227313,40.24801683,50,810,15MW_generic,40,monopile,1/1/2025 0:00,2027,euro_fab,sbmt,FALSE
Atlantic Shores Offshore Wind South 1,NJ,-73.99422436,39.31937248,50,1510,15MW_generic,40,monopile,1/1/2029 0:00,2031,argentia,new_london,FALSE
Empire Wind 2,NY,-73.22227313,40.24801683,50,621,15MW_generic,40,monopile,1/1/2028 0:00,2030,euro_fab,sbmt,FALSE
MarWin (U.S. Wind Phase 1),MD,-74.75306642,38.27179677,50,300,15MW_generic,40,monopile,1/1/2027 0:00,2029,tradepoint_1,tradepoint_1,FALSE
"Momentum Wind (U.S. Wind Phases 2, 3, and 4)",MD,-74.75306642,38.27179677,50,1410,15MW_generic,40,monopile,1/1/2028 0:00,2030,tradepoint_1,tradepoint_1,FALSE
Beacon Wind 1,NY,-70.67561391,40.68194716,50,1230,15MW_generic,40,monopile,1/1/2030 0:00,2032,euro_fab,sbmt,FALSE
Vineyard Wind 2 (Vineyard Northeast) MA,MA,-70.16378033,40.6450013,50,800,15MW_generic,40,monopile,1/1/2029 0:00,2031,halifax,new_bedford,FALSE
SouthCoast Wind Residual,MA,-70.50430003,40.64106695,50,1113,15MW_generic,40,monopile,1/1/2035 0:00,2037,halifax,new_bedford,FALSE
Beacon Wind 2,NY,-70.67561391,40.68194716,50,1200,15MW_generic,40,monopile,1/1/2033 0:00,2035,euro_fab,sbmt,FALSE
Bay State Wind,RI,-70.82947169,40.98497498,50,2344.3,15MW_generic,40,monopile,1/1/2032 0:00,2034,argentia,new_london,TRUE
Ocean Wind 1,NJ,-74.28953405,39.02418816,50,1222.6,15MW_generic,40,monopile,1/1/2029 0:00,2031,euro_fab,sbmt,FALSE
Attentive Energy Two,NJ,-73.07013631,39.64017504,50,1342,15MW_generic,40,monopile,1/1/2039 0:00,2041,euro_fab,sbmt,FALSE
Atlantic Shores Offshore Wind South 2,NJ,-73.99422436,39.31937248,50,1350,15MW_generic,40,monopile,1/1/2034 0:00,2036,argentia,new_london,TRUE
Excelsior Wind (Vineyard Mid-Atlantic),NY,-73.11065926,40.20300636,50,1314,15MW_generic,40,monopile,1/1/2034 0:00,2036,halifax,sbmt,FALSE
Atlantic Shores Offshore Wind North,NJ,-73.99414711,39.32477804,50,1313.3,15MW_generic,40,monopile,1/1/2031 0:00,2033,argentia,new_london,TRUE
Skipjack 1,MD,-74.64204139,38.53106333,50,120,12MW_generic,40,monopile,1/1/2027 0:00,2029,tradepoint_1,tradepoint_1,FALSE
Skipjack  2,MD,-74.64204139,38.53106333,50,846,15MW_generic,40,monopile,1/1/2027 0:00,2029,tradepoint_1,tradepoint_1,FALSE
CVOW-South (Kitty Hawk North),VA,-75.02671099,36.23848619,50,800,15MW_generic,40,monopile,1/1/2031 0:00,2033,portsmouth_1,portsmouth_1,TRUE
Kitty Hawk South,NC,-75.02671099,36.23848619,50,1350.7,15MW_generic,40,monopile,1/1/2029 0:00,2031,portsmouth_1,portsmouth_1,TRUE
Garden State Offshore Energy I,NJ,-74.75173526,38.66111942,50,1080,15MW_generic,40,monopile,1/1/2033 0:00,2035,argentia,new_london,FALSE
Vineyard Wind 2 (Vineyard Northeast) Residual,CT,-70.16378033,40.6450013,50,120,15MW_generic,40,monopile,1/1/2029 0:00,2031,halifax,new_bedford,FALSE
Ocean Wind 2,NJ,-74.28958819,39.01878197,50,1375.2,15MW_generic,40,monopile,1/1/2032 0:00,2034,euro_fab,sbmt,FALSE
Community Offshore Wind,NY,-73.35380267,39.47155514,50,2800,15MW_generic,40,monopile,1/1/2033 0:00,2035,sbmt,sbmt,FALSE
Leading Light Wind,NJ,-73.526616,39.2143787,50,2400,15MW_generic,40,monopile,1/1/2030 0:00,2032,argentia,new_london,FALSE
Attentive Energy One,NY,-73.07013631,39.64017504,50,1404,15MW_generic,40,monopile,1/1/2039 0:00,2041,euro_fab,sbmt,FALSE
Bluepoint Wind,NY,-72.78092681,39.93770722,50,1158,15MW_generic,40,monopile,1/1/2034 0:00,2036,argentia,new_london,TRUE
Atlantic Shores Offshore Wind Bight,NY,-73.58045588,39.30154735,50,2500,15MW_generic,40,monopile,1/1/2036 0:00,2038,argentia,new_london,FALSE
TotalEnergies,NC,-78.00283544,33.43107384,50,889,15MW_generic,40,monopile,1/1/2032 0:00,2034,portsmouth_1,portsmouth_1,TRUE
Duke Energy/Cinergy,NC,-77.81247426,33.39308136,50,893,15MW_generic,40,monopile,1/1/2030 0:00,2032,portsmouth_1,portsmouth_1,TRUE
Central Atlantic Lease Area A-2,MD,-74.377923,38.520371,50,1642.102476,15MW_generic,40,monopile,1/1/2037 0:00,2039,portsmouth_1,portsmouth_1,TRUE
Central Atlantic Lease Area C-1,NC,-75.012384,36.914903,50,2857.164097,15MW_generic,40,monopile,1/1/2038 0:00,2040,portsmouth_1,portsmouth_1,TRUE
Maine Research Array,ME,-69.359846,43.393802,50,144,12MW_generic,800,semisub,1/1/2031 0:00,2033,salem,salem,FALSE
Invenergy NE Offshore Wind GoME 1,ME,-68.740168,43.105385,50,1964.167782,15MW_generic,800,semisub,1/1/2036 0:00,2038,salem,salem,FALSE
Avangrid GoME 1,MA,-69.399348,42.324428,50,1785.604132,15MW_generic,800,semisub,1/1/2037 0:00,2039,salem,salem,FALSE
Invenergy NE Offshore Wind GoME 2,MA,-69.388362,42.004805,50,1992.965238,15MW_generic,800,semisub,1/1/2038 0:00,2040,salem,salem,FALSE
Avangrid GoME 2,ME,-69.157649,42.066005,50,2171.528889,15MW_generic,800,semisub,1/1/2038 0:00,2040,salem,salem,FALSE
