name,location,lon,lat,distance_to_shore,capacity,turbine,depth,substructure,start_date,estimated_cod,foundation_port,turbine_port,us_wtiv
South Fork,NY,-71.07590392,41.11050519,50,132,11MW_generic,40,monopile,1/1/2022,2024,new_london,new_london,FALSE
Vineyard Wind 1,MA,-70.3809493,41.02365044,50,806,13MW_generic,40,monopile,1/1/2023,2025,new_bedford,new_bedford,FALSE
Revolution Wind 1 CT,CT,-71.07607428,41.1159065,50,304,12MW_generic,40,monopile,1/1/2024,2026,new_london,new_london,FALSE
Revolution Wind 1 RI,RI,-71.07607428,41.1159065,50,400,12MW_generic,40,monopile,1/1/2024,2026,new_london,new_london,FALSE
CVOW-C,VA,-75.45761394,36.84342509,50,2587,15MW_generic,40,monopile,1/1/2024,2026,portsmouth_1,portsmouth_1,TRUE
Sunrise Wind,NY,-70.82962083,40.99037717,50,924,11MW_generic,40,monopile,1/1/2025,2027,new_london,new_london,TRUE
New England Wind 2 (Commonwealth Wind),MA,-70.37381455,41.0237355,50,1232,15MW_generic,40,monopile,1/1/2028,2030,salem,salem,FALSE
New England Wind 1 (Park City Wind),MA,-70.37381455,41.0237355,50,791,15MW_generic,40,monopile,1/1/2027,2029,salem,salem,FALSE
SouthCoast Wind 1 (Mayflower Wind) MA,MA,-70.50430003,40.64106695,50,1087,15MW_generic,40,monopile,1/1/2028,2030,new_bedford,new_bedford,FALSE
SouthCoast Wind 1 (Mayflower Wind) RI,RI,-70.50430003,40.64106695,50,200,15MW_generic,40,monopile,1/1/2028,2030,new_bedford,new_bedford,FALSE
Empire Wind 1,NY,-73.22227313,40.24801683,50,810,15MW_generic,40,monopile,1/1/2025,2027,sbmt,sbmt,FALSE
Atlantic Shores Offshore Wind South 1,NJ,-73.99422436,39.31937248,50,1510,15MW_generic,40,monopile,1/1/2028,2030,njwp_1,njwp_1,FALSE
Empire Wind 2,NY,-73.22227313,40.24801683,50,621,15MW_generic,40,monopile,1/1/2028,2030,sbmt,sbmt,FALSE
MarWin (U.S. Wind Phase 1),MD,-74.75306642,38.27179677,50,300,15MW_generic,40,monopile,1/1/2027,2029,tradepoint_1,tradepoint_1,FALSE
"Momentum Wind (U.S. Wind Phases 2, 3, and 4)",MD,-74.75306642,38.27179677,50,1410,15MW_generic,40,monopile,1/1/2028,2030,tradepoint_1,tradepoint_1,FALSE
