name,location,lon,lat,distance_to_shore,capacity,turbine,depth,substructure,start_date,estimated_cod,foundation_port,turbine_port,us_wtiv
NY/NJ Project 1,NY,-71.07590392,41.11050519,50,100,11MW_generic,40,monopile,1/1/2023 0:00,2024,new_london,new_london,FALSE
NE Project 1,MA,-70.3809493,41.02365044,50,800,13MW_generic,40,monopile,1/1/2023 0:00,2024,new_bedford,new_bedford,FALSE
NE Project 2,RI/CT,-71.07607428,41.1159065,50,700,12MW_generic,40,monopile,1/1/2024 0:00,2025,new_london,new_london,FALSE
NY/NJ Project 2,NJ,-73.99422436,39.31937248,50,1500,15MW_generic,40,monopile,1/1/2026 0:00,2027,njwp,njwp,FALSE
Mid-Atlantic Project 1,VA,-75.45761394,36.84342509,50,2500,15MW_generic,40,monopile,1/1/2026 0:00,2027,portsmouth,portsmouth,TRUE
Mid-Atlantic Project 2,MD,-74.75306642,38.27179677,50,200,15MW_generic,40,monopile,1/1/2026 0:00,2027,tradepoint,tradepoint,FALSE
NY/NJ Project 3,NY,-73.22227313,40.24801683,50,800,15MW_generic,40,monopile,1/1/2027 0:00,2028,sbmt,sbmt,FALSE
Mid-Atlantic Project 3,MD,-74.75306642,38.27179677,50,800,15MW_generic,40,monopile,1/1/2027 0:00,2028,tradepoint,tradepoint,FALSE
NY/NJ Project 4,NY,-70.82962083,40.99037717,50,1000,11MW_generic,40,monopile,1/1/2028 0:00,2029,new_london,new_london,TRUE
NE Project 3,CT,-70.37381455,41.0237355,50,800,15MW_generic,40,gbf,1/1/2030 0:00,2029,salem,salem,FALSE
NE Project 4,ME,-69.359846,43.393802,50,100,12MW_generic,800,semisub,1/1/2028 0:00,2029,searsport,searsport,FALSE
Mid-Atlantic Project 4,VA,-75.02671099,36.23848619,50,1000,15MW_generic,40,monopile,1/1/2029 0:00,2030,portsmouth,portsmouth,FALSE
Mid-Atlantic Project 5,MD,-74.75306642,38.27179677,50,600,15MW_generic,40,monopile,1/1/2029 0:00,2030,tradepoint,tradepoint,FALSE
NE Project 5,MA,-70.50430003,40.64106695,50,800,15MW_generic,40,jacket,1/1/2029 0:00,2030,new_bedford,new_bedford,FALSE
NE Project 6,MA,-70.50430003,40.64106695,50,500,15MW_generic,40,jacket,1/1/2029 0:00,2030,new_bedford,new_bedford,FALSE
NE Project 7,MA,-70.50430003,40.64106695,50,800,15MW_generic,40,jacket,1/1/2029 0:00,2030,new_bedford,new_bedford,FALSE
NY/NJ Project 5,NY,-73.07013631,39.64017504,50,1500,15MW_generic,40,monopile,1/1/2030 0:00,2031,arthur_kill,arthur_kill,TRUE
