,index,name,Initialized,Started,FoundationFinished,TurbineStart,Finished,Date Initialized,Date Started,Date TurbineStart,Date FoundationFinished,Date Finished,substructure,depth,location,foundation_port,turbine_port,capacity,us_wtiv,estimated_cod
0,0,Avangrid GoME 2,140256,233382.91705451303,273293.64274202415,233382.91705451303,273293.64274202415,2038-01-01 00:00:00,2048-08-16 07:00:00,2048-08-16 07:00:00,2053-03-06 06:00:00,2053-03-06 06:00:00,semisub,800,ME,salem,salem,2171.528889,False,2040-01-01 00:00:00
1,1,Atlantic Shores Offshore Wind Bight,122712,216799.35509984824,231325.38407410507,219704.5608946996,231325.38407410507,2036-01-01 00:00:00,2046-09-25 08:00:00,2047-01-24 09:00:00,2048-05-22 14:00:00,2048-05-22 14:00:00,monopile,40,NY,njwp_1,njwp_1,2500.0,False,2038-01-01 00:00:00
2,2,Invenergy NE Offshore Wind GoME 2,140256,195060.46875469026,231222.91705451303,195060.46875469026,231222.91705451303,2038-01-01 00:00:00,2044-04-02 13:00:00,2044-04-02 13:00:00,2048-05-18 07:00:00,2048-05-18 07:00:00,semisub,800,MA,salem,salem,1992.965238,False,2040-01-01 00:00:00
3,3,Attentive Energy One,149016,209185.6303024643,216799.35509984824,210708.37526194108,216799.35509984824,2039-01-01 00:00:00,2045-11-12 02:00:00,2046-01-14 13:00:00,2046-09-25 08:00:00,2046-09-25 08:00:00,monopile,40,NY,euro_fab,sbmt,1404.0,False,2041-01-01 00:00:00
4,4,SouthCoast Wind 1 (Mayflower Wind) RI,122712,207774.3192799805,209185.6303024643,208056.58148447727,209185.6303024643,2036-01-01 00:00:00,2045-09-14 07:00:00,2045-09-26 01:00:00,2045-11-12 02:00:00,2045-11-12 02:00:00,monopile,40,RI,halifax,new_bedford,200.0,False,2038-01-01 00:00:00
5,5,Bluepoint Wind,105192,200798.42183636618,207774.3192799805,202193.60132508905,207774.3192799805,2034-01-01 00:00:00,2044-11-27 15:00:00,2045-01-24 18:00:00,2045-09-14 07:00:00,2045-09-14 07:00:00,monopile,40,NY,njwp_1,njwp_1,1158.0,False,2036-01-01 00:00:00
6,6,SouthCoast Wind 1 (Mayflower Wind) MA,122712,193935.3734207868,200798.42183636618,195307.9831039027,200798.42183636618,2036-01-01 00:00:00,2044-02-15 16:00:00,2044-04-12 20:00:00,2044-11-27 15:00:00,2044-11-27 15:00:00,monopile,40,MA,halifax,new_bedford,1087.0,False,2038-01-01 00:00:00
7,7,Atlantic Shores Offshore Wind South 2,105192,188366.4105000012,192819.69026170034,189257.066452341,193935.3734207868,2034-01-01 00:00:00,2043-06-28 15:00:00,2043-08-04 18:00:00,2043-12-31 04:00:00,2044-02-15 16:00:00,monopile,40,NJ,njwp_1,njwp_1,1350.0,False,2036-01-01 00:00:00
8,8,Avangrid GoME 1,131496,160535.29673939192,192900.46875469026,160535.29673939192,192900.46875469026,2037-01-01 00:00:00,2040-04-25 00:00:00,2040-04-25 00:00:00,2044-01-03 13:00:00,2044-01-03 13:00:00,semisub,800,MA,salem,salem,1785.604132,False,2039-01-01 00:00:00
9,9,SouthCoast Wind Residual,113952,179876.5779431621,188366.4105000012,181574.5444545299,188366.4105000012,2035-01-01 00:00:00,2042-07-09 21:00:00,2042-09-18 15:00:00,2043-06-28 15:00:00,2043-06-28 15:00:00,monopile,40,MA,halifax,new_bedford,1113.0,False,2037-01-01 00:00:00
10,10,Attentive Energy Two,149016,170143.4089950515,180174.51137900996,172149.6294718432,180174.51137900996,2039-01-01 00:00:00,2041-05-30 08:00:00,2041-08-21 22:00:00,2042-07-22 07:00:00,2042-07-22 07:00:00,monopile,40,NJ,njwp_1,njwp_1,1342.0,True,2041-01-01 00:00:00
