,index,name,Initialized,Started,FoundationFinished,TurbineStart,Finished,Date Initialized,Date Started,Date TurbineStart,Date FoundationFinished,Date Finished,substructure,depth,location,foundation_port,turbine_port,capacity,us_wtiv,estimated_cod
0,0,Hypothetical GoMe 3,140256,140256,177951.7256875111,140256.0,177951.7256875111,2038-01-01 00:00:00,2038-01-01 00:00:00,2038-01-01 00:00:00,2042-04-20 16:00:00,2042-04-20 16:00:00,semisub,800,ME,salem,salem,2062.0,False,2040-01-01 00:00:00
1,1,Hypothetical GoMe 4,140256,140256,171474.7256875111,140256.0,171474.7256875111,2038-01-01 00:00:00,2038-01-01 00:00:00,2038-01-01 00:00:00,2041-07-24 19:00:00,2041-07-24 19:00:00,semisub,800,ME,salem,salem,1716.0,False,2040-01-01 00:00:00
2,2,Hypothetical GoMe 1,131496,131496,169936.7256875111,131496.0,169936.7256875111,2037-01-01 00:00:00,2037-01-01 00:00:00,2037-01-01 00:00:00,2041-05-21 17:00:00,2041-05-21 17:00:00,semisub,800,ME,salem,salem,2143.0,False,2039-01-01 00:00:00
3,3,Hypothetical GoMe 2,131496,131496,165098.2256875111,131496.0,165098.2256875111,2037-01-01 00:00:00,2037-01-01 00:00:00,2037-01-01 00:00:00,2040-11-01 03:00:00,2040-11-01 03:00:00,semisub,800,ME,salem,salem,1866.0,False,2039-01-01 00:00:00
4,4,Avangrid GoME 2,122712,122712,162035.2256875111,122712.0,162035.2256875111,2036-01-01 00:00:00,2036-01-01 00:00:00,2036-01-01 00:00:00,2040-06-26 12:00:00,2040-06-26 12:00:00,semisub,800,ME,salem,salem,2171.528889,False,2038-01-01 00:00:00
5,5,Invenergy NE Offshore Wind GoME 2,122712,122712,158918.94829982278,122712.0,158918.94829982278,2036-01-01 00:00:00,2036-01-01 00:00:00,2036-01-01 00:00:00,2040-02-17 15:00:00,2040-02-17 15:00:00,semisub,800,MA,salem,salem,1992.965238,False,2038-01-01 00:00:00
6,6,Invenergy NE Offshore Wind GoME 1,113952,113952,150150.79673939192,113952.0,150150.79673939192,2035-01-01 00:00:00,2035-01-01 00:00:00,2035-01-01 00:00:00,2039-02-17 07:00:00,2039-02-17 07:00:00,semisub,800,ME,salem,salem,1964.167782,False,2037-01-01 00:00:00
7,7,Hpothetical Central Atlantic 1,140256,140256,148437.0520569939,141892.2104113988,148437.0520569939,2038-01-01 00:00:00,2038-01-01 00:00:00,2038-03-10 05:00:00,2038-12-07 22:00:00,2038-12-07 22:00:00,monopile,40,MD,portsmouth_1,portsmouth_1,1000.0,True,2040-01-01 00:00:00
8,8,Avangrid GoME 1,113952,113952,146959.17201529833,113952.0,146959.17201529833,2035-01-01 00:00:00,2035-01-01 00:00:00,2035-01-01 00:00:00,2038-10-07 08:00:00,2038-10-07 08:00:00,semisub,800,MA,salem,salem,1785.604132,False,2037-01-01 00:00:00
9,9,Hypothetical NY Bight 2,131496,131496,137402.7148464354,132677.34296928707,137402.7148464354,2037-01-01 00:00:00,2037-01-01 00:00:00,2037-02-19 06:00:00,2037-09-04 03:00:00,2037-09-04 03:00:00,monopile,40,NJ,euro_fab,sbmt,1000.0,False,2039-01-01 00:00:00
10,10,SouthCoast Wind 1 (Mayflower Wind) MA,122712,122712,130969.014463524,124363.4028927048,130969.014463524,2036-01-01 00:00:00,2036-01-01 00:00:00,2036-03-09 20:00:00,2036-12-10 02:00:00,2036-12-10 02:00:00,monopile,40,MA,halifax,new_bedford,1087.0,False,2038-01-01 00:00:00
11,11,Hypothetical NY Bight 1,122712,122712,128545.93603532473,123878.78720706495,128545.93603532473,2036-01-01 00:00:00,2036-01-01 00:00:00,2036-02-18 15:00:00,2036-08-31 02:00:00,2036-08-31 02:00:00,monopile,40,NY,euro_fab,new_london,1000.0,False,2038-01-01 00:00:00
12,12,SouthCoast Wind 1 (Mayflower Wind) RI,122712,122712,126884.16182598572,123546.43236519715,126884.16182598572,2036-01-01 00:00:00,2036-01-01 00:00:00,2036-02-04 19:00:00,2036-06-22 21:00:00,2036-06-22 21:00:00,monopile,40,RI,halifax,new_bedford,200.0,False,2038-01-01 00:00:00
13,13,Bay State Wind,87648,87648,120573.94434039046,94233.1888680781,120573.94434039046,2032-01-01 00:00:00,2032-01-01 00:00:00,2032-10-01 10:00:00,2035-10-03 22:00:00,2035-10-03 22:00:00,monopile,40,RI,argentia,new_london,2344.3,False,2034-01-01 00:00:00
14,14,Central Atlantic Lease Area C-1,96432,96432,118859.30585324334,100917.46117064866,118859.30585324334,2033-01-01 00:00:00,2033-01-01 00:00:00,2033-07-06 22:00:00,2035-07-24 12:00:00,2035-07-24 12:00:00,monopile,40,NC,portsmouth_1,portsmouth_1,2857.164097,True,2035-01-01 00:00:00
15,15,Attentive Energy Two,105192,105192,118056.10238395853,107764.8204767917,118056.10238395853,2034-01-01 00:00:00,2034-01-01 00:00:00,2034-04-18 05:00:00,2035-06-21 01:00:00,2035-06-21 01:00:00,monopile,40,NJ,njwp_1,njwp_1,1342.0,True,2036-01-01 00:00:00
16,16,Attentive Energy One,105192,105192,113211.6145228424,106795.92290456848,113211.6145228424,2034-01-01 00:00:00,2034-01-01 00:00:00,2034-03-08 20:00:00,2034-12-01 04:00:00,2034-12-01 04:00:00,monopile,40,NY,euro_fab,sbmt,1404.0,False,2036-01-01 00:00:00
17,17,Central Atlantic Lease Area A-2,96432,96432,110983.3468820264,99342.26937640528,110983.3468820264,2033-01-01 00:00:00,2033-01-01 00:00:00,2033-05-02 07:00:00,2034-08-30 08:00:00,2034-08-30 08:00:00,monopile,40,MD,portsmouth_1,portsmouth_1,1642.102476,True,2035-01-01 00:00:00
18,18,Bluepoint Wind,96432,96432,102959.11863250364,97737.42372650073,102959.11863250364,2033-01-01 00:00:00,2033-01-01 00:00:00,2033-02-24 10:00:00,2033-09-30 00:00:00,2033-09-30 00:00:00,monopile,40,NY,njwp_1,njwp_1,1158.0,False,2035-01-01 00:00:00
