,time,ahts_vessel:example_ahts_vessel,feeder:example_heavy_feeder_1kit,feeder:example_feeder,towing_vessel:example_towing_vessel,wtiv:example_heavy_lift_vessel,wtiv:example_wtiv,wtiv:example_wtiv_us,port:new_london,port:new_bedford,port:sbmt,port:njwp_1,port:tradepoint_1,port:portsmouth_1,port:salem,port:euro_fab,port:argentia,port:halifax
0,2022-01-01 00:00:00.000000,10,400,399,100,9,9,10,9,10,10,10,10,10,10,9,10,10
1,2022-05-21 18:26:24.380206,10,400,399,100,10,9,10,9,10,10,10,10,10,10,9,10,10
2,2022-05-21 18:26:24.380206,10,400,399,100,10,10,10,9,10,10,10,10,10,10,9,10,10
3,2022-05-21 18:26:24.380206,10,400,400,100,10,10,10,9,10,10,10,10,10,10,9,10,10
4,2022-05-21 18:26:24.380206,10,400,400,100,10,10,10,9,10,10,10,10,10,10,9,10,10
5,2022-05-21 18:26:24.380206,10,400,400,100,10,10,10,9,10,10,10,10,10,10,10,10,10
6,2022-08-19 18:26:24.380206,10,400,400,100,10,10,10,10,10,10,10,10,10,10,10,10,10
7,2023-01-01 00:00:00.000000,10,400,399,100,9,9,10,10,9,10,10,10,10,10,10,10,9
8,2023-09-10 17:30:35.070319,10,400,399,100,10,9,10,10,9,10,10,10,10,10,10,10,9
9,2023-09-10 17:30:35.070319,10,400,399,100,10,10,10,10,9,10,10,10,10,10,10,10,9
10,2023-09-10 17:30:35.070319,10,400,400,100,10,10,10,10,9,10,10,10,10,10,10,10,9
11,2023-09-10 17:30:35.070319,10,400,400,100,10,10,10,10,9,10,10,10,10,10,10,10,9
12,2023-09-10 17:30:35.070319,10,400,400,100,10,10,10,10,9,10,10,10,10,10,10,10,10
13,2023-12-09 17:30:35.070319,10,400,400,100,10,10,10,10,10,10,10,10,10,10,10,10,10
14,2024-01-01 00:00:00.000000,10,400,399,100,9,9,10,9,10,10,10,10,10,10,10,9,10
15,2024-01-01 00:00:00.000000,10,400,398,100,8,8,10,8,10,10,10,10,10,10,10,8,10
16,2024-01-01 00:00:00.000000,10,400,398,100,7,8,9,8,10,10,10,10,9,10,10,8,10
17,2024-07-30 23:32:54.051684,10,400,398,100,8,8,9,8,10,10,10,10,9,10,10,8,10
18,2024-07-30 23:32:54.051684,10,400,398,100,8,9,9,8,10,10,10,10,9,10,10,8,10
19,2024-07-30 23:32:54.051684,10,400,399,100,8,9,9,8,10,10,10,10,9,10,10,8,10
20,2024-07-30 23:32:54.051684,10,400,399,100,8,9,9,8,10,10,10,10,9,10,10,8,10
21,2024-07-30 23:32:54.051684,10,400,399,100,8,9,9,8,10,10,10,10,9,10,10,9,10
22,2024-09-08 04:47:38.161535,10,400,399,100,9,9,9,8,10,10,10,10,9,10,10,9,10
23,2024-09-08 04:47:38.161535,10,400,399,100,9,10,9,8,10,10,10,10,9,10,10,9,10
24,2024-09-08 04:47:38.161535,10,400,400,100,9,10,9,8,10,10,10,10,9,10,10,9,10
25,2024-09-08 04:47:38.161535,10,400,400,100,9,10,9,8,10,10,10,10,9,10,10,9,10
26,2024-09-08 04:47:38.161535,10,400,400,100,9,10,9,8,10,10,10,10,9,10,10,10,10
27,2024-10-28 23:32:54.051684,10,400,400,100,9,10,9,9,10,10,10,10,9,10,10,10,10
28,2024-12-07 04:47:38.161535,10,400,400,100,9,10,9,10,10,10,10,10,9,10,10,10,10
29,2025-01-01 00:00:00.000000,10,400,400,100,8,10,8,9,10,10,10,10,9,10,10,9,10
30,2025-01-01 00:00:00.000000,10,400,399,100,7,9,8,9,10,9,10,10,9,10,9,9,10
31,2025-08-08 00:43:46.907139,10,400,399,100,8,9,8,9,10,9,10,10,9,10,9,9,10
32,2025-08-08 00:43:46.907139,10,400,399,100,8,10,8,9,10,9,10,10,9,10,9,9,10
33,2025-08-08 00:43:46.907139,10,400,400,100,8,10,8,9,10,9,10,10,9,10,9,9,10
34,2025-08-08 00:43:46.907139,10,400,400,100,8,10,8,9,10,9,10,10,9,10,9,9,10
35,2025-08-08 00:43:46.907139,10,400,400,100,8,10,8,9,10,9,10,10,9,10,10,9,10
36,2025-11-06 00:43:46.907139,10,400,400,100,8,10,8,9,10,10,10,10,9,10,10,9,10
37,2025-12-27 11:23:03.156533,10,400,400,100,9,10,8,9,10,10,10,10,9,10,10,9,10
38,2025-12-27 11:23:03.156533,10,400,400,100,9,10,9,9,10,10,10,10,9,10,10,9,10
39,2025-12-27 11:23:03.156533,10,400,400,100,9,10,9,9,10,10,10,10,9,10,10,9,10
40,2026-01-01 00:00:00.000000,9,400,400,99,9,10,9,9,10,10,10,10,9,9,10,9,10
41,2026-03-27 11:23:03.156533,9,400,400,99,9,10,9,9,10,10,10,10,10,9,10,9,10
42,2026-06-02 01:26:42.474258,10,400,400,99,9,10,9,9,10,10,10,10,10,9,10,9,10
43,2026-06-02 01:26:42.474258,10,400,400,100,9,10,9,9,10,10,10,10,10,9,10,9,10
44,2026-08-31 01:26:42.474258,10,400,400,100,9,10,9,9,10,10,10,10,10,10,10,9,10
45,2026-11-28 02:45:46.179367,10,400,400,100,10,10,9,9,10,10,10,10,10,10,10,9,10
46,2026-11-28 02:45:46.179367,10,400,400,100,10,10,10,9,10,10,10,10,10,10,10,9,10
47,2026-11-28 02:45:46.179367,10,400,400,100,10,10,10,9,10,10,10,10,10,10,10,9,10
48,2026-11-28 02:45:46.179367,10,400,400,100,10,10,10,9,10,10,10,10,10,10,10,10,10
49,2027-01-01 00:00:00.000000,10,400,399,100,9,9,10,9,10,10,10,10,10,9,10,10,10
50,2027-01-01 00:00:00.000000,10,399,398,100,8,8,10,9,10,10,10,9,10,9,10,10,10
51,2027-01-01 00:00:00.000000,10,398,397,100,7,7,10,9,10,10,10,8,10,9,10,10,10
52,2027-01-01 00:00:00.000000,10,397,396,100,6,6,10,9,10,10,10,7,10,9,10,10,10
53,2027-01-01 00:00:00.000000,10,397,396,100,5,6,9,9,10,10,10,7,9,9,10,10,10
54,2027-02-26 02:45:46.179367,10,397,396,100,5,6,9,10,10,10,10,7,9,9,10,10,10
55,2027-05-19 23:48:00.098736,10,397,396,100,6,6,9,10,10,10,10,7,9,9,10,10,10
56,2027-05-19 23:48:00.098736,10,398,396,100,6,6,9,10,10,10,10,7,9,9,10,10,10
57,2027-05-19 23:48:00.098736,10,398,396,100,6,7,9,10,10,10,10,7,9,9,10,10,10
58,2027-05-19 23:48:00.098736,10,398,397,100,6,7,9,10,10,10,10,7,9,9,10,10,10
59,2027-05-19 23:48:00.098736,10,398,397,100,6,7,9,10,10,10,10,7,9,9,10,10,10
60,2027-05-19 23:48:00.098736,10,398,397,100,6,7,9,10,10,10,10,7,9,9,10,10,10
61,2027-06-07 19:17:05.705620,10,398,397,100,7,7,9,10,10,10,10,7,9,9,10,10,10
62,2027-06-07 19:17:05.705620,10,399,397,100,7,7,9,10,10,10,10,7,9,9,10,10,10
63,2027-06-07 19:17:05.705620,10,399,397,100,7,8,9,10,10,10,10,7,9,9,10,10,10
64,2027-06-07 19:17:05.705620,10,399,398,100,7,8,9,10,10,10,10,7,9,9,10,10,10
65,2027-06-07 19:17:05.705620,10,399,398,100,7,8,9,10,10,10,10,7,9,9,10,10,10
66,2027-06-07 19:17:05.705620,10,399,398,100,7,8,9,10,10,10,10,7,9,9,10,10,10
67,2027-07-29 02:26:31.166724,10,399,398,100,8,8,9,10,10,10,10,7,9,9,10,10,10
68,2027-07-29 02:26:31.166724,10,399,398,100,8,9,9,10,10,10,10,7,9,9,10,10,10
69,2027-07-29 02:26:31.166724,10,399,399,100,8,9,9,10,10,10,10,7,9,9,10,10,10
70,2027-07-29 02:26:31.166724,10,399,399,100,8,9,9,10,10,10,10,7,9,9,10,10,10
71,2027-08-11 21:16:24.089062,10,399,399,100,9,9,9,10,10,10,10,7,9,9,10,10,10
72,2027-08-11 21:16:24.089062,10,400,399,100,9,9,9,10,10,10,10,7,9,9,10,10,10
73,2027-08-11 21:16:24.089062,10,400,399,100,9,10,9,10,10,10,10,7,9,9,10,10,10
74,2027-08-11 21:16:24.089062,10,400,400,100,9,10,9,10,10,10,10,7,9,9,10,10,10
75,2027-08-11 21:16:24.089062,10,400,400,100,9,10,9,10,10,10,10,7,9,9,10,10,10
76,2027-08-11 21:16:24.089062,10,400,400,100,9,10,9,10,10,10,10,7,9,9,10,10,10
77,2027-08-17 23:48:00.098736,10,400,400,100,9,10,9,10,10,10,10,8,9,9,10,10,10
78,2027-09-05 19:17:05.705620,10,400,400,100,9,10,9,10,10,10,10,9,9,9,10,10,10
79,2027-09-27 08:13:54.594150,10,400,400,100,10,10,9,10,10,10,10,9,9,9,10,10,10
80,2027-09-27 08:13:54.594150,10,400,400,100,10,10,10,10,10,10,10,9,9,9,10,10,10
81,2027-09-27 08:13:54.594150,10,400,400,100,10,10,10,10,10,10,10,9,9,9,10,10,10
82,2027-10-27 02:26:31.166724,10,400,400,100,10,10,10,10,10,10,10,9,9,10,10,10,10
83,2027-11-09 21:16:24.089062,10,400,400,100,10,10,10,10,10,10,10,10,9,10,10,10,10
84,2027-12-26 08:13:54.594150,10,400,400,100,10,10,10,10,10,10,10,10,10,10,10,10,10
