,index,name,Initialized,Started,FoundationFinished,TurbineStart,Finished,Date Initialized,Date Started,Date TurbineStart,Date FoundationFinished,Date Finished,substructure,depth,location,foundation_port,turbine_port,capacity,us_wtiv,estimated_cod
0,0,Hypothetical GoMe 4,140256,381611.8198045574,411751.5454920685,381611.8198045574,411751.5454920685,2038-01-01 00:00:00,2065-07-14 12:00:00,2065-07-14 12:00:00,2068-12-21 08:00:00,2068-12-21 08:00:00,semisub,800,ME,salem,salem,1716.0,False,2040-01-01 00:00:00
1,1,Hypothetical GoMe 3,140256,343332.09411704633,379451.8198045574,343332.09411704633,379451.8198045574,2038-01-01 00:00:00,2061-03-02 13:00:00,2061-03-02 13:00:00,2065-04-15 12:00:00,2065-04-15 12:00:00,semisub,800,ME,salem,salem,2062.0,False,2040-01-01 00:00:00
2,2,Hypothetical GoMe 2,131496,308432.36842953524,341172.09411704633,308432.36842953524,341172.09411704633,2037-01-01 00:00:00,2057-03-09 09:00:00,2057-03-09 09:00:00,2060-12-02 13:00:00,2060-12-02 13:00:00,semisub,800,ME,salem,salem,1866.0,False,2039-01-01 00:00:00
3,3,Hypothetical GoMe 1,131496,267239.64274202415,306272.36842953524,267239.64274202415,306272.36842953524,2037-01-01 00:00:00,2052-06-27 00:00:00,2052-06-27 00:00:00,2056-12-09 09:00:00,2056-12-09 09:00:00,semisub,800,ME,salem,salem,2143.0,False,2039-01-01 00:00:00
4,4,Avangrid GoME 2,122712,225425.41705451303,265079.64274202415,225425.41705451303,265079.64274202415,2036-01-01 00:00:00,2047-09-19 18:00:00,2047-09-19 18:00:00,2052-03-29 00:00:00,2052-03-29 00:00:00,semisub,800,ME,salem,salem,2171.528889,False,2038-01-01 00:00:00
5,5,Bluepoint Wind,96432,232851.8376029358,240324.73504655008,234346.41709165866,240324.73504655008,2033-01-01 00:00:00,2048-07-25 04:00:00,2048-09-25 11:00:00,2049-06-01 13:00:00,2049-06-01 13:00:00,monopile,40,NY,njwp_1,njwp_1,1158.0,False,2035-01-01 00:00:00
6,6,Hypothetical NY Bight 2,131496,226272.90156761103,232851.8376029358,227588.68877467597,232851.8376029358,2037-01-01 00:00:00,2047-10-25 01:00:00,2047-12-18 21:00:00,2048-07-25 04:00:00,2048-07-25 04:00:00,monopile,40,NJ,euro_fab,sbmt,1000.0,False,2039-01-01 00:00:00
7,7,Atlantic Shores Offshore Wind South 1,87648,218705.09540879648,226272.90156761103,220218.65664055938,226272.90156761103,2032-01-01 00:00:00,2046-12-13 18:00:00,2047-02-14 19:00:00,2047-10-25 01:00:00,2047-10-25 01:00:00,monopile,40,NJ,njwp_1,njwp_1,1510.0,False,2034-01-01 00:00:00
8,8,Invenergy NE Offshore Wind GoME 2,122712,187009.96875469026,223265.41705451303,187009.96875469026,223265.41705451303,2036-01-01 00:00:00,2043-05-03 02:00:00,2043-05-03 02:00:00,2047-06-21 18:00:00,2047-06-21 18:00:00,semisub,800,MA,salem,salem,1992.965238,False,2038-01-01 00:00:00
9,9,Hypothetical NY Bight 1,122712,215194.09845721145,218358.03449253616,215826.8856642764,218705.09540879648,2036-01-01 00:00:00,2046-07-20 11:00:00,2046-08-15 19:00:00,2046-11-29 07:00:00,2046-12-13 18:00:00,monopile,40,NY,euro_fab,new_london,1000.0,False,2038-01-01 00:00:00
