,time,ahts_vessel:example_ahts_vessel,feeder:example_heavy_feeder_1kit,feeder:example_feeder,towing_vessel:example_towing_vessel,wtiv:example_heavy_lift_vessel,wtiv:example_wtiv,wtiv:example_wtiv_us,port:new_london,port:new_bedford,port:sbmt,port:njwp_1,port:tradepoint_1,port:portsmouth_1,port:salem,port:euro_fab,port:argentia,port:halifax
0,2022-01-01 00:00:00.000000,2,4,3,100,1,1,0,0,1,1,1,1,1,1,99,1,1
1,2022-01-31 10:00:00.000000,2,4,3,100,1,1,1,0,1,1,1,1,1,1,99,1,1
2,2022-01-31 10:00:00.000000,2,4,3,100,1,0,1,0,1,1,1,1,1,1,99,1,1
3,2022-05-21 18:26:24.380206,2,4,3,100,2,0,1,0,1,1,1,1,1,1,99,1,1
4,2022-05-21 18:26:24.380206,2,4,3,100,2,1,1,0,1,1,1,1,1,1,99,1,1
5,2022-05-21 18:26:24.380206,2,4,4,100,2,1,1,0,1,1,1,1,1,1,99,1,1
6,2022-05-21 18:26:24.380206,2,4,4,100,2,1,1,0,1,1,1,1,1,1,99,1,1
7,2022-05-21 18:26:24.380206,2,4,4,100,2,1,1,0,1,1,1,1,1,1,100,1,1
8,2022-08-19 18:26:24.380206,2,4,4,100,2,1,1,1,1,1,1,1,1,1,100,1,1
9,2023-01-01 00:00:00.000000,2,4,3,100,1,0,1,1,0,1,1,1,1,1,100,1,0
10,2023-09-10 17:30:35.070319,2,4,3,100,2,0,1,1,0,1,1,1,1,1,100,1,0
11,2023-09-10 17:30:35.070319,2,4,3,100,2,1,1,1,0,1,1,1,1,1,100,1,0
12,2023-09-10 17:30:35.070319,2,4,4,100,2,1,1,1,0,1,1,1,1,1,100,1,0
13,2023-09-10 17:30:35.070319,2,4,4,100,2,1,1,1,0,1,1,1,1,1,100,1,0
14,2023-09-10 17:30:35.070319,2,4,4,100,2,1,1,1,0,1,1,1,1,1,100,1,1
15,2023-12-09 17:30:35.070319,2,4,4,100,2,1,1,1,1,1,1,1,1,1,100,1,1
16,2024-01-01 00:00:00.000000,2,4,3,100,1,0,1,0,1,1,1,1,1,1,100,0,1
17,2024-01-01 00:00:00.000000,2,4,3,100,1,0,1,0,1,1,1,1,1,1,100,0,1
18,2024-01-01 00:00:00.000000,2,4,3,100,0,0,0,0,1,1,1,1,0,1,100,0,1
19,2024-07-30 23:32:54.051684,2,4,3,100,1,0,0,0,1,1,1,1,0,1,100,0,1
20,2024-07-30 23:32:54.051684,2,4,3,100,1,1,0,0,1,1,1,1,0,1,100,0,1
21,2024-07-30 23:32:54.051684,2,4,4,100,1,1,0,0,1,1,1,1,0,1,100,0,1
22,2024-07-30 23:32:54.051684,2,4,4,100,1,1,0,0,1,1,1,1,0,1,100,0,1
23,2024-07-30 23:32:54.051684,2,4,4,100,1,1,0,0,1,1,1,1,0,1,100,1,1
24,2024-10-28 23:32:54.051684,2,4,3,100,0,0,0,0,1,1,1,1,0,1,100,0,1
25,2025-01-01 00:00:00.000000,2,4,3,100,0,0,0,0,1,1,1,1,0,1,100,0,1
26,2025-01-01 00:00:00.000000,2,4,3,100,0,0,0,0,1,1,1,1,0,1,100,0,1
27,2025-08-11 06:20:32.213219,2,4,3,100,1,0,0,0,1,1,1,1,0,1,100,0,1
28,2025-08-11 06:20:32.213219,2,4,2,100,0,0,0,0,1,0,1,1,0,1,99,0,1
29,2025-08-11 06:20:32.213219,2,4,3,100,0,0,0,0,1,0,1,1,0,1,99,0,1
30,2025-08-11 06:20:32.213219,2,4,3,100,0,0,0,0,1,0,1,1,0,1,99,0,1
31,2025-08-11 06:20:32.213219,2,4,3,100,0,0,0,0,1,0,1,1,0,1,99,1,1
32,2025-11-09 06:20:32.213219,2,4,3,100,0,0,0,1,1,0,1,1,0,1,99,1,1
33,2025-11-30 22:17:35.400360,2,4,3,100,1,0,0,1,1,0,1,1,0,1,99,1,1
34,2025-12-15 11:15:56.007607,2,4,3,100,1,1,0,1,1,0,1,1,0,1,99,1,1
35,2025-12-15 11:15:56.007607,2,4,4,100,1,1,0,1,1,0,1,1,0,1,99,1,1
36,2025-12-15 11:15:56.007607,2,4,4,100,1,1,0,1,1,0,1,1,0,1,99,1,1
37,2025-12-15 11:15:56.007607,2,4,4,100,1,1,0,1,1,0,1,1,0,1,100,1,1
38,2025-12-27 11:23:03.156533,2,4,4,100,2,1,0,1,1,0,1,1,0,1,100,1,1
39,2025-12-27 11:23:03.156533,2,4,4,100,1,1,0,0,1,0,1,1,0,1,100,0,1
40,2025-12-27 11:23:03.156533,2,4,4,100,1,1,0,0,1,0,1,1,0,1,100,0,1
41,2026-01-01 00:00:00.000000,1,4,4,99,1,1,0,0,1,0,1,1,0,0,100,0,1
42,2026-03-15 11:15:56.007607,1,4,4,99,1,1,0,0,1,1,1,1,0,0,100,0,1
43,2026-03-27 11:23:03.156533,1,4,4,99,1,1,0,0,1,1,1,1,1,0,100,0,1
44,2026-06-02 01:26:42.474258,2,4,4,99,1,1,0,0,1,1,1,1,1,0,100,0,1
45,2026-06-02 01:26:42.474258,2,4,4,100,1,1,0,0,1,1,1,1,1,0,100,0,1
46,2026-08-31 01:26:42.474258,2,4,4,100,1,1,0,0,1,1,1,1,1,1,100,0,1
47,2027-01-01 00:00:00.000000,2,4,3,100,0,0,0,0,1,1,1,1,1,0,100,0,1
48,2027-01-01 00:00:00.000000,2,4,3,100,0,0,0,0,1,1,1,1,1,0,100,0,1
49,2027-01-01 00:00:00.000000,2,4,3,100,0,0,0,0,1,1,1,1,1,0,100,0,1
50,2027-01-01 00:00:00.000000,2,4,3,100,0,0,0,0,1,1,1,1,1,0,100,0,1
51,2027-01-01 00:00:00.000000,2,4,3,100,0,0,0,0,1,1,1,1,1,0,100,0,1
52,2027-07-29 02:26:31.166724,2,4,3,100,1,0,0,0,1,1,1,1,1,0,100,0,1
53,2027-07-29 02:26:31.166724,2,3,2,100,0,0,0,0,1,1,1,0,1,0,100,0,1
54,2027-07-29 02:26:31.166724,2,3,3,100,0,0,0,0,1,1,1,0,1,0,100,0,1
55,2027-07-29 02:26:31.166724,2,3,3,100,0,0,0,0,1,1,1,0,1,0,100,0,1
56,2027-09-05 03:14:02.817704,2,3,3,100,1,0,0,0,1,1,1,0,1,0,100,0,1
57,2027-09-05 03:14:02.817704,2,4,3,100,1,0,0,0,1,1,1,0,1,0,100,0,1
58,2027-09-05 03:14:02.817704,2,4,3,100,1,1,0,0,1,1,1,0,1,0,100,0,1
59,2027-09-05 03:14:02.817704,2,4,4,100,1,1,0,0,1,1,1,0,1,0,100,0,1
60,2027-09-05 03:14:02.817704,2,4,4,100,1,1,0,0,1,1,1,0,1,0,100,0,1
61,2027-09-05 03:14:02.817704,2,4,4,100,1,1,0,0,1,1,1,0,1,0,100,0,1
62,2027-10-27 02:26:31.166724,2,4,4,100,1,1,0,0,1,1,1,0,1,1,100,0,1
63,2027-11-26 13:08:49.335901,2,4,4,100,2,1,0,0,1,1,1,0,1,1,100,0,1
64,2027-11-26 13:08:49.335901,2,4,4,100,1,1,0,0,1,1,1,0,0,1,100,0,1
65,2027-11-26 13:08:49.335901,2,4,4,100,1,1,0,0,1,1,1,0,0,1,100,0,1
66,2027-11-26 13:08:49.335901,2,4,4,100,1,1,0,0,1,1,1,0,0,1,100,1,1
67,2027-12-04 03:14:02.817704,2,3,3,100,0,0,0,0,1,1,1,0,0,1,100,1,1
68,2028-01-01 00:00:00.000000,2,3,3,100,0,0,0,0,1,1,1,0,0,1,100,1,1
69,2028-01-01 00:00:00.000000,2,3,3,100,0,0,0,0,1,1,1,0,0,1,100,1,1
70,2028-01-01 00:00:00.000000,2,3,3,100,0,0,0,0,1,1,1,0,0,1,100,1,1
71,2028-01-01 00:00:00.000000,2,3,3,100,0,0,0,0,1,1,1,0,0,1,100,1,1
72,2028-02-24 13:08:49.335901,2,3,3,100,0,0,0,1,1,1,1,0,0,1,100,1,1
73,2028-05-03 00:56:14.802035,2,3,3,100,1,0,0,1,1,1,1,0,0,1,100,1,1
74,2028-05-03 00:56:14.802035,2,4,3,100,1,0,0,1,1,1,1,0,0,1,100,1,1
75,2028-05-03 00:56:14.802035,2,4,2,100,0,0,0,1,1,1,1,0,0,0,100,1,1
76,2028-05-03 00:56:14.802035,2,4,3,100,0,0,0,1,1,1,1,0,0,0,100,1,1
77,2028-05-03 00:56:14.802035,2,4,3,100,0,0,0,1,1,1,1,0,0,0,100,1,1
78,2028-05-03 00:56:14.802035,2,4,3,100,0,0,0,1,1,1,1,0,0,0,100,1,1
