,index,name,Initialized,Started,FoundationFinished,TurbineStart,Finished,Date Initialized,Date Started,Date TurbineStart,Date FoundationFinished,Date Finished,substructure,depth,location,foundation_port,turbine_port,capacity,us_wtiv,estimated_cod
0,0,Attentive Energy Two,149016,149016,155892.03786463544,150391.2075729271,155892.03786463544,2039-01-01 00:00:00,2039-01-01 00:00:00,2039-02-27 08:00:00,2039-10-14 13:00:00,2039-10-14 13:00:00,monopile,40,NJ,njwp_1,njwp_1,1342.0,False,2041-01-01 00:00:00
1,1,Atlantic Shores Offshore Wind North,122712,122712,134863.03176539834,125142.20635307967,134863.03176539834,2036-01-01 00:00:00,2036-01-01 00:00:00,2036-04-11 07:00:00,2037-05-21 08:00:00,2037-05-21 08:00:00,monopile,40,NJ,njwp_1,njwp_1,1313.3,True,2038-01-01 00:00:00
2,2,SouthCoast Wind 1 (Mayflower Wind) MA,122712,122712,130969.014463524,124363.4028927048,130969.014463524,2036-01-01 00:00:00,2036-01-01 00:00:00,2036-03-09 20:00:00,2036-12-10 02:00:00,2036-12-10 02:00:00,monopile,40,MA,halifax,new_bedford,1087.0,False,2038-01-01 00:00:00
3,3,SouthCoast Wind 1 (Mayflower Wind) RI,122712,122712,126884.16182598572,123546.43236519715,126884.16182598572,2036-01-01 00:00:00,2036-01-01 00:00:00,2036-02-04 19:00:00,2036-06-22 21:00:00,2036-06-22 21:00:00,monopile,40,RI,halifax,new_bedford,200.0,False,2038-01-01 00:00:00
4,4,SouthCoast Wind Residual,113952,113952,122253.83255683912,115612.36651136783,122253.83255683912,2035-01-01 00:00:00,2035-01-01 00:00:00,2035-03-11 05:00:00,2035-12-12 22:00:00,2035-12-12 22:00:00,monopile,40,MA,halifax,new_bedford,1113.0,False,2037-01-01 00:00:00
5,5,Bay State Wind,87648,87648,120573.94434039046,94233.1888680781,120573.94434039046,2032-01-01 00:00:00,2032-01-01 00:00:00,2032-10-01 10:00:00,2035-10-03 22:00:00,2035-10-03 22:00:00,monopile,40,RI,argentia,new_london,2344.3,False,2034-01-01 00:00:00
6,6,Kitty Hawk South,105192,105192,117765.16364729172,107706.63272945835,117765.16364729172,2034-01-01 00:00:00,2034-01-01 00:00:00,2034-04-15 19:00:00,2035-06-08 22:00:00,2035-06-08 22:00:00,monopile,40,NC,portsmouth_1,portsmouth_1,1350.7,True,2036-01-01 00:00:00
7,7,Atlantic Shores Offshore Wind South 2,105192,105192,112336.62554825596,106620.92510965119,112336.62554825596,2034-01-01 00:00:00,2034-01-01 00:00:00,2034-03-01 13:00:00,2034-10-25 17:00:00,2034-10-25 17:00:00,monopile,40,NJ,njwp_1,njwp_1,1350.0,False,2036-01-01 00:00:00
8,8,Beacon Wind 2,96432,96432,102640.80074396438,97673.76014879288,102640.80074396438,2033-01-01 00:00:00,2033-01-01 00:00:00,2033-02-21 18:00:00,2033-09-16 17:00:00,2033-09-16 17:00:00,monopile,40,NY,euro_fab,sbmt,1200.0,False,2035-01-01 00:00:00
9,9,Garden State Offshore Energy I,96432,96432,102322.87182017075,97610.17436403414,102322.87182017075,2033-01-01 00:00:00,2033-01-01 00:00:00,2033-02-19 03:00:00,2033-09-03 11:00:00,2033-09-03 11:00:00,monopile,40,NJ,njwp_1,njwp_1,1080.0,False,2035-01-01 00:00:00
10,10,Vineyard Wind 2 (Vineyard Northeast) MA,87648,87648,93633.66927786559,88845.13385557312,93633.66927786559,2032-01-01 00:00:00,2032-01-01 00:00:00,2032-02-19 22:00:00,2032-09-06 10:00:00,2032-09-06 10:00:00,monopile,40,MA,halifax,new_bedford,800.0,False,2034-01-01 00:00:00
11,11,CVOW-South (Kitty Hawk North),78888,78888,85393.23183170825,80189.04636634164,85393.23183170825,2031-01-01 00:00:00,2031-01-01 00:00:00,2031-02-24 06:00:00,2031-09-29 02:00:00,2031-09-29 02:00:00,monopile,40,VA,portsmouth_1,portsmouth_1,800.0,True,2033-01-01 00:00:00
12,12,Excelsior Wind (Vineyard Mid-Atlantic),70128,70128,83734.80908365837,72849.36181673167,83734.80908365837,2030-01-01 00:00:00,2030-01-01 00:00:00,2030-04-24 10:00:00,2031-07-21 23:00:00,2031-07-21 23:00:00,monopile,40,NY,halifax,sbmt,1314.0,False,2032-01-01 00:00:00
13,13,Beacon Wind 1,70128,70128,76237.94671005692,71349.98934201138,76237.94671005692,2030-01-01 00:00:00,2030-01-01 00:00:00,2030-02-20 22:00:00,2030-09-12 14:00:00,2030-09-12 14:00:00,monopile,40,NY,euro_fab,sbmt,1230.0,False,2032-01-01 00:00:00
14,14,Atlantic Shores Offshore Wind South 1,61368,61368,74352.24616017118,63964.849232034234,74352.24616017118,2029-01-01 00:00:00,2029-01-01 00:00:00,2029-04-19 05:00:00,2030-06-26 01:00:00,2030-06-26 01:00:00,monopile,40,NJ,njwp_1,njwp_1,1510.0,True,2031-01-01 00:00:00
15,15,Ocean Wind 1,61368,61368,70032.8768336099,63100.97536672198,70032.8768336099,2029-01-01 00:00:00,2029-01-01 00:00:00,2029-03-14 05:00:00,2029-12-28 01:00:00,2029-12-28 01:00:00,monopile,40,NJ,njwp_1,njwp_1,1222.6,True,2031-01-01 00:00:00
16,16,"Momentum Wind (U.S. Wind Phases 2, 3, and 4)",52584,52584,60104.63348077522,54088.12669615504,60104.63348077522,2028-01-01 00:00:00,2028-01-01 00:00:00,2028-03-03 17:00:00,2028-11-09 09:00:00,2028-11-09 09:00:00,monopile,40,MD,tradepoint_1,tradepoint_1,1410.0,False,2030-01-01 00:00:00
17,17,New England Wind 2 (Commonwealth Wind),52584,52584,59147.93433994253,53896.78686798851,59147.93433994253,2028-01-01 00:00:00,2028-01-01 00:00:00,2028-02-24 17:00:00,2028-09-30 12:00:00,2028-09-30 12:00:00,monopile,40,MA,salem,salem,1232.0,False,2030-01-01 00:00:00
18,18,Empire Wind 2,52584,52584,57355.3018620773,53538.26037241546,57355.3018620773,2028-01-01 00:00:00,2028-01-01 00:00:00,2028-02-09 19:00:00,2028-07-17 20:00:00,2028-07-17 20:00:00,monopile,40,NY,euro_fab,sbmt,621.0,False,2030-01-01 00:00:00
19,19,Skipjack  2,43824,43824,49173.2733580727,44893.85467161454,49173.2733580727,2027-01-01 00:00:00,2027-01-01 00:00:00,2027-02-14 14:00:00,2027-08-11 22:00:00,2027-08-11 22:00:00,monopile,40,MD,tradepoint_1,tradepoint_1,846.0,False,2029-01-01 00:00:00
20,20,New England Wind 1 (Park City Wind),43824,43824,48842.441990756655,44827.68839815133,48842.441990756655,2027-01-01 00:00:00,2027-01-01 00:00:00,2027-02-11 20:00:00,2027-07-29 03:00:00,2027-07-29 03:00:00,monopile,40,MA,salem,salem,791.0,False,2029-01-01 00:00:00
21,21,MarWin (U.S. Wind Phase 1),43824,43824,47611.284918227866,44581.45698364557,47611.284918227866,2027-01-01 00:00:00,2027-01-01 00:00:00,2027-02-01 14:00:00,2027-06-07 20:00:00,2027-06-07 20:00:00,monopile,40,MD,tradepoint_1,tradepoint_1,300.0,False,2029-01-01 00:00:00
22,22,Skipjack 1,43824,43824,47159.80002742657,44491.16000548531,47159.80002742657,2027-01-01 00:00:00,2027-01-01 00:00:00,2027-01-28 20:00:00,2027-05-20 00:00:00,2027-05-20 00:00:00,monopile,40,MD,tradepoint_1,tradepoint_1,120.0,False,2029-01-01 00:00:00
23,23,Sunrise Wind,26304,26304,43010.762827602026,29645.352565520407,43010.762827602026,2025-01-01 00:00:00,2025-01-01 00:00:00,2025-05-20 06:00:00,2026-11-28 03:00:00,2026-11-28 03:00:00,monopile,40,NY,argentia,new_london,924.0,True,2027-01-01 00:00:00
24,24,CVOW-C,17520,17520,34955.38421014817,21007.076842029634,34955.38421014817,2024-01-01 00:00:00,2024-01-01 00:00:00,2024-05-25 08:00:00,2025-12-27 12:00:00,2025-12-27 12:00:00,monopile,40,VA,portsmouth_1,portsmouth_1,2587.0,True,2026-01-01 00:00:00
25,25,Empire Wind 1,26304,26304,31560.729696427436,27355.345939285486,31560.729696427436,2025-01-01 00:00:00,2025-01-01 00:00:00,2025-02-13 20:00:00,2025-08-08 01:00:00,2025-08-08 01:00:00,monopile,40,NY,euro_fab,sbmt,810.0,False,2027-01-01 00:00:00
26,26,Revolution Wind 1 RI,17520,17520,23548.793933759756,18725.75878675195,23548.793933759756,2024-01-01 00:00:00,2024-01-01 00:00:00,2024-02-20 06:00:00,2024-09-08 05:00:00,2024-09-08 05:00:00,monopile,40,RI,argentia,new_london,400.0,False,2026-01-01 00:00:00
27,27,Revolution Wind 1 CT,17520,17520,22607.548347690066,18537.509669538013,22607.548347690066,2024-01-01 00:00:00,2024-01-01 00:00:00,2024-02-12 10:00:00,2024-07-31 00:00:00,2024-07-31 00:00:00,monopile,40,CT,argentia,new_london,304.0,False,2026-01-01 00:00:00
28,28,Vineyard Wind 1,8760,8760,14825.509741755166,9973.101948351034,14825.509741755166,2023-01-01 00:00:00,2023-01-01 00:00:00,2023-02-20 14:00:00,2023-09-10 18:00:00,2023-09-10 18:00:00,monopile,40,MA,halifax,new_bedford,806.0,False,2025-01-01 00:00:00
29,29,South Fork,0,0,3378.4401056128418,675.6880211225684,3378.4401056128418,2022-01-01 00:00:00,2022-01-01 00:00:00,2022-01-29 04:00:00,2022-05-21 19:00:00,2022-05-21 19:00:00,monopile,40,NY,euro_fab,new_london,132.0,False,2024-01-01 00:00:00
