,index,name,Initialized,Started,FoundationFinished,TurbineStart,Finished,Date Initialized,Date Started,Date TurbineStart,Date FoundationFinished,Date Finished,substructure,depth,location,foundation_port,turbine_port,capacity,us_wtiv,estimated_cod
0,0,SouthCoast Wind 1 (Mayflower Wind) RI,122712,179862.32060869265,180982.0740089551,180086.27128874513,180982.0740089551,2036-01-01 00:00:00,2042-07-09 07:00:00,2042-07-18 15:00:00,2042-08-24 23:00:00,2042-08-24 23:00:00,monopile,40,RI,halifax,new_bedford,200.0,False,2038-01-01 00:00:00
1,1,Attentive Energy Two,149016,172063.9463107252,179862.32060869265,173623.6211703187,179862.32060869265,2039-01-01 00:00:00,2041-08-18 08:00:00,2041-10-22 08:00:00,2042-07-09 07:00:00,2042-07-09 07:00:00,monopile,40,NJ,njwp_1,njwp_1,1342.0,False,2041-01-01 00:00:00
2,2,SouthCoast Wind 1 (Mayflower Wind) MA,122712,163640.0377916479,172063.9463107252,165324.81949546337,172063.9463107252,2036-01-01 00:00:00,2040-09-01 09:00:00,2040-11-10 13:00:00,2041-08-18 08:00:00,2041-08-18 08:00:00,monopile,40,MA,halifax,new_bedford,1087.0,False,2038-01-01 00:00:00
3,3,Atlantic Shores Offshore Wind South 2,105192,156652.4267187012,163640.0377916479,158049.94893329055,163640.0377916479,2034-01-01 00:00:00,2039-11-15 05:00:00,2040-01-12 10:00:00,2040-09-01 09:00:00,2040-09-01 09:00:00,monopile,40,NJ,njwp_1,njwp_1,1350.0,False,2036-01-01 00:00:00
4,4,SouthCoast Wind Residual,113952,148809.93059519408,156652.4267187012,150378.4298198955,156652.4267187012,2035-01-01 00:00:00,2038-12-23 10:00:00,2039-02-26 19:00:00,2039-11-15 05:00:00,2039-11-15 05:00:00,monopile,40,MA,halifax,new_bedford,1113.0,False,2037-01-01 00:00:00
5,5,Garden State Offshore Energy I,96432,144490.74841686973,148065.3990481511,145205.678543126,148809.93059519408,2033-01-01 00:00:00,2038-06-26 11:00:00,2038-07-26 06:00:00,2038-11-22 10:00:00,2038-12-23 10:00:00,monopile,40,NJ,njwp_1,njwp_1,1080.0,False,2035-01-01 00:00:00
6,6,Beacon Wind 2,96432,138021.23701053753,144443.55535507738,139305.7006794455,144490.74841686973,2033-01-01 00:00:00,2037-09-29 22:00:00,2037-11-22 10:00:00,2038-06-24 12:00:00,2038-06-26 11:00:00,monopile,40,NY,euro_fab,sbmt,1200.0,False,2035-01-01 00:00:00
7,7,Vineyard Wind 2 (Vineyard Northeast) MA,87648,132318.67166699326,138021.23701053753,133459.18473570212,138021.23701053753,2032-01-01 00:00:00,2037-02-04 07:00:00,2037-03-23 20:00:00,2037-09-29 22:00:00,2037-09-29 22:00:00,monopile,40,MA,halifax,new_bedford,800.0,False,2034-01-01 00:00:00
8,8,Atlantic Shores Offshore Wind North,122712,122712.0,134863.03176539834,125142.20635307967,134863.03176539834,2036-01-01 00:00:00,2036-01-01 00:00:00,2036-04-11 07:00:00,2037-05-21 08:00:00,2037-05-21 08:00:00,monopile,40,NJ,njwp_1,njwp_1,1313.3,True,2038-01-01 00:00:00
9,9,Bay State Wind,87648,96044.94851549213,132318.67166699326,103299.69314579235,132318.67166699326,2032-01-01 00:00:00,2032-12-15 21:00:00,2033-10-14 04:00:00,2037-02-04 07:00:00,2037-02-04 07:00:00,monopile,40,RI,argentia,new_london,2344.3,False,2034-01-01 00:00:00
