,index,name,Initialized,Started,FoundationFinished,TurbineStart,Finished,Date Initialized,Date Started,Date TurbineStart,Date FoundationFinished,Date Finished,substructure,depth,location,foundation_port,turbine_port,capacity,us_wtiv,estimated_cod
0,0,Attentive Energy Two,131496,320691.4833870571,325023.6226608945,321557.91124182456,325474.54950572917,2037-01-01 00:00:00,2058-08-02 04:00:00,2058-09-07 06:00:00,2059-01-29 16:00:00,2059-02-17 11:00:00,monopile,40,NJ,njwp_1,njwp_1,1342.0,False,2039-01-01 00:00:00
1,1,Attentive Energy One,131496,316050.06381280225,320691.4833870571,316978.3477276532,320691.4833870571,2037-01-01 00:00:00,2058-01-20 19:00:00,2058-02-28 11:00:00,2058-08-02 04:00:00,2058-08-02 04:00:00,monopile,40,NY,euro_fab,sbmt,1404.0,False,2039-01-01 00:00:00
2,2,SouthCoast Wind 1 (Mayflower Wind) RI,122712,314841.9060786503,316050.06381280225,315083.53762548073,316050.06381280225,2036-01-01 00:00:00,2057-12-01 10:00:00,2057-12-11 12:00:00,2058-01-20 19:00:00,2058-01-20 19:00:00,monopile,40,RI,halifax,new_bedford,200.0,False,2038-01-01 00:00:00
3,3,Atlantic Shores Offshore Wind Bight,105192,306895.0171770486,314402.6745666989,308396.5486549787,314841.9060786503,2034-01-01 00:00:00,2057-01-04 08:00:00,2057-03-07 21:00:00,2057-11-13 03:00:00,2057-12-01 10:00:00,monopile,40,NY,njwp_1,njwp_1,2500.0,False,2036-01-01 00:00:00
4,4,SouthCoast Wind 1 (Mayflower Wind) MA,122712,292208.48450615443,306895.0171770486,295145.7910403333,306895.0171770486,2036-01-01 00:00:00,2055-05-03 09:00:00,2055-09-02 18:00:00,2057-01-04 08:00:00,2057-01-04 08:00:00,monopile,40,MA,halifax,new_bedford,1087.0,False,2038-01-01 00:00:00
5,5,Bluepoint Wind,96432,283855.5535945317,288652.7113834444,284814.98515231424,292208.48450615443,2033-01-01 00:00:00,2054-05-20 08:00:00,2054-06-29 07:00:00,2054-12-06 05:00:00,2055-05-03 09:00:00,monopile,40,NY,njwp_1,njwp_1,1158.0,False,2035-01-01 00:00:00
6,6,Bay State Wind,113952,196556.0044347782,283855.5535945317,214015.9142667289,283855.5535945317,2035-01-01 00:00:00,2044-06-03 21:00:00,2046-06-01 08:00:00,2054-05-20 08:00:00,2054-05-20 08:00:00,monopile,40,RI,argentia,new_london,2344.3,False,2037-01-01 00:00:00
7,7,Avangrid GoME 2,140256,228516.68479275098,268887.60546141927,228516.68479275098,268887.60546141927,2038-01-01 00:00:00,2048-01-26 13:00:00,2048-01-26 13:00:00,2052-09-03 16:00:00,2052-09-03 16:00:00,semisub,800,ME,salem,salem,2171.528889,False,2040-01-01 00:00:00
8,8,Invenergy NE Offshore Wind GoME 2,140256,189024.6146642374,226356.68479275098,189024.6146642374,226356.68479275098,2038-01-01 00:00:00,2043-07-26 01:00:00,2043-07-26 01:00:00,2047-10-28 13:00:00,2047-10-28 13:00:00,semisub,800,MA,salem,salem,1992.965238,False,2040-01-01 00:00:00
9,9,Garden State Offshore Energy I,96432,189373.423440277,196556.0044347782,190809.93963917723,196556.0044347782,2033-01-01 00:00:00,2043-08-09 14:00:00,2043-10-08 10:00:00,2044-06-03 21:00:00,2044-06-03 21:00:00,monopile,40,NJ,njwp_1,njwp_1,1080.0,False,2035-01-01 00:00:00
10,10,Community Offshore Wind,96432,172583.50096519486,189373.423440277,175941.4854602113,189373.423440277,2033-01-01 00:00:00,2041-09-09 00:00:00,2042-01-26 22:00:00,2043-08-09 14:00:00,2043-08-09 14:00:00,monopile,40,NY,sbmt,sbmt,2800.0,False,2035-01-01 00:00:00
11,11,Avangrid GoME 1,113952,153457.97494429408,186864.6146642374,153457.97494429408,186864.6146642374,2035-01-01 00:00:00,2039-07-05 02:00:00,2039-07-05 02:00:00,2043-04-27 01:00:00,2043-04-27 01:00:00,semisub,800,MA,salem,salem,1785.604132,False,2037-01-01 00:00:00
12,12,Atlantic Shores Offshore Wind South 2,96432,165040.9047998442,172583.50096519486,166549.42403291434,172583.50096519486,2033-01-01 00:00:00,2040-10-29 17:00:00,2040-12-31 14:00:00,2041-09-09 00:00:00,2041-09-09 00:00:00,monopile,40,NJ,njwp_1,njwp_1,1350.0,False,2035-01-01 00:00:00
13,13,Central Atlantic Lease Area C-1,122712,147178.8757691151,166502.18162235845,151043.53693976378,166502.18162235845,2036-01-01 00:00:00,2038-10-16 11:00:00,2039-03-26 12:00:00,2040-12-29 15:00:00,2040-12-29 15:00:00,monopile,40,NC,portsmouth_1,portsmouth_1,2857.164097,True,2038-01-01 00:00:00
14,14,Beacon Wind 2,96432,158078.5348478778,163935.08775546923,159249.84542939608,165040.9047998442,2033-01-01 00:00:00,2040-01-13 15:00:00,2040-03-02 10:00:00,2040-09-13 16:00:00,2040-10-29 17:00:00,monopile,40,NY,euro_fab,sbmt,1200.0,False,2035-01-01 00:00:00
15,15,Ocean Wind 2,87648,152689.8361440562,157298.8366227668,153611.63623979833,158078.5348478778,2032-01-01 00:00:00,2039-06-03 02:00:00,2039-07-11 12:00:00,2039-12-12 03:00:00,2040-01-13 15:00:00,monopile,40,NJ,njwp_1,njwp_1,1375.2,False,2034-01-01 00:00:00
16,16,Vineyard Wind 2 (Vineyard Northeast) Residual,87648,148712.23129881048,152689.8361440562,149507.7522678596,152689.8361440562,2032-01-01 00:00:00,2038-12-19 09:00:00,2039-01-21 12:00:00,2039-06-03 02:00:00,2039-06-03 02:00:00,monopile,40,CT,halifax,new_bedford,120.0,False,2034-01-01 00:00:00
17,17,Invenergy NE Offshore Wind GoME 1,113952,113952.0,151297.97494429408,113952.0,151297.97494429408,2035-01-01 00:00:00,2035-01-01 00:00:00,2035-01-01 00:00:00,2039-04-06 02:00:00,2039-04-06 02:00:00,semisub,800,ME,salem,salem,1964.167782,False,2037-01-01 00:00:00
18,18,Leading Light Wind,70128,135583.23983844876,147310.95725604493,137928.783321968,148712.23129881048,2030-01-01 00:00:00,2037-06-20 08:00:00,2037-09-26 01:00:00,2038-10-21 23:00:00,2038-12-19 09:00:00,monopile,40,NJ,njwp_1,njwp_1,2400.0,False,2032-01-01 00:00:00
19,19,Central Atlantic Lease Area A-2,122712,130459.52888708873,145018.8757691151,133371.39826349402,145018.8757691151,2036-01-01 00:00:00,2036-11-18 20:00:00,2037-03-20 04:00:00,2038-07-18 11:00:00,2038-07-18 11:00:00,monopile,40,MD,portsmouth_1,portsmouth_1,1642.102476,True,2038-01-01 00:00:00
20,20,SouthCoast Wind Residual,70128,118318.42687224454,135583.23983844876,121771.38946548538,135583.23983844876,2030-01-01 00:00:00,2035-07-01 23:00:00,2035-11-22 20:00:00,2037-06-20 08:00:00,2037-06-20 08:00:00,monopile,40,MA,halifax,new_bedford,1113.0,False,2032-01-01 00:00:00
21,21,TotalEnergies,78888,119884.77523548582,128299.52888708873,121567.7259658064,128299.52888708873,2031-01-01 00:00:00,2035-09-05 05:00:00,2035-11-14 08:00:00,2036-08-20 20:00:00,2036-08-20 20:00:00,monopile,40,NC,portsmouth_1,portsmouth_1,889.0,True,2033-01-01 00:00:00
22,22,Beacon Wind 1,70128,108457.14468340845,112379.18218737573,109241.55218420191,118318.42687224454,2030-01-01 00:00:00,2034-05-17 02:00:00,2034-06-18 18:00:00,2034-10-27 12:00:00,2035-07-01 23:00:00,monopile,40,NY,euro_fab,sbmt,1230.0,False,2032-01-01 00:00:00
23,23,Duke Energy/Cinergy,70128,109077.48647143642,117696.6318726498,110801.3155516791,117724.77523548582,2030-01-01 00:00:00,2034-06-11 22:00:00,2034-08-22 18:00:00,2035-06-06 01:00:00,2035-06-07 05:00:00,monopile,40,NC,portsmouth_1,portsmouth_1,893.0,True,2032-01-01 00:00:00
24,24,Atlantic Shores Offshore Wind North,78888,99829.45470603812,109077.48647143642,101679.06105911778,109077.48647143642,2031-01-01 00:00:00,2033-05-22 14:00:00,2033-08-07 16:00:00,2034-06-11 22:00:00,2034-06-11 22:00:00,monopile,40,NJ,njwp_1,njwp_1,1313.3,True,2033-01-01 00:00:00
25,25,Vineyard Wind 2 (Vineyard Northeast) MA,61368,94586.07093447591,108457.14468340845,97360.28568426242,108457.14468340845,2029-01-01 00:00:00,2032-10-16 03:00:00,2033-02-08 17:00:00,2034-05-17 02:00:00,2034-05-17 02:00:00,monopile,40,MA,halifax,new_bedford,800.0,False,2031-01-01 00:00:00
26,26,CVOW-South (Kitty Hawk North),70128,92828.22287432989,99829.45470603812,94228.46924067153,99829.45470603812,2030-01-01 00:00:00,2032-08-03 21:00:00,2032-10-01 05:00:00,2033-05-22 14:00:00,2033-05-22 14:00:00,monopile,40,VA,portsmouth_1,portsmouth_1,800.0,True,2032-01-01 00:00:00
27,27,Ocean Wind 1,61368,90596.73605062396,94287.08806804298,91334.80645410776,94586.07093447591,2029-01-01 00:00:00,2032-05-02 21:00:00,2032-06-02 15:00:00,2032-10-03 16:00:00,2032-10-16 03:00:00,monopile,40,NJ,njwp_1,njwp_1,1222.6,False,2031-01-01 00:00:00
28,28,Excelsior Wind (Vineyard Mid-Atlantic),70128,73650.16364729172,92828.22287432989,77485.77549269935,92828.22287432989,2030-01-01 00:00:00,2030-05-27 19:00:00,2030-11-03 14:00:00,2032-08-03 21:00:00,2032-08-03 21:00:00,monopile,40,NY,halifax,sbmt,1314.0,True,2032-01-01 00:00:00
29,29,"Momentum Wind (U.S. Wind Phases 2, 3, and 4)",52584,79870.46913123397,90596.73605062396,82015.72251511196,90596.73605062396,2028-01-01 00:00:00,2031-02-10 23:00:00,2031-05-11 08:00:00,2032-05-02 21:00:00,2032-05-02 21:00:00,monopile,40,MD,tradepoint_1,tradepoint_1,1410.0,False,2030-01-01 00:00:00
30,30,Atlantic Shores Offshore Wind South 1,61368,73307.39339052253,78333.21987744876,74312.55868790777,79870.46913123397,2029-01-01 00:00:00,2030-05-13 12:00:00,2030-06-24 09:00:00,2030-12-08 22:00:00,2031-02-10 23:00:00,monopile,40,NJ,njwp_1,njwp_1,1510.0,False,2031-01-01 00:00:00
31,31,Kitty Hawk South,61368,61368.0,73650.16364729172,63824.43272945834,73650.16364729172,2029-01-01 00:00:00,2029-01-01 00:00:00,2029-04-13 09:00:00,2030-05-27 19:00:00,2030-05-27 19:00:00,monopile,40,NC,portsmouth_1,portsmouth_1,1350.7,True,2031-01-01 00:00:00
32,32,Skipjack  2,43824,66367.40150377418,73307.39339052253,67755.39988112384,73307.39339052253,2027-01-01 00:00:00,2029-07-28 08:00:00,2029-09-24 04:00:00,2030-05-13 12:00:00,2030-05-13 12:00:00,monopile,40,MD,tradepoint_1,tradepoint_1,846.0,False,2029-01-01 00:00:00
33,33,Empire Wind 2,52584,61444.25993393457,66367.40150377418,62428.88824790249,66367.40150377418,2028-01-01 00:00:00,2029-01-04 05:00:00,2029-02-14 05:00:00,2029-07-28 08:00:00,2029-07-28 08:00:00,monopile,40,NY,euro_fab,sbmt,621.0,False,2030-01-01 00:00:00
34,34,Maine Research Array,61368,61869.70490060395,65653.1654996282,61869.70490060395,65653.1654996282,2029-01-01 00:00:00,2029-01-21 22:00:00,2029-01-21 22:00:00,2029-06-28 14:00:00,2029-06-28 14:00:00,semisub,800,ME,salem,salem,144.0,False,2031-01-01 00:00:00
35,35,Skipjack 1,43824,59709.70490060395,60664.61140886542,59900.68620225625,61444.25993393457,2027-01-01 00:00:00,2028-10-23 22:00:00,2028-10-31 21:00:00,2028-12-02 17:00:00,2029-01-04 05:00:00,monopile,40,MD,tradepoint_1,tradepoint_1,120.0,False,2029-01-01 00:00:00
36,36,New England Wind 2 (Commonwealth Wind),52584,52584.0,59709.70490060395,54009.14098012079,59709.70490060395,2028-01-01 00:00:00,2028-01-01 00:00:00,2028-02-29 10:00:00,2028-10-23 22:00:00,2028-10-23 22:00:00,monopile,40,MA,salem,salem,1232.0,False,2030-01-01 00:00:00
37,37,Sunrise Wind,26304,42568.630262526814,59708.393090128855,45996.58282804722,59708.393090128855,2025-01-01 00:00:00,2026-11-09 17:00:00,2027-04-01 13:00:00,2028-10-23 21:00:00,2028-10-23 21:00:00,monopile,40,NY,argentia,new_london,924.0,True,2027-01-01 00:00:00
