,index,name,Initialized,Started,FoundationFinished,TurbineStart,Finished,Date Initialized,Date Started,Date TurbineStart,Date FoundationFinished,Date Finished,substructure,depth,location,foundation_port,turbine_port,capacity,us_wtiv,estimated_cod
0,0,SouthCoast Wind 1 (Mayflower Wind) RI,122712,277366.8135958619,281070.40169167024,278107.53121502354,281070.40169167024,2036-01-01 00:00:00,2053-08-22 23:00:00,2053-09-22 20:00:00,2054-01-24 07:00:00,2054-01-24 07:00:00,monopile,40,RI,halifax,new_bedford,200.0,False,2038-01-01 00:00:00
1,1,Attentive Energy Two,149016,268034.99846379546,276544.2529820756,269736.8493674515,277366.8135958619,2039-01-01 00:00:00,2052-07-30 03:00:00,2052-10-09 01:00:00,2053-07-19 17:00:00,2053-08-22 23:00:00,monopile,40,NJ,njwp_1,njwp_1,1342.0,False,2041-01-01 00:00:00
2,2,SouthCoast Wind 1 (Mayflower Wind) MA,122712,251516.08252154334,268034.99846379546,254819.86570999376,268034.99846379546,2036-01-01 00:00:00,2050-09-10 21:00:00,2051-01-26 12:00:00,2052-07-30 03:00:00,2052-07-30 03:00:00,monopile,40,MA,halifax,new_bedford,1087.0,False,2038-01-01 00:00:00
3,3,Atlantic Shores Offshore Wind South 2,105192,243557.29412854294,251516.08252154334,245149.05180714303,251516.08252154334,2034-01-01 00:00:00,2049-10-14 06:00:00,2049-12-19 14:00:00,2050-09-10 21:00:00,2050-09-10 21:00:00,monopile,40,NJ,njwp_1,njwp_1,1350.0,False,2036-01-01 00:00:00
4,4,SouthCoast Wind Residual,113952,227822.9235401174,243557.29412854294,230969.7976578025,243557.29412854294,2035-01-01 00:00:00,2047-12-28 15:00:00,2048-05-07 18:00:00,2049-10-14 06:00:00,2049-10-14 06:00:00,monopile,40,MA,halifax,new_bedford,1113.0,False,2037-01-01 00:00:00
5,5,Garden State Offshore Energy I,96432,223177.17417890267,226790.3616199528,223899.8116671127,227822.9235401174,2033-01-01 00:00:00,2047-06-18 02:00:00,2047-07-18 04:00:00,2047-11-15 15:00:00,2047-12-28 15:00:00,monopile,40,NJ,njwp_1,njwp_1,1080.0,False,2035-01-01 00:00:00
6,6,Beacon Wind 2,96432,214429.1793691587,217960.28989897142,215135.40147512124,223177.17417890267,2033-01-01 00:00:00,2046-06-18 14:00:00,2046-07-18 00:00:00,2046-11-12 17:00:00,2047-06-18 02:00:00,monopile,40,NY,euro_fab,sbmt,1200.0,False,2035-01-01 00:00:00
7,7,Vineyard Wind 2 (Vineyard Northeast) MA,87648,199563.4961756213,214429.1793691587,202536.63281432877,214429.1793691587,2032-01-01 00:00:00,2044-10-07 04:00:00,2045-02-08 01:00:00,2046-06-18 14:00:00,2046-06-18 14:00:00,monopile,40,MA,halifax,new_bedford,800.0,False,2034-01-01 00:00:00
8,8,Bay State Wind,87648,117839.94701586763,199563.4961756213,134184.65684781835,199563.4961756213,2032-01-01 00:00:00,2035-06-12 00:00:00,2037-04-23 01:00:00,2044-10-07 04:00:00,2044-10-07 04:00:00,monopile,40,RI,argentia,new_london,2344.3,False,2034-01-01 00:00:00
9,9,Atlantic Shores Offshore Wind North,122712,122712.0,134863.03176539834,125142.20635307967,134863.03176539834,2036-01-01 00:00:00,2036-01-01 00:00:00,2036-04-11 07:00:00,2037-05-21 08:00:00,2037-05-21 08:00:00,monopile,40,NJ,njwp_1,njwp_1,1313.3,True,2038-01-01 00:00:00
10,10,Excelsior Wind (Vineyard Mid-Atlantic),70128,90747.66659994012,117839.94701586763,96166.12268312562,117839.94701586763,2030-01-01 00:00:00,2032-05-09 04:00:00,2032-12-20 23:00:00,2035-06-12 00:00:00,2035-06-12 00:00:00,monopile,40,NY,halifax,sbmt,1314.0,False,2032-01-01 00:00:00
11,11,Kitty Hawk South,105192,105192.0,117765.16364729172,107706.63272945835,117765.16364729172,2034-01-01 00:00:00,2034-01-01 00:00:00,2034-04-15 19:00:00,2035-06-08 22:00:00,2035-06-08 22:00:00,monopile,40,NC,portsmouth_1,portsmouth_1,1350.7,True,2036-01-01 00:00:00
12,12,CVOW-South (Kitty Hawk North),78888,85255.12299378109,92095.35482548934,86623.16936012273,92095.35482548934,2031-01-01 00:00:00,2031-09-23 08:00:00,2031-11-19 08:00:00,2032-07-04 08:00:00,2032-07-04 08:00:00,monopile,40,VA,portsmouth_1,portsmouth_1,800.0,True,2033-01-01 00:00:00
13,13,"Momentum Wind (U.S. Wind Phases 2, 3, and 4)",52584,81708.4938795422,90596.76079893218,83486.14726342021,90747.66659994012,2028-01-01 00:00:00,2031-04-28 13:00:00,2031-07-11 15:00:00,2032-05-02 21:00:00,2032-05-09 04:00:00,monopile,40,MD,tradepoint_1,tradepoint_1,1410.0,False,2030-01-01 00:00:00
14,14,Ocean Wind 1,61368,76512.24616017118,85255.12299378109,78260.82152689317,85255.12299378109,2029-01-01 00:00:00,2030-09-24 01:00:00,2030-12-05 21:00:00,2031-09-23 08:00:00,2031-09-23 08:00:00,monopile,40,NJ,njwp_1,njwp_1,1222.6,True,2031-01-01 00:00:00
15,15,Beacon Wind 1,70128,73307.39339052253,76633.31565004712,73972.57784242745,81708.4938795422,2030-01-01 00:00:00,2030-05-13 12:00:00,2030-06-10 05:00:00,2030-09-29 02:00:00,2031-04-28 13:00:00,monopile,40,NY,euro_fab,sbmt,1230.0,False,2032-01-01 00:00:00
16,16,Atlantic Shores Offshore Wind South 1,61368,61368.0,74352.24616017118,63964.849232034234,74352.24616017118,2029-01-01 00:00:00,2029-01-01 00:00:00,2029-04-19 05:00:00,2030-06-26 01:00:00,2030-06-26 01:00:00,monopile,40,NJ,njwp_1,njwp_1,1510.0,True,2031-01-01 00:00:00
