,index,name,Initialized,Started,FoundationFinished,TurbineStart,Finished,Date Initialized,Date Started,Date TurbineStart,Date FoundationFinished,Date Finished,substructure,depth,location,foundation_port,turbine_port,capacity,us_wtiv,estimated_cod
0,0,Attentive Energy Two,140256,329015.8172596018,333347.9565334392,329882.24511436926,333798.88337827387,2038-01-01 00:00:00,2059-07-15 00:00:00,2059-08-20 03:00:00,2060-01-11 12:00:00,2060-01-30 07:00:00,monopile,40,NJ,njwp_1,njwp_1,1342.0,False,2040-01-01 00:00:00
1,1,Ocean Wind 2,122712,322923.93202533387,326855.8172596018,323710.30907218746,326855.8172596018,2036-01-01 00:00:00,2058-11-03 04:00:00,2058-12-05 23:00:00,2059-04-16 00:00:00,2059-04-16 00:00:00,monopile,40,NJ,njwp_1,njwp_1,1375.2,False,2038-01-01 00:00:00
2,2,Attentive Energy One,140256,318282.51245107903,322923.93202533387,319210.79636593,322923.93202533387,2038-01-01 00:00:00,2058-04-23 19:00:00,2058-06-01 11:00:00,2058-11-03 04:00:00,2058-11-03 04:00:00,monopile,40,NY,euro_fab,sbmt,1404.0,False,2040-01-01 00:00:00
3,3,Atlantic Shores Offshore Wind Bight,113952,310335.6235494773,317843.2809391276,311837.1550274074,318282.51245107903,2035-01-01 00:00:00,2057-05-27 16:00:00,2057-07-29 06:00:00,2058-04-05 12:00:00,2058-04-23 19:00:00,monopile,40,NY,njwp_1,njwp_1,2500.0,False,2037-01-01 00:00:00
4,4,Bay State Wind,122712,232749.6676640113,310335.6235494773,248266.8588411045,310335.6235494773,2036-01-01 00:00:00,2048-07-20 22:00:00,2050-04-28 11:00:00,2057-05-27 16:00:00,2057-05-27 16:00:00,monopile,40,RI,argentia,new_london,2344.3,False,2038-01-01 00:00:00
5,5,Avangrid GoME 2,122712,228516.68479275098,268887.60546141927,228516.68479275098,268887.60546141927,2036-01-01 00:00:00,2048-01-26 13:00:00,2048-01-26 13:00:00,2052-09-03 16:00:00,2052-09-03 16:00:00,semisub,800,ME,salem,salem,2171.528889,False,2038-01-01 00:00:00
6,6,Bluepoint Wind,105192,223670.63645128589,232029.23983160887,225342.3571273505,232749.6676640113,2034-01-01 00:00:00,2047-07-08 15:00:00,2047-09-16 07:00:00,2048-06-20 22:00:00,2048-07-20 22:00:00,monopile,40,NY,njwp_1,njwp_1,1158.0,False,2036-01-01 00:00:00
7,7,Invenergy NE Offshore Wind GoME 2,122712,189024.6146642374,226356.68479275098,189024.6146642374,226356.68479275098,2036-01-01 00:00:00,2043-07-26 01:00:00,2043-07-26 01:00:00,2047-10-28 13:00:00,2047-10-28 13:00:00,semisub,800,MA,salem,salem,1992.965238,False,2038-01-01 00:00:00
8,8,SouthCoast Wind 1 (Mayflower Wind) RI,122712,219714.6059776989,223670.63645128589,220505.8120724163,223670.63645128589,2036-01-01 00:00:00,2047-01-24 19:00:00,2047-02-26 18:00:00,2047-07-08 15:00:00,2047-07-08 15:00:00,monopile,40,RI,halifax,new_bedford,200.0,False,2038-01-01 00:00:00
9,9,Leading Light Wind,105192,206349.3924063009,218105.53704574512,208700.62133418975,219714.6059776989,2034-01-01 00:00:00,2045-07-16 22:00:00,2045-10-22 21:00:00,2046-11-18 18:00:00,2047-01-24 19:00:00,monopile,40,NJ,njwp_1,njwp_1,2400.0,False,2036-01-01 00:00:00
10,10,SouthCoast Wind 1 (Mayflower Wind) MA,122712,189408.9749798494,206349.3924063009,192797.05846513968,206349.3924063009,2036-01-01 00:00:00,2043-08-11 01:00:00,2043-12-30 06:00:00,2045-07-16 22:00:00,2045-07-16 22:00:00,monopile,40,MA,halifax,new_bedford,1087.0,False,2038-01-01 00:00:00
11,11,Garden State Offshore Energy I,105192,182800.95160756947,189408.9749798494,184122.55628202544,189408.9749798494,2034-01-01 00:00:00,2042-11-08 17:00:00,2043-01-02 19:00:00,2043-08-11 01:00:00,2043-08-11 01:00:00,monopile,40,NJ,njwp_1,njwp_1,1080.0,False,2036-01-01 00:00:00
12,12,Avangrid GoME 1,113952,153457.97494429408,186864.6146642374,153457.97494429408,186864.6146642374,2035-01-01 00:00:00,2039-07-05 02:00:00,2039-07-05 02:00:00,2043-04-27 01:00:00,2043-04-27 01:00:00,semisub,800,MA,salem,salem,1785.604132,False,2037-01-01 00:00:00
13,13,Community Offshore Wind,105192,166353.97670124262,182800.95160756947,169643.37168250798,182800.95160756947,2034-01-01 00:00:00,2040-12-23 10:00:00,2041-05-09 12:00:00,2042-11-08 17:00:00,2042-11-08 17:00:00,monopile,40,NY,sbmt,sbmt,2800.0,False,2036-01-01 00:00:00
