,index,name,Initialized,Started,FoundationFinished,TurbineStart,Finished,Date Initialized,Date Started,Date TurbineStart,Date FoundationFinished,Date Finished,substructure,depth,location,foundation_port,turbine_port,capacity,us_wtiv,estimated_cod
0,0,Bay State Wind,122712,122712,213570.07112990873,140883.61422598176,213570.07112990873,2036-01-01 00:00:00,2036-01-01 00:00:00,2038-01-27 04:00:00,2046-05-13 19:00:00,2046-05-13 19:00:00,monopile,40,RI,argentia,new_london,2344.3,False,2038-01-01 00:00:00
1,1,Avangrid GoME 2,122712,122712,163090.9206686683,122712.0,163090.9206686683,2036-01-01 00:00:00,2036-01-01 00:00:00,2036-01-01 00:00:00,2040-08-09 11:00:00,2040-08-09 11:00:00,semisub,800,ME,salem,salem,2171.528889,False,2038-01-01 00:00:00
2,2,Invenergy NE Offshore Wind GoME 2,122712,122712,160223.57012851356,122712.0,160223.57012851356,2036-01-01 00:00:00,2036-01-01 00:00:00,2036-01-01 00:00:00,2040-04-12 00:00:00,2040-04-12 00:00:00,semisub,800,MA,salem,salem,1992.965238,False,2038-01-01 00:00:00
3,3,Central Atlantic Lease Area C-1,131496,131496,153581.3058532433,135913.06117064867,153581.3058532433,2037-01-01 00:00:00,2037-01-01 00:00:00,2037-07-04 02:00:00,2039-07-10 06:00:00,2039-07-10 06:00:00,monopile,40,NC,portsmouth_1,portsmouth_1,2857.164097,True,2039-01-01 00:00:00
4,4,Attentive Energy One,140256,140256,152224.87125202955,142649.7742504059,152224.87125202955,2038-01-01 00:00:00,2038-01-01 00:00:00,2038-04-10 18:00:00,2039-05-14 17:00:00,2039-05-14 17:00:00,monopile,40,NY,euro_fab,sbmt,1404.0,False,2040-01-01 00:00:00
5,5,Invenergy NE Offshore Wind GoME 1,113952,113952,151297.97494429408,113952.0,151297.97494429408,2035-01-01 00:00:00,2035-01-01 00:00:00,2035-01-01 00:00:00,2039-04-06 02:00:00,2039-04-06 02:00:00,semisub,800,ME,salem,salem,1964.167782,False,2037-01-01 00:00:00
6,6,Attentive Energy Two,140256,140256,148825.8121405015,141969.9624281003,148825.8121405015,2038-01-01 00:00:00,2038-01-01 00:00:00,2038-03-13 10:00:00,2038-12-24 02:00:00,2038-12-24 02:00:00,monopile,40,NJ,njwp_1,njwp_1,1342.0,False,2040-01-01 00:00:00
7,7,Avangrid GoME 1,113952,113952,147913.6397199433,113952.0,147913.6397199433,2035-01-01 00:00:00,2035-01-01 00:00:00,2035-01-01 00:00:00,2038-11-16 02:00:00,2038-11-16 02:00:00,semisub,800,MA,salem,salem,1785.604132,False,2037-01-01 00:00:00
8,8,Central Atlantic Lease Area A-2,131496,131496,145887.3468820264,134374.26937640528,145887.3468820264,2037-01-01 00:00:00,2037-01-01 00:00:00,2037-04-30 23:00:00,2038-08-23 16:00:00,2038-08-23 16:00:00,monopile,40,MD,portsmouth_1,portsmouth_1,1642.102476,True,2039-01-01 00:00:00
9,9,SouthCoast Wind 1 (Mayflower Wind) MA,122712,122712,137004.97504867284,125570.59500973456,137004.97504867284,2036-01-01 00:00:00,2036-01-01 00:00:00,2036-04-29 03:00:00,2037-08-18 13:00:00,2037-08-18 13:00:00,monopile,40,MA,halifax,new_bedford,1087.0,False,2038-01-01 00:00:00
